<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HJV.US,5,20131112,172500,16.5100,16.5100,16.5000,16.5000,500,0
HJV.US,5,20131112,180000,16.5000,16.5100,16.5000,16.5000,1800,0
HJV.US,5,20131112,181000,16.5000,16.5100,16.4900,16.5100,1100,0
HJV.US,5,20131112,190000,16.3500,16.3500,16.3500,16.3500,100,0
HJV.US,5,20131112,190500,16.3500,16.3800,16.3500,16.3800,1000,0
HJV.US,5,20131112,194500,16.3500,16.3800,16.3500,16.3800,1200,0
HJV.US,5,20131112,220500,16.4900,16.4900,16.4900,16.4900,100,0
HJV.US,5,20131113,153500,16.5400,16.5400,16.5400,16.5400,100,0
HJV.US,5,20131113,154000,16.5300,16.6500,16.5300,16.6500,745,0
HJV.US,5,20131113,154500,16.6500,16.6500,16.6500,16.6500,600,0
HJV.US,5,20131113,162500,16.5000,16.5000,16.5000,16.5000,1100,0
HJV.US,5,20131113,164500,16.4900,16.4900,16.4900,16.4900,200,0
HJV.US,5,20131113,172500,16.3100,16.3100,16.3100,16.3100,300,0
HJV.US,5,20131113,173500,16.5000,16.5000,16.5000,16.5000,300,0
HJV.US,5,20131113,174000,16.5000,16.5000,16.5000,16.5000,900,0
HJV.US,5,20131113,180500,16.6500,16.6500,16.6500,16.6500,183,0
HJV.US,5,20131113,183000,16.6500,16.6500,16.6500,16.6500,300,0
HJV.US,5,20131113,190500,16.5500,16.5500,16.5000,16.5000,1000,0
HJV.US,5,20131113,193000,16.6800,16.7300,16.6800,16.7300,500,0
HJV.US,5,20131113,211500,16.6600,16.6900,16.6600,16.6900,1100,0
HJV.US,5,20131113,213500,16.7500,16.7500,16.7400,16.7400,500,0
HJV.US,5,20131113,214000,16.7400,16.7400,16.7300,16.7400,300,0
HJV.US,5,20131113,215500,16.7300,16.7300,16.5500,16.6900,2600,0
HJV.US,5,20131113,220000,16.6900,16.7500,16.5700,16.7300,2490,0
HJV.US,5,20131114,153500,16.8800,16.8800,16.8800,16.8800,500,0
HJV.US,5,20131114,154000,16.8800,16.9900,16.8800,16.9900,400,0
HJV.US,5,20131114,162500,16.9800,16.9900,16.9700,16.9700,1100,0
HJV.US,5,20131114,164500,16.9900,16.9900,16.9900,16.9900,100,0
HJV.US,5,20131114,170000,17.0000,17.0000,17.0000,17.0000,600,0
HJV.US,5,20131114,170500,17.0000,17.0000,17.0000,17.0000,1550,0
HJV.US,5,20131114,175500,16.9200,16.9200,16.9200,16.9200,150,0
HJV.US,5,20131114,181500,16.8800,16.8800,16.8800,16.8800,300,0
HJV.US,5,20131114,182500,16.9500,16.9500,16.9500,16.9500,100,0
HJV.US,5,20131114,183000,16.8800,16.8800,16.8800,16.8800,500,0
HJV.US,5,20131114,183500,16.8800,16.8800,16.8800,16.8800,1000,0
HJV.US,5,20131114,203500,16.8800,16.8800,16.8800,16.8800,120,0
HJV.US,5,20131114,220000,16.9500,16.9500,16.9500,16.9500,100,0
HJV.US,5,20131115,160500,17.1400,17.1400,17.1400,17.1400,100,0
