<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HNI.US,5,20131112,155500,37.7200,37.7200,37.7200,37.7200,100,0
HNI.US,5,20131112,160000,37.7900,37.8000,37.7200,37.8000,1000,0
HNI.US,5,20131112,160500,37.8000,37.8000,37.7400,37.8000,1200,0
HNI.US,5,20131112,161000,37.8700,37.8700,37.8600,37.8700,400,0
HNI.US,5,20131112,161500,37.8600,37.9300,37.8300,37.8800,4800,0
HNI.US,5,20131112,162000,37.9000,37.9400,37.8400,37.8500,4300,0
HNI.US,5,20131112,162500,37.8400,37.8500,37.6100,37.8000,9570,0
HNI.US,5,20131112,163000,37.9000,37.9000,37.9000,37.9000,100,0
HNI.US,5,20131112,164000,37.9300,37.9300,37.9300,37.9300,200,0
HNI.US,5,20131112,164500,37.9200,38.0500,37.8900,38.0300,10000,0
HNI.US,5,20131112,165000,38.0500,38.0500,37.7500,37.8700,4520,0
HNI.US,5,20131112,165500,37.9400,38.0500,37.8800,38.0000,4406,0
HNI.US,5,20131112,170000,37.9500,38.0200,37.8500,37.9700,2400,0
HNI.US,5,20131112,171000,38.0300,38.0300,37.9800,37.9800,600,0
HNI.US,5,20131112,171500,38.0800,38.0800,38.0800,38.0800,100,0
HNI.US,5,20131112,172500,38.1500,38.1500,38.1100,38.1100,1100,0
HNI.US,5,20131112,173000,38.1700,38.1700,38.1700,38.1700,400,0
HNI.US,5,20131112,173500,38.1900,38.2200,38.1900,38.2200,400,0
HNI.US,5,20131112,174000,38.1700,38.1700,38.1700,38.1700,200,0
HNI.US,5,20131112,174500,38.1800,38.2400,38.1800,38.1800,900,0
HNI.US,5,20131112,175000,38.1800,38.1800,38.1300,38.1300,800,0
HNI.US,5,20131112,180000,38.0700,38.1200,38.0700,38.1200,300,0
HNI.US,5,20131112,180500,38.1100,38.1100,38.1100,38.1100,100,0
HNI.US,5,20131112,181000,38.0700,38.0700,37.8700,37.9300,19776,0
HNI.US,5,20131112,181500,37.9200,38.0400,37.8200,38.0400,7412,0
HNI.US,5,20131112,182000,37.9900,37.9900,37.9900,37.9900,300,0
HNI.US,5,20131112,182500,37.9300,37.9300,37.9200,37.9200,400,0
HNI.US,5,20131112,183500,37.9200,37.9200,37.8700,37.8700,700,0
HNI.US,5,20131112,184000,37.9200,37.9200,37.8900,37.9200,800,0
HNI.US,5,20131112,184500,38.0000,38.0000,37.9800,37.9800,300,0
HNI.US,5,20131112,185000,37.9800,38.0100,37.9600,37.9800,600,0
HNI.US,5,20131112,185500,37.9900,38.0000,37.9700,38.0000,600,0
HNI.US,5,20131112,190000,37.9800,38.0500,37.9600,37.9700,1700,0
HNI.US,5,20131112,190500,37.9700,37.9700,37.8800,37.8800,1000,0
HNI.US,5,20131112,191000,37.8700,37.8700,37.8600,37.8700,1000,0
HNI.US,5,20131112,191500,37.8500,37.9700,37.8500,37.9700,1400,0
HNI.US,5,20131112,192000,37.9700,37.9800,37.9700,37.9700,400,0
HNI.US,5,20131112,192500,37.9600,37.9600,37.9600,37.9600,200,0
