<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSA.US,5,20131112,162000,6.4800,6.4800,6.4800,6.4800,583,0
HSA.US,5,20131112,164500,6.5200,6.5200,6.5200,6.5200,147,0
HSA.US,5,20131112,165500,6.4900,6.4900,6.4900,6.4900,126,0
HSA.US,5,20131112,170500,6.5000,6.5000,6.5000,6.5000,489,0
HSA.US,5,20131112,171500,6.5300,6.5800,6.5300,6.5400,1822,0
HSA.US,5,20131112,172000,6.5300,6.5300,6.5300,6.5300,100,0
HSA.US,5,20131112,174500,6.6100,6.6100,6.5200,6.5200,400,0
HSA.US,5,20131112,181000,6.5200,6.5200,6.4100,6.4200,10950,0
HSA.US,5,20131112,181500,6.4200,6.4200,6.4200,6.4200,100,0
HSA.US,5,20131112,182000,6.4200,6.4200,6.4100,6.4200,2900,0
HSA.US,5,20131112,183500,6.4100,6.4100,6.4100,6.4100,900,0
HSA.US,5,20131112,184000,6.3800,6.3800,6.3800,6.3800,1500,0
HSA.US,5,20131112,184500,6.3900,6.3900,6.3900,6.3900,200,0
HSA.US,5,20131112,185000,6.3800,6.3800,6.3800,6.3800,900,0
HSA.US,5,20131112,190500,6.3700,6.3900,6.3700,6.3900,8200,0
HSA.US,5,20131112,191000,6.3900,6.4000,6.3900,6.4000,4800,0
HSA.US,5,20131112,191500,6.3700,6.4500,6.3700,6.4500,9145,0
HSA.US,5,20131112,192500,6.4200,6.4200,6.4200,6.4200,4700,0
HSA.US,5,20131112,193000,6.4200,6.4200,6.4200,6.4200,1600,0
HSA.US,5,20131112,204000,6.4200,6.4200,6.4200,6.4200,372,0
HSA.US,5,20131112,205000,6.4200,6.4200,6.4200,6.4200,120,0
HSA.US,5,20131112,214500,6.4200,6.4300,6.4200,6.4300,460,0
HSA.US,5,20131112,215000,6.4400,6.4400,6.4400,6.4400,300,0
HSA.US,5,20131112,220000,6.4100,6.4200,6.3900,6.3900,3100,0
HSA.US,5,20131113,171000,6.4300,6.4400,6.4200,6.4400,1480,0
HSA.US,5,20131113,172000,6.4300,6.4300,6.4300,6.4300,409,0
HSA.US,5,20131113,172500,6.4500,6.4800,6.4500,6.4700,4750,0
