<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HT-B.US,5,20131112,170000,25.2100,25.2100,25.2000,25.2000,1000,0
HT-B.US,5,20131112,171000,25.4000,25.4000,25.4000,25.4000,200,0
HT-B.US,5,20131112,172500,25.4400,25.4400,25.4400,25.4400,250,0
HT-B.US,5,20131112,181500,25.2500,25.2500,25.2500,25.2500,100,0
HT-B.US,5,20131112,210500,25.5000,25.5000,25.5000,25.5000,250,0
HT-B.US,5,20131112,211500,25.4000,25.4000,25.4000,25.4000,100,0
HT-B.US,5,20131112,215000,25.5400,25.5400,25.4600,25.4600,400,0
HT-B.US,5,20131112,215500,25.5500,25.5500,25.4000,25.4000,1500,0
HT-B.US,5,20131112,220500,25.4500,25.4500,25.4500,25.4500,1000,0
HT-B.US,5,20131113,162500,25.4800,25.4900,25.4800,25.4900,500,0
HT-B.US,5,20131113,171000,25.3000,25.3000,25.1800,25.1800,3000,0
HT-B.US,5,20131113,200000,25.3600,25.3600,25.3600,25.3600,200,0
HT-B.US,5,20131114,161000,25.7200,25.7200,25.7200,25.7200,1200,0
HT-B.US,5,20131114,204000,25.4900,25.5000,25.4900,25.5000,600,0
HT-B.US,5,20131115,164500,25.2400,25.2400,25.2400,25.2400,200,0
HT-B.US,5,20131115,203500,25.2600,25.2600,25.2600,25.2600,600,0
HT-B.US,5,20131118,160000,25.2100,25.2500,25.2000,25.2000,2158,0
HT-B.US,5,20131118,160500,25.2500,25.2500,25.2500,25.2500,1000,0
HT-B.US,5,20131119,160000,25.2500,25.2500,25.2500,25.2500,100,0
HT-B.US,5,20131119,192500,25.3000,25.3000,25.3000,25.3000,58000,0
HT-B.US,5,20131119,193000,25.3500,25.3500,25.3500,25.3500,58000,0
HT-B.US,5,20131119,203000,25.2500,25.2500,25.2500,25.2500,210,0
HT-B.US,5,20131120,161000,25.4400,25.4400,25.4400,25.4400,1000,0
HT-B.US,5,20131120,162500,25.2500,25.2600,25.2000,25.2600,1000,0
HT-B.US,5,20131120,163000,25.2100,25.2100,25.2000,25.2100,1000,0
HT-B.US,5,20131120,202000,25.2600,25.2600,25.2500,25.2500,200,0
HT-B.US,5,20131121,173500,25.2000,25.2000,25.2000,25.2000,1100,0
HT-B.US,5,20131121,175500,25.1900,25.1900,25.1900,25.1900,5000,0
HT-B.US,5,20131121,180500,25.1700,25.1800,25.1700,25.1800,1300,0
HT-B.US,5,20131121,183500,25.1800,25.1800,25.1800,25.1800,1400,0
HT-B.US,5,20131121,184500,25.1900,25.1900,25.1900,25.1900,300,0
