<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVT_A.US,5,20131113,215500,27.7500,27.7500,27.7500,27.7500,100,0
HVT_A.US,5,20131118,211500,27.8100,27.8100,27.8100,27.8100,100,0
HVT_A.US,5,20131119,192000,27.9800,27.9800,27.9800,27.9800,200,0
HVT_A.US,5,20131119,220500,27.8000,27.8000,27.8000,27.8000,100,0
HVT_A.US,5,20131120,212000,27.6500,27.6500,27.6500,27.6500,240,0
HVT_A.US,5,20131121,163500,28.2000,28.2000,28.2000,28.2000,100,0
HVT_A.US,5,20131121,172500,28.7200,28.7200,28.7200,28.7200,100,0
HVT_A.US,5,20131122,204000,28.8200,28.8200,28.8200,28.8200,100,0
HVT_A.US,5,20131125,183000,28.8000,28.8000,28.8000,28.8000,100,0
HVT_A.US,5,20131126,211500,29.0000,29.0200,29.0000,29.0200,200,0
HVT_A.US,5,20131126,215000,29.0200,29.0200,29.0200,29.0200,100,0
HVT_A.US,5,20131127,193000,29.5300,29.5300,29.5300,29.5300,100,0
HVT_A.US,5,20131127,220000,29.2500,29.2500,29.2500,29.2500,100,0
HVT_A.US,5,20131129,160000,29.0100,29.0100,29.0100,29.0100,100,0
HVT_A.US,5,20131202,164500,28.5000,28.5000,28.5000,28.5000,100,0
HVT_A.US,5,20131203,181500,28.0000,28.0000,28.0000,28.0000,100,0
HVT_A.US,5,20131204,173000,28.4100,28.4100,28.4100,28.4100,200,0
HVT_A.US,5,20131206,200000,28.9000,28.9000,28.9000,28.9000,200,0
HVT_A.US,5,20131206,215000,28.7500,28.7500,28.7500,28.7500,100,0
HVT_A.US,5,20131209,170000,29.2500,29.2500,29.2500,29.2500,200,0
HVT_A.US,5,20131209,214500,29.4000,29.4000,29.4000,29.4000,200,0
