<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYL.US,5,20131112,164500,23.8000,23.8000,23.8000,23.8000,320,0
HYL.US,5,20131112,185500,23.8400,23.8600,23.8400,23.8600,1325,0
HYL.US,5,20131112,192000,23.8000,23.8000,23.8000,23.8000,100,0
HYL.US,5,20131112,212000,23.9400,23.9400,23.9400,23.9400,300,0
HYL.US,5,20131112,213000,23.8000,23.8400,23.8000,23.8400,200,0
HYL.US,5,20131112,213500,23.9500,24.1400,23.8000,23.8000,773,0
HYL.US,5,20131113,172500,24.2000,24.2000,24.2000,24.2000,100,0
HYL.US,5,20131113,173000,23.7600,23.7600,23.7600,23.7600,100,0
HYL.US,5,20131113,175000,23.7500,23.8000,23.6500,23.8000,700,0
HYL.US,5,20131113,190000,23.6500,23.6800,23.5100,23.6800,1300,0
HYL.US,5,20131113,211000,23.9900,23.9900,23.9900,23.9900,571,0
HYL.US,5,20131113,215000,23.5100,23.5100,23.5100,23.5100,100,0
HYL.US,5,20131114,160000,23.5300,23.5300,23.5300,23.5300,550,0
HYL.US,5,20131114,171000,23.5300,23.5300,23.5300,23.5300,100,0
HYL.US,5,20131114,184000,23.7000,23.7500,23.7000,23.7000,400,0
HYL.US,5,20131114,192500,24.0000,24.1900,24.0000,24.0000,2100,0
HYL.US,5,20131114,194000,23.6000,23.6000,23.6000,23.6000,100,0
HYL.US,5,20131114,202500,23.5100,23.5500,23.5100,23.5500,775,0
HYL.US,5,20131114,214500,23.8500,23.8500,23.8300,23.8500,800,0
HYL.US,5,20131115,191000,23.6700,23.6700,23.6700,23.6700,200,0
HYL.US,5,20131115,193000,23.8000,23.8100,23.8000,23.8100,1000,0
HYL.US,5,20131115,201500,23.5600,23.5600,23.5600,23.5600,500,0
HYL.US,5,20131118,153500,23.5400,23.5400,23.5400,23.5400,200,0
HYL.US,5,20131118,163000,23.5600,23.6000,23.5600,23.6000,600,0
HYL.US,5,20131118,172000,23.8900,23.9400,23.7400,23.7400,900,0
HYL.US,5,20131118,172500,23.6300,23.6300,23.6300,23.6300,100,0
HYL.US,5,20131118,190500,23.6600,24.1200,23.6600,24.0100,1200,0
HYL.US,5,20131118,191000,23.5500,23.5500,23.5500,23.5500,100,0
HYL.US,5,20131118,194000,23.6400,23.6400,23.6400,23.6400,100,0
HYL.US,5,20131118,201000,23.9900,23.9900,23.9400,23.9400,500,0
HYL.US,5,20131118,212000,23.5900,23.5900,23.5900,23.5900,100,0
HYL.US,5,20131118,214500,23.5500,23.5500,23.5500,23.5500,150,0
HYL.US,5,20131119,182500,23.5500,23.5500,23.5500,23.5500,150,0
HYL.US,5,20131119,191000,23.8400,23.9400,23.8400,23.8400,500,0
HYL.US,5,20131119,191500,23.8500,23.9500,23.8400,23.9500,1100,0
HYL.US,5,20131119,194000,23.6400,23.6400,23.6400,23.6400,400,0
HYL.US,5,20131120,180500,23.8300,23.8300,23.8300,23.8300,100,0
HYL.US,5,20131120,184000,23.8000,23.8000,23.8000,23.8000,150,0
HYL.US,5,20131120,193000,23.8500,23.8500,23.8500,23.8500,100,0
HYL.US,5,20131120,203500,23.8300,23.8300,23.8000,23.8000,900,0
HYL.US,5,20131120,211000,23.5300,23.5300,23.5300,23.5300,100,0
HYL.US,5,20131121,154000,23.9700,24.3400,23.6000,23.6000,426,0
HYL.US,5,20131121,164000,23.9700,24.0000,23.9700,24.0000,600,0
HYL.US,5,20131121,172000,24.0000,24.0000,24.0000,24.0000,100,0
HYL.US,5,20131121,215000,24.0900,24.0900,24.0800,24.0900,500,0
HYL.US,5,20131121,220000,24.2500,24.2500,24.0300,24.0300,1600,0
HYL.US,5,20131122,164000,23.7500,23.7500,23.7500,23.7500,1000,0
HYL.US,5,20131122,164500,23.7500,23.7500,23.7500,23.7500,1000,0
HYL.US,5,20131122,191500,24.2600,24.2900,24.0000,24.0000,600,0
HYL.US,5,20131122,203500,23.8600,23.8600,23.8600,23.8600,400,0
HYL.US,5,20131122,205000,23.8500,23.9500,23.8400,23.9500,1000,0
HYL.US,5,20131122,210500,24.1000,24.1000,24.1000,24.1000,500,0
HYL.US,5,20131125,194500,23.9800,23.9800,23.9800,23.9800,500,0
HYL.US,5,20131125,213000,23.9200,23.9200,23.9200,23.9200,120,0
HYL.US,5,20131125,213500,23.8900,23.8900,23.8900,23.8900,100,0
HYL.US,5,20131126,162000,23.8600,24.3400,23.8200,24.3400,1600,0
HYL.US,5,20131126,172000,24.1200,24.1200,24.1200,24.1200,100,0
HYL.US,5,20131126,180000,24.3100,24.3400,24.3100,24.3400,1116,0
HYL.US,5,20131126,184000,24.3400,24.3400,24.3400,24.3400,500,0
HYL.US,5,20131126,190000,24.3400,24.3400,24.3400,24.3400,100,0
HYL.US,5,20131126,201500,24.4800,24.4800,24.4800,24.4800,100,0
HYL.US,5,20131126,210000,24.0900,24.0900,24.0900,24.0900,210,0
HYL.US,5,20131126,210500,24.5800,24.5800,24.5800,24.5800,100,0
HYL.US,5,20131126,213500,24.1300,24.1300,24.1000,24.1000,249,0
HYL.US,5,20131126,214000,24.4700,24.4700,24.4700,24.4700,100,0
HYL.US,5,20131126,215500,24.1500,24.1500,24.1300,24.1300,300,0
HYL.US,5,20131126,220000,24.1500,24.1500,24.1000,24.1000,200,0
HYL.US,5,20131127,194000,24.8500,24.8800,24.8300,24.8800,1029,0
HYL.US,5,20131127,214500,24.8200,24.8300,24.7800,24.7800,400,0
HYL.US,5,20131127,220000,24.8300,24.8300,24.8300,24.8300,100,0
HYL.US,5,20131129,155000,24.8600,24.8600,24.8600,24.8600,800,0
HYL.US,5,20131202,201500,24.4300,24.4300,24.4300,24.4300,200,0
