<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFN.US,5,20131112,153500,19.9000,19.9000,19.5600,19.6100,5296,0
IFN.US,5,20131112,154000,19.6600,19.6600,19.6000,19.6200,5024,0
IFN.US,5,20131112,154500,19.6200,19.6200,19.6000,19.6000,3150,0
IFN.US,5,20131112,155000,19.6100,19.6400,19.5900,19.5900,2400,0
IFN.US,5,20131112,155500,19.5800,19.5800,19.5500,19.5700,3507,0
IFN.US,5,20131112,160000,19.5700,19.6000,19.5700,19.5800,2602,0
IFN.US,5,20131112,160500,19.5800,19.6000,19.5800,19.6000,10530,0
IFN.US,5,20131112,161000,19.5900,19.5900,19.5800,19.5800,2500,0
IFN.US,5,20131112,161500,19.5800,19.5900,19.5700,19.5800,4064,0
IFN.US,5,20131112,162000,19.5800,19.6000,19.5800,19.5800,17727,0
IFN.US,5,20131112,162500,19.5700,19.5700,19.5400,19.5500,4800,0
IFN.US,5,20131112,163000,19.5500,19.5500,19.5400,19.5400,2200,0
IFN.US,5,20131112,163500,19.5400,19.5400,19.5100,19.5300,2600,0
IFN.US,5,20131112,164000,19.5100,19.5100,19.5100,19.5100,100,0
IFN.US,5,20131112,164500,19.5100,19.5300,19.5100,19.5200,2500,0
IFN.US,5,20131112,165000,19.5400,19.5400,19.5400,19.5400,700,0
IFN.US,5,20131112,165500,19.5400,19.5500,19.5300,19.5500,1800,0
IFN.US,5,20131112,170000,19.5400,19.5400,19.5300,19.5300,200,0
IFN.US,5,20131112,170500,19.5500,19.5500,19.5300,19.5300,5100,0
IFN.US,5,20131112,171000,19.5300,19.5700,19.5200,19.5500,10100,0
IFN.US,5,20131112,171500,19.5400,19.5400,19.5100,19.5100,6195,0
IFN.US,5,20131112,172000,19.5400,19.5500,19.5400,19.5500,1700,0
IFN.US,5,20131112,172500,19.5500,19.5500,19.5300,19.5300,1200,0
IFN.US,5,20131112,173000,19.5300,19.5300,19.5300,19.5300,377,0
IFN.US,5,20131112,173500,19.5300,19.5500,19.5300,19.5500,4594,0
IFN.US,5,20131112,174000,19.5500,19.5500,19.5000,19.5000,1287,0
IFN.US,5,20131112,174500,19.5000,19.5000,19.4600,19.4600,2600,0
IFN.US,5,20131112,175000,19.4700,19.4700,19.4200,19.4200,3700,0
IFN.US,5,20131112,175500,19.4300,19.4900,19.4300,19.4900,2800,0
IFN.US,5,20131112,180000,19.4600,19.4600,19.4600,19.4600,259,0
IFN.US,5,20131112,180500,19.4400,19.4400,19.4400,19.4400,300,0
IFN.US,5,20131112,181000,19.4300,19.4600,19.4100,19.4600,4969,0
IFN.US,5,20131112,181500,19.4100,19.4100,19.4100,19.4100,500,0
IFN.US,5,20131112,182000,19.4100,19.4200,19.4100,19.4100,600,0
IFN.US,5,20131112,182500,19.4100,19.4300,19.4100,19.4100,1359,0
IFN.US,5,20131112,183000,19.4200,19.4400,19.4100,19.4100,600,0
IFN.US,5,20131112,183500,19.4100,19.4100,19.4100,19.4100,600,0
IFN.US,5,20131112,184000,19.4100,19.4100,19.4100,19.4100,800,0
IFN.US,5,20131112,184500,19.4100,19.4100,19.4100,19.4100,515,0
IFN.US,5,20131112,185000,19.4100,19.4200,19.4100,19.4100,700,0
IFN.US,5,20131112,185500,19.4100,19.4100,19.4100,19.4100,400,0
IFN.US,5,20131112,190000,19.4100,19.4100,19.4100,19.4100,400,0
IFN.US,5,20131112,190500,19.4100,19.4300,19.4100,19.4100,1050,0
IFN.US,5,20131112,191000,19.4100,19.4100,19.4100,19.4100,900,0
IFN.US,5,20131112,191500,19.4100,19.4100,19.4100,19.4100,300,0
IFN.US,5,20131112,192000,19.4100,19.4100,19.4100,19.4100,400,0
IFN.US,5,20131112,192500,19.4100,19.4100,19.4100,19.4100,300,0
IFN.US,5,20131112,193000,19.4100,19.4200,19.3600,19.3700,3733,0
IFN.US,5,20131112,193500,19.3700,19.3700,19.3700,19.3700,400,0
IFN.US,5,20131112,194000,19.3100,19.3100,19.3100,19.3100,678,0
IFN.US,5,20131112,194500,19.3000,19.3500,19.3000,19.3000,732,0
IFN.US,5,20131112,195000,19.2800,19.3700,19.2800,19.3700,4000,0
IFN.US,5,20131112,200000,19.3200,19.3500,19.3200,19.3500,500,0
IFN.US,5,20131112,200500,19.3500,19.3600,19.3500,19.3500,700,0
IFN.US,5,20131112,201000,19.3500,19.3800,19.3500,19.3800,4577,0
IFN.US,5,20131112,201500,19.3700,19.3700,19.3700,19.3700,100,0
IFN.US,5,20131112,202000,19.3700,19.3700,19.3500,19.3500,600,0
IFN.US,5,20131112,202500,19.3500,19.3700,19.3500,19.3500,580,0
IFN.US,5,20131112,203000,19.3500,19.3500,19.3500,19.3500,200,0
IFN.US,5,20131112,203500,19.3600,19.3600,19.3600,19.3600,2603,0
IFN.US,5,20131112,204000,19.3600,19.3600,19.3600,19.3600,300,0
IFN.US,5,20131112,204500,19.3600,19.3600,19.3500,19.3500,413,0
IFN.US,5,20131112,205000,19.3600,19.3600,19.3500,19.3500,1392,0
IFN.US,5,20131112,205500,19.3500,19.3500,19.3500,19.3500,100,0
IFN.US,5,20131112,210000,19.3700,19.3700,19.3700,19.3700,1100,0
IFN.US,5,20131112,210500,19.3900,19.4300,19.3900,19.4300,4151,0
IFN.US,5,20131112,211000,19.4500,19.5000,19.4500,19.5000,1300,0
IFN.US,5,20131112,211500,19.5100,19.5600,19.5100,19.5600,3687,0
IFN.US,5,20131112,212000,19.5800,19.5900,19.5800,19.5800,5536,0
IFN.US,5,20131112,212500,19.5800,19.5800,19.5800,19.5800,600,0
IFN.US,5,20131112,213000,19.5800,19.5800,19.5800,19.5800,800,0
IFN.US,5,20131112,213500,19.5800,19.5900,19.5800,19.5800,400,0
IFN.US,5,20131112,214000,19.5800,19.5800,19.5800,19.5800,9682,0
IFN.US,5,20131112,214500,19.5800,19.5800,19.5800,19.5800,1006,0
IFN.US,5,20131112,215000,19.5800,19.5900,19.5200,19.5500,9056,0
IFN.US,5,20131112,215500,19.5600,19.5600,19.5300,19.5300,1352,0
IFN.US,5,20131112,220000,19.5600,19.5900,19.5300,19.5600,4896,0
IFN.US,5,20131112,220500,19.5900,19.5900,19.5900,19.5900,979,0
IFN.US,5,20131113,153500,19.5600,19.5600,19.5200,19.5200,300,0
IFN.US,5,20131113,154000,19.6200,19.6800,19.5600,19.6600,4900,0
IFN.US,5,20131113,154500,19.6600,19.6700,19.6600,19.6700,400,0
IFN.US,5,20131113,155000,19.6700,19.6700,19.6400,19.6400,2300,0
IFN.US,5,20131113,155500,19.6400,19.6400,19.6300,19.6300,1300,0
IFN.US,5,20131113,160000,19.6300,19.6300,19.6200,19.6200,1900,0
IFN.US,5,20131113,160500,19.5900,19.5900,19.5900,19.5900,200,0
IFN.US,5,20131113,161000,19.6100,19.6100,19.6000,19.6000,5400,0
IFN.US,5,20131113,161500,19.5700,19.6000,19.5700,19.6000,2472,0
IFN.US,5,20131113,162000,19.6000,19.6000,19.5900,19.5900,300,0
IFN.US,5,20131113,162500,19.5900,19.5900,19.5900,19.5900,200,0
IFN.US,5,20131113,163000,19.5900,19.5900,19.5800,19.5800,400,0
IFN.US,5,20131113,163500,19.5900,19.5900,19.5800,19.5800,8132,0
IFN.US,5,20131113,164000,19.5800,19.5900,19.5800,19.5900,7300,0
IFN.US,5,20131113,164500,19.5900,19.5900,19.5900,19.5900,560,0
IFN.US,5,20131113,165500,19.5900,19.5900,19.5900,19.5900,200,0
IFN.US,5,20131113,170000,19.5900,19.6000,19.5900,19.6000,2600,0
IFN.US,5,20131113,170500,19.6000,19.6000,19.5900,19.5900,300,0
IFN.US,5,20131113,171000,19.5900,19.5900,19.5900,19.5900,706,0
IFN.US,5,20131113,171500,19.5900,19.6100,19.5900,19.6000,7586,0
IFN.US,5,20131113,172000,19.6100,19.6100,19.6100,19.6100,900,0
IFN.US,5,20131113,172500,19.6100,19.6100,19.6100,19.6100,100,0
IFN.US,5,20131113,173000,19.6100,19.6100,19.6000,19.6000,1002,0
IFN.US,5,20131113,173500,19.5900,19.6000,19.5900,19.6000,800,0
IFN.US,5,20131113,174000,19.5900,19.5900,19.5900,19.5900,100,0
IFN.US,5,20131113,174500,19.5900,19.5900,19.5900,19.5900,100,0
IFN.US,5,20131113,175000,19.5900,19.6000,19.5900,19.5900,1500,0
IFN.US,5,20131113,175500,19.6000,19.6000,19.6000,19.6000,5800,0
IFN.US,5,20131113,180000,19.6100,19.6100,19.6000,19.6000,8400,0
IFN.US,5,20131113,180500,19.6100,19.6100,19.6000,19.6000,1300,0
IFN.US,5,20131113,181000,19.6000,19.6000,19.6000,19.6000,100,0
IFN.US,5,20131113,181500,19.6000,19.6000,19.6000,19.6000,100,0
IFN.US,5,20131113,182000,19.6100,19.6200,19.6100,19.6200,2350,0
IFN.US,5,20131113,182500,19.6200,19.6400,19.6200,19.6300,3026,0
IFN.US,5,20131113,183000,19.6300,19.6300,19.6300,19.6300,221,0
IFN.US,5,20131113,183500,19.6400,19.6400,19.6300,19.6400,15524,0
IFN.US,5,20131113,184000,19.6400,19.6400,19.6300,19.6400,1900,0
IFN.US,5,20131113,184500,19.6400,19.6400,19.6400,19.6400,400,0
IFN.US,5,20131113,185000,19.6300,19.6900,19.6300,19.6900,7700,0
IFN.US,5,20131113,185500,19.7000,19.7000,19.6600,19.6600,13100,0
IFN.US,5,20131113,190000,19.6600,19.7000,19.6600,19.7000,2900,0
IFN.US,5,20131113,190500,19.6900,19.6900,19.6700,19.6700,1400,0
IFN.US,5,20131113,191000,19.6800,19.6800,19.6800,19.6800,600,0
IFN.US,5,20131113,191500,19.6700,19.6800,19.6700,19.6700,3700,0
IFN.US,5,20131113,192000,19.6800,19.7000,19.6400,19.6400,8585,0
IFN.US,5,20131113,192500,19.6500,19.6800,19.6400,19.6500,26202,0
IFN.US,5,20131113,193000,19.6400,19.6900,19.6400,19.6600,20648,0
IFN.US,5,20131113,194000,19.6500,19.6500,19.6500,19.6500,100,0
IFN.US,5,20131113,194500,19.6500,19.6500,19.6500,19.6500,100,0
IFN.US,5,20131113,195000,19.6400,19.6400,19.6400,19.6400,100,0
IFN.US,5,20131113,195500,19.6800,19.6800,19.6500,19.6500,4900,0
IFN.US,5,20131113,200000,19.6500,19.6700,19.6500,19.6700,2943,0
IFN.US,5,20131113,201500,19.6300,19.6300,19.6300,19.6300,100,0
IFN.US,5,20131113,202000,19.6300,19.6300,19.6300,19.6300,100,0
