<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGK.US,5,20131112,153500,25.5000,25.5000,25.5000,25.5000,1900,0
IGK.US,5,20131112,154000,25.5200,25.5200,25.5000,25.5200,900,0
IGK.US,5,20131112,154500,25.5200,25.5200,25.5100,25.5200,2900,0
IGK.US,5,20131112,155000,25.5200,25.5200,25.5200,25.5200,2700,0
IGK.US,5,20131112,155500,25.5200,25.5200,25.5200,25.5200,1900,0
IGK.US,5,20131112,160000,25.5200,25.5200,25.5200,25.5200,700,0
IGK.US,5,20131112,160500,25.5200,25.5200,25.5100,25.5200,1500,0
IGK.US,5,20131112,161000,25.5200,25.5200,25.5200,25.5200,600,0
IGK.US,5,20131112,161500,25.5100,25.5200,25.5100,25.5200,2800,0
IGK.US,5,20131112,162000,25.5200,25.5200,25.5200,25.5200,600,0
IGK.US,5,20131112,162500,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,163000,25.5200,25.5200,25.5200,25.5200,400,0
IGK.US,5,20131112,163500,25.5200,25.5200,25.5200,25.5200,600,0
IGK.US,5,20131112,164000,25.5200,25.5200,25.5200,25.5200,700,0
IGK.US,5,20131112,164500,25.5200,25.5200,25.5100,25.5100,1500,0
IGK.US,5,20131112,165000,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,165500,25.5200,25.5200,25.5200,25.5200,1500,0
IGK.US,5,20131112,170000,25.5200,25.5200,25.5200,25.5200,600,0
IGK.US,5,20131112,170500,25.5200,25.5200,25.5200,25.5200,1975,0
IGK.US,5,20131112,171000,25.5200,25.5200,25.5200,25.5200,1500,0
IGK.US,5,20131112,171500,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,172000,25.5200,25.5200,25.5200,25.5200,400,0
IGK.US,5,20131112,172500,25.5200,25.5200,25.5100,25.5200,2300,0
IGK.US,5,20131112,173000,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,173500,25.5200,25.5200,25.5200,25.5200,400,0
IGK.US,5,20131112,174000,25.5200,25.5200,25.5100,25.5100,727,0
IGK.US,5,20131112,174500,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,175000,25.5200,25.5200,25.5100,25.5200,1400,0
IGK.US,5,20131112,175500,25.5200,25.5200,25.5200,25.5200,400,0
IGK.US,5,20131112,180000,25.5200,25.5200,25.5200,25.5200,500,0
IGK.US,5,20131112,180500,25.5200,25.5200,25.5200,25.5200,850,0
IGK.US,5,20131112,181000,25.5200,25.5200,25.4900,25.4900,308028,0
IGK.US,5,20131112,181500,25.5200,25.5200,25.5200,25.5200,500,0
