<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFY.US,5,20131112,153500,52.8400,52.8700,52.6400,52.7000,29399,0
INFY.US,5,20131112,154000,52.7000,52.7400,52.6400,52.6500,18719,0
INFY.US,5,20131112,154500,52.6600,52.7300,52.6500,52.6700,12212,0
INFY.US,5,20131112,155000,52.6800,52.7100,52.6400,52.6400,12134,0
INFY.US,5,20131112,155500,52.6400,52.7100,52.5700,52.6100,16400,0
INFY.US,5,20131112,160000,52.5800,52.6300,52.5500,52.6300,10028,0
INFY.US,5,20131112,160500,52.6100,52.6200,52.4800,52.4800,22896,0
INFY.US,5,20131112,161000,52.5100,52.5100,52.4200,52.4400,17207,0
INFY.US,5,20131112,161500,52.4400,52.4400,52.3800,52.3800,14363,0
INFY.US,5,20131112,162000,52.3700,52.5800,52.3700,52.5600,15251,0
INFY.US,5,20131112,162500,52.5500,52.5600,52.5000,52.5300,11650,0
INFY.US,5,20131112,163000,52.5300,52.5400,52.4900,52.5100,10100,0
INFY.US,5,20131112,163500,52.5100,52.5200,52.4700,52.4800,8413,0
INFY.US,5,20131112,164000,52.4800,52.5200,52.4800,52.5000,8200,0
INFY.US,5,20131112,164500,52.4800,52.4800,52.4500,52.4600,8700,0
INFY.US,5,20131112,165000,52.4600,52.5400,52.4600,52.5400,8700,0
INFY.US,5,20131112,165500,52.5300,52.6000,52.5200,52.6000,6756,0
INFY.US,5,20131112,170000,52.6000,52.6100,52.5800,52.5800,9975,0
INFY.US,5,20131112,170500,52.6000,52.6500,52.5700,52.6500,14982,0
INFY.US,5,20131112,171000,52.6500,52.7200,52.6400,52.7200,22967,0
INFY.US,5,20131112,171500,52.7200,52.8000,52.6700,52.6700,21500,0
INFY.US,5,20131112,172000,52.6700,52.7200,52.6400,52.7100,9691,0
INFY.US,5,20131112,172500,52.7100,52.7300,52.6600,52.7100,5890,0
INFY.US,5,20131112,173000,52.6700,52.7300,52.6300,52.6900,7000,0
INFY.US,5,20131112,173500,52.7300,52.7500,52.7000,52.7400,4500,0
INFY.US,5,20131112,174000,52.7300,52.7300,52.6500,52.6500,5100,0
INFY.US,5,20131112,174500,52.6400,52.6600,52.6300,52.6600,3200,0
INFY.US,5,20131112,175000,52.6500,52.6600,52.5500,52.5800,7930,0
INFY.US,5,20131112,175500,52.5900,52.5900,52.5600,52.5700,3200,0
INFY.US,5,20131112,180000,52.5900,52.6000,52.5700,52.5700,3000,0
INFY.US,5,20131112,180500,52.5900,52.5900,52.5300,52.5300,5500,0
INFY.US,5,20131112,181000,52.5300,52.5300,52.4300,52.4300,4983,0
INFY.US,5,20131112,181500,52.4400,52.4900,52.4200,52.4600,9700,0
INFY.US,5,20131112,182000,52.4800,52.5000,52.4500,52.4700,6500,0
INFY.US,5,20131112,182500,52.4900,52.4900,52.4400,52.4700,5091,0
INFY.US,5,20131112,183000,52.4900,52.5100,52.4800,52.4900,2700,0
INFY.US,5,20131112,183500,52.4700,52.5300,52.4700,52.5300,2600,0
INFY.US,5,20131112,184000,52.5700,52.5800,52.5400,52.5800,5225,0
INFY.US,5,20131112,184500,52.5900,52.6000,52.5700,52.5900,5004,0
INFY.US,5,20131112,185000,52.5900,52.6500,52.5800,52.6400,5600,0
INFY.US,5,20131112,185500,52.6500,52.6800,52.6500,52.6600,4019,0
INFY.US,5,20131112,190000,52.6600,52.6600,52.6500,52.6500,600,0
INFY.US,5,20131112,190500,52.6500,52.6700,52.6300,52.6400,4800,0
INFY.US,5,20131112,191000,52.6400,52.6500,52.6000,52.6400,8829,0
INFY.US,5,20131112,191500,52.6500,52.6800,52.6500,52.6800,4100,0
INFY.US,5,20131112,192000,52.6900,52.7300,52.6700,52.6900,7000,0
INFY.US,5,20131112,192500,52.6900,52.7500,52.6800,52.7300,4400,0
INFY.US,5,20131112,193000,52.7300,52.7300,52.6700,52.6700,4986,0
INFY.US,5,20131112,193500,52.6600,52.6700,52.6200,52.6200,5600,0
INFY.US,5,20131112,194000,52.6200,52.6200,52.5700,52.5700,3900,0
INFY.US,5,20131112,194500,52.5700,52.6300,52.5400,52.6300,4896,0
INFY.US,5,20131112,195000,52.6400,52.6800,52.6400,52.6700,5100,0
INFY.US,5,20131112,195500,52.6700,52.6900,52.6300,52.6500,16091,0
INFY.US,5,20131112,200000,52.6600,52.6800,52.6500,52.6800,1500,0
INFY.US,5,20131112,200500,52.6700,52.7000,52.6700,52.6800,5370,0
INFY.US,5,20131112,201000,52.6600,52.6900,52.6600,52.6900,1740,0
INFY.US,5,20131112,201500,52.6800,52.7000,52.6600,52.7000,4526,0
INFY.US,5,20131112,202000,52.6900,52.6900,52.6200,52.6600,21300,0
INFY.US,5,20131112,202500,52.6600,52.7100,52.6600,52.7100,3340,0
INFY.US,5,20131112,203000,52.7100,52.7200,52.6700,52.6700,3882,0
INFY.US,5,20131112,203500,52.6500,52.6800,52.6400,52.6800,4953,0
INFY.US,5,20131112,204000,52.6900,52.7100,52.6800,52.7100,5100,0
INFY.US,5,20131112,204500,52.7100,52.7200,52.6900,52.7200,5814,0
INFY.US,5,20131112,205000,52.7100,52.7400,52.7100,52.7400,4400,0
INFY.US,5,20131112,205500,52.7300,52.7300,52.6900,52.6900,10276,0
INFY.US,5,20131112,210000,52.6900,52.7400,52.6800,52.7100,11859,0
INFY.US,5,20131112,210500,52.7100,52.7500,52.7000,52.7000,12967,0
INFY.US,5,20131112,211000,52.7000,52.7300,52.7000,52.7000,3100,0
INFY.US,5,20131112,211500,52.7200,52.7600,52.7200,52.7500,4599,0
INFY.US,5,20131112,212000,52.7400,52.7900,52.7400,52.7600,8362,0
INFY.US,5,20131112,212500,52.7600,52.7900,52.7200,52.7200,10066,0
