<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INN-C.US,5,20131112,164000,22.6300,22.6300,22.6000,22.6000,1700,0
INN-C.US,5,20131112,175000,22.5100,22.5100,22.5000,22.5000,600,0
INN-C.US,5,20131112,175500,22.5000,22.5000,22.5000,22.5000,600,0
INN-C.US,5,20131112,192000,22.4400,22.4400,22.4400,22.4400,100,0
INN-C.US,5,20131112,194000,22.5100,22.5100,22.5100,22.5100,1000,0
INN-C.US,5,20131112,195500,22.5100,22.5100,22.5100,22.5100,1000,0
INN-C.US,5,20131112,200500,22.4600,22.5000,22.4600,22.5000,1900,0
INN-C.US,5,20131112,201000,22.4300,22.4300,22.4300,22.4300,1300,0
INN-C.US,5,20131112,202000,22.5100,22.5100,22.5100,22.5100,1000,0
INN-C.US,5,20131112,205000,22.6000,22.6000,22.6000,22.6000,100,0
INN-C.US,5,20131113,170500,22.1500,22.1500,22.1500,22.1500,400,0
INN-C.US,5,20131113,193500,22.1500,22.1500,22.1500,22.1500,800,0
INN-C.US,5,20131113,195500,22.1600,22.2000,22.1500,22.2000,722,0
INN-C.US,5,20131114,154500,22.0800,22.0800,22.0800,22.0800,200,0
INN-C.US,5,20131114,155500,22.0800,22.1200,22.0500,22.0900,1700,0
INN-C.US,5,20131114,181000,22.0700,22.0900,22.0500,22.0500,700,0
INN-C.US,5,20131114,183500,22.1000,22.1000,22.0600,22.0600,800,0
INN-C.US,5,20131114,200000,22.0600,22.0600,22.0600,22.0600,778,0
INN-C.US,5,20131114,203000,22.1000,22.2300,22.1000,22.2100,736,0
INN-C.US,5,20131114,214000,22.0600,22.0600,22.0500,22.0500,200,0
INN-C.US,5,20131114,220000,22.0600,22.0600,22.0600,22.0600,100,0
INN-C.US,5,20131115,160000,22.2100,22.2100,22.2100,22.2100,500,0
INN-C.US,5,20131115,184500,22.0600,22.0600,22.0600,22.0600,229,0
INN-C.US,5,20131115,205000,22.2300,22.2300,22.2000,22.2000,1100,0
INN-C.US,5,20131115,214500,22.0700,22.0700,22.0200,22.0200,1205,0
INN-C.US,5,20131115,215000,22.0200,22.0400,22.0200,22.0400,2000,0
INN-C.US,5,20131118,170000,22.0400,22.0400,21.9100,21.9100,1890,0
INN-C.US,5,20131118,170500,21.9100,21.9200,21.6300,21.8100,4450,0
INN-C.US,5,20131118,173500,22.0000,22.0000,22.0000,22.0000,750,0
INN-C.US,5,20131118,174000,21.9700,22.0000,21.9700,22.0000,600,0
INN-C.US,5,20131118,175000,22.0000,22.0000,22.0000,22.0000,795,0
INN-C.US,5,20131118,193000,22.2200,22.2200,22.2200,22.2200,500,0
INN-C.US,5,20131118,204000,22.2100,22.2100,22.2100,22.2100,450,0
