<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INXN.US,5,20131112,153500,23.6800,23.6900,23.5600,23.5600,879,0
INXN.US,5,20131112,154000,23.6100,23.6100,23.6000,23.6000,200,0
INXN.US,5,20131112,154500,23.6200,23.6200,23.5000,23.5000,1100,0
INXN.US,5,20131112,155000,23.5300,23.5300,23.5300,23.5300,100,0
INXN.US,5,20131112,155500,23.5300,23.5300,23.5100,23.5100,1200,0
INXN.US,5,20131112,160000,23.5000,23.5300,23.4400,23.4500,13725,0
INXN.US,5,20131112,160500,23.4400,23.4400,23.4400,23.4400,100,0
INXN.US,5,20131112,161000,23.4100,23.5100,23.4100,23.5100,800,0
INXN.US,5,20131112,161500,23.5100,23.5200,23.4600,23.4600,4600,0
INXN.US,5,20131112,162000,23.4300,23.4300,23.4300,23.4300,200,0
INXN.US,5,20131112,162500,23.4200,23.4200,23.4000,23.4000,1300,0
INXN.US,5,20131112,163000,23.4000,23.4000,23.3700,23.3900,1800,0
INXN.US,5,20131112,163500,23.3800,23.3900,23.3700,23.3700,800,0
INXN.US,5,20131112,164000,23.3700,23.3700,23.3400,23.3400,600,0
INXN.US,5,20131112,164500,23.3500,23.3800,23.3500,23.3800,800,0
INXN.US,5,20131112,165000,23.3800,23.4800,23.3800,23.4700,1100,0
INXN.US,5,20131112,165500,23.4700,23.4700,23.4400,23.4400,1000,0
INXN.US,5,20131112,170000,23.4400,23.4400,23.4000,23.4000,16400,0
INXN.US,5,20131112,170500,23.3800,23.3800,23.3800,23.3800,900,0
INXN.US,5,20131112,171000,23.3900,23.3900,23.3900,23.3900,100,0
INXN.US,5,20131112,171500,23.3800,23.4000,23.3800,23.3800,800,0
INXN.US,5,20131112,172000,23.3900,23.4000,23.3800,23.3900,2198,0
INXN.US,5,20131112,172500,23.3900,23.4200,23.3900,23.4200,1254,0
INXN.US,5,20131112,173000,23.4100,23.4200,23.3900,23.4000,2527,0
INXN.US,5,20131112,173500,23.4200,23.5000,23.4000,23.5000,14300,0
INXN.US,5,20131112,174000,23.5000,23.5000,23.4000,23.4100,5200,0
INXN.US,5,20131112,174500,23.4100,23.4100,23.4000,23.4000,700,0
INXN.US,5,20131112,175000,23.4100,23.4100,23.3500,23.3500,9974,0
INXN.US,5,20131112,175500,23.3400,23.3400,23.3400,23.3400,100,0
INXN.US,5,20131112,180000,23.3500,23.4100,23.3500,23.4100,2100,0
INXN.US,5,20131112,180500,23.3900,23.3900,23.3800,23.3800,600,0
INXN.US,5,20131112,181000,23.3900,23.4000,23.3300,23.3300,6215,0
INXN.US,5,20131112,181500,23.3700,23.3700,23.3100,23.3300,37608,0
