<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IR.US,5,20131112,153500,67.3000,67.3000,66.7900,66.9800,40210,0
IR.US,5,20131112,154000,67.0200,67.1600,66.8100,67.0400,47478,0
IR.US,5,20131112,154500,67.0500,67.0500,66.8500,66.8500,20750,0
IR.US,5,20131112,155000,66.8700,67.1000,66.8500,67.0800,25400,0
IR.US,5,20131112,155500,67.1000,67.3200,67.1000,67.2700,94740,0
IR.US,5,20131112,160000,67.2300,67.4700,67.2000,67.4500,8305,0
IR.US,5,20131112,160500,67.4500,67.4800,67.2000,67.2400,13510,0
IR.US,5,20131112,161000,67.2600,67.2600,67.0500,67.0600,58957,0
IR.US,5,20131112,161500,67.0900,67.1000,67.0200,67.0400,13004,0
IR.US,5,20131112,162000,67.0200,67.1100,66.9400,67.0600,75584,0
IR.US,5,20131112,162500,67.0600,67.0800,66.9800,67.0100,18377,0
IR.US,5,20131112,163000,67.0200,67.1200,66.9700,67.1200,10000,0
IR.US,5,20131112,163500,67.1100,67.1100,66.9800,67.0500,101381,0
IR.US,5,20131112,164000,67.0600,67.1200,67.0600,67.1000,49901,0
IR.US,5,20131112,164500,67.1000,67.1300,67.0700,67.1200,39952,0
IR.US,5,20131112,165000,67.1200,67.2400,67.0800,67.2100,22482,0
IR.US,5,20131112,165500,67.2000,67.3100,67.1900,67.3100,30039,0
IR.US,5,20131112,170000,67.3200,67.3600,67.2600,67.3400,35144,0
IR.US,5,20131112,170500,67.3300,67.3500,67.2400,67.3200,16997,0
IR.US,5,20131112,171000,67.3100,67.3300,67.1900,67.2000,9200,0
IR.US,5,20131112,171500,67.2100,67.4000,67.2100,67.4000,15305,0
IR.US,5,20131112,172000,67.4100,67.5400,67.3500,67.4700,44470,0
IR.US,5,20131112,172500,67.4600,67.6100,67.4500,67.5900,21481,0
IR.US,5,20131112,173000,67.5800,67.6000,67.4900,67.5300,24600,0
IR.US,5,20131112,173500,67.5400,67.6100,67.5100,67.5900,34458,0
IR.US,5,20131112,174000,67.5700,67.5800,67.4000,67.4000,32946,0
IR.US,5,20131112,174500,67.3900,67.4700,67.3900,67.4100,15000,0
IR.US,5,20131112,175000,67.4100,67.4300,67.3700,67.4100,24740,0
IR.US,5,20131112,175500,67.4100,67.4900,67.4000,67.4700,21951,0
IR.US,5,20131112,180000,67.4700,67.4700,67.2800,67.3000,21934,0
IR.US,5,20131112,180500,67.3400,67.4000,67.3300,67.3400,7133,0
IR.US,5,20131112,181000,67.3300,67.3300,67.2000,67.2200,9057,0
IR.US,5,20131112,181500,67.2300,67.3400,67.2200,67.3300,10322,0
IR.US,5,20131112,182000,67.3300,67.4200,67.2800,67.3800,10500,0
IR.US,5,20131112,182500,67.3800,67.3800,67.2800,67.3300,7998,0
IR.US,5,20131112,183000,67.3400,67.3500,67.2800,67.3100,8525,0
IR.US,5,20131112,183500,67.3100,67.4400,67.3100,67.4400,18433,0
IR.US,5,20131112,184000,67.4500,67.4600,67.3600,67.4200,10130,0
IR.US,5,20131112,184500,67.4200,67.5100,67.4100,67.5100,15722,0
IR.US,5,20131112,185000,67.5200,67.5400,67.4900,67.5200,5402,0
IR.US,5,20131112,185500,67.5300,67.5500,67.4400,67.4600,14400,0
IR.US,5,20131112,190000,67.4600,67.4700,67.4100,67.4300,7818,0
IR.US,5,20131112,190500,67.4300,67.4400,67.2600,67.2600,24584,0
IR.US,5,20131112,191000,67.2900,67.3300,67.2800,67.3200,31986,0
IR.US,5,20131112,191500,67.3300,67.3300,67.2600,67.2800,28577,0
IR.US,5,20131112,192000,67.2700,67.2700,67.2200,67.2200,15512,0
IR.US,5,20131112,192500,67.2200,67.2500,67.1300,67.1300,32585,0
IR.US,5,20131112,193000,67.1500,67.1800,67.0200,67.0200,30107,0
IR.US,5,20131112,193500,67.0300,67.0300,66.7500,66.7600,41575,0
IR.US,5,20131112,194000,66.7700,67.0100,66.7600,66.9600,29597,0
IR.US,5,20131112,194500,66.9700,67.0100,66.9500,67.0100,18586,0
IR.US,5,20131112,195000,67.0000,67.0100,66.9700,67.0000,16701,0
IR.US,5,20131112,195500,66.9900,67.0500,66.9900,67.0500,14894,0
IR.US,5,20131112,200000,67.0500,67.1000,67.0000,67.0100,22956,0
IR.US,5,20131112,200500,66.9900,67.0200,66.9800,66.9900,16785,0
IR.US,5,20131112,201000,66.9900,67.0600,66.9800,67.0600,11579,0
IR.US,5,20131112,201500,67.0700,67.1100,67.0700,67.0900,6909,0
IR.US,5,20131112,202000,67.1000,67.1700,67.0900,67.1700,15327,0
IR.US,5,20131112,202500,67.1800,67.2100,67.1800,67.2000,211003,0
IR.US,5,20131112,203000,67.2100,67.2300,67.1900,67.2200,17215,0
