<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITG.US,5,20131112,153500,18.1900,18.1900,18.1900,18.1900,200,0
ITG.US,5,20131112,154000,18.3100,18.3300,18.2400,18.2600,2040,0
ITG.US,5,20131112,154500,18.2400,18.2700,18.2400,18.2600,500,0
ITG.US,5,20131112,155000,18.2500,18.4600,18.2300,18.3900,22654,0
ITG.US,5,20131112,160000,18.4200,18.5600,18.4200,18.5100,1200,0
ITG.US,5,20131112,160500,18.6000,18.6200,18.4900,18.5400,3670,0
ITG.US,5,20131112,161000,18.5400,18.5800,18.4900,18.5800,2622,0
ITG.US,5,20131112,161500,18.5800,18.5900,18.5600,18.5600,500,0
ITG.US,5,20131112,162000,18.5500,18.5500,18.5500,18.5500,100,0
ITG.US,5,20131112,162500,18.5800,18.6000,18.5500,18.5500,3800,0
ITG.US,5,20131112,163000,18.5500,18.5700,18.5500,18.5600,1770,0
ITG.US,5,20131112,163500,18.5700,18.5700,18.5500,18.5600,1627,0
ITG.US,5,20131112,164000,18.5700,18.5900,18.5700,18.5900,876,0
ITG.US,5,20131112,165000,18.5800,18.5800,18.5700,18.5700,200,0
ITG.US,5,20131112,170000,18.5500,18.5600,18.5500,18.5500,2585,0
ITG.US,5,20131112,170500,18.5500,18.5500,18.5500,18.5500,1200,0
ITG.US,5,20131112,171000,18.5500,18.5600,18.4400,18.4400,2151,0
ITG.US,5,20131112,172000,18.4400,18.5000,18.4400,18.5000,700,0
ITG.US,5,20131112,172500,18.5000,18.5300,18.5000,18.5300,300,0
ITG.US,5,20131112,173000,18.5500,18.5500,18.5500,18.5500,200,0
ITG.US,5,20131112,173500,18.5600,18.5600,18.4800,18.4900,2700,0
ITG.US,5,20131112,174000,18.4900,18.5000,18.4500,18.4500,5000,0
ITG.US,5,20131112,174500,18.4500,18.4500,18.4500,18.4500,300,0
ITG.US,5,20131112,175000,18.4500,18.4500,18.4500,18.4500,800,0
ITG.US,5,20131112,175500,18.4500,18.4500,18.4500,18.4500,797,0
ITG.US,5,20131112,180000,18.4600,18.4600,18.4600,18.4600,200,0
ITG.US,5,20131112,180500,18.4700,18.4900,18.4600,18.4900,2111,0
ITG.US,5,20131112,181000,18.4900,18.4900,18.4500,18.4500,2500,0
ITG.US,5,20131112,182500,18.4600,18.4800,18.4600,18.4800,1300,0
ITG.US,5,20131112,183000,18.4900,18.4900,18.4800,18.4800,200,0
ITG.US,5,20131112,183500,18.5000,18.5000,18.4700,18.4700,900,0
ITG.US,5,20131112,184000,18.4700,18.4700,18.4700,18.4700,400,0
ITG.US,5,20131112,184500,18.4600,18.4700,18.4600,18.4700,600,0
ITG.US,5,20131112,185500,18.4800,18.4800,18.4700,18.4700,500,0
ITG.US,5,20131112,190000,18.4800,18.4900,18.4700,18.4700,1300,0
ITG.US,5,20131112,190500,18.4600,18.4600,18.4500,18.4500,1200,0
ITG.US,5,20131112,191000,18.4500,18.4500,18.4500,18.4500,400,0
ITG.US,5,20131112,191500,18.4600,18.4900,18.4600,18.4900,5354,0
ITG.US,5,20131112,192000,18.4800,18.4800,18.4500,18.4600,1900,0
ITG.US,5,20131112,192500,18.4700,18.4900,18.4600,18.4600,1200,0
ITG.US,5,20131112,194500,18.4200,18.4200,18.3800,18.3900,1200,0
ITG.US,5,20131112,195500,18.4000,18.4300,18.4000,18.4300,400,0
ITG.US,5,20131112,200000,18.4100,18.4100,18.4000,18.4000,600,0
ITG.US,5,20131112,200500,18.3800,18.3900,18.3800,18.3900,300,0
ITG.US,5,20131112,201500,18.3900,18.4000,18.3800,18.3800,300,0
ITG.US,5,20131112,202000,18.3900,18.4100,18.3900,18.4100,400,0
ITG.US,5,20131112,202500,18.4100,18.4200,18.4100,18.4200,300,0
ITG.US,5,20131112,203000,18.4100,18.4200,18.4100,18.4100,1200,0
ITG.US,5,20131112,203500,18.4200,18.4200,18.4200,18.4200,100,0
ITG.US,5,20131112,204000,18.4300,18.4300,18.4200,18.4300,700,0
ITG.US,5,20131112,204500,18.4500,18.4500,18.4500,18.4500,1700,0
ITG.US,5,20131112,205000,18.4500,18.4500,18.4400,18.4500,1600,0
ITG.US,5,20131112,205500,18.4500,18.4500,18.4500,18.4500,100,0
ITG.US,5,20131112,210000,18.4500,18.5200,18.4500,18.5100,2500,0
ITG.US,5,20131112,210500,18.4700,18.4700,18.4500,18.4600,1200,0
ITG.US,5,20131112,211000,18.4600,18.4700,18.4500,18.4500,1100,0
ITG.US,5,20131112,211500,18.4500,18.4500,18.4400,18.4400,900,0
ITG.US,5,20131112,212000,18.4300,18.4500,18.4300,18.4500,500,0
ITG.US,5,20131112,212500,18.4600,18.4600,18.4400,18.4500,1300,0
ITG.US,5,20131112,213500,18.4500,18.4500,18.4500,18.4500,300,0
ITG.US,5,20131112,214000,18.4600,18.4600,18.4500,18.4500,200,0
ITG.US,5,20131112,214500,18.4500,18.4800,18.4500,18.4800,2402,0
ITG.US,5,20131112,215000,18.4900,18.5000,18.4900,18.4900,5000,0
ITG.US,5,20131112,215500,18.4900,18.5100,18.4700,18.5000,9382,0
ITG.US,5,20131112,220000,18.5100,18.5200,18.5000,18.5100,7822,0
ITG.US,5,20131112,220500,18.5200,18.5200,18.5200,18.5200,10894,0
ITG.US,5,20131113,153500,18.3600,18.3800,18.3500,18.3800,900,0
ITG.US,5,20131113,154000,18.3900,18.3900,18.3700,18.3700,404,0
ITG.US,5,20131113,154500,18.3600,18.4600,18.3600,18.3700,21399,0
ITG.US,5,20131113,155000,18.3700,18.4000,18.3500,18.3500,19200,0
ITG.US,5,20131113,155500,18.3700,18.3700,18.2400,18.2400,3823,0
ITG.US,5,20131113,160000,18.2400,18.3100,18.1900,18.3100,3029,0
ITG.US,5,20131113,160500,18.3300,18.4000,18.3200,18.3700,2150,0
ITG.US,5,20131113,161000,18.3900,18.4100,18.3700,18.3900,2000,0
ITG.US,5,20131113,162000,18.4000,18.4500,18.4000,18.4000,6443,0
ITG.US,5,20131113,162500,18.4400,18.4400,18.4300,18.4300,428,0
ITG.US,5,20131113,163000,18.4500,18.4500,18.3800,18.4100,3700,0
ITG.US,5,20131113,163500,18.4200,18.4200,18.4200,18.4200,100,0
ITG.US,5,20131113,164500,18.4200,18.4700,18.4200,18.4600,500,0
ITG.US,5,20131113,165500,18.4600,18.4600,18.3600,18.3600,900,0
ITG.US,5,20131113,170000,18.3400,18.3400,18.3400,18.3400,100,0
ITG.US,5,20131113,170500,18.3300,18.3300,18.3300,18.3300,100,0
ITG.US,5,20131113,171000,18.3600,18.3600,18.3500,18.3500,200,0
ITG.US,5,20131113,171500,18.3600,18.3600,18.3500,18.3500,200,0
ITG.US,5,20131113,172000,18.2900,18.2900,18.2900,18.2900,100,0
ITG.US,5,20131113,172500,18.3300,18.3300,18.3300,18.3300,200,0
ITG.US,5,20131113,173000,18.3000,18.3000,18.3000,18.3000,400,0
ITG.US,5,20131113,173500,18.3200,18.3600,18.3200,18.3400,1200,0
ITG.US,5,20131113,174000,18.3500,18.3500,18.3400,18.3400,400,0
ITG.US,5,20131113,174500,18.3400,18.3400,18.3400,18.3400,200,0
ITG.US,5,20131113,175000,18.3300,18.3600,18.3300,18.3600,500,0
ITG.US,5,20131113,175500,18.3700,18.4000,18.3700,18.4000,300,0
ITG.US,5,20131113,180000,18.3900,18.3900,18.3900,18.3900,500,0
ITG.US,5,20131113,180500,18.3900,18.4000,18.3400,18.3400,1100,0
ITG.US,5,20131113,181000,18.3600,18.3600,18.3600,18.3600,100,0
ITG.US,5,20131113,182500,18.3600,18.3600,18.3000,18.3400,2579,0
ITG.US,5,20131113,183000,18.3500,18.3500,18.3400,18.3400,200,0
ITG.US,5,20131113,183500,18.3600,18.3600,18.3500,18.3500,472,0
ITG.US,5,20131113,184000,18.3800,18.4000,18.3700,18.3700,3900,0
ITG.US,5,20131113,184500,18.3900,18.4700,18.3900,18.4700,5300,0
ITG.US,5,20131113,185000,18.4800,18.5400,18.4700,18.5400,1500,0
ITG.US,5,20131113,185500,18.5400,18.5700,18.5200,18.5500,1600,0
ITG.US,5,20131113,190000,18.5500,18.6100,18.5500,18.6100,700,0
ITG.US,5,20131113,190500,18.6100,18.6600,18.6100,18.6600,1500,0
ITG.US,5,20131113,191000,18.6500,18.6500,18.6100,18.6100,1600,0
ITG.US,5,20131113,191500,18.6500,18.6500,18.6000,18.6100,1368,0
ITG.US,5,20131113,192000,18.6000,18.6100,18.6000,18.6100,300,0
ITG.US,5,20131113,192500,18.6400,18.6700,18.6300,18.6400,2000,0
ITG.US,5,20131113,193000,18.6500,18.6800,18.6500,18.6800,300,0
ITG.US,5,20131113,193500,18.6900,18.6900,18.6600,18.6600,4040,0
ITG.US,5,20131113,194000,18.6600,18.6700,18.6600,18.6700,900,0
ITG.US,5,20131113,194500,18.6700,18.6700,18.6500,18.6500,1800,0
ITG.US,5,20131113,195000,18.6500,18.6600,18.6400,18.6500,1700,0
ITG.US,5,20131113,200500,18.6400,18.6500,18.6100,18.6100,3817,0
ITG.US,5,20131113,201000,18.6000,18.6100,18.5700,18.6000,2500,0
ITG.US,5,20131113,202000,18.5700,18.5700,18.5700,18.5700,200,0
ITG.US,5,20131113,202500,18.6000,18.6200,18.5800,18.5900,734,0
ITG.US,5,20131113,203000,18.5900,18.5900,18.5600,18.5600,800,0
ITG.US,5,20131113,203500,18.5700,18.5700,18.5600,18.5700,1100,0
ITG.US,5,20131113,204500,18.5600,18.5600,18.5300,18.5400,700,0
ITG.US,5,20131113,205000,18.5800,18.5800,18.5800,18.5800,100,0
ITG.US,5,20131113,205500,18.5500,18.5700,18.5500,18.5700,800,0
ITG.US,5,20131113,210000,18.5700,18.5800,18.5200,18.5400,4100,0
ITG.US,5,20131113,210500,18.5300,18.5300,18.5200,18.5200,800,0
ITG.US,5,20131113,211500,18.5400,18.5600,18.5200,18.5600,1600,0
ITG.US,5,20131113,212000,18.5700,18.5700,18.5700,18.5700,1000,0
ITG.US,5,20131113,212500,18.5600,18.5800,18.5600,18.5700,1000,0
ITG.US,5,20131113,213000,18.5800,18.6000,18.5800,18.6000,700,0
ITG.US,5,20131113,213500,18.6100,18.6300,18.5700,18.6000,8965,0
ITG.US,5,20131113,214000,18.6000,18.6200,18.5800,18.6200,1700,0
ITG.US,5,20131113,214500,18.6100,18.6600,18.6100,18.6600,1288,0
ITG.US,5,20131113,215000,18.6500,18.6600,18.6400,18.6400,5100,0
ITG.US,5,20131113,215500,18.6400,18.6400,18.6300,18.6300,1500,0
ITG.US,5,20131113,220000,18.6400,18.6500,18.6200,18.6300,12636,0
ITG.US,5,20131113,220500,18.6300,18.6300,18.6300,18.6300,25200,0
ITG.US,5,20131114,153500,18.6500,18.6500,18.6500,18.6500,1121,0
ITG.US,5,20131114,154000,18.6500,18.8600,18.6400,18.8400,10132,0
ITG.US,5,20131114,154500,18.8400,18.8400,18.6300,18.6300,19329,0
ITG.US,5,20131114,155000,18.5900,18.6400,18.5900,18.6400,5700,0
ITG.US,5,20131114,155500,18.6700,18.7100,18.6700,18.6800,23612,0
ITG.US,5,20131114,160000,18.6800,18.7100,18.6800,18.7000,700,0
ITG.US,5,20131114,160500,18.6400,18.6400,18.6200,18.6200,1800,0
ITG.US,5,20131114,161000,18.5400,18.5400,18.5000,18.5000,600,0
ITG.US,5,20131114,161500,18.5500,18.5800,18.5100,18.5800,600,0
ITG.US,5,20131114,162000,18.5400,18.5600,18.5400,18.5600,316,0
ITG.US,5,20131114,162500,18.5700,18.5700,18.5300,18.5500,1100,0
ITG.US,5,20131114,163000,18.5900,18.5900,18.4900,18.4900,1300,0
ITG.US,5,20131114,163500,18.5000,18.5200,18.5000,18.5000,700,0
ITG.US,5,20131114,164000,18.4800,18.4900,18.4800,18.4900,700,0
ITG.US,5,20131114,165000,18.5100,18.5600,18.5100,18.5500,800,0
ITG.US,5,20131114,165500,18.5400,18.5500,18.5400,18.5400,1700,0
ITG.US,5,20131114,170000,18.5300,18.5300,18.5100,18.5100,1800,0
ITG.US,5,20131114,170500,18.5100,18.5100,18.4600,18.4700,2083,0
ITG.US,5,20131114,171000,18.4600,18.4800,18.4500,18.4800,1700,0
ITG.US,5,20131114,171500,18.4800,18.4800,18.4800,18.4800,1050,0
ITG.US,5,20131114,172000,18.4700,18.4700,18.4700,18.4700,100,0
ITG.US,5,20131114,172500,18.4800,18.4800,18.4800,18.4800,100,0
ITG.US,5,20131114,173000,18.4600,18.4600,18.4100,18.4100,1200,0
ITG.US,5,20131114,173500,18.4100,18.4200,18.4100,18.4200,300,0
ITG.US,5,20131114,174000,18.4100,18.4100,18.4100,18.4100,100,0
ITG.US,5,20131114,174500,18.3800,18.3800,18.3600,18.3700,1200,0
ITG.US,5,20131114,175000,18.3500,18.3900,18.3400,18.3900,1000,0
ITG.US,5,20131114,175500,18.3800,18.3800,18.3700,18.3700,1400,0
ITG.US,5,20131114,180000,18.3700,18.3900,18.3700,18.3800,1602,0
ITG.US,5,20131114,180500,18.3700,18.3700,18.3600,18.3600,200,0
ITG.US,5,20131114,181000,18.3600,18.3600,18.3300,18.3300,3200,0
ITG.US,5,20131114,181500,18.3300,18.3300,18.3300,18.3300,1500,0
ITG.US,5,20131114,182000,18.3300,18.3300,18.2900,18.2900,2400,0
ITG.US,5,20131114,182500,18.2900,18.2900,18.1700,18.2500,5282,0
ITG.US,5,20131114,183000,18.2500,18.2500,18.2100,18.2300,1300,0
ITG.US,5,20131114,183500,18.2500,18.3000,18.2500,18.3000,1500,0
ITG.US,5,20131114,184000,18.2900,18.2900,18.2900,18.2900,100,0
ITG.US,5,20131114,184500,18.2900,18.2900,18.2800,18.2800,1700,0
ITG.US,5,20131114,185000,18.2700,18.2700,18.2600,18.2600,1800,0
ITG.US,5,20131114,185500,18.2700,18.2700,18.2300,18.2700,8600,0
ITG.US,5,20131114,190000,18.2600,18.2600,18.2500,18.2500,1400,0
ITG.US,5,20131114,190500,18.2200,18.2200,18.2000,18.2000,700,0
ITG.US,5,20131114,191000,18.1900,18.2000,18.1900,18.2000,600,0
ITG.US,5,20131114,191500,18.2000,18.2500,18.2000,18.2100,2800,0
ITG.US,5,20131114,192000,18.2100,18.2200,18.2100,18.2200,800,0
ITG.US,5,20131114,192500,18.2100,18.2100,18.2000,18.2000,700,0
ITG.US,5,20131114,193000,18.1900,18.1900,18.1800,18.1800,1121,0
ITG.US,5,20131114,193500,18.1700,18.2200,18.1600,18.2100,2393,0
ITG.US,5,20131114,194000,18.2100,18.2400,18.2100,18.2300,2800,0
ITG.US,5,20131114,194500,18.2400,18.2700,18.2400,18.2700,2100,0
ITG.US,5,20131114,195000,18.2600,18.2700,18.2500,18.2700,2808,0
ITG.US,5,20131114,195500,18.2600,18.2600,18.2600,18.2600,700,0
ITG.US,5,20131114,200000,18.2600,18.3400,18.2600,18.3400,6573,0
ITG.US,5,20131114,200500,18.3300,18.3700,18.3300,18.3700,983,0
ITG.US,5,20131114,201000,18.3800,18.3800,18.3700,18.3700,200,0
ITG.US,5,20131114,201500,18.3700,18.3800,18.3400,18.3800,1746,0
ITG.US,5,20131114,202000,18.3800,18.4300,18.3700,18.4300,3748,0
ITG.US,5,20131114,202500,18.4200,18.4300,18.4200,18.4200,800,0
ITG.US,5,20131114,203000,18.4200,18.4300,18.3900,18.3900,1500,0
ITG.US,5,20131114,203500,18.3900,18.3900,18.3500,18.3800,1834,0
ITG.US,5,20131114,204000,18.3900,18.4200,18.3600,18.3600,1000,0
ITG.US,5,20131114,204500,18.3600,18.3600,18.3400,18.3400,900,0
ITG.US,5,20131114,205000,18.3400,18.3600,18.3400,18.3600,1119,0
ITG.US,5,20131114,205500,18.3500,18.3600,18.3500,18.3500,400,0
ITG.US,5,20131114,210000,18.3600,18.3600,18.3500,18.3500,1197,0
ITG.US,5,20131114,210500,18.3300,18.3400,18.3300,18.3400,1800,0
ITG.US,5,20131114,211000,18.3400,18.3500,18.3400,18.3400,500,0
ITG.US,5,20131114,211500,18.3500,18.4000,18.3400,18.3700,4367,0
ITG.US,5,20131114,212000,18.3600,18.3900,18.3600,18.3900,3267,0
ITG.US,5,20131114,212500,18.3900,18.3900,18.3900,18.3900,1214,0
ITG.US,5,20131114,213000,18.3800,18.3900,18.3800,18.3800,1600,0
ITG.US,5,20131114,213500,18.3700,18.3700,18.3200,18.3200,3500,0
ITG.US,5,20131114,214000,18.3300,18.3500,18.3200,18.3400,2700,0
ITG.US,5,20131114,214500,18.3400,18.3500,18.3400,18.3400,1731,0
ITG.US,5,20131114,215000,18.3500,18.3700,18.3500,18.3600,4800,0
