<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVR.US,5,20131112,153500,14.5000,14.5300,14.4100,14.5300,43693,0
IVR.US,5,20131112,154000,14.5100,14.5900,14.5100,14.5700,24424,0
IVR.US,5,20131112,154500,14.5800,14.5900,14.5500,14.5800,14869,0
IVR.US,5,20131112,155000,14.5900,14.5900,14.5300,14.5500,8917,0
IVR.US,5,20131112,155500,14.5600,14.6000,14.5500,14.6000,6151,0
IVR.US,5,20131112,160000,14.6000,14.6000,14.5600,14.5600,23578,0
IVR.US,5,20131112,160500,14.5700,14.5900,14.5700,14.5700,16081,0
IVR.US,5,20131112,161000,14.5700,14.6200,14.5700,14.6100,14664,0
IVR.US,5,20131112,161500,14.6100,14.6700,14.6100,14.6500,24386,0
IVR.US,5,20131112,162000,14.6400,14.6400,14.6100,14.6300,23475,0
IVR.US,5,20131112,162500,14.6200,14.6200,14.6000,14.6100,13704,0
IVR.US,5,20131112,163000,14.6100,14.6400,14.6000,14.6300,12404,0
IVR.US,5,20131112,163500,14.6300,14.6400,14.6300,14.6300,1950,0
IVR.US,5,20131112,164000,14.6300,14.6500,14.6300,14.6300,9596,0
IVR.US,5,20131112,164500,14.6200,14.6300,14.6000,14.6000,9400,0
IVR.US,5,20131112,165000,14.6000,14.6100,14.5500,14.6000,21093,0
IVR.US,5,20131112,165500,14.6100,14.6100,14.5800,14.6000,12866,0
IVR.US,5,20131112,170000,14.6000,14.6300,14.5900,14.6200,25122,0
IVR.US,5,20131112,170500,14.6200,14.6200,14.5800,14.6100,43268,0
IVR.US,5,20131112,171000,14.6100,14.6200,14.6100,14.6100,11671,0
IVR.US,5,20131112,171500,14.6200,14.6400,14.6000,14.6400,21339,0
IVR.US,5,20131112,172000,14.6400,14.6400,14.6300,14.6400,13069,0
IVR.US,5,20131112,172500,14.6400,14.6400,14.6100,14.6300,14759,0
IVR.US,5,20131112,173000,14.6300,14.6500,14.6300,14.6300,19944,0
IVR.US,5,20131112,173500,14.6300,14.6300,14.6100,14.6300,10121,0
IVR.US,5,20131112,174000,14.6300,14.6400,14.6200,14.6200,24527,0
IVR.US,5,20131112,174500,14.6200,14.6400,14.6100,14.6200,16742,0
IVR.US,5,20131112,175000,14.6200,14.6300,14.6000,14.6000,3900,0
IVR.US,5,20131112,175500,14.6000,14.6400,14.6000,14.6300,17976,0
IVR.US,5,20131112,180000,14.6300,14.6300,14.5900,14.6000,9499,0
IVR.US,5,20131112,180500,14.6000,14.6100,14.5900,14.6000,16564,0
IVR.US,5,20131112,181000,14.6100,14.6100,14.5700,14.5700,8391,0
IVR.US,5,20131112,181500,14.5700,14.5800,14.5700,14.5700,7382,0
IVR.US,5,20131112,182000,14.5800,14.5800,14.5600,14.5700,20938,0
IVR.US,5,20131112,182500,14.5700,14.5800,14.5500,14.5600,15465,0
IVR.US,5,20131112,183000,14.5600,14.5900,14.5500,14.5800,29112,0
IVR.US,5,20131112,183500,14.5800,14.5900,14.5700,14.5800,12440,0
IVR.US,5,20131112,184000,14.5900,14.5900,14.5600,14.5600,14296,0
IVR.US,5,20131112,184500,14.5600,14.5700,14.5400,14.5500,15777,0
IVR.US,5,20131112,185000,14.5500,14.5800,14.5300,14.5700,30413,0
IVR.US,5,20131112,185500,14.5700,14.5800,14.5400,14.5400,27136,0
IVR.US,5,20131112,190000,14.5500,14.5600,14.5100,14.5200,17996,0
IVR.US,5,20131112,190500,14.5200,14.5600,14.5100,14.5600,19687,0
IVR.US,5,20131112,191000,14.5600,14.5600,14.5500,14.5500,6300,0
IVR.US,5,20131112,191500,14.5500,14.5600,14.5400,14.5500,10068,0
IVR.US,5,20131112,192000,14.5500,14.5600,14.5300,14.5400,12095,0
IVR.US,5,20131112,192500,14.5400,14.5500,14.5400,14.5500,6870,0
IVR.US,5,20131112,193000,14.5500,14.5500,14.5400,14.5400,10519,0
IVR.US,5,20131112,193500,14.5300,14.5500,14.5100,14.5100,24298,0
IVR.US,5,20131112,194000,14.5100,14.5300,14.5000,14.5300,31839,0
IVR.US,5,20131112,194500,14.5300,14.5400,14.5200,14.5200,15608,0
IVR.US,5,20131112,195000,14.5300,14.5400,14.5200,14.5400,11338,0
IVR.US,5,20131112,195500,14.5400,14.5600,14.5300,14.5500,20596,0
IVR.US,5,20131112,200000,14.5500,14.5900,14.5500,14.5800,12222,0
IVR.US,5,20131112,200500,14.5800,14.5900,14.5600,14.5700,22201,0
IVR.US,5,20131112,201000,14.5800,14.6000,14.5800,14.6000,6987,0
IVR.US,5,20131112,201500,14.6000,14.6200,14.5900,14.6000,9668,0
IVR.US,5,20131112,202000,14.6000,14.6000,14.5800,14.6000,6854,0
IVR.US,5,20131112,202500,14.6000,14.6100,14.5700,14.6000,19895,0
IVR.US,5,20131112,203000,14.6000,14.6100,14.5800,14.6000,15819,0
IVR.US,5,20131112,203500,14.6100,14.6200,14.6000,14.6000,9245,0
IVR.US,5,20131112,204000,14.6100,14.6100,14.6000,14.6100,71900,0
IVR.US,5,20131112,204500,14.6000,14.6100,14.5800,14.6000,19138,0
IVR.US,5,20131112,205000,14.6000,14.6100,14.5900,14.6100,8414,0
IVR.US,5,20131112,205500,14.6100,14.6300,14.6000,14.6300,15726,0
IVR.US,5,20131112,210000,14.6300,14.6700,14.6300,14.6500,31749,0
IVR.US,5,20131112,210500,14.6600,14.6900,14.6500,14.6800,27786,0
IVR.US,5,20131112,211000,14.6800,14.6800,14.6700,14.6800,3134,0
