<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JBI.US,5,20131112,194000,25.7700,25.7700,25.7500,25.7500,500,0
JBI.US,5,20131113,190500,25.7700,25.7700,25.7700,25.7700,200,0
JBI.US,5,20131113,192000,26.1500,26.1500,25.7700,25.7700,585,0
JBI.US,5,20131114,155500,26.2200,26.2200,26.1500,26.1500,1000,0
JBI.US,5,20131115,153500,25.8300,25.8300,25.8300,25.8300,100,0
JBI.US,5,20131118,154000,25.8100,25.8100,25.8100,25.8100,200,0
JBI.US,5,20131119,154500,25.8600,25.8600,25.8600,25.8600,200,0
JBI.US,5,20131119,170000,25.8100,25.8100,25.8100,25.8100,100,0
JBI.US,5,20131120,153500,25.8600,25.8600,25.8600,25.8600,100,0
JBI.US,5,20131120,192500,26.0800,26.1100,26.0800,26.0800,1000,0
JBI.US,5,20131120,201500,25.8800,25.8800,25.8800,25.8800,300,0
JBI.US,5,20131121,180000,26.0600,26.0600,26.0600,26.0600,400,0
JBI.US,5,20131122,154000,25.8200,25.8200,25.7900,25.7900,200,0
JBI.US,5,20131122,200000,25.9400,25.9700,25.9400,25.9700,800,0
JBI.US,5,20131125,165500,25.9900,25.9900,25.9900,25.9900,100,0
JBI.US,5,20131125,170000,25.9900,25.9900,25.9900,25.9900,100,0
JBI.US,5,20131126,183500,26.1200,26.1200,26.1200,26.1200,100,0
JBI.US,5,20131127,155000,26.0000,26.0000,26.0000,26.0000,200,0
JBI.US,5,20131127,165500,26.1300,26.1300,26.1300,26.1300,400,0
JBI.US,5,20131202,205500,26.1500,26.1500,26.1000,26.1000,1100,0
JBI.US,5,20131202,210000,26.0000,26.0000,26.0000,26.0000,200,0
JBI.US,5,20131203,164000,25.7600,25.7600,25.7100,25.7100,212,0
JBI.US,5,20131203,171000,25.9400,25.9400,25.9400,25.9400,200,0
JBI.US,5,20131203,180000,25.9400,25.9400,25.9400,25.9400,500,0
JBI.US,5,20131204,200000,25.8400,25.8400,25.8400,25.8400,300,0
JBI.US,5,20131205,174500,25.8600,25.8600,25.8600,25.8600,164,0
JBI.US,5,20131205,205000,25.8600,25.8600,25.8600,25.8600,100,0
JBI.US,5,20131205,210000,25.8800,25.8800,25.8700,25.8700,291,0
JBI.US,5,20131205,215500,25.8600,25.8600,25.8600,25.8600,900,0
JBI.US,5,20131205,220000,25.9800,25.9800,25.9800,25.9800,100,0
JBI.US,5,20131206,220000,25.9500,25.9500,25.9500,25.9500,200,0
JBI.US,5,20131209,163500,25.9800,25.9900,25.9800,25.9900,1000,0
