<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JBJ.US,5,20131112,172000,24.7700,24.7700,24.7700,24.7700,208,0
JBJ.US,5,20131112,180000,24.7600,24.7600,24.7600,24.7600,133,0
JBJ.US,5,20131112,180500,24.7600,24.7600,24.7600,24.7600,100,0
JBJ.US,5,20131112,220000,24.7900,24.7900,24.7900,24.7900,182,0
JBJ.US,5,20131114,200500,24.7500,24.7500,24.7500,24.7500,160,0
JBJ.US,5,20131115,155000,24.8800,24.8800,24.8800,24.8800,100,0
JBJ.US,5,20131118,160500,24.8900,24.8900,24.8900,24.8900,100,0
JBJ.US,5,20131118,163000,24.9000,24.9000,24.9000,24.9000,200,0
JBJ.US,5,20131118,164000,24.9000,24.9000,24.9000,24.9000,1200,0
JBJ.US,5,20131118,174500,24.8900,24.9000,24.8900,24.9000,300,0
JBJ.US,5,20131118,200500,24.8900,24.8900,24.7500,24.7500,1500,0
JBJ.US,5,20131118,212500,24.8500,24.8500,24.8500,24.8500,114,0
JBJ.US,5,20131119,181500,24.9200,24.9200,24.9200,24.9200,800,0
JBJ.US,5,20131120,155500,24.9000,24.9000,24.9000,24.9000,220,0
JBJ.US,5,20131121,163500,25.1000,25.1000,25.1000,25.1000,1000,0
JBJ.US,5,20131121,182500,25.1000,25.1000,25.1000,25.1000,356,0
JBJ.US,5,20131121,194000,25.1500,25.1600,25.1500,25.1600,2337,0
JBJ.US,5,20131121,211000,25.1600,25.1600,25.1500,25.1500,1000,0
JBJ.US,5,20131121,213500,25.1800,25.1800,25.1500,25.1500,674,0
JBJ.US,5,20131121,214500,25.1100,25.1100,25.1100,25.1100,1216,0
JBJ.US,5,20131122,180500,25.6000,25.6000,25.6000,25.6000,200,0
JBJ.US,5,20131126,215500,25.1500,25.1500,25.1500,25.1500,889,0
JBJ.US,5,20131127,155000,24.9700,24.9700,24.9700,24.9700,111,0
JBJ.US,5,20131127,215500,24.9800,24.9800,24.9800,24.9800,100,0
JBJ.US,5,20131202,190500,25.0700,25.0700,25.0700,25.0700,200,0
JBJ.US,5,20131202,201500,25.0600,25.0600,25.0600,25.0600,159,0
JBJ.US,5,20131202,202000,25.0800,25.0800,25.0600,25.0600,398,0
JBJ.US,5,20131202,202500,25.0800,25.0800,25.0800,25.0800,300,0
JBJ.US,5,20131202,203000,25.0800,25.0800,25.0800,25.0800,300,0
JBJ.US,5,20131204,160000,24.9100,24.9100,24.9100,24.9100,100,0
JBJ.US,5,20131204,175000,25.0000,25.0000,25.0000,25.0000,100,0
JBJ.US,5,20131204,185000,24.9500,24.9500,24.9500,24.9500,445,0
JBJ.US,5,20131204,205500,24.9700,24.9700,24.9700,24.9700,152,0
JBJ.US,5,20131205,163500,25.2900,25.2900,25.2900,25.2900,250,0
JBJ.US,5,20131205,164000,25.2900,25.2900,25.2900,25.2900,400,0
JBJ.US,5,20131205,190000,24.8700,24.8700,24.8700,24.8700,177,0
JBJ.US,5,20131206,215000,24.7700,24.7700,24.7700,24.7700,100,0
JBJ.US,5,20131209,153500,24.7500,24.7500,24.7500,24.7500,333,0
JBJ.US,5,20131209,154000,24.7500,24.7500,24.7000,24.7000,2300,0
JBJ.US,5,20131209,160500,24.6700,24.7000,24.6700,24.7000,1074,0
JBJ.US,5,20131209,170000,25.1200,25.1200,25.1100,25.1200,773,0
JBJ.US,5,20131209,171500,25.1100,25.3600,25.1100,25.3600,2000,0
JBJ.US,5,20131209,193500,24.7700,24.7700,24.7700,24.7700,237,0
