<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JCP.US,5,20131112,153500,8.6700,8.6800,8.5100,8.6200,935773,0
JCP.US,5,20131112,154000,8.6100,8.7700,8.6100,8.6700,1553128,0
JCP.US,5,20131112,154500,8.6600,8.7200,8.6300,8.6500,658055,0
JCP.US,5,20131112,155000,8.6400,8.6600,8.5500,8.6100,940432,0
JCP.US,5,20131112,155500,8.6100,8.6200,8.5800,8.6000,361949,0
JCP.US,5,20131112,160000,8.5900,8.6200,8.5800,8.5900,366910,0
JCP.US,5,20131112,160500,8.5900,8.5900,8.4700,8.5200,1028262,0
JCP.US,5,20131112,161000,8.5200,8.5500,8.4100,8.4600,904319,0
JCP.US,5,20131112,161500,8.4700,8.5100,8.4500,8.4800,507493,0
JCP.US,5,20131112,162000,8.4800,8.5600,8.4700,8.5200,427590,0
JCP.US,5,20131112,162500,8.5200,8.5500,8.4900,8.5300,259978,0
JCP.US,5,20131112,163000,8.5300,8.5300,8.5100,8.5100,178928,0
JCP.US,5,20131112,163500,8.5200,8.5300,8.4700,8.4900,235459,0
JCP.US,5,20131112,164000,8.4900,8.5100,8.4700,8.5000,222913,0
JCP.US,5,20131112,164500,8.4900,8.5100,8.4800,8.5100,288132,0
JCP.US,5,20131112,165000,8.5000,8.5100,8.4600,8.4600,354758,0
JCP.US,5,20131112,165500,8.4700,8.4700,8.4100,8.4200,437448,0
JCP.US,5,20131112,170000,8.4100,8.4200,8.3800,8.4100,570047,0
JCP.US,5,20131112,170500,8.4000,8.4200,8.3900,8.4000,302265,0
JCP.US,5,20131112,171000,8.4000,8.4000,8.3200,8.3300,685755,0
JCP.US,5,20131112,171500,8.3300,8.3700,8.3200,8.3400,608795,0
JCP.US,5,20131112,172000,8.3300,8.3700,8.3200,8.3700,251436,0
JCP.US,5,20131112,172500,8.3700,8.4000,8.3600,8.3700,339649,0
JCP.US,5,20131112,173000,8.3600,8.4000,8.3600,8.3900,294042,0
JCP.US,5,20131112,173500,8.3800,8.4400,8.3800,8.4200,435058,0
JCP.US,5,20131112,174000,8.4200,8.4200,8.3900,8.4000,229526,0
JCP.US,5,20131112,174500,8.3900,8.4000,8.3500,8.3600,235924,0
JCP.US,5,20131112,175000,8.3600,8.3600,8.3200,8.3600,288989,0
JCP.US,5,20131112,175500,8.3600,8.3700,8.3300,8.3600,203156,0
JCP.US,5,20131112,180000,8.3600,8.3600,8.3300,8.3300,209336,0
JCP.US,5,20131112,180500,8.3300,8.3400,8.3200,8.3400,219807,0
