<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNPR.US,5,20131112,153500,19.0600,19.1000,19.0300,19.0800,43285,0
JNPR.US,5,20131112,154000,19.0900,19.1800,19.0700,19.1300,36502,0
JNPR.US,5,20131112,154500,19.1200,19.2100,19.1200,19.1800,40695,0
JNPR.US,5,20131112,155000,19.1900,19.2600,19.1900,19.2600,23339,0
JNPR.US,5,20131112,155500,19.2600,19.2700,19.2200,19.2300,50726,0
JNPR.US,5,20131112,160000,19.2200,19.2300,19.2000,19.2000,19799,0
JNPR.US,5,20131112,160500,19.2000,19.2300,19.1500,19.1800,29766,0
JNPR.US,5,20131112,161000,19.1700,19.1700,19.1300,19.1300,54176,0
JNPR.US,5,20131112,161500,19.1300,19.1400,19.1300,19.1300,123380,0
JNPR.US,5,20131112,162000,19.1300,19.1900,19.1300,19.1400,181213,0
JNPR.US,5,20131112,162500,19.1400,19.1500,19.1300,19.1300,26817,0
JNPR.US,5,20131112,163000,19.1300,19.1400,19.1300,19.1300,70317,0
JNPR.US,5,20131112,163500,19.1400,19.1500,19.1200,19.1300,40821,0
JNPR.US,5,20131112,164000,19.1300,19.2100,19.1300,19.1900,65865,0
JNPR.US,5,20131112,164500,19.1900,19.1900,19.1600,19.1900,42053,0
JNPR.US,5,20131112,165000,19.1900,19.2200,19.1700,19.2100,32156,0
JNPR.US,5,20131112,165500,19.2100,19.2500,19.2100,19.2300,48989,0
JNPR.US,5,20131112,170000,19.2300,19.2300,19.1600,19.1800,57289,0
JNPR.US,5,20131112,170500,19.1800,19.2000,19.1700,19.2000,40582,0
JNPR.US,5,20131112,171000,19.2000,19.2100,19.1800,19.1900,33942,0
JNPR.US,5,20131112,171500,19.1900,19.2500,19.1900,19.2500,21713,0
JNPR.US,5,20131112,172000,19.2400,19.2700,19.2300,19.2700,51276,0
JNPR.US,5,20131112,172500,19.2700,19.3200,19.2600,19.3200,95218,0
JNPR.US,5,20131112,173000,19.3200,19.3800,19.3200,19.3700,55286,0
JNPR.US,5,20131112,173500,19.3700,19.3900,19.3600,19.3900,39403,0
JNPR.US,5,20131112,174000,19.3900,19.4000,19.3600,19.3700,62248,0
JNPR.US,5,20131112,174500,19.3600,19.3700,19.3300,19.3700,67528,0
JNPR.US,5,20131112,175000,19.3700,19.3800,19.3300,19.3700,68396,0
JNPR.US,5,20131112,175500,19.3800,19.4000,19.3700,19.3900,28794,0
JNPR.US,5,20131112,180000,19.3900,19.4000,19.3800,19.3800,15853,0
JNPR.US,5,20131112,180500,19.3800,19.3900,19.3600,19.3700,60439,0
JNPR.US,5,20131112,181000,19.3700,19.3700,19.3500,19.3500,63242,0
JNPR.US,5,20131112,181500,19.3600,19.4100,19.3500,19.4000,170863,0
JNPR.US,5,20131112,182000,19.3900,19.4300,19.3900,19.4300,21097,0
JNPR.US,5,20131112,182500,19.4300,19.4400,19.4100,19.4300,28285,0
JNPR.US,5,20131112,183000,19.4300,19.4400,19.4200,19.4300,14475,0
JNPR.US,5,20131112,183500,19.4200,19.4300,19.3900,19.4000,23744,0
JNPR.US,5,20131112,184000,19.4100,19.4200,19.3800,19.3900,29962,0
JNPR.US,5,20131112,184500,19.3900,19.4200,19.3800,19.4100,19462,0
JNPR.US,5,20131112,185000,19.4100,19.4200,19.4000,19.4000,9728,0
JNPR.US,5,20131112,185500,19.4000,19.4100,19.3500,19.3500,34516,0
JNPR.US,5,20131112,190000,19.3500,19.3600,19.3400,19.3500,26573,0
JNPR.US,5,20131112,190500,19.3500,19.3500,19.3100,19.3100,8640,0
JNPR.US,5,20131112,191000,19.3100,19.3300,19.3100,19.3200,20631,0
JNPR.US,5,20131112,191500,19.3200,19.3300,19.3100,19.3100,36297,0
JNPR.US,5,20131112,192000,19.3100,19.4300,19.3000,19.4300,153903,0
JNPR.US,5,20131112,192500,19.4300,19.4700,19.4300,19.4600,57696,0
JNPR.US,5,20131112,193000,19.4600,19.4700,19.4200,19.4200,25111,0
JNPR.US,5,20131112,193500,19.4100,19.4300,19.3800,19.3900,40434,0
JNPR.US,5,20131112,194000,19.3700,19.3800,19.3400,19.3700,69517,0
JNPR.US,5,20131112,194500,19.3700,19.4000,19.3600,19.4000,55358,0
JNPR.US,5,20131112,195000,19.4000,19.4400,19.4000,19.4300,34632,0
JNPR.US,5,20131112,195500,19.4400,19.4400,19.4200,19.4200,13600,0
JNPR.US,5,20131112,200000,19.4300,19.4500,19.4200,19.4300,41428,0
JNPR.US,5,20131112,200500,19.4400,19.4600,19.4400,19.4500,40813,0
JNPR.US,5,20131112,201000,19.4500,19.4600,19.4400,19.4600,32450,0
JNPR.US,5,20131112,201500,19.4500,19.4600,19.4400,19.4400,23553,0
JNPR.US,5,20131112,202000,19.4500,19.5000,19.4200,19.4900,128079,0
JNPR.US,5,20131112,202500,19.4800,19.5200,19.4700,19.4900,116209,0
JNPR.US,5,20131112,203000,19.4800,19.4900,19.4600,19.4600,26652,0
JNPR.US,5,20131112,203500,19.4600,19.5100,19.4500,19.5000,69148,0
JNPR.US,5,20131112,204000,19.5000,19.5300,19.5000,19.5100,47685,0
JNPR.US,5,20131112,204500,19.5200,19.5700,19.5000,19.5400,142857,0
JNPR.US,5,20131112,205000,19.5500,19.5500,19.5200,19.5300,31858,0
JNPR.US,5,20131112,205500,19.5400,19.5600,19.5400,19.5500,40963,0
JNPR.US,5,20131112,210000,19.5400,19.5800,19.5300,19.5800,47097,0
JNPR.US,5,20131112,210500,19.5800,19.5900,19.5600,19.5600,63968,0
JNPR.US,5,20131112,211000,19.5600,19.5700,19.5400,19.5500,32724,0
JNPR.US,5,20131112,211500,19.5400,19.5600,19.5400,19.5400,60865,0
JNPR.US,5,20131112,212000,19.5500,19.6000,19.5400,19.5900,139912,0
JNPR.US,5,20131112,212500,19.6000,19.6000,19.5800,19.5900,93971,0
JNPR.US,5,20131112,213000,19.5900,19.6300,19.5900,19.6200,154532,0
JNPR.US,5,20131112,213500,19.6200,19.6400,19.6000,19.6000,163718,0
