<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JONE.US,5,20131112,153500,14.1300,14.2100,14.1300,14.2100,700,0
JONE.US,5,20131112,154000,14.0800,14.2600,14.0800,14.1600,6000,0
JONE.US,5,20131112,154500,14.1300,14.1300,14.0800,14.0800,1000,0
JONE.US,5,20131112,155500,14.0800,14.0800,14.0800,14.0800,100,0
JONE.US,5,20131112,160000,14.0500,14.0500,14.0000,14.0000,200,0
JONE.US,5,20131112,161500,14.0600,14.0600,14.0600,14.0600,300,0
JONE.US,5,20131112,162000,14.0600,14.1100,14.0600,14.1100,300,0
JONE.US,5,20131112,163000,14.0700,14.0700,14.0700,14.0700,200,0
JONE.US,5,20131112,163500,14.0500,14.0600,14.0500,14.0600,200,0
JONE.US,5,20131112,164000,14.0700,14.1000,14.0600,14.0600,2800,0
JONE.US,5,20131112,164500,14.0600,14.0600,14.0500,14.0500,928,0
JONE.US,5,20131112,165000,14.0500,14.0500,14.0000,14.0500,500,0
JONE.US,5,20131112,170000,13.9600,13.9600,13.9600,13.9600,100,0
JONE.US,5,20131112,170500,14.0000,14.0200,13.9900,13.9900,500,0
JONE.US,5,20131112,171000,13.9900,14.0000,13.9400,14.0000,2900,0
JONE.US,5,20131112,171500,13.9900,13.9900,13.9600,13.9600,600,0
JONE.US,5,20131112,172000,13.9300,13.9900,13.9300,13.9900,1200,0
JONE.US,5,20131112,172500,13.9900,14.0000,13.9900,14.0000,200,0
JONE.US,5,20131112,173500,14.0100,14.0100,14.0100,14.0100,100,0
JONE.US,5,20131112,174000,14.1100,14.1100,14.1100,14.1100,100,0
JONE.US,5,20131112,174500,14.0500,14.0500,14.0500,14.0500,100,0
JONE.US,5,20131112,175000,14.1200,14.1200,14.1200,14.1200,100,0
JONE.US,5,20131112,175500,14.0700,14.0700,14.0600,14.0600,200,0
JONE.US,5,20131112,180000,14.0600,14.0600,13.9900,13.9900,1700,0
JONE.US,5,20131112,180500,13.9500,13.9500,13.9500,13.9500,300,0
JONE.US,5,20131112,181000,13.9500,13.9500,13.9500,13.9500,100,0
JONE.US,5,20131112,181500,13.9100,13.9100,13.9100,13.9100,1000,0
JONE.US,5,20131112,182000,13.9000,13.9000,13.8800,13.8800,600,0
JONE.US,5,20131112,182500,13.8800,13.8800,13.8800,13.8800,100,0
JONE.US,5,20131112,183000,13.8400,14.0000,13.7800,13.9800,12900,0
JONE.US,5,20131112,183500,13.9700,13.9700,13.8500,13.8900,1500,0
JONE.US,5,20131112,184000,13.8900,13.9100,13.7900,13.9100,48800,0
JONE.US,5,20131112,184500,13.8700,13.9000,13.8500,13.9000,1200,0
