<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPG.US,5,20131112,153500,14.1700,14.1700,14.1600,14.1600,2013,0
JPG.US,5,20131112,154500,14.1700,14.1700,14.1700,14.1700,277,0
JPG.US,5,20131112,155000,14.1600,14.1600,14.1600,14.1600,303,0
JPG.US,5,20131112,155500,14.1700,14.1700,14.1700,14.1700,616,0
JPG.US,5,20131112,161500,14.1500,14.1500,14.1500,14.1500,283,0
JPG.US,5,20131112,162500,14.1600,14.1600,14.1600,14.1600,100,0
JPG.US,5,20131112,163500,14.1600,14.1600,14.1600,14.1600,617,0
JPG.US,5,20131112,171000,14.1500,14.1500,14.1500,14.1500,1000,0
JPG.US,5,20131112,172500,14.1500,14.1500,14.1500,14.1500,500,0
JPG.US,5,20131112,173500,14.1400,14.1400,14.1400,14.1400,300,0
JPG.US,5,20131112,174000,14.1400,14.1400,14.1400,14.1400,550,0
JPG.US,5,20131112,180000,14.1300,14.1300,14.1300,14.1300,400,0
JPG.US,5,20131112,181000,14.1300,14.1300,14.1200,14.1200,300,0
JPG.US,5,20131112,184000,14.1200,14.1200,14.1200,14.1200,300,0
JPG.US,5,20131112,192000,14.1300,14.1300,14.1300,14.1300,2000,0
JPG.US,5,20131112,201000,14.1100,14.1100,14.1100,14.1100,300,0
JPG.US,5,20131112,202000,14.1200,14.1200,14.1200,14.1200,1095,0
JPG.US,5,20131112,210000,14.1200,14.1200,14.1200,14.1200,100,0
JPG.US,5,20131112,211500,14.1100,14.1100,14.1100,14.1100,1000,0
JPG.US,5,20131112,212000,14.1200,14.1200,14.1200,14.1200,700,0
JPG.US,5,20131112,213500,14.1200,14.1200,14.1200,14.1200,875,0
JPG.US,5,20131112,214000,14.1100,14.1200,14.1100,14.1200,2792,0
JPG.US,5,20131112,220000,14.1100,14.1100,14.1100,14.1100,610,0
JPG.US,5,20131112,220500,14.1400,14.1400,14.1400,14.1400,334,0
JPG.US,5,20131113,153500,14.1400,14.1600,14.1400,14.1600,813,0
JPG.US,5,20131113,154500,14.1100,14.1300,14.1100,14.1100,2515,0
JPG.US,5,20131113,155500,14.1300,14.1300,14.1300,14.1300,400,0
JPG.US,5,20131113,160500,14.1300,14.1300,14.1300,14.1300,100,0
JPG.US,5,20131113,161500,14.1200,14.1300,14.1200,14.1300,518,0
JPG.US,5,20131113,162000,14.1200,14.1300,14.1200,14.1300,200,0
JPG.US,5,20131113,162500,14.1300,14.1300,14.1300,14.1300,200,0
JPG.US,5,20131113,163000,14.1300,14.1300,14.1200,14.1300,700,0
JPG.US,5,20131113,163500,14.1200,14.1200,14.1200,14.1200,200,0
JPG.US,5,20131113,165000,14.1300,14.1300,14.1300,14.1300,100,0
JPG.US,5,20131113,165500,14.1300,14.1300,14.1300,14.1300,100,0
JPG.US,5,20131113,170000,14.1100,14.1300,14.1100,14.1100,1600,0
JPG.US,5,20131113,171000,14.1300,14.1300,14.1200,14.1200,228,0
JPG.US,5,20131113,172000,14.1300,14.1300,14.1300,14.1300,299,0
JPG.US,5,20131113,172500,14.1300,14.1300,14.1300,14.1300,100,0
JPG.US,5,20131113,173000,14.1300,14.1300,14.1300,14.1300,100,0
JPG.US,5,20131113,182500,14.1100,14.1700,14.1100,14.1400,9515,0
JPG.US,5,20131113,183000,14.1500,14.1500,14.1500,14.1500,300,0
JPG.US,5,20131113,183500,14.1300,14.1300,14.1300,14.1300,1000,0
JPG.US,5,20131113,185000,14.1400,14.1400,14.1400,14.1400,600,0
JPG.US,5,20131113,191500,14.1500,14.1500,14.1500,14.1500,200,0
JPG.US,5,20131113,200000,14.1400,14.1400,14.1400,14.1400,1365,0
JPG.US,5,20131113,200500,14.1500,14.1500,14.1500,14.1500,725,0
JPG.US,5,20131113,202000,14.1400,14.1400,14.1400,14.1400,1510,0
JPG.US,5,20131113,202500,14.1500,14.1500,14.1500,14.1500,608,0
JPG.US,5,20131113,210500,14.1400,14.1400,14.1400,14.1400,970,0
JPG.US,5,20131113,212000,14.1600,14.1600,14.1600,14.1600,306,0
JPG.US,5,20131113,213500,14.1500,14.1500,14.1500,14.1500,1240,0
JPG.US,5,20131113,215000,14.1800,14.1800,14.1800,14.1800,100,0
JPG.US,5,20131113,215500,14.1700,14.1700,14.1700,14.1700,2438,0
JPG.US,5,20131113,220000,14.1700,14.1700,14.1600,14.1600,1517,0
JPG.US,5,20131113,220500,14.1800,14.1800,14.1800,14.1800,1947,0
JPG.US,5,20131114,153500,14.1800,14.1800,14.1800,14.1800,3190,0
JPG.US,5,20131114,154000,14.2000,14.2000,14.1800,14.2000,836,0
JPG.US,5,20131114,155000,14.2200,14.2400,14.2200,14.2400,768,0
JPG.US,5,20131114,155500,14.2300,14.2400,14.2300,14.2400,600,0
JPG.US,5,20131114,160000,14.2400,14.2400,14.2400,14.2400,400,0
JPG.US,5,20131114,160500,14.2400,14.2400,14.2400,14.2400,100,0
JPG.US,5,20131114,161000,14.2400,14.2400,14.2400,14.2400,200,0
