<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JW_B.US,5,20131119,191500,49.9000,49.9000,49.9000,49.9000,400,0
JW_B.US,5,20131120,220500,49.2000,49.2000,49.2000,49.2000,150,0
JW_B.US,5,20131122,220000,50.6300,50.7900,50.5400,50.7900,600,0
JW_B.US,5,20131126,215000,50.8600,50.8600,50.8600,50.8600,128,0
JW_B.US,5,20131127,195000,50.3000,50.3000,50.3000,50.3000,500,0
JW_B.US,5,20131202,153500,51.0500,51.0500,51.0500,51.0500,300,0
JW_B.US,5,20131202,154000,50.8000,50.8000,50.8000,50.8000,100,0
JW_B.US,5,20131202,155500,51.0500,51.0500,51.0500,51.0500,100,0
JW_B.US,5,20131202,203000,51.3000,51.3000,51.3000,51.3000,100,0
JW_B.US,5,20131202,215500,51.0500,51.0500,51.0500,51.0500,100,0
JW_B.US,5,20131203,154000,51.2600,51.2600,51.0100,51.0100,400,0
JW_B.US,5,20131203,154500,50.7600,50.7600,50.7600,50.7600,100,0
JW_B.US,5,20131203,174500,50.5100,50.5100,50.5100,50.5100,100,0
JW_B.US,5,20131203,202000,50.2600,50.2600,50.2600,50.2600,100,0
JW_B.US,5,20131205,181000,49.7300,49.7300,49.7300,49.7300,100,0
JW_B.US,5,20131205,192000,49.9400,49.9400,49.9400,49.9400,200,0
JW_B.US,5,20131206,154500,50.6400,50.6400,50.6400,50.6400,300,0
JW_B.US,5,20131206,164000,50.4700,50.4700,50.4700,50.4700,100,0
JW_B.US,5,20131206,213500,50.3400,50.3400,50.3200,50.3200,200,0
JW_B.US,5,20131209,153500,50.5000,50.5000,50.4400,50.4400,500,0
