<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JZK.US,5,20131112,160500,24.4000,24.4000,24.4000,24.4000,200,0
JZK.US,5,20131112,175000,24.4300,24.4300,24.4300,24.4300,400,0
JZK.US,5,20131112,194000,24.3600,24.3600,24.3600,24.3600,100,0
JZK.US,5,20131112,195000,24.4000,24.4000,24.0100,24.0100,493,0
JZK.US,5,20131112,200000,24.3900,24.3900,24.3900,24.3900,500,0
JZK.US,5,20131113,172500,23.6000,23.6000,23.6000,23.6000,400,0
JZK.US,5,20131113,195500,24.1500,24.3200,23.6100,23.6200,837,0
JZK.US,5,20131114,160000,24.1900,24.1900,24.1900,24.1900,100,0
JZK.US,5,20131114,191500,24.2000,24.4500,24.2000,24.4500,400,0
JZK.US,5,20131114,195000,24.4400,24.4400,24.4400,24.4400,500,0
JZK.US,5,20131114,211500,24.4600,24.4600,24.4600,24.4600,100,0
JZK.US,5,20131115,165500,24.4300,24.4300,24.4300,24.4300,100,0
JZK.US,5,20131115,170500,24.4300,24.4300,24.4300,24.4300,100,0
JZK.US,5,20131115,171500,24.4600,24.4600,24.4600,24.4600,280,0
JZK.US,5,20131115,180000,24.4700,24.4700,24.4700,24.4700,100,0
JZK.US,5,20131115,182000,24.4700,24.4700,24.4700,24.4700,100,0
JZK.US,5,20131115,184000,24.6300,24.6300,24.6300,24.6300,100,0
JZK.US,5,20131115,185500,24.6300,24.6300,24.6300,24.6300,100,0
JZK.US,5,20131115,191000,24.6300,24.6300,23.6500,23.6500,300,0
JZK.US,5,20131115,193000,24.6000,24.6300,24.6000,24.6300,200,0
JZK.US,5,20131115,195000,24.4600,24.4600,24.4600,24.4600,400,0
JZK.US,5,20131115,212000,24.4400,24.9600,24.4400,24.9600,400,0
JZK.US,5,20131118,184000,23.6900,24.2700,23.6900,24.2700,400,0
JZK.US,5,20131118,193000,24.6900,24.6900,24.6900,24.6900,150,0
JZK.US,5,20131118,213000,24.7500,24.8500,24.7500,24.8500,256,0
JZK.US,5,20131118,214500,24.5000,24.5000,24.5000,24.5000,100,0
JZK.US,5,20131118,215500,24.2900,24.2900,24.2900,24.2900,195,0
JZK.US,5,20131119,160500,24.4300,24.4300,24.4300,24.4300,100,0
JZK.US,5,20131119,164500,24.3700,24.3700,24.3700,24.3700,100,0
JZK.US,5,20131119,170000,24.2100,24.2100,24.1900,24.1900,270,0
JZK.US,5,20131119,173000,24.2800,24.2800,24.2600,24.2600,200,0
JZK.US,5,20131119,174000,24.4100,24.4100,24.4100,24.4100,100,0
JZK.US,5,20131119,184000,24.2800,24.2800,24.2800,24.2800,400,0
JZK.US,5,20131119,190000,24.4200,24.4200,24.4200,24.4200,100,0
JZK.US,5,20131119,190500,24.2800,24.2800,24.2800,24.2800,240,0
JZK.US,5,20131119,193000,24.5000,24.5000,24.5000,24.5000,100,0
JZK.US,5,20131120,163000,24.0100,24.0100,23.9600,23.9600,250,0
JZK.US,5,20131120,212000,24.4500,24.4500,24.4500,24.4500,300,0
JZK.US,5,20131121,173000,24.7400,24.7400,24.7400,24.7400,130,0
JZK.US,5,20131125,172000,24.5000,24.5000,24.5000,24.5000,290,0
JZK.US,5,20131126,194000,24.1700,24.1700,23.9100,23.9100,481,0
JZK.US,5,20131126,194500,23.7500,23.7500,23.7500,23.7500,500,0
JZK.US,5,20131126,213500,24.2900,24.2900,24.2900,24.2900,100,0
JZK.US,5,20131126,215000,24.2900,24.2900,24.2900,24.2900,100,0
JZK.US,5,20131127,172000,23.7700,24.0900,23.7700,24.0300,4600,0
JZK.US,5,20131127,173000,23.9100,23.9100,23.9100,23.9100,100,0
JZK.US,5,20131127,175500,23.8900,23.8900,23.8900,23.8900,100,0
JZK.US,5,20131127,180000,23.8500,23.8600,23.8500,23.8500,600,0
JZK.US,5,20131127,185000,23.8300,23.8300,23.8300,23.8300,200,0
JZK.US,5,20131127,190000,23.8000,23.8000,23.8000,23.8000,100,0
JZK.US,5,20131127,200000,24.2200,24.2200,24.2200,24.2200,200,0
JZK.US,5,20131129,182500,23.8500,23.8500,23.8500,23.8500,200,0
JZK.US,5,20131202,153500,24.2500,24.2500,24.2500,24.2500,965,0
JZK.US,5,20131202,210500,24.0000,24.0000,24.0000,24.0000,100,0
JZK.US,5,20131202,212500,24.0100,24.0100,23.9600,23.9600,675,0
JZK.US,5,20131203,185500,23.9900,23.9900,23.9900,23.9900,375,0
JZK.US,5,20131204,164000,24.1500,24.1500,24.1500,24.1500,600,0
JZK.US,5,20131204,194000,23.6800,23.6800,23.6800,23.6800,500,0
JZK.US,5,20131205,153500,24.1500,24.6500,24.1500,24.5000,500,0
JZK.US,5,20131205,202500,24.3500,24.3500,24.2000,24.2000,500,0
JZK.US,5,20131205,203500,24.3300,24.3300,24.3300,24.3300,200,0
JZK.US,5,20131206,195500,24.1100,24.1300,23.7600,23.7600,600,0
JZK.US,5,20131206,212500,24.2500,24.2500,24.2500,24.2500,110,0
JZK.US,5,20131209,171500,24.0500,24.1600,24.0500,24.1600,700,0
JZK.US,5,20131209,212000,24.3000,24.3000,24.3000,24.3000,200,0
