<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEG.US,5,20131112,153500,8.4400,8.4400,8.2600,8.2900,32099,0
KEG.US,5,20131112,154000,8.3000,8.4000,8.2900,8.3500,80233,0
KEG.US,5,20131112,154500,8.3600,8.3600,8.3000,8.3000,32184,0
KEG.US,5,20131112,155000,8.3000,8.3800,8.3000,8.3500,54050,0
KEG.US,5,20131112,155500,8.3500,8.4100,8.3300,8.3400,87531,0
KEG.US,5,20131112,160000,8.3400,8.3400,8.2900,8.3200,35699,0
KEG.US,5,20131112,160500,8.3200,8.3200,8.2600,8.2800,88703,0
KEG.US,5,20131112,161000,8.2700,8.2900,8.2500,8.2900,33639,0
KEG.US,5,20131112,161500,8.3000,8.3000,8.2500,8.2500,55799,0
KEG.US,5,20131112,162000,8.2500,8.3200,8.2400,8.3100,31205,0
KEG.US,5,20131112,162500,8.3200,8.3400,8.2800,8.3000,156435,0
KEG.US,5,20131112,163000,8.2900,8.3700,8.2800,8.3700,47432,0
KEG.US,5,20131112,163500,8.3700,8.3900,8.3000,8.3000,35858,0
KEG.US,5,20131112,164000,8.2900,8.3100,8.2700,8.2900,38566,0
KEG.US,5,20131112,164500,8.2900,8.2900,8.2500,8.2900,31536,0
KEG.US,5,20131112,165000,8.2900,8.3000,8.2600,8.2800,45244,0
KEG.US,5,20131112,165500,8.2800,8.2800,8.2600,8.2700,27325,0
KEG.US,5,20131112,170000,8.2700,8.2700,8.2500,8.2600,37152,0
KEG.US,5,20131112,170500,8.2600,8.2700,8.2400,8.2600,17705,0
KEG.US,5,20131112,171000,8.2500,8.2500,8.2300,8.2300,9415,0
KEG.US,5,20131112,171500,8.2400,8.2800,8.2400,8.2800,13247,0
KEG.US,5,20131112,172000,8.2800,8.3200,8.2700,8.3200,13321,0
KEG.US,5,20131112,172500,8.3400,8.3400,8.3000,8.3400,15955,0
KEG.US,5,20131112,173000,8.3300,8.3300,8.3100,8.3300,3800,0
KEG.US,5,20131112,173500,8.3300,8.3400,8.3300,8.3400,2500,0
KEG.US,5,20131112,174000,8.3300,8.3300,8.2800,8.2900,45665,0
KEG.US,5,20131112,174500,8.3000,8.3100,8.2900,8.2900,14216,0
KEG.US,5,20131112,175000,8.2900,8.3100,8.2800,8.2900,45300,0
KEG.US,5,20131112,175500,8.2800,8.2800,8.2600,8.2700,4600,0
KEG.US,5,20131112,180000,8.2600,8.2700,8.2500,8.2600,7600,0
KEG.US,5,20131112,180500,8.2700,8.2800,8.2500,8.2600,37655,0
KEG.US,5,20131112,181000,8.2700,8.2900,8.2500,8.2900,40909,0
KEG.US,5,20131112,181500,8.2900,8.3000,8.2800,8.2900,22300,0
KEG.US,5,20131112,182000,8.2900,8.2900,8.2800,8.2900,6000,0
KEG.US,5,20131112,182500,8.2900,8.3100,8.2900,8.3100,5100,0
KEG.US,5,20131112,183000,8.3100,8.3400,8.3100,8.3400,21229,0
KEG.US,5,20131112,183500,8.3400,8.3500,8.3300,8.3500,39150,0
KEG.US,5,20131112,184000,8.3600,8.3800,8.3600,8.3700,35084,0
KEG.US,5,20131112,184500,8.3700,8.3800,8.3500,8.3600,13984,0
KEG.US,5,20131112,185000,8.3500,8.3600,8.3500,8.3600,3300,0
KEG.US,5,20131112,185500,8.3500,8.4100,8.3500,8.4100,17394,0
KEG.US,5,20131112,190000,8.4100,8.4300,8.4000,8.4000,31825,0
KEG.US,5,20131112,190500,8.4000,8.4000,8.3500,8.3500,3200,0
KEG.US,5,20131112,191000,8.3500,8.3600,8.3500,8.3500,700,0
KEG.US,5,20131112,191500,8.3600,8.3900,8.3600,8.3800,16591,0
KEG.US,5,20131112,192000,8.3900,8.3900,8.3700,8.3800,7100,0
KEG.US,5,20131112,192500,8.3800,8.3800,8.3700,8.3700,18300,0
KEG.US,5,20131112,193000,8.3800,8.3800,8.3400,8.3500,9989,0
KEG.US,5,20131112,193500,8.3400,8.3600,8.3400,8.3500,51679,0
KEG.US,5,20131112,194000,8.3500,8.3600,8.3400,8.3400,10904,0
KEG.US,5,20131112,194500,8.3400,8.3500,8.3400,8.3500,19040,0
KEG.US,5,20131112,195000,8.3500,8.3900,8.3500,8.3900,9233,0
KEG.US,5,20131112,195500,8.3800,8.4200,8.3600,8.4200,129030,0
KEG.US,5,20131112,200000,8.4200,8.4300,8.3900,8.4000,17627,0
KEG.US,5,20131112,200500,8.3900,8.4200,8.3700,8.3700,24953,0
KEG.US,5,20131112,201000,8.3600,8.3800,8.3600,8.3800,24352,0
KEG.US,5,20131112,201500,8.3700,8.3900,8.3600,8.3900,56076,0
KEG.US,5,20131112,202000,8.3900,8.4200,8.3800,8.4200,37580,0
KEG.US,5,20131112,202500,8.4200,8.4300,8.3900,8.4000,54390,0
KEG.US,5,20131112,203000,8.4000,8.4200,8.3900,8.4000,23397,0
KEG.US,5,20131112,203500,8.4000,8.4400,8.3900,8.4300,50799,0
KEG.US,5,20131112,204000,8.4300,8.4400,8.4200,8.4300,15265,0
KEG.US,5,20131112,204500,8.4400,8.4400,8.4200,8.4200,17799,0
KEG.US,5,20131112,205000,8.4200,8.4200,8.3900,8.4000,29979,0
KEG.US,5,20131112,205500,8.4100,8.4500,8.4100,8.4500,39600,0
KEG.US,5,20131112,210000,8.4500,8.4800,8.4500,8.4800,44093,0
KEG.US,5,20131112,210500,8.4800,8.4900,8.4700,8.4700,50825,0
KEG.US,5,20131112,211000,8.4700,8.4800,8.4500,8.4600,36269,0
KEG.US,5,20131112,211500,8.4600,8.4700,8.4500,8.4500,23400,0
KEG.US,5,20131112,212000,8.4500,8.4600,8.4400,8.4600,59751,0
KEG.US,5,20131112,212500,8.4500,8.4700,8.4400,8.4600,60466,0
KEG.US,5,20131112,213000,8.4600,8.4700,8.4400,8.4500,45360,0
KEG.US,5,20131112,213500,8.4600,8.4800,8.4500,8.4500,47411,0
KEG.US,5,20131112,214000,8.4500,8.4800,8.4400,8.4700,78109,0
KEG.US,5,20131112,214500,8.4600,8.4700,8.4500,8.4700,36115,0
KEG.US,5,20131112,215000,8.4700,8.4700,8.4500,8.4500,19080,0
KEG.US,5,20131112,215500,8.4500,8.4600,8.4500,8.4600,39442,0
KEG.US,5,20131112,220000,8.4500,8.4800,8.4500,8.4700,88005,0
KEG.US,5,20131112,221000,8.4800,8.4800,8.4800,8.4800,36069,0
KEG.US,5,20131113,153500,8.3900,8.4600,8.3500,8.4500,33003,0
KEG.US,5,20131113,154000,8.4500,8.4500,8.3700,8.4100,89108,0
KEG.US,5,20131113,154500,8.4100,8.4700,8.3900,8.4500,62515,0
KEG.US,5,20131113,155000,8.4600,8.5000,8.4400,8.4800,39098,0
KEG.US,5,20131113,155500,8.4800,8.5300,8.4600,8.5300,33010,0
KEG.US,5,20131113,160000,8.5300,8.6000,8.5300,8.6000,48706,0
KEG.US,5,20131113,160500,8.6000,8.6300,8.5800,8.5900,22925,0
KEG.US,5,20131113,161000,8.6000,8.6100,8.5500,8.5700,62888,0
KEG.US,5,20131113,161500,8.5700,8.5900,8.5400,8.5800,66661,0
KEG.US,5,20131113,162000,8.5800,8.5900,8.5300,8.5400,36948,0
KEG.US,5,20131113,162500,8.5400,8.5500,8.5400,8.5500,14200,0
KEG.US,5,20131113,163000,8.5500,8.6300,8.5400,8.6300,56798,0
KEG.US,5,20131113,163500,8.6300,8.6300,8.5700,8.6000,62587,0
KEG.US,5,20131113,164000,8.6000,8.6400,8.5900,8.6200,32150,0
KEG.US,5,20131113,164500,8.6200,8.6500,8.6100,8.6100,33190,0
KEG.US,5,20131113,165000,8.6100,8.6600,8.6100,8.6600,59126,0
KEG.US,5,20131113,165500,8.6600,8.6800,8.6400,8.6700,58355,0
KEG.US,5,20131113,170000,8.6700,8.7200,8.6700,8.7200,53930,0
KEG.US,5,20131113,170500,8.7300,8.7600,8.7200,8.7400,52747,0
KEG.US,5,20131113,171000,8.7300,8.7300,8.6900,8.7200,50797,0
KEG.US,5,20131113,171500,8.7200,8.7200,8.6700,8.7000,36948,0
KEG.US,5,20131113,172000,8.7000,8.7000,8.6700,8.6800,18380,0
KEG.US,5,20131113,172500,8.6700,8.7200,8.6700,8.6900,60107,0
KEG.US,5,20131113,173000,8.6900,8.7100,8.6700,8.6700,25370,0
KEG.US,5,20131113,173500,8.6800,8.7100,8.6700,8.7100,17630,0
KEG.US,5,20131113,174000,8.7100,8.7200,8.6600,8.6600,36082,0
KEG.US,5,20131113,174500,8.6600,8.6700,8.6500,8.6600,46034,0
KEG.US,5,20131113,175000,8.6500,8.6800,8.6100,8.6300,64558,0
KEG.US,5,20131113,175500,8.6300,8.6500,8.6300,8.6400,21000,0
KEG.US,5,20131113,180000,8.6400,8.6500,8.6200,8.6400,14099,0
KEG.US,5,20131113,180500,8.6400,8.6500,8.6200,8.6200,14892,0
KEG.US,5,20131113,181000,8.6300,8.6500,8.6000,8.6100,21510,0
KEG.US,5,20131113,181500,8.6100,8.6300,8.6000,8.6300,25450,0
KEG.US,5,20131113,182000,8.6200,8.6500,8.6200,8.6500,31785,0
KEG.US,5,20131113,182500,8.6400,8.6600,8.6300,8.6400,21700,0
KEG.US,5,20131113,183000,8.6500,8.6800,8.6500,8.6500,37700,0
KEG.US,5,20131113,183500,8.6500,8.6500,8.6400,8.6500,5800,0
KEG.US,5,20131113,184000,8.6500,8.6500,8.6100,8.6300,21540,0
KEG.US,5,20131113,184500,8.6200,8.6400,8.6000,8.6200,21521,0
KEG.US,5,20131113,185000,8.6300,8.6300,8.6000,8.6000,12994,0
KEG.US,5,20131113,185500,8.6100,8.6300,8.6000,8.6200,37037,0
KEG.US,5,20131113,190000,8.6200,8.6600,8.6200,8.6400,41778,0
KEG.US,5,20131113,190500,8.6400,8.6600,8.6200,8.6200,16150,0
KEG.US,5,20131113,191000,8.6200,8.6300,8.6000,8.6300,40332,0
KEG.US,5,20131113,191500,8.6200,8.6300,8.6200,8.6200,8387,0
KEG.US,5,20131113,192000,8.6300,8.6500,8.6200,8.6400,26124,0
KEG.US,5,20131113,192500,8.6400,8.6400,8.6100,8.6100,14300,0
KEG.US,5,20131113,193000,8.6200,8.6600,8.6100,8.6400,43877,0
KEG.US,5,20131113,193500,8.6500,8.6800,8.6400,8.6700,25699,0
KEG.US,5,20131113,194000,8.6800,8.6800,8.6200,8.6200,8154,0
KEG.US,5,20131113,194500,8.6200,8.6400,8.6100,8.6100,39140,0
KEG.US,5,20131113,195000,8.6100,8.6500,8.6100,8.6400,35300,0
KEG.US,5,20131113,195500,8.6400,8.6500,8.6200,8.6200,11456,0
KEG.US,5,20131113,200000,8.6200,8.6300,8.6100,8.6100,5769,0
KEG.US,5,20131113,200500,8.6100,8.6200,8.5900,8.6000,27761,0
KEG.US,5,20131113,201000,8.6000,8.6200,8.5900,8.6100,24593,0
KEG.US,5,20131113,201500,8.6000,8.6200,8.6000,8.6200,22346,0
KEG.US,5,20131113,202000,8.6100,8.6300,8.5900,8.6000,35112,0
KEG.US,5,20131113,202500,8.6000,8.6300,8.6000,8.6200,35600,0
KEG.US,5,20131113,203000,8.6200,8.6300,8.6200,8.6200,15013,0
KEG.US,5,20131113,203500,8.6300,8.6800,8.6200,8.6600,71733,0
KEG.US,5,20131113,204000,8.6700,8.6700,8.6500,8.6700,17923,0
KEG.US,5,20131113,204500,8.6700,8.6700,8.6600,8.6700,21090,0
KEG.US,5,20131113,205000,8.6700,8.6900,8.6600,8.6700,41347,0
KEG.US,5,20131113,205500,8.6700,8.6900,8.6600,8.6800,71039,0
KEG.US,5,20131113,210000,8.6700,8.6700,8.6400,8.6400,32358,0
KEG.US,5,20131113,210500,8.6400,8.6500,8.6200,8.6400,67327,0
KEG.US,5,20131113,211000,8.6400,8.6600,8.6300,8.6500,37281,0
KEG.US,5,20131113,211500,8.6400,8.6800,8.6400,8.6800,54766,0
KEG.US,5,20131113,212000,8.6800,8.6800,8.6600,8.6800,22698,0
KEG.US,5,20131113,212500,8.6700,8.7200,8.6700,8.7200,70850,0
KEG.US,5,20131113,213000,8.7200,8.7300,8.7000,8.7200,77893,0
KEG.US,5,20131113,213500,8.7200,8.7500,8.7100,8.7500,73929,0
KEG.US,5,20131113,214000,8.7400,8.7700,8.7400,8.7700,78319,0
KEG.US,5,20131113,214500,8.7700,8.8000,8.7600,8.7800,62759,0
KEG.US,5,20131113,215000,8.7900,8.8100,8.7600,8.7600,113250,0
KEG.US,5,20131113,215500,8.7600,8.7700,8.7300,8.7400,80283,0
KEG.US,5,20131113,220000,8.7400,8.7400,8.7000,8.7300,214790,0
KEG.US,5,20131113,220500,8.7400,8.7400,8.7400,8.7400,80265,0
KEG.US,5,20131114,153500,8.7200,8.7200,8.7000,8.7100,800,0
KEG.US,5,20131114,154000,8.6900,8.7100,8.6500,8.6900,17674,0
KEG.US,5,20131114,154500,8.6700,8.6800,8.6500,8.6600,64155,0
KEG.US,5,20131114,155000,8.6500,8.6500,8.6300,8.6300,37468,0
KEG.US,5,20131114,155500,8.6300,8.7000,8.6200,8.7000,103297,0
KEG.US,5,20131114,160000,8.7100,8.7300,8.6700,8.7000,60688,0
KEG.US,5,20131114,160500,8.7000,8.7100,8.6600,8.7000,43199,0
KEG.US,5,20131114,161000,8.7000,8.7100,8.6900,8.7100,44058,0
KEG.US,5,20131114,161500,8.7200,8.7700,8.7200,8.7500,31962,0
KEG.US,5,20131114,162000,8.7500,8.7700,8.7400,8.7700,34298,0
KEG.US,5,20131114,162500,8.7600,8.7600,8.6900,8.6900,41050,0
KEG.US,5,20131114,163000,8.6900,8.6900,8.6600,8.6600,21200,0
KEG.US,5,20131114,163500,8.6600,8.7300,8.6600,8.7100,56696,0
KEG.US,5,20131114,164000,8.7100,8.7100,8.6800,8.7000,13277,0
KEG.US,5,20131114,164500,8.6900,8.7100,8.6900,8.6900,16200,0
KEG.US,5,20131114,165000,8.6900,8.7300,8.6800,8.7200,32295,0
KEG.US,5,20131114,165500,8.7200,8.7200,8.6700,8.6700,19054,0
KEG.US,5,20131114,170000,8.6700,8.6800,8.6700,8.6700,22805,0
KEG.US,5,20131114,170500,8.6600,8.6700,8.6500,8.6600,48945,0
KEG.US,5,20131114,171000,8.6600,8.6700,8.6500,8.6600,4301,0
KEG.US,5,20131114,171500,8.6600,8.6900,8.6600,8.6700,39634,0
KEG.US,5,20131114,172000,8.6700,8.7100,8.6700,8.7000,21734,0
KEG.US,5,20131114,172500,8.6900,8.7000,8.6700,8.7000,15735,0
KEG.US,5,20131114,173000,8.6900,8.7100,8.6800,8.6800,34605,0
KEG.US,5,20131114,173500,8.6700,8.6900,8.6500,8.6600,29845,0
KEG.US,5,20131114,174000,8.6600,8.6600,8.6400,8.6500,41200,0
KEG.US,5,20131114,174500,8.6500,8.6600,8.6400,8.6500,48900,0
KEG.US,5,20131114,175000,8.6600,8.6700,8.6600,8.6700,9805,0
KEG.US,5,20131114,175500,8.6700,8.6700,8.6500,8.6700,13866,0
KEG.US,5,20131114,180000,8.6600,8.6700,8.6500,8.6500,39550,0
KEG.US,5,20131114,180500,8.6500,8.6600,8.6500,8.6500,23106,0
KEG.US,5,20131114,181000,8.6500,8.6500,8.6300,8.6300,13600,0
KEG.US,5,20131114,181500,8.6200,8.6400,8.6100,8.6100,10281,0
KEG.US,5,20131114,182000,8.6100,8.6400,8.6100,8.6200,22676,0
