<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMF.US,5,20131112,154000,32.0000,32.1600,32.0000,32.1600,200,0
KMF.US,5,20131112,154500,32.1400,32.1400,32.1400,32.1400,104,0
KMF.US,5,20131112,155000,32.0900,32.1200,32.0900,32.1200,547,0
KMF.US,5,20131112,155500,32.1200,32.1500,32.1200,32.1500,200,0
KMF.US,5,20131112,160000,32.0700,32.0700,32.0700,32.0700,110,0
KMF.US,5,20131112,160500,32.0600,32.0800,32.0600,32.0800,952,0
KMF.US,5,20131112,161000,32.0600,32.1000,32.0600,32.1000,902,0
KMF.US,5,20131112,161500,32.0600,32.0600,32.0600,32.0600,500,0
KMF.US,5,20131112,162000,32.0500,32.0500,32.0500,32.0500,196,0
KMF.US,5,20131112,163500,32.0100,32.0200,32.0100,32.0200,1100,0
KMF.US,5,20131112,164500,32.0200,32.0200,32.0200,32.0200,356,0
KMF.US,5,20131112,165000,32.0200,32.0200,32.0200,32.0200,984,0
KMF.US,5,20131112,170500,32.0200,32.0200,32.0200,32.0200,500,0
KMF.US,5,20131112,171000,32.0200,32.0200,32.0200,32.0200,200,0
KMF.US,5,20131112,173000,32.0200,32.0300,32.0200,32.0300,824,0
KMF.US,5,20131112,173500,32.0200,32.0200,32.0200,32.0200,700,0
KMF.US,5,20131112,174000,32.0100,32.0100,32.0100,32.0100,500,0
KMF.US,5,20131112,180000,32.0000,32.0000,32.0000,32.0000,1208,0
KMF.US,5,20131112,180500,32.0000,32.0300,32.0000,32.0300,1800,0
KMF.US,5,20131112,181000,32.0000,32.0000,32.0000,32.0000,2800,0
KMF.US,5,20131112,182000,31.9400,31.9400,31.9300,31.9300,576,0
KMF.US,5,20131112,182500,31.9900,31.9900,31.9900,31.9900,200,0
KMF.US,5,20131112,183000,32.0000,32.0000,32.0000,32.0000,200,0
KMF.US,5,20131112,183500,32.0000,32.0000,31.9100,31.9100,966,0
KMF.US,5,20131112,184000,31.9600,32.0200,31.9600,32.0200,600,0
KMF.US,5,20131112,184500,32.0000,32.0200,31.9200,32.0200,1120,0
KMF.US,5,20131112,185000,32.0500,32.0800,32.0500,32.0800,400,0
KMF.US,5,20131112,185500,32.0700,32.1000,32.0700,32.1000,900,0
KMF.US,5,20131112,190000,32.0100,32.1000,32.0100,32.1000,302,0
KMF.US,5,20131112,191500,31.9900,31.9900,31.9900,31.9900,120,0
KMF.US,5,20131112,192000,31.9900,31.9900,31.9900,31.9900,300,0
KMF.US,5,20131112,193500,32.0300,32.0300,31.9600,31.9600,358,0
KMF.US,5,20131112,195000,31.9500,31.9500,31.9100,31.9100,1000,0
KMF.US,5,20131112,200500,31.9700,31.9700,31.9000,31.9200,700,0
KMF.US,5,20131112,201500,31.9300,31.9300,31.9300,31.9300,464,0
KMF.US,5,20131112,202500,31.9100,31.9100,31.9100,31.9100,200,0
KMF.US,5,20131112,203000,31.9100,31.9700,31.9100,31.9700,583,0
KMF.US,5,20131112,203500,32.0000,32.0000,31.9900,31.9900,900,0
KMF.US,5,20131112,204500,31.9700,31.9700,31.9700,31.9700,416,0
KMF.US,5,20131112,205000,32.0100,32.0500,32.0100,32.0500,1000,0
KMF.US,5,20131112,205500,32.0600,32.0600,32.0600,32.0600,200,0
KMF.US,5,20131112,210000,32.0600,32.0700,31.9800,32.0700,500,0
KMF.US,5,20131112,211000,32.1000,32.1000,32.1000,32.1000,200,0
KMF.US,5,20131112,214000,32.0900,32.0900,32.0900,32.0900,1043,0
KMF.US,5,20131112,214500,32.1000,32.1600,32.1000,32.1600,850,0
KMF.US,5,20131112,215500,32.1500,32.1500,32.1500,32.1500,500,0
KMF.US,5,20131112,220000,32.1300,32.1300,32.1000,32.1300,2169,0
KMF.US,5,20131112,220500,32.1400,32.1400,32.1400,32.1400,486,0
KMF.US,5,20131113,154000,31.8200,31.9100,31.8200,31.9100,1900,0
KMF.US,5,20131113,154500,32.0300,32.0300,31.8800,31.8800,2510,0
KMF.US,5,20131113,160000,31.9000,32.0600,31.9000,31.9500,2160,0
KMF.US,5,20131113,161000,31.9300,31.9700,31.9300,31.9700,1350,0
KMF.US,5,20131113,161500,31.9900,31.9900,31.9900,31.9900,100,0
KMF.US,5,20131113,162000,31.9800,31.9900,31.9800,31.9900,400,0
KMF.US,5,20131113,162500,31.9900,31.9900,31.9900,31.9900,100,0
KMF.US,5,20131113,163000,31.9800,32.0000,31.9700,32.0000,1400,0
KMF.US,5,20131113,163500,32.0300,32.0300,32.0300,32.0300,300,0
KMF.US,5,20131113,164500,31.9600,31.9900,31.9600,31.9800,1195,0
KMF.US,5,20131113,165000,31.9900,31.9900,31.9900,31.9900,200,0
KMF.US,5,20131113,165500,31.9800,31.9800,31.9800,31.9800,200,0
KMF.US,5,20131113,170000,32.0000,32.0600,32.0000,32.0600,700,0
KMF.US,5,20131113,172000,32.0000,32.0000,32.0000,32.0000,140,0
KMF.US,5,20131113,173000,32.0300,32.0300,32.0300,32.0300,100,0
KMF.US,5,20131113,174500,32.0000,32.0000,32.0000,32.0000,200,0
KMF.US,5,20131113,175000,32.0000,32.0000,32.0000,32.0000,100,0
KMF.US,5,20131113,175500,31.9900,31.9900,31.9900,31.9900,100,0
KMF.US,5,20131113,180500,32.0000,32.0000,32.0000,32.0000,145,0
KMF.US,5,20131113,181000,31.9900,31.9900,31.9900,31.9900,978,0
KMF.US,5,20131113,181500,32.0000,32.0000,32.0000,32.0000,600,0
KMF.US,5,20131113,182500,32.0000,32.0000,31.9900,32.0000,1200,0
KMF.US,5,20131113,183000,32.0000,32.0000,32.0000,32.0000,800,0
KMF.US,5,20131113,183500,31.9900,32.0000,31.9900,32.0000,1800,0
KMF.US,5,20131113,184000,32.0000,32.0000,31.9700,32.0000,906,0
KMF.US,5,20131113,184500,31.9500,32.0400,31.9400,32.0300,700,0
KMF.US,5,20131113,185000,32.0300,32.0600,31.9900,31.9900,1079,0
KMF.US,5,20131113,185500,32.0800,32.1300,32.0800,32.1200,2124,0
KMF.US,5,20131113,190000,32.1300,32.1300,32.1300,32.1300,906,0
KMF.US,5,20131113,190500,32.0600,32.0600,32.0400,32.0400,720,0
KMF.US,5,20131113,193500,32.0300,32.0300,32.0300,32.0300,3109,0
KMF.US,5,20131113,194000,32.0500,32.0500,32.0400,32.0400,200,0
KMF.US,5,20131113,195000,32.1000,32.1000,32.1000,32.1000,500,0
KMF.US,5,20131113,195500,32.0700,32.1400,32.0700,32.1400,306,0
KMF.US,5,20131113,202500,32.0900,32.0900,32.0900,32.0900,100,0
KMF.US,5,20131113,204500,32.0700,32.1600,32.0700,32.1600,1000,0
KMF.US,5,20131113,205000,32.0900,32.0900,32.0900,32.0900,250,0
KMF.US,5,20131113,211500,32.0900,32.1700,32.0900,32.1700,315,0
KMF.US,5,20131113,213000,32.0900,32.1400,32.0900,32.1400,759,0
KMF.US,5,20131113,214500,32.0900,32.1100,32.0900,32.1100,475,0
KMF.US,5,20131113,215500,32.1600,32.2400,32.1600,32.2400,581,0
KMF.US,5,20131113,220000,32.2300,32.2300,32.2300,32.2300,351,0
KMF.US,5,20131113,220500,32.2300,32.2300,32.2300,32.2300,694,0
KMF.US,5,20131114,154500,32.3300,32.3300,32.3300,32.3300,422,0
