<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMX.US,5,20131112,153500,48.5800,48.7500,48.5700,48.6400,19050,0
KMX.US,5,20131112,154000,48.6700,48.8700,48.6700,48.7800,10285,0
KMX.US,5,20131112,154500,48.7800,48.8900,48.7700,48.8300,16986,0
KMX.US,5,20131112,155000,48.8500,48.9300,48.8500,48.9100,10104,0
KMX.US,5,20131112,155500,48.9300,48.9600,48.8500,48.9000,20700,0
KMX.US,5,20131112,160000,48.9100,49.0200,48.8900,49.0000,21531,0
KMX.US,5,20131112,160500,49.0000,49.0800,48.8800,48.9700,25701,0
KMX.US,5,20131112,161000,48.9600,48.9800,48.9400,48.9500,13500,0
KMX.US,5,20131112,161500,48.9600,49.0700,48.9600,49.0300,20690,0
KMX.US,5,20131112,162000,49.0300,49.2400,49.0100,49.2400,24500,0
KMX.US,5,20131112,162500,49.2000,49.2800,49.1800,49.2700,26522,0
KMX.US,5,20131112,163000,49.2700,49.3600,49.2400,49.3600,24083,0
KMX.US,5,20131112,163500,49.3700,49.4200,49.2700,49.2800,19801,0
KMX.US,5,20131112,164000,49.2700,49.2700,49.1600,49.1600,9933,0
KMX.US,5,20131112,164500,49.1400,49.2000,49.1200,49.2000,11600,0
KMX.US,5,20131112,165000,49.2100,49.2100,49.1100,49.1200,10700,0
KMX.US,5,20131112,165500,49.1200,49.1200,49.0600,49.1000,10500,0
KMX.US,5,20131112,170000,49.1200,49.1200,49.0000,49.0000,7267,0
KMX.US,5,20131112,170500,49.0100,49.0900,49.0000,49.0600,13784,0
KMX.US,5,20131112,171000,49.0500,49.1800,49.0500,49.1600,24151,0
KMX.US,5,20131112,171500,49.1700,49.2700,49.1500,49.2700,12009,0
KMX.US,5,20131112,172000,49.2700,49.3200,49.2200,49.3200,12523,0
KMX.US,5,20131112,172500,49.3200,49.3400,49.2700,49.3000,10916,0
KMX.US,5,20131112,173000,49.3000,49.3700,49.2200,49.3500,23297,0
KMX.US,5,20131112,173500,49.3600,49.3700,49.3400,49.3500,6896,0
KMX.US,5,20131112,174000,49.3400,49.3500,49.1100,49.1200,14656,0
KMX.US,5,20131112,174500,49.1200,49.1900,49.1100,49.1700,15500,0
KMX.US,5,20131112,175000,49.1600,49.2000,49.0800,49.1100,15298,0
KMX.US,5,20131112,175500,49.1100,49.1100,49.0200,49.0300,5719,0
KMX.US,5,20131112,180000,49.0100,49.0400,48.9900,49.0000,6706,0
KMX.US,5,20131112,180500,49.0000,49.0000,48.9400,48.9400,5190,0
KMX.US,5,20131112,181000,48.9300,48.9300,48.7900,48.8300,36659,0
KMX.US,5,20131112,181500,48.8100,48.8700,48.8100,48.8300,4612,0
KMX.US,5,20131112,182000,48.8300,48.8900,48.8300,48.8800,12233,0
KMX.US,5,20131112,182500,48.8700,48.8700,48.7700,48.8100,6600,0
KMX.US,5,20131112,183000,48.7900,48.8000,48.6800,48.6800,7950,0
KMX.US,5,20131112,183500,48.6800,48.6900,48.6200,48.6900,7862,0
KMX.US,5,20131112,184000,48.7000,48.7200,48.6200,48.6900,5900,0
KMX.US,5,20131112,184500,48.6900,48.7200,48.6500,48.7200,8429,0
KMX.US,5,20131112,185000,48.7400,48.7800,48.7400,48.7700,5471,0
KMX.US,5,20131112,185500,48.7800,48.7800,48.7600,48.7600,4067,0
KMX.US,5,20131112,190000,48.7500,48.7500,48.6400,48.6500,9043,0
KMX.US,5,20131112,190500,48.6200,48.6900,48.6200,48.6700,8119,0
KMX.US,5,20131112,191000,48.6900,48.7400,48.6900,48.7100,2900,0
KMX.US,5,20131112,191500,48.7100,48.7800,48.7100,48.7200,6600,0
