<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOS.US,5,20131112,153500,10.1200,10.1900,10.1100,10.1700,8600,0
KOS.US,5,20131112,154000,10.1600,10.1800,10.1100,10.1600,18300,0
KOS.US,5,20131112,154500,10.1500,10.1600,10.1500,10.1600,3900,0
KOS.US,5,20131112,155000,10.1600,10.1700,10.1600,10.1700,300,0
KOS.US,5,20131112,155500,10.1600,10.1700,10.1500,10.1600,7400,0
KOS.US,5,20131112,160000,10.1700,10.1700,10.1600,10.1600,900,0
KOS.US,5,20131112,160500,10.1600,10.1800,10.1600,10.1600,8726,0
KOS.US,5,20131112,161000,10.1500,10.1600,10.1500,10.1600,2000,0
KOS.US,5,20131112,162000,10.1600,10.1700,10.1600,10.1600,3500,0
KOS.US,5,20131112,162500,10.1600,10.1700,10.1600,10.1600,5000,0
KOS.US,5,20131112,163000,10.1700,10.1700,10.1700,10.1700,200,0
KOS.US,5,20131112,163500,10.1600,10.1600,10.1500,10.1500,3500,0
KOS.US,5,20131112,164000,10.1500,10.1800,10.1500,10.1800,17400,0
KOS.US,5,20131112,164500,10.1700,10.1700,10.1700,10.1700,400,0
KOS.US,5,20131112,165000,10.1700,10.1700,10.1600,10.1600,2900,0
KOS.US,5,20131112,165500,10.1600,10.1600,10.1600,10.1600,1100,0
KOS.US,5,20131112,170000,10.1600,10.1600,10.1500,10.1500,1500,0
KOS.US,5,20131112,170500,10.1500,10.1700,10.1500,10.1600,1400,0
KOS.US,5,20131112,171000,10.1600,10.1600,10.1600,10.1600,300,0
KOS.US,5,20131112,171500,10.1500,10.1800,10.1500,10.1700,1300,0
KOS.US,5,20131112,172000,10.1900,10.1900,10.1800,10.1900,500,0
KOS.US,5,20131112,172500,10.1900,10.1900,10.1800,10.1900,5400,0
KOS.US,5,20131112,173000,10.1900,10.1900,10.1900,10.1900,3450,0
KOS.US,5,20131112,173500,10.2000,10.2400,10.2000,10.2400,9500,0
KOS.US,5,20131112,174000,10.2500,10.2500,10.2000,10.2000,6300,0
KOS.US,5,20131112,175000,10.1900,10.2100,10.1900,10.2100,1300,0
KOS.US,5,20131112,175500,10.2000,10.2000,10.2000,10.2000,600,0
KOS.US,5,20131112,180000,10.2000,10.2000,10.2000,10.2000,1100,0
KOS.US,5,20131112,180500,10.2100,10.2200,10.2000,10.2000,2900,0
KOS.US,5,20131112,181000,10.1800,10.2000,10.1800,10.2000,1700,0
KOS.US,5,20131112,181500,10.2000,10.2000,10.2000,10.2000,1800,0
KOS.US,5,20131112,182000,10.2000,10.2100,10.2000,10.2100,875,0
KOS.US,5,20131112,182500,10.2100,10.2200,10.2100,10.2100,600,0
KOS.US,5,20131112,183000,10.2100,10.2200,10.2100,10.2100,800,0
KOS.US,5,20131112,184000,10.2200,10.2200,10.2200,10.2200,500,0
KOS.US,5,20131112,184500,10.2200,10.2200,10.2200,10.2200,900,0
KOS.US,5,20131112,185000,10.2300,10.2400,10.2300,10.2400,1700,0
KOS.US,5,20131112,185500,10.2500,10.2500,10.2400,10.2400,200,0
KOS.US,5,20131112,190000,10.2500,10.2500,10.2500,10.2500,1000,0
KOS.US,5,20131112,190500,10.2500,10.2500,10.2500,10.2500,500,0
KOS.US,5,20131112,191000,10.2500,10.2600,10.2500,10.2500,4300,0
KOS.US,5,20131112,191500,10.2600,10.2600,10.2600,10.2600,2100,0
KOS.US,5,20131112,192000,10.2500,10.2600,10.2500,10.2500,2500,0
KOS.US,5,20131112,192500,10.2600,10.2600,10.2300,10.2300,3400,0
KOS.US,5,20131112,193000,10.2200,10.2200,10.2000,10.2000,1100,0
KOS.US,5,20131112,193500,10.1900,10.2000,10.1900,10.2000,700,0
KOS.US,5,20131112,194000,10.2000,10.2100,10.1900,10.1900,3900,0
KOS.US,5,20131112,194500,10.2000,10.2000,10.1800,10.1800,5526,0
KOS.US,5,20131112,195000,10.1800,10.1900,10.1600,10.1700,5400,0
KOS.US,5,20131112,195500,10.1700,10.1700,10.1700,10.1700,1100,0
KOS.US,5,20131112,200000,10.1800,10.1800,10.1700,10.1700,4300,0
KOS.US,5,20131112,200500,10.1700,10.1700,10.1700,10.1700,900,0
KOS.US,5,20131112,201500,10.1700,10.1700,10.1500,10.1600,1500,0
KOS.US,5,20131112,202000,10.1500,10.1600,10.1500,10.1600,3600,0
KOS.US,5,20131112,202500,10.1700,10.1800,10.1700,10.1700,800,0
KOS.US,5,20131112,203000,10.1800,10.1800,10.1700,10.1700,2600,0
KOS.US,5,20131112,203500,10.1800,10.1800,10.1800,10.1800,1500,0
KOS.US,5,20131112,204000,10.1700,10.2000,10.1700,10.2000,4000,0
KOS.US,5,20131112,204500,10.2000,10.2200,10.2000,10.2100,6700,0
KOS.US,5,20131112,205000,10.2200,10.2200,10.1900,10.1900,13000,0
KOS.US,5,20131112,205500,10.1800,10.2000,10.1800,10.2000,2100,0
KOS.US,5,20131112,210000,10.2000,10.2200,10.2000,10.2100,5100,0
KOS.US,5,20131112,210500,10.2100,10.2100,10.1900,10.1900,5318,0
KOS.US,5,20131112,211000,10.1800,10.1900,10.1600,10.1600,2700,0
KOS.US,5,20131112,211500,10.1700,10.2000,10.1700,10.1900,5757,0
KOS.US,5,20131112,212000,10.1900,10.2000,10.1900,10.2000,200,0
KOS.US,5,20131112,212500,10.2000,10.2000,10.1600,10.1600,7931,0
KOS.US,5,20131112,213000,10.1600,10.1700,10.1400,10.1400,2900,0
KOS.US,5,20131112,213500,10.1400,10.1500,10.1200,10.1200,7113,0
KOS.US,5,20131112,214000,10.1200,10.1300,10.1200,10.1200,2700,0
KOS.US,5,20131112,214500,10.1200,10.1400,10.1200,10.1400,7084,0
KOS.US,5,20131112,215000,10.1500,10.1800,10.1400,10.1800,6528,0
KOS.US,5,20131112,215500,10.1800,10.2000,10.1700,10.2000,9100,0
KOS.US,5,20131112,220000,10.2000,10.2100,10.1900,10.1900,39589,0
KOS.US,5,20131112,220500,10.2000,10.2000,10.2000,10.2000,33319,0
KOS.US,5,20131113,153500,10.2100,10.2100,10.2100,10.2100,600,0
KOS.US,5,20131113,154000,10.2000,10.2100,10.1900,10.2100,1100,0
KOS.US,5,20131113,154500,10.1900,10.1900,10.1900,10.1900,100,0
KOS.US,5,20131113,155000,10.1900,10.1900,10.0600,10.0700,16882,0
KOS.US,5,20131113,155500,10.0700,10.1600,10.0400,10.1500,46724,0
KOS.US,5,20131113,160000,10.1600,10.1600,10.0800,10.1200,37489,0
KOS.US,5,20131113,160500,10.1200,10.1500,10.1000,10.1400,8919,0
KOS.US,5,20131113,161000,10.1500,10.1500,10.1300,10.1500,3100,0
KOS.US,5,20131113,161500,10.1400,10.1400,10.1300,10.1300,1400,0
KOS.US,5,20131113,162000,10.1400,10.1500,10.1400,10.1500,4400,0
KOS.US,5,20131113,162500,10.1500,10.1600,10.1500,10.1600,1300,0
KOS.US,5,20131113,163000,10.1600,10.1800,10.1600,10.1600,4300,0
KOS.US,5,20131113,163500,10.1600,10.1800,10.1600,10.1800,400,0
KOS.US,5,20131113,164000,10.1700,10.1800,10.1600,10.1600,2500,0
KOS.US,5,20131113,164500,10.1600,10.1600,10.1500,10.1600,1600,0
KOS.US,5,20131113,165000,10.1500,10.1500,10.1500,10.1500,600,0
KOS.US,5,20131113,165500,10.1500,10.1500,10.1400,10.1500,900,0
KOS.US,5,20131113,170000,10.1500,10.1500,10.1400,10.1400,300,0
KOS.US,5,20131113,170500,10.1400,10.1400,10.1400,10.1400,700,0
KOS.US,5,20131113,171000,10.1500,10.1500,10.1300,10.1500,2070,0
KOS.US,5,20131113,171500,10.1400,10.1400,10.1200,10.1300,1300,0
KOS.US,5,20131113,172000,10.1300,10.1300,10.1200,10.1200,400,0
KOS.US,5,20131113,172500,10.1200,10.1200,10.1000,10.1000,1000,0
KOS.US,5,20131113,173000,10.1000,10.1000,10.0900,10.0900,1100,0
KOS.US,5,20131113,173500,10.0800,10.0900,10.0800,10.0900,1200,0
KOS.US,5,20131113,174000,10.1000,10.1000,10.0700,10.0700,900,0
KOS.US,5,20131113,174500,10.0700,10.0700,10.0700,10.0700,1100,0
KOS.US,5,20131113,175000,10.0700,10.0700,10.0700,10.0700,400,0
KOS.US,5,20131113,175500,10.0800,10.1000,10.0800,10.1000,2200,0
KOS.US,5,20131113,180000,10.1000,10.1400,10.1000,10.1300,6200,0
KOS.US,5,20131113,180500,10.1200,10.1400,10.1200,10.1400,2100,0
KOS.US,5,20131113,181000,10.1400,10.1600,10.1400,10.1600,14400,0
KOS.US,5,20131113,181500,10.1500,10.1500,10.1400,10.1500,1200,0
KOS.US,5,20131113,182000,10.1500,10.1500,10.1400,10.1500,7376,0
KOS.US,5,20131113,182500,10.1500,10.1600,10.1500,10.1500,4400,0
KOS.US,5,20131113,183000,10.1500,10.1500,10.1500,10.1500,2200,0
KOS.US,5,20131113,183500,10.1600,10.1600,10.1500,10.1500,400,0
KOS.US,5,20131113,184000,10.1500,10.1600,10.1500,10.1600,600,0
KOS.US,5,20131113,184500,10.1600,10.1600,10.1600,10.1600,300,0
KOS.US,5,20131113,185000,10.1600,10.1600,10.1600,10.1600,900,0
KOS.US,5,20131113,185500,10.1500,10.1500,10.1500,10.1500,100,0
KOS.US,5,20131113,190000,10.1500,10.1500,10.1500,10.1500,200,0
KOS.US,5,20131113,190500,10.1500,10.1600,10.1500,10.1500,500,0
KOS.US,5,20131113,191000,10.1500,10.1600,10.1500,10.1600,2400,0
KOS.US,5,20131113,191500,10.1600,10.1700,10.1600,10.1700,1800,0
KOS.US,5,20131113,192000,10.1600,10.1700,10.1600,10.1700,200,0
KOS.US,5,20131113,192500,10.1600,10.1600,10.1600,10.1600,1300,0
KOS.US,5,20131113,193000,10.1600,10.1700,10.1600,10.1700,900,0
KOS.US,5,20131113,193500,10.1700,10.1700,10.1700,10.1700,300,0
KOS.US,5,20131113,194000,10.1700,10.1700,10.1600,10.1600,1600,0
KOS.US,5,20131113,194500,10.1700,10.1700,10.1600,10.1600,800,0
KOS.US,5,20131113,195000,10.1500,10.1500,10.1500,10.1500,100,0
KOS.US,5,20131113,195500,10.1500,10.2000,10.1500,10.2000,11500,0
KOS.US,5,20131113,200000,10.2000,10.2000,10.1900,10.2000,6814,0
KOS.US,5,20131113,200500,10.2000,10.2000,10.2000,10.2000,300,0
KOS.US,5,20131113,201000,10.1900,10.2200,10.1900,10.2200,7200,0
KOS.US,5,20131113,201500,10.2100,10.2200,10.2000,10.2200,1800,0
KOS.US,5,20131113,202000,10.2100,10.2500,10.2100,10.2400,10500,0
KOS.US,5,20131113,202500,10.2500,10.2500,10.2400,10.2500,4300,0
KOS.US,5,20131113,203000,10.2500,10.2600,10.2500,10.2600,4287,0
KOS.US,5,20131113,203500,10.2600,10.2600,10.2400,10.2500,3010,0
KOS.US,5,20131113,204000,10.2500,10.2600,10.2400,10.2600,10325,0
KOS.US,5,20131113,204500,10.2600,10.2600,10.2400,10.2500,6400,0
KOS.US,5,20131113,205000,10.2500,10.2500,10.2500,10.2500,2800,0
KOS.US,5,20131113,205500,10.2400,10.2500,10.2400,10.2500,1800,0
KOS.US,5,20131113,210000,10.2500,10.2500,10.2400,10.2500,7800,0
KOS.US,5,20131113,210500,10.2500,10.2500,10.1900,10.1900,12000,0
KOS.US,5,20131113,211000,10.2000,10.2100,10.1900,10.2000,1200,0
KOS.US,5,20131113,211500,10.2100,10.2100,10.1900,10.1900,2800,0
KOS.US,5,20131113,212000,10.2000,10.2000,10.2000,10.2000,600,0
KOS.US,5,20131113,212500,10.2000,10.2000,10.1900,10.2000,1000,0
KOS.US,5,20131113,213000,10.2000,10.2100,10.1900,10.2000,5027,0
KOS.US,5,20131113,213500,10.2100,10.2100,10.2000,10.2100,2700,0
KOS.US,5,20131113,214000,10.2100,10.2200,10.2000,10.2200,3100,0
KOS.US,5,20131113,214500,10.2200,10.2500,10.2000,10.2000,9900,0
KOS.US,5,20131113,215000,10.2000,10.2000,10.1400,10.1400,22711,0
KOS.US,5,20131113,215500,10.1400,10.1700,10.1400,10.1400,16400,0
KOS.US,5,20131113,220000,10.1400,10.1500,10.1400,10.1400,17368,0
KOS.US,5,20131113,220500,10.1600,10.1600,10.1600,10.1600,26300,0
