<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KO.US,5,20131112,153500,39.9100,39.9100,39.7800,39.8100,214077,0
KO.US,5,20131112,154000,39.8100,39.8300,39.7100,39.7100,171813,0
KO.US,5,20131112,154500,39.7100,39.7700,39.6900,39.7300,147977,0
KO.US,5,20131112,155000,39.7300,39.7500,39.6400,39.6600,222956,0
KO.US,5,20131112,155500,39.6600,39.7300,39.6600,39.7100,194027,0
KO.US,5,20131112,160000,39.7100,39.7200,39.6100,39.6200,194249,0
KO.US,5,20131112,160500,39.6300,39.7100,39.6300,39.6800,164274,0
KO.US,5,20131112,161000,39.6900,39.8200,39.6800,39.8100,257378,0
KO.US,5,20131112,161500,39.8100,39.8500,39.8000,39.8200,116717,0
KO.US,5,20131112,162000,39.8300,39.9200,39.8000,39.9000,230170,0
KO.US,5,20131112,162500,39.9000,39.9400,39.8800,39.9100,115934,0
KO.US,5,20131112,163000,39.9100,39.9400,39.8900,39.9200,253904,0
KO.US,5,20131112,163500,39.9200,39.9400,39.8900,39.9100,112643,0
KO.US,5,20131112,164000,39.9100,39.9100,39.8600,39.8600,90517,0
KO.US,5,20131112,164500,39.8600,39.9100,39.8600,39.8800,175423,0
KO.US,5,20131112,165000,39.8900,39.8900,39.8300,39.8600,110192,0
KO.US,5,20131112,165500,39.8600,39.9200,39.8500,39.9200,115132,0
KO.US,5,20131112,170000,39.9100,39.9400,39.8900,39.9000,103915,0
KO.US,5,20131112,170500,39.8900,39.9300,39.8800,39.9300,69416,0
KO.US,5,20131112,171000,39.9300,39.9400,39.9100,39.9300,96861,0
KO.US,5,20131112,171500,39.9400,39.9900,39.9400,39.9800,192509,0
KO.US,5,20131112,172000,39.9800,39.9900,39.9700,39.9800,119233,0
KO.US,5,20131112,172500,39.9800,39.9900,39.9400,39.9400,87186,0
KO.US,5,20131112,173000,39.9500,39.9500,39.8700,39.9100,215981,0
KO.US,5,20131112,173500,39.9100,39.9400,39.9000,39.9200,138313,0
KO.US,5,20131112,174000,39.9100,39.9200,39.8000,39.8000,144178,0
KO.US,5,20131112,174500,39.8100,39.8400,39.8000,39.8400,104568,0
KO.US,5,20131112,175000,39.8300,39.8500,39.8100,39.8300,75264,0
