<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSS.US,5,20131112,153500,57.6200,57.7300,57.4000,57.6700,29840,0
KSS.US,5,20131112,154000,57.6800,57.8300,57.6800,57.7500,20949,0
KSS.US,5,20131112,154500,57.7500,57.7600,57.5400,57.5400,11975,0
KSS.US,5,20131112,155000,57.5600,57.5700,57.4400,57.4600,16409,0
KSS.US,5,20131112,155500,57.4700,57.5200,57.3500,57.3800,19126,0
KSS.US,5,20131112,160000,57.3700,57.4900,57.3600,57.4000,29074,0
KSS.US,5,20131112,160500,57.4000,57.4300,57.2900,57.3300,26506,0
KSS.US,5,20131112,161000,57.3600,57.4000,57.3400,57.3700,15004,0
KSS.US,5,20131112,161500,57.3900,57.4100,57.3200,57.3400,15124,0
KSS.US,5,20131112,162000,57.3400,57.4600,57.3200,57.4200,15497,0
KSS.US,5,20131112,162500,57.4200,57.5200,57.4100,57.4700,26973,0
KSS.US,5,20131112,163000,57.4500,57.4900,57.3200,57.3200,93362,0
KSS.US,5,20131112,163500,57.3500,57.4200,57.3300,57.4100,7262,0
KSS.US,5,20131112,164000,57.4100,57.4200,57.3500,57.3800,6750,0
KSS.US,5,20131112,164500,57.3700,57.3800,57.3400,57.3600,9753,0
KSS.US,5,20131112,165000,57.3700,57.3700,57.3300,57.3300,7975,0
KSS.US,5,20131112,165500,57.3300,57.4200,57.3100,57.4200,22099,0
KSS.US,5,20131112,170000,57.4300,57.4300,57.3700,57.4200,20494,0
KSS.US,5,20131112,170500,57.4300,57.5100,57.4200,57.5000,15620,0
KSS.US,5,20131112,171000,57.5000,57.5400,57.4600,57.4600,20751,0
KSS.US,5,20131112,171500,57.4600,57.5200,57.4600,57.5200,33202,0
KSS.US,5,20131112,172000,57.5200,57.5300,57.4700,57.5000,21817,0
KSS.US,5,20131112,172500,57.5100,57.5300,57.4800,57.5200,17123,0
KSS.US,5,20131112,173000,57.5200,57.6000,57.5100,57.5900,17882,0
KSS.US,5,20131112,173500,57.6000,57.7600,57.6000,57.7500,26870,0
KSS.US,5,20131112,174000,57.7500,57.7600,57.6200,57.6400,21680,0
KSS.US,5,20131112,174500,57.6400,57.6500,57.5800,57.5900,22180,0
KSS.US,5,20131112,175000,57.5900,57.5900,57.4800,57.5100,9231,0
KSS.US,5,20131112,175500,57.5200,57.5200,57.4900,57.5100,6700,0
KSS.US,5,20131112,180000,57.4900,57.5000,57.4600,57.4700,3497,0
KSS.US,5,20131112,180500,57.4700,57.4900,57.4400,57.4700,14412,0
KSS.US,5,20131112,181000,57.4700,57.4700,57.3900,57.4400,6850,0
KSS.US,5,20131112,181500,57.4300,57.4900,57.4100,57.4200,31011,0
KSS.US,5,20131112,182000,57.4400,57.4600,57.4200,57.4500,6016,0
KSS.US,5,20131112,182500,57.4400,57.4800,57.3900,57.4800,27476,0
KSS.US,5,20131112,183000,57.4700,57.4700,57.3900,57.4500,10996,0
KSS.US,5,20131112,183500,57.4500,57.4500,57.3800,57.4100,22581,0
KSS.US,5,20131112,184000,57.4100,57.4300,57.3700,57.3900,8903,0
KSS.US,5,20131112,184500,57.4000,57.4300,57.3500,57.3900,8354,0
KSS.US,5,20131112,185000,57.3900,57.4800,57.3800,57.4100,10375,0
KSS.US,5,20131112,185500,57.4300,57.4500,57.4200,57.4300,5478,0
KSS.US,5,20131112,190000,57.4200,57.4300,57.4100,57.4300,5854,0
KSS.US,5,20131112,190500,57.4200,57.4600,57.4200,57.4300,5281,0
KSS.US,5,20131112,191000,57.4400,57.4600,57.4100,57.4100,25698,0
KSS.US,5,20131112,191500,57.4200,57.4500,57.4200,57.4400,5640,0
KSS.US,5,20131112,192000,57.4400,57.4500,57.4300,57.4400,9800,0
KSS.US,5,20131112,192500,57.4500,57.4900,57.4400,57.4500,6820,0
KSS.US,5,20131112,193000,57.4600,57.5200,57.4500,57.4600,15487,0
KSS.US,5,20131112,193500,57.4600,57.4600,57.3600,57.4000,11210,0
KSS.US,5,20131112,194000,57.3900,57.3900,57.3200,57.3800,14245,0
KSS.US,5,20131112,194500,57.3800,57.3900,57.3300,57.3800,10986,0
KSS.US,5,20131112,195000,57.3900,57.3900,57.3200,57.3300,16485,0
KSS.US,5,20131112,195500,57.3300,57.3500,57.3200,57.3500,7400,0
