<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCC.US,5,20131112,153500,23.2700,23.5700,23.2100,23.5600,70967,0
LCC.US,5,20131112,154000,23.5500,23.6900,23.5200,23.5600,178514,0
LCC.US,5,20131112,154500,23.5700,23.7500,23.5700,23.6600,159985,0
LCC.US,5,20131112,155000,23.6600,23.6800,23.5600,23.6300,121267,0
LCC.US,5,20131112,155500,23.6300,23.7500,23.6200,23.7200,115162,0
LCC.US,5,20131112,160000,23.7100,23.7200,23.6500,23.6500,113062,0
LCC.US,5,20131112,160500,23.6500,23.6600,23.5700,23.6400,117140,0
LCC.US,5,20131112,161000,23.6500,23.8400,23.6400,23.8300,121488,0
LCC.US,5,20131112,161500,23.8200,23.9700,23.7800,23.9300,239399,0
LCC.US,5,20131112,162000,23.9200,23.9800,23.8500,23.8700,132802,0
LCC.US,5,20131112,162500,23.8700,23.8800,23.7800,23.8000,57628,0
LCC.US,5,20131112,163000,23.7900,23.8700,23.7500,23.8700,153455,0
LCC.US,5,20131112,163500,23.8700,24.1200,23.8600,24.1100,316170,0
LCC.US,5,20131112,164000,24.1100,24.2300,24.0800,24.1200,334881,0
LCC.US,5,20131112,164500,24.1100,24.2800,24.0400,24.1700,225963,0
LCC.US,5,20131112,165000,24.1700,24.2900,24.1600,24.1900,198461,0
LCC.US,5,20131112,165500,24.1900,25.4900,24.1900,25.0000,2064288,0
LCC.US,5,20131112,170000,24.9500,24.9500,23.3900,24.0700,2684556,0
LCC.US,5,20131112,175500,23.9000,24.1000,22.5500,22.6000,3579110,0
LCC.US,5,20131112,180000,22.6000,23.3000,22.5000,23.2600,2407189,0
LCC.US,5,20131112,180500,23.2400,23.9000,23.1100,23.3300,2204239,0
LCC.US,5,20131112,181000,23.3700,23.4200,23.0300,23.0800,1313226,0
LCC.US,5,20131112,181500,23.0900,23.2700,22.9000,23.1300,1312431,0
LCC.US,5,20131112,182000,23.1200,23.2000,23.0200,23.0600,501659,0
LCC.US,5,20131112,182500,23.0500,23.0900,22.9200,23.0700,679171,0
LCC.US,5,20131112,183000,23.0600,23.1400,22.9500,23.0000,787477,0
LCC.US,5,20131112,183500,23.0000,23.0800,22.7700,22.8000,1609618,0
LCC.US,5,20131112,184000,22.7900,23.1300,22.7900,22.9500,948507,0
LCC.US,5,20131112,184500,22.9400,23.0100,22.8800,22.9700,256554,0
LCC.US,5,20131112,185000,22.9800,23.0100,22.9600,22.9700,350257,0
LCC.US,5,20131112,185500,22.9600,23.0000,22.7500,22.7900,608895,0
LCC.US,5,20131112,190000,22.8000,22.9500,22.7900,22.8700,610464,0
LCC.US,5,20131112,190500,22.8500,22.9500,22.8500,22.9400,435875,0
LCC.US,5,20131112,191000,22.9100,23.0000,22.9100,23.0000,222502,0
LCC.US,5,20131112,191500,22.9800,23.0300,22.9800,23.0200,771256,0
LCC.US,5,20131112,192000,23.0300,23.0600,22.9300,23.0000,610537,0
LCC.US,5,20131112,192500,23.0000,23.1500,22.9700,23.0900,606860,0
LCC.US,5,20131112,193000,23.0900,23.1200,22.9500,22.9900,368861,0
LCC.US,5,20131112,193500,23.0000,23.0500,22.9600,23.0200,393610,0
LCC.US,5,20131112,194000,23.0200,23.0300,22.8500,22.8700,255258,0
LCC.US,5,20131112,194500,22.8900,22.9400,22.8800,22.9000,183514,0
LCC.US,5,20131112,195000,22.9000,22.9400,22.8800,22.9200,297325,0
LCC.US,5,20131112,195500,22.9300,22.9800,22.9300,22.9600,205489,0
LCC.US,5,20131112,200000,22.9600,23.0200,22.9200,22.9500,230177,0
LCC.US,5,20131112,200500,22.9500,23.1600,22.9300,23.1200,333004,0
LCC.US,5,20131112,201000,23.1300,23.2000,23.0900,23.1600,238521,0
LCC.US,5,20131112,201500,23.1500,23.2500,23.1300,23.2200,235114,0
LCC.US,5,20131112,202000,23.2200,23.5800,23.2000,23.4500,789402,0
LCC.US,5,20131112,202500,23.4500,23.5000,23.2300,23.2900,429220,0
LCC.US,5,20131112,203000,23.2900,23.3900,23.2300,23.2700,308472,0
LCC.US,5,20131112,203500,23.2600,23.4300,23.2400,23.4200,273084,0
LCC.US,5,20131112,204000,23.4000,23.5500,23.4000,23.4200,513042,0
LCC.US,5,20131112,204500,23.4200,23.4600,23.3600,23.3800,216559,0
LCC.US,5,20131112,205000,23.3800,23.3800,23.1800,23.1900,196731,0
LCC.US,5,20131112,205500,23.1900,23.2700,23.1500,23.2000,181289,0
LCC.US,5,20131112,210000,23.2000,23.4500,23.2000,23.4200,222835,0
LCC.US,5,20131112,210500,23.4200,23.4200,23.2100,23.2800,223124,0
LCC.US,5,20131112,211000,23.2800,23.3800,23.2500,23.3100,158294,0
LCC.US,5,20131112,211500,23.3000,23.3700,23.2800,23.3300,220604,0
LCC.US,5,20131112,212000,23.3400,23.4100,23.3300,23.4100,299007,0
LCC.US,5,20131112,212500,23.4000,23.4100,23.3300,23.3500,265087,0
LCC.US,5,20131112,213000,23.3500,23.3700,23.2200,23.2400,258229,0
LCC.US,5,20131112,213500,23.2400,23.3300,23.1700,23.2900,137398,0
LCC.US,5,20131112,214000,23.3000,23.3700,23.2900,23.3300,229015,0
LCC.US,5,20131112,214500,23.3400,23.4300,23.3400,23.3800,466765,0
LCC.US,5,20131112,215000,23.3600,23.4500,23.3100,23.3400,365270,0
LCC.US,5,20131112,215500,23.3400,23.4200,23.3400,23.4000,362987,0
LCC.US,5,20131112,220000,23.4000,23.5500,23.4000,23.5200,892105,0
LCC.US,5,20131112,220500,23.5200,23.5200,23.5200,23.5200,2369502,0
LCC.US,5,20131112,221000,24.1000,24.1000,24.0700,24.0700,1900,0
LCC.US,5,20131113,153500,24.2200,24.3000,23.9400,24.0600,1748867,0
LCC.US,5,20131113,154000,24.0600,24.1300,23.8600,24.0200,1165125,0
LCC.US,5,20131113,154500,24.0000,24.0500,23.8800,23.9600,652073,0
LCC.US,5,20131113,155000,23.9700,24.0300,23.8600,23.9500,545696,0
LCC.US,5,20131113,155500,23.9600,23.9900,23.8000,23.9500,648646,0
LCC.US,5,20131113,160000,23.9400,24.0600,23.9300,24.0500,521302,0
LCC.US,5,20131113,160500,24.0500,24.0600,23.9100,23.9500,221735,0
LCC.US,5,20131113,161000,23.9200,23.9700,23.8600,23.8800,428150,0
LCC.US,5,20131113,161500,23.8800,23.8800,23.6500,23.8000,541530,0
LCC.US,5,20131113,162000,23.8000,23.8500,23.7000,23.7700,343191,0
LCC.US,5,20131113,162500,23.7700,23.8300,23.7000,23.7500,299435,0
LCC.US,5,20131113,163000,23.7500,23.8000,23.6600,23.6700,206313,0
LCC.US,5,20131113,163500,23.6800,23.7500,23.5800,23.5900,377320,0
LCC.US,5,20131113,164000,23.6000,23.7100,23.5800,23.6500,367312,0
LCC.US,5,20131113,164500,23.6500,23.6700,23.6100,23.6400,198990,0
LCC.US,5,20131113,165000,23.6400,23.6900,23.6300,23.6700,175276,0
LCC.US,5,20131113,165500,23.6700,23.6800,23.6000,23.6800,404020,0
LCC.US,5,20131113,170000,23.6700,23.7100,23.6600,23.6700,224540,0
LCC.US,5,20131113,170500,23.6800,23.7000,23.6600,23.6800,37854,0
LCC.US,5,20131113,171000,23.6900,23.7600,23.6700,23.7200,75543,0
LCC.US,5,20131113,171500,23.7200,23.7300,23.6700,23.7000,309409,0
LCC.US,5,20131113,172000,23.7100,23.7600,23.6900,23.7300,197552,0
LCC.US,5,20131113,172500,23.7300,23.8300,23.7200,23.8200,140218,0
LCC.US,5,20131113,173000,23.8300,23.8300,23.7200,23.7400,494959,0
LCC.US,5,20131113,173500,23.7400,23.8100,23.7400,23.8000,141245,0
LCC.US,5,20131113,174000,23.8100,23.8600,23.7900,23.8500,259215,0
LCC.US,5,20131113,174500,23.8500,23.8600,23.6800,23.7100,249841,0
LCC.US,5,20131113,175000,23.7000,23.8100,23.7000,23.7500,87484,0
LCC.US,5,20131113,175500,23.7500,23.7700,23.7100,23.7600,36191,0
LCC.US,5,20131113,180000,23.7500,23.7500,23.6800,23.6800,106081,0
LCC.US,5,20131113,180500,23.6800,23.7000,23.6200,23.6400,157918,0
LCC.US,5,20131113,181000,23.6400,23.6600,23.6200,23.6200,42666,0
LCC.US,5,20131113,181500,23.6200,23.6400,23.4000,23.5200,573557,0
LCC.US,5,20131113,182000,23.5200,23.5700,23.5200,23.5700,58160,0
LCC.US,5,20131113,182500,23.5600,23.6200,23.5500,23.5900,138493,0
LCC.US,5,20131113,183000,23.6000,23.6600,23.5900,23.6200,156023,0
LCC.US,5,20131113,183500,23.6200,23.6300,23.5500,23.5600,78822,0
LCC.US,5,20131113,184000,23.5500,23.5600,23.4500,23.5500,217378,0
LCC.US,5,20131113,184500,23.5400,23.5500,23.5300,23.5400,94939,0
LCC.US,5,20131113,185000,23.5300,23.5400,23.4600,23.4600,97118,0
LCC.US,5,20131113,185500,23.4600,23.4600,23.3500,23.3700,225287,0
LCC.US,5,20131113,190000,23.3600,23.3600,23.2500,23.3000,217245,0
LCC.US,5,20131113,190500,23.3100,23.3500,23.2200,23.2300,277172,0
LCC.US,5,20131113,191000,23.2400,23.3300,23.1300,23.2900,192861,0
LCC.US,5,20131113,191500,23.3000,23.3000,23.1700,23.2200,167948,0
LCC.US,5,20131113,192000,23.2200,23.2500,23.1600,23.2500,204952,0
LCC.US,5,20131113,192500,23.2400,23.2600,23.2100,23.2400,111300,0
LCC.US,5,20131113,193000,23.2400,23.2500,23.2000,23.2100,96487,0
LCC.US,5,20131113,193500,23.2000,23.2000,23.1700,23.1900,84018,0
LCC.US,5,20131113,194000,23.1900,23.1900,23.1400,23.1600,103181,0
LCC.US,5,20131113,194500,23.1700,23.2400,23.1600,23.2300,162061,0
LCC.US,5,20131113,195000,23.2300,23.2300,23.2000,23.2100,99471,0
LCC.US,5,20131113,195500,23.2000,23.2800,23.2000,23.2200,126425,0
LCC.US,5,20131113,200000,23.2300,23.2300,23.2000,23.2100,190308,0
LCC.US,5,20131113,200500,23.2100,23.3600,23.2100,23.3500,148405,0
