<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEG.US,5,20131112,153500,29.2500,29.2800,29.2100,29.2200,8644,0
LEG.US,5,20131112,154000,29.3000,29.3600,29.2700,29.3600,5116,0
LEG.US,5,20131112,154500,29.3300,29.3700,29.3100,29.3700,1492,0
LEG.US,5,20131112,155000,29.3300,29.3700,29.3300,29.3400,3498,0
LEG.US,5,20131112,155500,29.3500,29.3500,29.3200,29.3200,2470,0
LEG.US,5,20131112,160000,29.3100,29.3700,29.3000,29.3400,11970,0
LEG.US,5,20131112,160500,29.3400,29.3400,29.3000,29.3200,9091,0
LEG.US,5,20131112,161000,29.3300,29.3800,29.3200,29.3800,6822,0
LEG.US,5,20131112,161500,29.3700,29.3800,29.3600,29.3700,10464,0
LEG.US,5,20131112,162000,29.3700,29.4000,29.3500,29.4000,10812,0
LEG.US,5,20131112,162500,29.4000,29.4500,29.3700,29.4500,30414,0
LEG.US,5,20131112,163000,29.4400,29.4400,29.4000,29.4300,24863,0
LEG.US,5,20131112,163500,29.4300,29.4700,29.4200,29.4300,7884,0
LEG.US,5,20131112,164000,29.4400,29.4500,29.4400,29.4400,1200,0
LEG.US,5,20131112,164500,29.4400,29.4500,29.4000,29.4100,9711,0
LEG.US,5,20131112,165000,29.4200,29.4300,29.3900,29.4000,15181,0
LEG.US,5,20131112,165500,29.4000,29.4000,29.3900,29.4000,1700,0
LEG.US,5,20131112,170000,29.4000,29.4000,29.3600,29.3600,2250,0
LEG.US,5,20131112,170500,29.3600,29.3700,29.3400,29.3600,6655,0
LEG.US,5,20131112,171000,29.3500,29.3600,29.3300,29.3500,4206,0
LEG.US,5,20131112,171500,29.3400,29.3700,29.3400,29.3600,3856,0
LEG.US,5,20131112,172000,29.3700,29.4000,29.3700,29.4000,5308,0
LEG.US,5,20131112,172500,29.3800,29.4000,29.3700,29.3700,4542,0
LEG.US,5,20131112,173000,29.3600,29.4000,29.3600,29.4000,3850,0
LEG.US,5,20131112,173500,29.4100,29.4100,29.4000,29.4100,3939,0
LEG.US,5,20131112,174000,29.4000,29.4200,29.3900,29.4100,14702,0
LEG.US,5,20131112,174500,29.4100,29.4200,29.4000,29.4000,4252,0
LEG.US,5,20131112,175000,29.4000,29.4000,29.3500,29.3700,6951,0
LEG.US,5,20131112,175500,29.3600,29.3900,29.3600,29.3900,1896,0
LEG.US,5,20131112,180000,29.4000,29.4000,29.3700,29.3700,1623,0
LEG.US,5,20131112,180500,29.3800,29.3800,29.3600,29.3600,3387,0
LEG.US,5,20131112,181000,29.3700,29.3700,29.3500,29.3600,17551,0
LEG.US,5,20131112,181500,29.3500,29.3600,29.3500,29.3600,2675,0
LEG.US,5,20131112,182000,29.3600,29.3700,29.3500,29.3500,3650,0
LEG.US,5,20131112,182500,29.3500,29.3600,29.3300,29.3400,3950,0
LEG.US,5,20131112,183000,29.3300,29.3400,29.3000,29.3000,11700,0
LEG.US,5,20131112,183500,29.3000,29.3200,29.3000,29.3200,13256,0
LEG.US,5,20131112,184000,29.3400,29.3400,29.3100,29.3400,4183,0
LEG.US,5,20131112,184500,29.3400,29.3400,29.3100,29.3200,3500,0
LEG.US,5,20131112,185000,29.3200,29.3300,29.3000,29.3200,53910,0
LEG.US,5,20131112,185500,29.3200,29.3300,29.3100,29.3200,3032,0
LEG.US,5,20131112,190000,29.3200,29.3400,29.3200,29.3200,4306,0
LEG.US,5,20131112,190500,29.3300,29.3600,29.3200,29.3500,4497,0
LEG.US,5,20131112,191000,29.3500,29.3600,29.3400,29.3400,2909,0
LEG.US,5,20131112,191500,29.3500,29.3700,29.3500,29.3600,2726,0
LEG.US,5,20131112,192000,29.3600,29.3700,29.3500,29.3500,2520,0
LEG.US,5,20131112,192500,29.3500,29.3700,29.3500,29.3600,2635,0
LEG.US,5,20131112,193000,29.3600,29.3600,29.3100,29.3200,6193,0
LEG.US,5,20131112,193500,29.3200,29.3300,29.3000,29.3100,5383,0
LEG.US,5,20131112,194000,29.3200,29.3500,29.3000,29.3500,7228,0
LEG.US,5,20131112,194500,29.3500,29.3600,29.3300,29.3500,6300,0
LEG.US,5,20131112,195000,29.3600,29.4000,29.3600,29.3700,6917,0
LEG.US,5,20131112,195500,29.3800,29.3900,29.3600,29.3600,3250,0
LEG.US,5,20131112,200000,29.3700,29.3900,29.3600,29.3700,4200,0
LEG.US,5,20131112,200500,29.3700,29.3900,29.3600,29.3600,7746,0
LEG.US,5,20131112,201000,29.3600,29.3600,29.3500,29.3500,8619,0
LEG.US,5,20131112,201500,29.3500,29.3900,29.3500,29.3800,4342,0
LEG.US,5,20131112,202000,29.3800,29.3800,29.3500,29.3700,9401,0
LEG.US,5,20131112,202500,29.3700,29.3900,29.3700,29.3700,1800,0
LEG.US,5,20131112,203000,29.3600,29.3700,29.3400,29.3500,19170,0
LEG.US,5,20131112,203500,29.3400,29.3700,29.3400,29.3600,4141,0
LEG.US,5,20131112,204000,29.3500,29.3800,29.3500,29.3600,3721,0
LEG.US,5,20131112,204500,29.3600,29.3700,29.3400,29.3700,5707,0
LEG.US,5,20131112,205000,29.3700,29.3700,29.3500,29.3600,4258,0
LEG.US,5,20131112,205500,29.3600,29.3700,29.3500,29.3500,3922,0
LEG.US,5,20131112,210000,29.3500,29.3900,29.3400,29.3800,9612,0
LEG.US,5,20131112,210500,29.3900,29.4000,29.3800,29.3800,4811,0
LEG.US,5,20131112,211000,29.3800,29.3900,29.3700,29.3800,6535,0
LEG.US,5,20131112,211500,29.3900,29.3900,29.3700,29.3700,15312,0
LEG.US,5,20131112,212000,29.3700,29.3800,29.3600,29.3700,8919,0
LEG.US,5,20131112,212500,29.3700,29.3800,29.3500,29.3500,12284,0
LEG.US,5,20131112,213000,29.3500,29.3700,29.3500,29.3500,6995,0
LEG.US,5,20131112,213500,29.3500,29.3700,29.3500,29.3600,13196,0
LEG.US,5,20131112,214000,29.3500,29.3600,29.3500,29.3600,6553,0
LEG.US,5,20131112,214500,29.3500,29.3700,29.3500,29.3500,9379,0
LEG.US,5,20131112,215000,29.3600,29.3600,29.3300,29.3400,14958,0
LEG.US,5,20131112,215500,29.3400,29.3500,29.3200,29.3300,10600,0
LEG.US,5,20131112,220000,29.3400,29.4000,29.3400,29.3900,31929,0
LEG.US,5,20131112,221000,29.4000,29.4000,29.4000,29.4000,41364,0
LEG.US,5,20131113,153500,29.2600,29.3900,29.2600,29.3300,1157,0
LEG.US,5,20131113,154000,29.3700,29.4200,29.3400,29.4100,11100,0
LEG.US,5,20131113,154500,29.4100,29.4400,29.3700,29.3700,9888,0
LEG.US,5,20131113,155000,29.3700,29.3800,29.3400,29.3700,10014,0
LEG.US,5,20131113,155500,29.3400,29.3900,29.3300,29.3700,3834,0
LEG.US,5,20131113,160000,29.3800,29.4200,29.3600,29.4000,6391,0
LEG.US,5,20131113,160500,29.4000,29.4400,29.3900,29.4200,6600,0
LEG.US,5,20131113,161000,29.4500,29.4500,29.3700,29.3900,5000,0
LEG.US,5,20131113,161500,29.3900,29.5000,29.3700,29.4700,8411,0
LEG.US,5,20131113,162000,29.4900,29.5100,29.4700,29.4900,16624,0
LEG.US,5,20131113,162500,29.5000,29.5100,29.4600,29.4800,3905,0
LEG.US,5,20131113,163000,29.4900,29.5100,29.4700,29.4700,12011,0
LEG.US,5,20131113,163500,29.4800,29.4900,29.4000,29.4000,11966,0
LEG.US,5,20131113,164000,29.4000,29.4700,29.4000,29.4700,14950,0
LEG.US,5,20131113,164500,29.4600,29.5000,29.4300,29.5000,12015,0
LEG.US,5,20131113,165000,29.5000,29.5000,29.4700,29.4800,13232,0
LEG.US,5,20131113,165500,29.4800,29.4900,29.4800,29.4800,4630,0
LEG.US,5,20131113,170000,29.4800,29.5000,29.4700,29.4900,4722,0
LEG.US,5,20131113,170500,29.4900,29.4900,29.4700,29.4800,4974,0
LEG.US,5,20131113,171000,29.4900,29.5000,29.4700,29.5000,9981,0
LEG.US,5,20131113,171500,29.5000,29.5100,29.4700,29.4700,9357,0
LEG.US,5,20131113,172000,29.4700,29.4700,29.4400,29.4400,4000,0
LEG.US,5,20131113,172500,29.4500,29.4700,29.4500,29.4500,3618,0
LEG.US,5,20131113,173000,29.4400,29.4500,29.4400,29.4500,4000,0
LEG.US,5,20131113,173500,29.4500,29.4700,29.4300,29.4300,7152,0
LEG.US,5,20131113,174000,29.4300,29.4300,29.4000,29.4200,12594,0
LEG.US,5,20131113,174500,29.4200,29.4200,29.3900,29.3900,5302,0
LEG.US,5,20131113,175000,29.4000,29.4200,29.4000,29.4100,5350,0
LEG.US,5,20131113,175500,29.4000,29.4100,29.4000,29.4100,6045,0
LEG.US,5,20131113,180000,29.4000,29.4300,29.4000,29.4300,9333,0
LEG.US,5,20131113,180500,29.4200,29.4400,29.4200,29.4400,3500,0
LEG.US,5,20131113,181000,29.4300,29.4400,29.4200,29.4400,5400,0
LEG.US,5,20131113,181500,29.4400,29.4500,29.4300,29.4400,5365,0
LEG.US,5,20131113,182000,29.4500,29.4800,29.4500,29.4700,7830,0
LEG.US,5,20131113,182500,29.4800,29.5100,29.4700,29.4800,29114,0
LEG.US,5,20131113,183000,29.4800,29.5000,29.4500,29.4800,39132,0
LEG.US,5,20131113,183500,29.4800,29.4800,29.4700,29.4800,2011,0
LEG.US,5,20131113,184000,29.4800,29.4900,29.4700,29.4700,1505,0
LEG.US,5,20131113,184500,29.4600,29.5100,29.4600,29.5100,6640,0
LEG.US,5,20131113,185000,29.4900,29.5100,29.4800,29.4900,5877,0
LEG.US,5,20131113,185500,29.5000,29.5100,29.4900,29.4900,16146,0
LEG.US,5,20131113,190000,29.5000,29.5000,29.4800,29.4800,14225,0
LEG.US,5,20131113,190500,29.4900,29.4900,29.4700,29.4800,6135,0
LEG.US,5,20131113,191000,29.4700,29.4900,29.4700,29.4900,10536,0
LEG.US,5,20131113,191500,29.5000,29.5100,29.4900,29.5000,6774,0
LEG.US,5,20131113,192000,29.5000,29.5000,29.4900,29.5000,790,0
LEG.US,5,20131113,192500,29.5000,29.5100,29.4800,29.5000,10868,0
LEG.US,5,20131113,193000,29.4900,29.5100,29.4800,29.5000,17212,0
LEG.US,5,20131113,193500,29.5000,29.5100,29.4900,29.5000,10174,0
LEG.US,5,20131113,194000,29.5100,29.5100,29.4800,29.4900,6837,0
LEG.US,5,20131113,194500,29.4900,29.5000,29.4800,29.5000,9736,0
LEG.US,5,20131113,195000,29.5000,29.5000,29.4800,29.4800,21187,0
LEG.US,5,20131113,195500,29.4800,29.5000,29.4800,29.4900,9757,0
LEG.US,5,20131113,200000,29.4800,29.4900,29.4700,29.4700,6226,0
LEG.US,5,20131113,200500,29.4800,29.4900,29.4700,29.4800,7334,0
LEG.US,5,20131113,201000,29.4800,29.4900,29.4500,29.4600,6770,0
LEG.US,5,20131113,201500,29.4600,29.4600,29.4300,29.4300,6877,0
LEG.US,5,20131113,202000,29.4400,29.4400,29.4300,29.4300,2300,0
LEG.US,5,20131113,202500,29.4400,29.4600,29.4300,29.4500,5854,0
