<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LII.US,5,20131112,153500,79.6700,79.6700,79.5700,79.5700,300,0
LII.US,5,20131112,154000,79.8900,80.0100,79.8000,79.9900,566,0
LII.US,5,20131112,154500,79.9600,80.0500,79.8900,80.0200,1000,0
LII.US,5,20131112,155000,79.9900,80.0000,79.8400,79.9600,27532,0
LII.US,5,20131112,155500,79.9500,80.0100,79.6800,79.7300,13126,0
LII.US,5,20131112,160000,79.6500,79.7900,79.6300,79.6600,5531,0
LII.US,5,20131112,160500,79.6000,79.6000,79.3000,79.5100,5205,0
LII.US,5,20131112,161000,79.4000,79.6900,79.4000,79.6600,1000,0
LII.US,5,20131112,161500,79.6200,79.6300,79.4800,79.5300,1900,0
LII.US,5,20131112,162000,79.5000,79.7200,79.4500,79.6700,3433,0
LII.US,5,20131112,162500,79.6100,79.6100,79.4300,79.4300,1200,0
LII.US,5,20131112,163000,79.4400,79.4800,79.4100,79.4600,2300,0
LII.US,5,20131112,163500,79.5900,79.7300,79.4600,79.5000,1800,0
LII.US,5,20131112,164000,79.4400,79.6000,79.4400,79.6000,770,0
LII.US,5,20131112,164500,79.6000,79.6600,79.6000,79.6600,800,0
LII.US,5,20131112,165000,79.6600,79.7800,79.5600,79.6600,3798,0
LII.US,5,20131112,165500,79.6600,79.6700,79.5700,79.6300,23500,0
LII.US,5,20131112,170000,79.7000,79.7200,79.5800,79.5800,2000,0
LII.US,5,20131112,170500,79.5800,79.6900,79.5700,79.6600,1500,0
LII.US,5,20131112,171000,79.6600,79.6900,79.5100,79.6300,3700,0
LII.US,5,20131112,171500,79.6000,79.6600,79.5600,79.5600,9584,0
LII.US,5,20131112,172000,79.6300,79.7300,79.6000,79.7100,5443,0
LII.US,5,20131112,172500,79.7000,79.7100,79.6700,79.7100,3800,0
LII.US,5,20131112,173000,79.6900,79.7200,79.6600,79.7000,6300,0
LII.US,5,20131112,173500,79.6900,79.7400,79.6800,79.7100,15832,0
LII.US,5,20131112,174000,79.6900,79.7300,79.5800,79.5800,3100,0
LII.US,5,20131112,174500,79.6200,79.7200,79.4800,79.4900,9170,0
LII.US,5,20131112,175000,79.4900,79.5900,79.3600,79.5900,6364,0
LII.US,5,20131112,175500,79.6000,79.6900,79.5900,79.6900,1500,0
LII.US,5,20131112,180000,79.6900,79.6900,79.6100,79.6600,1800,0
LII.US,5,20131112,180500,79.6800,79.7400,79.6100,79.6600,4510,0
LII.US,5,20131112,181000,79.6200,79.6600,79.4600,79.5000,2500,0
LII.US,5,20131112,181500,79.5200,79.5500,79.4800,79.5500,1800,0
LII.US,5,20131112,182000,79.4900,79.5600,79.4400,79.5600,2100,0
LII.US,5,20131112,182500,79.5600,79.5600,79.4500,79.4500,1860,0
LII.US,5,20131112,183000,79.4800,79.4900,79.4400,79.4400,2191,0
LII.US,5,20131112,183500,79.4800,79.4800,79.2700,79.3700,3102,0
LII.US,5,20131112,184000,79.3400,79.4200,79.3200,79.4100,1956,0
LII.US,5,20131112,184500,79.4200,79.5100,79.4100,79.5000,2500,0
LII.US,5,20131112,185000,79.4800,79.5100,79.4500,79.4800,1400,0
LII.US,5,20131112,185500,79.4500,79.5100,79.4000,79.4200,3004,0
LII.US,5,20131112,190000,79.4400,79.5000,79.4400,79.5000,1500,0
LII.US,5,20131112,190500,79.4500,79.5100,79.4200,79.4600,2300,0
LII.US,5,20131112,191000,79.5200,79.5300,79.4600,79.5300,1600,0
LII.US,5,20131112,191500,79.5200,79.5200,79.4700,79.4800,1288,0
LII.US,5,20131112,192000,79.4800,79.5200,79.4500,79.5000,1500,0
LII.US,5,20131112,192500,79.4700,79.5000,79.4700,79.4800,1901,0
LII.US,5,20131112,193000,79.4800,79.4800,79.3500,79.3500,1700,0
LII.US,5,20131112,193500,79.4000,79.4200,79.3500,79.3800,1013,0
LII.US,5,20131112,194000,79.3200,79.3900,79.3200,79.3400,2300,0
LII.US,5,20131112,194500,79.3300,79.3600,79.3100,79.3400,2401,0
LII.US,5,20131112,195000,79.3500,79.3700,79.2600,79.2800,8700,0
LII.US,5,20131112,195500,79.3100,79.3500,79.2900,79.2900,1900,0
LII.US,5,20131112,200000,79.3400,79.3500,79.3100,79.3100,3723,0
LII.US,5,20131112,200500,79.3300,79.3500,79.3000,79.3000,3723,0
LII.US,5,20131112,201000,79.3100,79.3400,79.2900,79.3000,900,0
LII.US,5,20131112,201500,79.3400,79.3600,79.3300,79.3300,1100,0
LII.US,5,20131112,202000,79.3600,79.3600,79.2800,79.3000,5788,0
LII.US,5,20131112,202500,79.3500,79.3600,79.2800,79.3300,1800,0
LII.US,5,20131112,203000,79.2800,79.2800,79.1500,79.1500,2420,0
LII.US,5,20131112,203500,79.1700,79.3200,79.1700,79.2300,1900,0
LII.US,5,20131112,204000,79.3200,79.3600,79.2800,79.3300,1400,0
LII.US,5,20131112,204500,79.3300,79.3300,79.3100,79.3100,300,0
LII.US,5,20131112,205000,79.3400,79.3900,79.3100,79.3900,4018,0
LII.US,5,20131112,205500,79.4300,79.4400,79.3100,79.3100,1930,0
LII.US,5,20131112,210000,79.3100,79.5500,79.3000,79.4900,2790,0
LII.US,5,20131112,210500,79.5300,79.5400,79.5300,79.5400,380,0
LII.US,5,20131112,211000,79.5700,79.6400,79.5400,79.6400,890,0
LII.US,5,20131112,211500,79.6400,79.6900,79.6300,79.6700,2000,0
LII.US,5,20131112,212000,79.6700,79.7200,79.6700,79.7000,2430,0
LII.US,5,20131112,212500,79.7200,79.7200,79.5800,79.6200,2390,0
LII.US,5,20131112,213000,79.6200,79.6700,79.6200,79.6300,1000,0
LII.US,5,20131112,213500,79.6400,79.6700,79.6300,79.6700,1815,0
LII.US,5,20131112,214000,79.6300,79.6500,79.6000,79.6000,1530,0
LII.US,5,20131112,214500,79.5900,79.7100,79.5900,79.6500,1700,0
LII.US,5,20131112,215000,79.6700,79.7000,79.5100,79.5100,7131,0
LII.US,5,20131112,215500,79.5300,79.5600,79.4500,79.4500,7603,0
LII.US,5,20131112,220000,79.4800,79.6800,79.4500,79.6300,13470,0
LII.US,5,20131112,220500,79.6300,79.6300,79.6300,79.6300,13703,0
LII.US,5,20131113,153500,78.9400,79.4500,78.9400,79.4100,800,0
LII.US,5,20131113,154000,79.3400,79.3400,79.2000,79.2000,4957,0
LII.US,5,20131113,154500,79.2200,79.2800,79.1000,79.2100,8894,0
LII.US,5,20131113,155000,79.2000,79.2700,79.2000,79.2000,3600,0
LII.US,5,20131113,155500,79.1800,79.2200,78.9400,79.0500,1500,0
LII.US,5,20131113,160000,79.1800,79.3800,79.1400,79.2100,5700,0
LII.US,5,20131113,160500,79.2100,79.3700,79.1700,79.1700,4900,0
LII.US,5,20131113,161000,79.1900,79.2200,79.1100,79.2000,6301,0
LII.US,5,20131113,161500,79.2000,79.2400,79.1800,79.2100,6107,0
LII.US,5,20131113,162000,79.2200,79.2500,79.1200,79.2000,5000,0
LII.US,5,20131113,162500,79.2200,79.2300,79.0700,79.1700,27458,0
LII.US,5,20131113,163000,79.1900,79.2200,79.1600,79.1800,9001,0
LII.US,5,20131113,163500,79.1700,79.1800,79.0900,79.1800,3900,0
