<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LO.US,5,20131112,153500,51.3900,51.4700,51.0100,51.2000,20697,0
LO.US,5,20131112,154000,51.2600,51.4000,51.2500,51.3700,8736,0
LO.US,5,20131112,154500,51.3600,51.4100,51.2700,51.3000,17122,0
LO.US,5,20131112,155000,51.3100,51.3100,51.2600,51.3000,21632,0
LO.US,5,20131112,155500,51.3000,51.4100,51.2700,51.3400,26145,0
LO.US,5,20131112,160000,51.3400,51.4400,51.3300,51.3800,14632,0
LO.US,5,20131112,160500,51.3900,51.5100,51.3700,51.4900,40744,0
LO.US,5,20131112,161000,51.4900,51.7100,51.4900,51.6800,36439,0
LO.US,5,20131112,161500,51.6800,51.7300,51.6500,51.6700,16899,0
LO.US,5,20131112,162000,51.6700,51.7700,51.6300,51.7400,14599,0
LO.US,5,20131112,162500,51.7400,51.7800,51.6900,51.7400,76482,0
LO.US,5,20131112,163000,51.7500,51.7500,51.6900,51.7100,19765,0
LO.US,5,20131112,163500,51.7100,51.7100,51.6400,51.6700,39613,0
LO.US,5,20131112,164000,51.6700,51.7200,51.6400,51.7200,16516,0
LO.US,5,20131112,164500,51.7300,51.7600,51.6900,51.6900,20102,0
LO.US,5,20131112,165000,51.6700,51.7100,51.6200,51.6500,23419,0
LO.US,5,20131112,165500,51.6600,51.7300,51.6600,51.7300,15289,0
LO.US,5,20131112,170000,51.7400,51.7400,51.7000,51.7100,15271,0
LO.US,5,20131112,170500,51.7100,51.7700,51.7000,51.7700,20443,0
LO.US,5,20131112,171000,51.7700,51.7800,51.7500,51.7600,11807,0
LO.US,5,20131112,171500,51.7600,51.8600,51.7600,51.8600,14188,0
LO.US,5,20131112,172000,51.8600,51.8700,51.8200,51.8700,11564,0
LO.US,5,20131112,172500,51.8800,51.8800,51.8100,51.8200,16084,0
LO.US,5,20131112,173000,51.8200,51.8200,51.7800,51.8100,18037,0
LO.US,5,20131112,173500,51.8100,51.8400,51.7900,51.8400,21376,0
LO.US,5,20131112,174000,51.8400,51.8400,51.7100,51.7100,14036,0
LO.US,5,20131112,174500,51.7100,51.7900,51.7000,51.7900,14512,0
LO.US,5,20131112,175000,51.7900,51.8200,51.7700,51.7900,15519,0
LO.US,5,20131112,175500,51.8000,51.8200,51.7600,51.8200,13835,0
LO.US,5,20131112,180000,51.8200,51.8900,51.8200,51.8900,12257,0
LO.US,5,20131112,180500,51.9000,51.9400,51.8500,51.8500,23769,0
LO.US,5,20131112,181000,51.8500,51.8700,51.7800,51.8300,20600,0
LO.US,5,20131112,181500,51.8300,51.8300,51.7900,51.8100,10700,0
LO.US,5,20131112,182000,51.8200,51.8200,51.7600,51.7600,8337,0
LO.US,5,20131112,182500,51.7700,51.7900,51.7500,51.7600,8640,0
LO.US,5,20131112,183000,51.7600,51.8300,51.7600,51.7800,9861,0
LO.US,5,20131112,183500,51.7900,51.7900,51.7400,51.7500,14122,0
LO.US,5,20131112,184000,51.7600,51.8000,51.7600,51.8000,10682,0
LO.US,5,20131112,184500,51.8100,51.8700,51.8100,51.8700,9672,0
LO.US,5,20131112,185000,51.8700,51.9200,51.8500,51.9200,12620,0
LO.US,5,20131112,185500,51.9200,51.9600,51.9200,51.9200,14533,0
LO.US,5,20131112,190000,51.9200,51.9800,51.9000,51.9800,13766,0
LO.US,5,20131112,190500,51.9700,51.9700,51.9000,51.9000,10325,0
LO.US,5,20131112,191000,51.9100,51.9100,51.8400,51.8600,16563,0
LO.US,5,20131112,191500,51.8700,51.9600,51.8700,51.9400,15069,0
LO.US,5,20131112,192000,51.9400,51.9500,51.9000,51.9400,10329,0
LO.US,5,20131112,192500,51.9400,51.9800,51.9300,51.9600,7883,0
LO.US,5,20131112,193000,51.9600,51.9600,51.8600,51.8600,32766,0
LO.US,5,20131112,193500,51.8600,51.8700,51.7500,51.8000,14167,0
LO.US,5,20131112,194000,51.8000,51.8000,51.7500,51.7500,22358,0
