<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPS.US,5,20131112,153500,34.0400,34.0400,33.9700,33.9700,2000,0
LPS.US,5,20131112,154000,33.9800,33.9800,33.9200,33.9200,500,0
LPS.US,5,20131112,154500,33.9100,33.9500,33.9100,33.9500,700,0
LPS.US,5,20131112,155000,33.9500,33.9500,33.9300,33.9400,2700,0
LPS.US,5,20131112,155500,33.9200,33.9200,33.9000,33.9000,6200,0
LPS.US,5,20131112,160000,33.9000,33.9200,33.9000,33.9100,4600,0
LPS.US,5,20131112,160500,33.9200,33.9200,33.8700,33.8700,3500,0
LPS.US,5,20131112,161000,33.8600,33.8900,33.8600,33.8800,1400,0
LPS.US,5,20131112,161500,33.9000,33.9100,33.8800,33.8800,3816,0
LPS.US,5,20131112,162000,33.8600,33.9300,33.8600,33.9300,1697,0
LPS.US,5,20131112,162500,33.9300,33.9300,33.8900,33.8900,3200,0
LPS.US,5,20131112,163000,33.9100,33.9200,33.9000,33.9200,401,0
LPS.US,5,20131112,163500,33.9500,33.9500,33.9200,33.9200,1600,0
LPS.US,5,20131112,164000,33.9400,33.9400,33.9200,33.9200,551,0
LPS.US,5,20131112,164500,33.9200,33.9200,33.9100,33.9100,200,0
LPS.US,5,20131112,165000,33.9100,33.9200,33.8900,33.8900,1301,0
LPS.US,5,20131112,165500,33.9100,33.9200,33.9100,33.9100,5349,0
LPS.US,5,20131112,170000,33.9000,33.9200,33.9000,33.9100,4700,0
LPS.US,5,20131112,170500,33.9100,33.9300,33.9100,33.9100,1500,0
LPS.US,5,20131112,171000,33.9100,33.9300,33.9000,33.9100,4667,0
LPS.US,5,20131112,171500,33.9200,33.9200,33.9100,33.9100,1100,0
LPS.US,5,20131112,172000,33.9200,33.9300,33.9100,33.9100,9687,0
LPS.US,5,20131112,172500,33.9100,33.9300,33.9000,33.9300,2744,0
LPS.US,5,20131112,173000,33.9400,33.9400,33.9100,33.9100,5700,0
LPS.US,5,20131112,173500,33.9100,33.9500,33.9100,33.9500,7835,0
LPS.US,5,20131112,174000,33.9500,33.9500,33.9200,33.9200,1500,0
LPS.US,5,20131112,174500,33.9200,33.9200,33.9200,33.9200,100,0
LPS.US,5,20131112,175000,33.9400,33.9400,33.9200,33.9200,1000,0
LPS.US,5,20131112,175500,33.9100,33.9200,33.9100,33.9200,300,0
LPS.US,5,20131112,180000,33.9200,33.9200,33.9100,33.9100,1216,0
LPS.US,5,20131112,180500,33.9000,33.9100,33.9000,33.9000,2421,0
LPS.US,5,20131112,181000,33.9100,33.9100,33.9000,33.9000,20563,0
LPS.US,5,20131112,181500,33.9000,33.9000,33.9000,33.9000,700,0
LPS.US,5,20131112,182000,33.9000,33.9100,33.9000,33.9000,1953,0
LPS.US,5,20131112,182500,33.9000,33.9000,33.8800,33.8900,4067,0
LPS.US,5,20131112,183000,33.8800,33.8800,33.8800,33.8800,100,0
LPS.US,5,20131112,183500,33.8800,33.8900,33.8800,33.8900,1706,0
LPS.US,5,20131112,184000,33.8900,33.8900,33.8800,33.8800,1600,0
LPS.US,5,20131112,184500,33.8900,33.8900,33.8900,33.8900,200,0
LPS.US,5,20131112,185000,33.8900,33.9000,33.8800,33.8800,8900,0
LPS.US,5,20131112,185500,33.8800,33.8900,33.8800,33.8800,700,0
LPS.US,5,20131112,190000,33.8900,33.8900,33.8800,33.8800,3100,0
LPS.US,5,20131112,190500,33.8800,33.8900,33.8800,33.8800,2500,0
LPS.US,5,20131112,191000,33.8900,33.8900,33.8800,33.8900,500,0
LPS.US,5,20131112,191500,33.8900,33.8900,33.8800,33.8900,2700,0
LPS.US,5,20131112,192000,33.8800,33.8900,33.8800,33.8800,3042,0
LPS.US,5,20131112,192500,33.8900,33.8900,33.8800,33.8900,700,0
LPS.US,5,20131112,193000,33.8800,33.8900,33.8800,33.8800,3853,0
LPS.US,5,20131112,193500,33.8800,33.8800,33.8700,33.8700,2506,0
LPS.US,5,20131112,194000,33.8600,33.8600,33.8600,33.8600,9200,0
LPS.US,5,20131112,194500,33.8600,33.8800,33.8600,33.8800,3066,0
LPS.US,5,20131112,195000,33.8700,33.8800,33.8700,33.8700,1100,0
LPS.US,5,20131112,195500,33.8700,33.8800,33.8700,33.8700,2079,0
LPS.US,5,20131112,200000,33.8800,33.9000,33.8800,33.8900,5819,0
