<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUV.US,5,20131112,153500,17.7400,17.9200,17.7400,17.9200,51543,0
LUV.US,5,20131112,154000,17.9200,17.9800,17.9200,17.9500,146294,0
LUV.US,5,20131112,154500,17.9500,17.9500,17.8700,17.9000,227194,0
LUV.US,5,20131112,155000,17.9000,17.9300,17.8900,17.9100,101202,0
LUV.US,5,20131112,155500,17.9100,17.9100,17.8900,17.9000,70219,0
LUV.US,5,20131112,160000,17.9000,17.9000,17.8700,17.8800,52081,0
LUV.US,5,20131112,160500,17.8800,17.9000,17.8500,17.8600,120788,0
LUV.US,5,20131112,161000,17.8600,17.8700,17.8500,17.8700,72789,0
LUV.US,5,20131112,161500,17.8700,17.9500,17.8600,17.9500,84046,0
LUV.US,5,20131112,162000,17.9500,17.9800,17.9400,17.9500,109032,0
LUV.US,5,20131112,162500,17.9500,17.9700,17.9300,17.9700,42850,0
LUV.US,5,20131112,163000,17.9700,17.9800,17.9400,17.9700,209819,0
LUV.US,5,20131112,163500,17.9700,18.0400,17.9700,18.0400,268198,0
LUV.US,5,20131112,164000,18.0400,18.0800,18.0300,18.0800,145045,0
LUV.US,5,20131112,164500,18.0700,18.1300,18.0600,18.1100,132464,0
LUV.US,5,20131112,165000,18.1100,18.1400,18.1100,18.1200,78699,0
LUV.US,5,20131112,165500,18.1200,18.2900,18.1100,18.2300,440625,0
LUV.US,5,20131112,170000,18.2300,18.2300,18.0900,18.2300,510321,0
LUV.US,5,20131112,170500,18.2200,18.2500,18.1900,18.2300,333099,0
LUV.US,5,20131112,171000,18.2200,18.2600,18.1500,18.2600,380874,0
LUV.US,5,20131112,171500,18.2600,18.3600,18.2400,18.3600,436933,0
LUV.US,5,20131112,172000,18.3500,18.3700,18.2500,18.2500,603104,0
LUV.US,5,20131112,172500,18.2400,18.2700,18.2000,18.2100,289529,0
LUV.US,5,20131112,173000,18.2200,18.2600,18.2000,18.2200,205654,0
LUV.US,5,20131112,173500,18.2200,18.3500,18.2100,18.3400,604245,0
LUV.US,5,20131112,174000,18.3400,18.4000,18.2800,18.3800,494017,0
LUV.US,5,20131112,174500,18.3800,18.4600,18.3400,18.4000,474468,0
LUV.US,5,20131112,175000,18.4000,18.4500,18.3600,18.4500,694417,0
LUV.US,5,20131112,175500,18.4500,18.4800,18.3100,18.3100,515953,0
LUV.US,5,20131112,180000,18.3100,18.4100,18.2800,18.4000,354151,0
LUV.US,5,20131112,180500,18.4100,18.5400,18.4000,18.5100,551290,0
LUV.US,5,20131112,181000,18.5100,18.5100,18.3600,18.3800,237615,0
LUV.US,5,20131112,181500,18.3900,18.3900,18.2600,18.2900,223084,0
LUV.US,5,20131112,182000,18.2800,18.3100,18.2700,18.3100,151451,0
LUV.US,5,20131112,182500,18.3100,18.3100,18.2100,18.2200,162843,0
LUV.US,5,20131112,183000,18.2100,18.2400,18.1800,18.2000,109185,0
LUV.US,5,20131112,183500,18.2000,18.2100,18.0300,18.0600,360082,0
LUV.US,5,20131112,184000,18.0600,18.1400,18.0300,18.1100,224969,0
LUV.US,5,20131112,184500,18.1100,18.1100,18.0500,18.0900,219359,0
LUV.US,5,20131112,185000,18.0900,18.1300,18.0800,18.1300,58353,0
LUV.US,5,20131112,185500,18.1300,18.1300,18.0600,18.0700,64051,0
LUV.US,5,20131112,190000,18.0600,18.0700,18.0500,18.0500,41322,0
LUV.US,5,20131112,190500,18.0500,18.1000,18.0400,18.0600,143195,0
LUV.US,5,20131112,191000,18.0600,18.0800,18.0100,18.0300,138209,0
LUV.US,5,20131112,191500,18.0300,18.0400,18.0100,18.0300,41857,0
LUV.US,5,20131112,192000,18.0300,18.0300,17.9900,17.9900,98673,0
LUV.US,5,20131112,192500,18.0000,18.0300,17.9900,18.0300,131377,0
LUV.US,5,20131112,193000,18.0300,18.0400,18.0000,18.0100,54713,0
LUV.US,5,20131112,193500,18.0200,18.0300,17.9900,18.0000,48940,0
LUV.US,5,20131112,194000,17.9900,18.0000,17.9700,17.9800,71534,0
LUV.US,5,20131112,194500,17.9800,18.0000,17.9600,17.9900,63936,0
LUV.US,5,20131112,195000,17.9900,18.0000,17.9700,18.0000,91039,0
LUV.US,5,20131112,195500,17.9900,18.0200,17.9900,18.0000,61771,0
LUV.US,5,20131112,200000,18.0100,18.0400,18.0100,18.0200,81371,0
LUV.US,5,20131112,200500,18.0100,18.0500,18.0100,18.0500,168837,0
LUV.US,5,20131112,201000,18.0500,18.0900,18.0500,18.0600,92667,0
LUV.US,5,20131112,201500,18.0700,18.0900,18.0500,18.0600,61517,0
LUV.US,5,20131112,202000,18.0600,18.0700,18.0200,18.0400,198417,0
LUV.US,5,20131112,202500,18.0500,18.0600,18.0000,18.0000,135939,0
LUV.US,5,20131112,203000,18.0100,18.0100,17.9700,17.9700,65420,0
LUV.US,5,20131112,203500,17.9700,17.9800,17.9500,17.9700,65504,0
LUV.US,5,20131112,204000,17.9700,18.0100,17.9600,17.9900,81314,0
LUV.US,5,20131112,204500,17.9900,18.0100,17.9800,18.0000,116155,0
LUV.US,5,20131112,205000,18.0000,18.0200,17.9800,18.0100,60239,0
LUV.US,5,20131112,205500,18.0100,18.0200,17.9700,17.9800,93912,0
LUV.US,5,20131112,210000,17.9700,18.0100,17.9600,18.0100,135824,0
LUV.US,5,20131112,210500,18.0100,18.0200,17.9900,17.9900,64798,0
LUV.US,5,20131112,211000,18.0000,18.0000,17.9900,18.0000,100270,0
LUV.US,5,20131112,211500,17.9900,18.0200,17.9900,18.0200,83161,0
LUV.US,5,20131112,212000,18.0200,18.0400,18.0100,18.0400,71104,0
LUV.US,5,20131112,212500,18.0400,18.0400,18.0000,18.0100,104649,0
LUV.US,5,20131112,213000,18.0100,18.0300,18.0100,18.0200,128106,0
LUV.US,5,20131112,213500,18.0200,18.0500,18.0100,18.0200,150980,0
LUV.US,5,20131112,214000,18.0200,18.0700,18.0200,18.0500,187245,0
LUV.US,5,20131112,214500,18.0500,18.0700,18.0500,18.0500,124098,0
LUV.US,5,20131112,215000,18.0600,18.0600,18.0200,18.0200,167837,0
LUV.US,5,20131112,215500,18.0200,18.0300,18.0100,18.0100,192788,0
LUV.US,5,20131112,220000,18.0200,18.0400,18.0100,18.0300,467432,0
LUV.US,5,20131112,220500,18.0300,18.0300,18.0300,18.0300,391584,0
LUV.US,5,20131113,153500,17.9900,18.0000,17.9400,17.9500,64040,0
LUV.US,5,20131113,154000,17.9500,18.0300,17.9200,18.0300,130036,0
LUV.US,5,20131113,154500,18.0400,18.0900,17.9500,17.9500,95322,0
LUV.US,5,20131113,155000,17.9500,18.0200,17.9400,17.9800,94607,0
LUV.US,5,20131113,155500,17.9900,17.9900,17.9600,17.9800,129113,0
LUV.US,5,20131113,160000,17.9800,18.0100,17.9500,17.9600,124974,0
LUV.US,5,20131113,160500,17.9700,18.0000,17.9600,17.9800,138376,0
LUV.US,5,20131113,161000,17.9800,18.0300,17.9800,18.0300,72090,0
LUV.US,5,20131113,161500,18.0300,18.0300,17.9600,18.0000,179366,0
LUV.US,5,20131113,162000,18.0000,18.0500,17.9900,17.9900,148870,0
LUV.US,5,20131113,162500,18.0000,18.0400,17.9900,18.0400,108614,0
LUV.US,5,20131113,163000,18.0400,18.0600,18.0200,18.0200,124517,0
LUV.US,5,20131113,163500,18.0200,18.0300,17.9900,18.0000,78860,0
LUV.US,5,20131113,164000,18.0000,18.0200,17.9800,17.9900,66137,0
LUV.US,5,20131113,164500,18.0000,18.0200,17.9800,18.0200,71728,0
LUV.US,5,20131113,165000,18.0300,18.0300,17.9900,18.0000,83666,0
LUV.US,5,20131113,165500,18.0100,18.0200,17.9800,18.0000,62555,0
LUV.US,5,20131113,170000,18.0200,18.0200,17.9700,17.9800,80349,0
LUV.US,5,20131113,170500,17.9900,17.9900,17.9600,17.9900,132281,0
LUV.US,5,20131113,171000,17.9900,18.0100,17.9900,18.0000,160268,0
LUV.US,5,20131113,171500,18.0000,18.0000,17.9600,17.9600,105991,0
LUV.US,5,20131113,172000,17.9600,17.9900,17.9600,17.9700,130322,0
LUV.US,5,20131113,172500,17.9700,17.9700,17.9600,17.9700,29198,0
LUV.US,5,20131113,173000,17.9700,17.9800,17.9600,17.9800,63813,0
LUV.US,5,20131113,173500,17.9800,18.0300,17.9700,18.0300,104406,0
LUV.US,5,20131113,174000,18.0200,18.0300,17.9900,18.0100,69245,0
LUV.US,5,20131113,174500,18.0100,18.0100,17.9800,17.9800,29677,0
LUV.US,5,20131113,175000,17.9900,18.0000,17.9800,18.0000,26289,0
LUV.US,5,20131113,175500,18.0000,18.0000,17.9800,18.0000,26223,0
LUV.US,5,20131113,180000,17.9800,17.9900,17.9800,17.9800,21078,0
LUV.US,5,20131113,180500,17.9900,17.9900,17.9700,17.9700,30945,0
LUV.US,5,20131113,181000,17.9800,18.0000,17.9700,17.9800,31954,0
LUV.US,5,20131113,181500,17.9800,17.9900,17.9600,17.9700,56760,0
LUV.US,5,20131113,182000,17.9700,18.0000,17.9700,17.9900,37243,0
LUV.US,5,20131113,182500,17.9900,18.0200,17.9800,18.0200,46977,0
LUV.US,5,20131113,183000,18.0200,18.0500,18.0100,18.0500,50071,0
LUV.US,5,20131113,183500,18.0500,18.0500,18.0300,18.0300,50341,0
LUV.US,5,20131113,184000,18.0300,18.0400,18.0200,18.0300,18311,0
LUV.US,5,20131113,184500,18.0300,18.0500,18.0200,18.0500,66121,0
LUV.US,5,20131113,185000,18.0500,18.0500,18.0200,18.0300,73836,0
LUV.US,5,20131113,185500,18.0300,18.0400,18.0200,18.0300,38268,0
LUV.US,5,20131113,190000,18.0300,18.0400,18.0200,18.0300,49654,0
LUV.US,5,20131113,190500,18.0300,18.0300,18.0200,18.0200,279043,0
LUV.US,5,20131113,191000,18.0300,18.0300,18.0200,18.0300,20416,0
LUV.US,5,20131113,191500,18.0300,18.0300,18.0100,18.0200,37407,0
LUV.US,5,20131113,192000,18.0100,18.0200,18.0100,18.0200,16327,0
LUV.US,5,20131113,192500,18.0200,18.0200,18.0100,18.0100,185152,0
LUV.US,5,20131113,193000,18.0100,18.0100,18.0000,18.0100,35079,0
LUV.US,5,20131113,193500,18.0100,18.0300,18.0000,18.0300,63752,0
LUV.US,5,20131113,194000,18.0300,18.0300,18.0100,18.0100,49218,0
LUV.US,5,20131113,194500,18.0200,18.0200,18.0100,18.0100,14233,0
LUV.US,5,20131113,195000,18.0200,18.0300,18.0100,18.0200,38905,0
LUV.US,5,20131113,195500,18.0300,18.0300,18.0200,18.0300,34506,0
LUV.US,5,20131113,200000,18.0300,18.0300,18.0000,18.0000,72155,0
LUV.US,5,20131113,200500,18.0000,18.0100,18.0000,18.0000,35972,0
LUV.US,5,20131113,201000,18.0100,18.0100,17.9900,18.0000,55294,0
LUV.US,5,20131113,201500,18.0000,18.0000,17.9600,17.9900,116235,0
LUV.US,5,20131113,202000,17.9900,17.9900,17.9700,17.9800,123326,0
LUV.US,5,20131113,202500,17.9800,17.9900,17.9700,17.9900,52623,0
LUV.US,5,20131113,203000,17.9900,17.9900,17.9700,17.9700,66743,0
LUV.US,5,20131113,203500,17.9700,17.9800,17.9700,17.9700,66367,0
LUV.US,5,20131113,204000,17.9800,17.9800,17.9700,17.9800,20182,0
LUV.US,5,20131113,204500,17.9700,17.9900,17.9600,17.9700,123974,0
LUV.US,5,20131113,205000,17.9700,17.9800,17.9600,17.9800,51636,0
LUV.US,5,20131113,205500,17.9800,17.9800,17.9700,17.9700,37581,0
LUV.US,5,20131113,210000,17.9800,17.9800,17.9700,17.9700,39538,0
LUV.US,5,20131113,210500,17.9700,17.9800,17.9700,17.9800,53405,0
LUV.US,5,20131113,211000,17.9700,17.9800,17.9700,17.9700,54343,0
