<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVLT.US,5,20131112,153500,30.1000,30.3100,30.0300,30.2700,18023,0
LVLT.US,5,20131112,154000,30.2700,30.3200,30.2700,30.3200,1000,0
LVLT.US,5,20131112,154500,30.2900,30.3500,30.2200,30.2500,42610,0
LVLT.US,5,20131112,155000,30.2600,30.3900,30.2400,30.3800,16562,0
LVLT.US,5,20131112,155500,30.3800,30.3800,30.2200,30.2200,13815,0
LVLT.US,5,20131112,160000,30.2200,30.2200,30.0000,30.1200,40027,0
LVLT.US,5,20131112,160500,30.1100,30.1100,30.0400,30.0600,6535,0
LVLT.US,5,20131112,161000,30.0400,30.1200,30.0400,30.1200,10233,0
LVLT.US,5,20131112,161500,30.1200,30.1200,30.0100,30.0100,6400,0
LVLT.US,5,20131112,162000,30.0000,30.1500,30.0000,30.0300,34259,0
LVLT.US,5,20131112,162500,30.0400,30.0500,29.9300,29.9800,9384,0
LVLT.US,5,20131112,163000,30.0000,30.0200,29.9300,29.9400,23386,0
LVLT.US,5,20131112,163500,29.9400,29.9500,29.8600,29.8900,11830,0
LVLT.US,5,20131112,164000,29.8900,30.0100,29.8900,29.9500,21255,0
LVLT.US,5,20131112,164500,29.9300,29.9300,29.8900,29.9000,6998,0
LVLT.US,5,20131112,165000,29.9100,29.9800,29.8800,29.8900,70773,0
LVLT.US,5,20131112,165500,29.8900,29.9400,29.8900,29.9400,44726,0
LVLT.US,5,20131112,170000,29.9300,29.9300,29.7500,29.7900,25915,0
LVLT.US,5,20131112,170500,29.7900,29.8300,29.7800,29.7900,27721,0
LVLT.US,5,20131112,171000,29.8000,29.8200,29.7400,29.7600,32026,0
LVLT.US,5,20131112,171500,29.7500,29.7500,29.6500,29.7400,80349,0
LVLT.US,5,20131112,172000,29.7600,29.8900,29.7400,29.8800,21327,0
LVLT.US,5,20131112,172500,29.8900,29.9300,29.8600,29.9200,12500,0
LVLT.US,5,20131112,173000,29.9100,29.9200,29.8900,29.9100,8550,0
LVLT.US,5,20131112,173500,29.9000,29.9900,29.8800,29.9700,11838,0
LVLT.US,5,20131112,174000,29.9900,30.0100,29.9300,29.9300,40305,0
LVLT.US,5,20131112,174500,29.9200,29.9700,29.9200,29.9400,13262,0
LVLT.US,5,20131112,175000,29.9600,30.0100,29.9300,30.0100,38477,0
LVLT.US,5,20131112,175500,30.0000,30.0500,30.0000,30.0000,21316,0
LVLT.US,5,20131112,180000,30.0100,30.0300,29.9900,30.0200,39736,0
LVLT.US,5,20131112,180500,30.0300,30.0400,29.9800,30.0000,36953,0
LVLT.US,5,20131112,181000,30.0200,30.0200,29.9800,29.9900,24599,0
LVLT.US,5,20131112,181500,29.9900,30.0600,29.9800,30.0500,21748,0
LVLT.US,5,20131112,182000,30.0400,30.0500,30.0200,30.0400,14500,0
LVLT.US,5,20131112,182500,30.0300,30.0600,30.0000,30.0600,38820,0
LVLT.US,5,20131112,183000,30.0500,30.1000,30.0100,30.0100,26611,0
LVLT.US,5,20131112,183500,30.0200,30.0500,30.0000,30.0500,13416,0
LVLT.US,5,20131112,184000,30.0500,30.0500,30.0100,30.0200,19071,0
LVLT.US,5,20131112,184500,30.0200,30.0200,29.9900,30.0200,6543,0
LVLT.US,5,20131112,185000,30.0000,30.0200,29.9900,30.0100,10653,0
LVLT.US,5,20131112,185500,30.0100,30.0500,29.9800,30.0200,13392,0
LVLT.US,5,20131112,190000,30.0300,30.0400,29.9900,30.0100,20111,0
LVLT.US,5,20131112,190500,30.0100,30.0100,29.9800,30.0000,3100,0
LVLT.US,5,20131112,191000,30.0000,30.0000,29.9800,29.9900,3833,0
LVLT.US,5,20131112,191500,30.0000,30.0100,29.9900,30.0100,3545,0
LVLT.US,5,20131112,192000,30.0000,30.0100,29.9900,30.0100,2364,0
LVLT.US,5,20131112,192500,30.0100,30.0400,29.9800,30.0300,17657,0
