<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGF.US,5,20131112,153500,5.6900,5.6900,5.6900,5.6900,200,0
MGF.US,5,20131112,154000,5.6800,5.6900,5.6800,5.6800,1508,0
MGF.US,5,20131112,154500,5.6800,5.6900,5.6800,5.6800,2765,0
MGF.US,5,20131112,155000,5.6700,5.6800,5.6700,5.6800,918,0
MGF.US,5,20131112,155500,5.6800,5.6800,5.6800,5.6800,100,0
MGF.US,5,20131112,160000,5.6800,5.6800,5.6800,5.6800,100,0
MGF.US,5,20131112,162000,5.6800,5.6800,5.6800,5.6800,100,0
MGF.US,5,20131112,163000,5.6800,5.6800,5.6800,5.6800,1300,0
MGF.US,5,20131112,164500,5.6700,5.6700,5.6700,5.6700,126,0
MGF.US,5,20131112,165500,5.6700,5.6700,5.6500,5.6500,2140,0
MGF.US,5,20131112,170000,5.6500,5.6700,5.6500,5.6500,3142,0
MGF.US,5,20131112,175500,5.6500,5.6500,5.6500,5.6500,700,0
MGF.US,5,20131112,180500,5.6500,5.6600,5.6500,5.6600,8777,0
MGF.US,5,20131112,181000,5.6600,5.6600,5.6600,5.6600,2575,0
MGF.US,5,20131112,181500,5.6700,5.6700,5.6600,5.6700,3400,0
MGF.US,5,20131112,182000,5.6700,5.6700,5.6700,5.6700,300,0
MGF.US,5,20131112,183000,5.6700,5.6800,5.6700,5.6800,503,0
MGF.US,5,20131112,190000,5.6600,5.6600,5.6500,5.6600,11761,0
MGF.US,5,20131112,190500,5.6500,5.6500,5.6500,5.6500,1000,0
MGF.US,5,20131112,191500,5.6500,5.6500,5.6500,5.6500,1365,0
MGF.US,5,20131112,193500,5.6500,5.6500,5.6400,5.6400,1490,0
MGF.US,5,20131112,195500,5.6500,5.6500,5.6500,5.6500,4600,0
MGF.US,5,20131112,200000,5.6500,5.6500,5.6500,5.6500,360,0
MGF.US,5,20131112,202000,5.6500,5.6500,5.6500,5.6500,863,0
MGF.US,5,20131112,204000,5.6500,5.6500,5.6500,5.6500,3216,0
MGF.US,5,20131112,205500,5.6600,5.6600,5.6600,5.6600,1000,0
MGF.US,5,20131112,212000,5.6600,5.6600,5.6600,5.6600,1000,0
MGF.US,5,20131112,212500,5.6500,5.6500,5.6500,5.6500,500,0
MGF.US,5,20131112,214000,5.6500,5.6500,5.6400,5.6400,2127,0
MGF.US,5,20131112,215500,5.6500,5.6500,5.6500,5.6500,325,0
MGF.US,5,20131112,220000,5.6400,5.6400,5.6400,5.6400,2412,0
MGF.US,5,20131113,154000,5.6500,5.6500,5.6500,5.6500,100,0
MGF.US,5,20131113,154500,5.6500,5.6500,5.6500,5.6500,2000,0
MGF.US,5,20131113,160000,5.6600,5.6600,5.6600,5.6600,100,0
MGF.US,5,20131113,161500,5.6500,5.6500,5.6500,5.6500,3370,0
MGF.US,5,20131113,163500,5.6500,5.6500,5.6500,5.6500,1200,0
MGF.US,5,20131113,165500,5.6500,5.6500,5.6500,5.6500,375,0
MGF.US,5,20131113,171000,5.6600,5.6600,5.6600,5.6600,100,0
MGF.US,5,20131113,171500,5.6600,5.6600,5.6600,5.6600,2669,0
MGF.US,5,20131113,172000,5.6600,5.6600,5.6600,5.6600,1530,0
MGF.US,5,20131113,172500,5.6500,5.6600,5.6500,5.6600,1400,0
MGF.US,5,20131113,173000,5.6600,5.6600,5.6500,5.6600,1540,0
MGF.US,5,20131113,174000,5.6600,5.6600,5.6600,5.6600,330,0
MGF.US,5,20131113,175500,5.6600,5.6600,5.6600,5.6600,270,0
MGF.US,5,20131113,180500,5.6500,5.6500,5.6500,5.6500,1900,0
MGF.US,5,20131113,181500,5.6500,5.6500,5.6500,5.6500,100,0
MGF.US,5,20131113,182500,5.6600,5.6600,5.6600,5.6600,2100,0
MGF.US,5,20131113,183000,5.6600,5.6600,5.6600,5.6600,300,0
MGF.US,5,20131113,194000,5.6500,5.6500,5.6500,5.6500,600,0
MGF.US,5,20131113,195000,5.6500,5.6500,5.6500,5.6500,1000,0
MGF.US,5,20131113,195500,5.6500,5.6500,5.6500,5.6500,590,0
MGF.US,5,20131113,200500,5.6500,5.6500,5.6500,5.6500,500,0
MGF.US,5,20131113,201000,5.6600,5.6600,5.6600,5.6600,700,0
MGF.US,5,20131113,202500,5.6500,5.6500,5.6500,5.6500,675,0
MGF.US,5,20131113,203000,5.6600,5.6600,5.6600,5.6600,284,0
MGF.US,5,20131113,204500,5.6500,5.6500,5.6500,5.6500,4100,0
MGF.US,5,20131113,205000,5.6500,5.6500,5.6500,5.6500,4100,0
MGF.US,5,20131113,210000,5.6500,5.6700,5.6500,5.6700,8117,0
MGF.US,5,20131113,210500,5.6600,5.6600,5.6500,5.6500,2285,0
MGF.US,5,20131113,215500,5.6500,5.6500,5.6500,5.6500,1000,0
MGF.US,5,20131113,220000,5.6500,5.6600,5.6500,5.6600,2441,0
MGF.US,5,20131114,154500,5.6600,5.6600,5.6600,5.6600,1750,0
MGF.US,5,20131114,155500,5.6700,5.6700,5.6700,5.6700,100,0
MGF.US,5,20131114,160500,5.6600,5.7100,5.6600,5.6700,9253,0
MGF.US,5,20131114,161000,5.7000,5.7100,5.6800,5.6800,4103,0
MGF.US,5,20131114,162500,5.6800,5.6800,5.6800,5.6800,3000,0
MGF.US,5,20131114,163000,5.6800,5.6800,5.6800,5.6800,5600,0
MGF.US,5,20131114,163500,5.6800,5.6800,5.6600,5.6700,6400,0
MGF.US,5,20131114,170500,5.6700,5.6700,5.6700,5.6700,500,0
MGF.US,5,20131114,171000,5.6600,5.6600,5.6600,5.6600,7125,0
MGF.US,5,20131114,172000,5.6600,5.6600,5.6600,5.6600,200,0
MGF.US,5,20131114,174000,5.6700,5.6700,5.6600,5.6600,3000,0
MGF.US,5,20131114,175000,5.6700,5.6700,5.6700,5.6700,2000,0
MGF.US,5,20131114,175500,5.6600,5.6600,5.6600,5.6600,300,0
MGF.US,5,20131114,185500,5.6700,5.6700,5.6600,5.6600,3800,0
MGF.US,5,20131114,190000,5.6700,5.6700,5.6700,5.6700,6000,0
MGF.US,5,20131114,192500,5.6600,5.6600,5.6600,5.6600,1500,0
MGF.US,5,20131114,194000,5.6600,5.6600,5.6600,5.6600,4500,0
MGF.US,5,20131114,195000,5.6700,5.6700,5.6700,5.6700,2000,0
MGF.US,5,20131114,195500,5.6700,5.6700,5.6700,5.6700,117,0
MGF.US,5,20131114,201000,5.6600,5.6600,5.6600,5.6600,612,0
MGF.US,5,20131114,203000,5.6700,5.6700,5.6700,5.6700,700,0
MGF.US,5,20131114,204500,5.6700,5.6700,5.6700,5.6700,1000,0
MGF.US,5,20131114,205500,5.6600,5.6600,5.6600,5.6600,419,0
MGF.US,5,20131114,211000,5.6700,5.6700,5.6600,5.6600,4950,0
MGF.US,5,20131114,211500,5.6700,5.6700,5.6700,5.6700,100,0
MGF.US,5,20131114,212500,5.6700,5.6700,5.6700,5.6700,207,0
MGF.US,5,20131114,215000,5.6700,5.6700,5.6700,5.6700,500,0
MGF.US,5,20131114,215500,5.6700,5.6800,5.6700,5.6800,2134,0
MGF.US,5,20131114,220000,5.6800,5.6900,5.6700,5.6800,9624,0
MGF.US,5,20131115,160000,5.6600,5.6600,5.6600,5.6600,700,0
MGF.US,5,20131115,161500,5.6700,5.6700,5.6700,5.6700,100,0
MGF.US,5,20131115,162000,5.6700,5.6700,5.6600,5.6600,2555,0
MGF.US,5,20131115,163500,5.6600,5.6600,5.6600,5.6600,1480,0
MGF.US,5,20131115,165500,5.6600,5.6600,5.6600,5.6600,300,0
MGF.US,5,20131115,171500,5.6700,5.6700,5.6600,5.6600,770,0
MGF.US,5,20131115,172000,5.6600,5.6600,5.6500,5.6500,7535,0
MGF.US,5,20131115,174000,5.6600,5.6600,5.6600,5.6600,1300,0
MGF.US,5,20131115,174500,5.6600,5.6600,5.6600,5.6600,200,0
MGF.US,5,20131115,175000,5.6600,5.6700,5.6600,5.6700,7202,0
MGF.US,5,20131115,175500,5.6700,5.6700,5.6700,5.6700,200,0
MGF.US,5,20131115,180000,5.6600,5.6600,5.6600,5.6600,5300,0
