<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGM.US,5,20131112,153500,19.2300,19.3200,19.2000,19.3000,58666,0
MGM.US,5,20131112,154000,19.2900,19.3900,19.2900,19.3300,95180,0
MGM.US,5,20131112,154500,19.3300,19.3500,19.2900,19.3400,127856,0
MGM.US,5,20131112,155000,19.3400,19.4000,19.3300,19.3400,140146,0
MGM.US,5,20131112,155500,19.3400,19.3400,19.2900,19.3000,65115,0
MGM.US,5,20131112,160000,19.3000,19.3300,19.2600,19.3300,74050,0
MGM.US,5,20131112,160500,19.3300,19.3500,19.2000,19.2100,74251,0
MGM.US,5,20131112,161000,19.2100,19.2400,19.1500,19.2100,201180,0
MGM.US,5,20131112,161500,19.2100,19.2300,19.1900,19.2200,73785,0
MGM.US,5,20131112,162000,19.2100,19.2600,19.1800,19.2100,141556,0
MGM.US,5,20131112,162500,19.2100,19.2200,19.1700,19.1700,94189,0
MGM.US,5,20131112,163000,19.1700,19.2000,19.1400,19.2000,60799,0
MGM.US,5,20131112,163500,19.2000,19.2100,19.1600,19.1800,35978,0
MGM.US,5,20131112,164000,19.1800,19.2500,19.1600,19.2400,249601,0
MGM.US,5,20131112,164500,19.2400,19.2800,19.2300,19.2600,65479,0
MGM.US,5,20131112,165000,19.2700,19.2700,19.2100,19.2200,48731,0
MGM.US,5,20131112,165500,19.2300,19.2400,19.2200,19.2300,34226,0
MGM.US,5,20131112,170000,19.2200,19.2200,19.1700,19.1800,369147,0
MGM.US,5,20131112,170500,19.1800,19.1900,19.1500,19.1600,75311,0
MGM.US,5,20131112,171000,19.1700,19.1700,19.1300,19.1300,57035,0
MGM.US,5,20131112,171500,19.1300,19.1700,19.1200,19.1600,36930,0
MGM.US,5,20131112,172000,19.1600,19.1800,19.1300,19.1500,90552,0
MGM.US,5,20131112,172500,19.1500,19.2000,19.1500,19.1700,51353,0
MGM.US,5,20131112,173000,19.1700,19.2400,19.1700,19.2200,45438,0
MGM.US,5,20131112,173500,19.2300,19.2600,19.2300,19.2600,53095,0
MGM.US,5,20131112,174000,19.2500,19.2500,19.1600,19.1600,39897,0
MGM.US,5,20131112,174500,19.1600,19.1900,19.1500,19.1900,22346,0
MGM.US,5,20131112,175000,19.1900,19.2200,19.1800,19.1900,29388,0
MGM.US,5,20131112,175500,19.1900,19.2000,19.1800,19.1900,10099,0
MGM.US,5,20131112,180000,19.2000,19.2200,19.2000,19.2100,23304,0
MGM.US,5,20131112,180500,19.2100,19.2200,19.1900,19.2000,25160,0
MGM.US,5,20131112,181000,19.2000,19.2000,19.1200,19.1400,66845,0
MGM.US,5,20131112,181500,19.1400,19.1700,19.1400,19.1600,77249,0
MGM.US,5,20131112,182000,19.1600,19.1800,19.1600,19.1700,30619,0
MGM.US,5,20131112,182500,19.1800,19.1800,19.1300,19.1600,50843,0
MGM.US,5,20131112,183000,19.1600,19.1700,19.1500,19.1700,19804,0
MGM.US,5,20131112,183500,19.1700,19.1700,19.1400,19.1700,47067,0
MGM.US,5,20131112,184000,19.1700,19.1800,19.1100,19.1100,99464,0
MGM.US,5,20131112,184500,19.1200,19.1400,19.0900,19.1100,114335,0
MGM.US,5,20131112,185000,19.1200,19.1400,19.1100,19.1200,69524,0
MGM.US,5,20131112,185500,19.1100,19.1600,19.1100,19.1500,60393,0
MGM.US,5,20131112,190000,19.1600,19.1600,19.1400,19.1400,13224,0
MGM.US,5,20131112,190500,19.1400,19.1500,19.1100,19.1200,60006,0
MGM.US,5,20131112,191000,19.1200,19.1400,19.1200,19.1300,27300,0
MGM.US,5,20131112,191500,19.1300,19.1700,19.1200,19.1500,84467,0
MGM.US,5,20131112,192000,19.1500,19.1600,19.1300,19.1300,74233,0
MGM.US,5,20131112,192500,19.1400,19.1700,19.1400,19.1700,69126,0
MGM.US,5,20131112,193000,19.1700,19.1800,19.1300,19.1300,35406,0
MGM.US,5,20131112,193500,19.1400,19.1500,19.1300,19.1500,50734,0
MGM.US,5,20131112,194000,19.1500,19.1500,19.1300,19.1400,28550,0
MGM.US,5,20131112,194500,19.1300,19.1500,19.1200,19.1400,42997,0
MGM.US,5,20131112,195000,19.1300,19.1500,19.1300,19.1500,52310,0
MGM.US,5,20131112,195500,19.1500,19.1600,19.1400,19.1600,41558,0
MGM.US,5,20131112,200000,19.1600,19.2000,19.1600,19.1700,74114,0
MGM.US,5,20131112,200500,19.1800,19.2100,19.1800,19.2100,34347,0
MGM.US,5,20131112,201000,19.2100,19.2100,19.1800,19.1900,50560,0
MGM.US,5,20131112,201500,19.1900,19.1900,19.1800,19.1900,10194,0
MGM.US,5,20131112,202000,19.1800,19.1800,19.1400,19.1700,41925,0
MGM.US,5,20131112,202500,19.1800,19.1800,19.1400,19.1600,26474,0
MGM.US,5,20131112,203000,19.1600,19.1700,19.1400,19.1400,26788,0
MGM.US,5,20131112,203500,19.1400,19.1700,19.1400,19.1700,40171,0
MGM.US,5,20131112,204000,19.1800,19.1900,19.1700,19.1800,32705,0
MGM.US,5,20131112,204500,19.1800,19.1900,19.1800,19.1800,5370,0
MGM.US,5,20131112,205000,19.1800,19.2000,19.1800,19.2000,54818,0
MGM.US,5,20131112,205500,19.2000,19.2000,19.1700,19.1700,31381,0
MGM.US,5,20131112,210000,19.1700,19.2100,19.1700,19.1900,51055,0
MGM.US,5,20131112,210500,19.1900,19.2100,19.1900,19.2000,66662,0
MGM.US,5,20131112,211000,19.2100,19.2400,19.2000,19.2300,34156,0
MGM.US,5,20131112,211500,19.2400,19.2500,19.2100,19.2100,56325,0
MGM.US,5,20131112,212000,19.2100,19.2300,19.2000,19.2200,32346,0
MGM.US,5,20131112,212500,19.2200,19.2300,19.1900,19.1900,24373,0
MGM.US,5,20131112,213000,19.1900,19.2100,19.1700,19.1700,55799,0
MGM.US,5,20131112,213500,19.1700,19.2300,19.1700,19.1900,113283,0
MGM.US,5,20131112,214000,19.1900,19.2100,19.1900,19.2000,74217,0
MGM.US,5,20131112,214500,19.2000,19.2400,19.2000,19.2300,102146,0
MGM.US,5,20131112,215000,19.2300,19.2300,19.1900,19.2200,81073,0
MGM.US,5,20131112,215500,19.2100,19.2200,19.2100,19.2100,62334,0
MGM.US,5,20131112,220000,19.2100,19.2600,19.2100,19.2500,223716,0
MGM.US,5,20131112,220500,19.2600,19.2600,19.2600,19.2600,112374,0
MGM.US,5,20131113,153500,19.3100,19.3400,19.2200,19.2400,65524,0
MGM.US,5,20131113,154000,19.2500,19.3400,19.2500,19.2900,74017,0
MGM.US,5,20131113,154500,19.2900,19.3700,19.2900,19.3100,107492,0
MGM.US,5,20131113,155000,19.3100,19.4000,19.3000,19.3900,134253,0
MGM.US,5,20131113,155500,19.3900,19.4000,19.3200,19.3800,119567,0
MGM.US,5,20131113,160000,19.3800,19.5000,19.3800,19.4600,192905,0
MGM.US,5,20131113,160500,19.4600,19.4900,19.3900,19.4200,168341,0
MGM.US,5,20131113,161000,19.4200,19.4400,19.3900,19.4300,230366,0
MGM.US,5,20131113,161500,19.4300,19.4800,19.4100,19.4500,147167,0
MGM.US,5,20131113,162000,19.4600,19.4800,19.4100,19.4400,99993,0
MGM.US,5,20131113,162500,19.4300,19.4500,19.4100,19.4400,44465,0
MGM.US,5,20131113,163000,19.4400,19.4800,19.4400,19.4600,80227,0
MGM.US,5,20131113,163500,19.4600,19.4700,19.4500,19.4700,61151,0
MGM.US,5,20131113,164000,19.4700,19.4800,19.4600,19.4700,95349,0
MGM.US,5,20131113,164500,19.4800,19.5000,19.4700,19.4800,79722,0
MGM.US,5,20131113,165000,19.4800,19.5500,19.4800,19.5300,280214,0
MGM.US,5,20131113,165500,19.5300,19.5500,19.5000,19.5000,42888,0
MGM.US,5,20131113,170000,19.5100,19.5400,19.4700,19.4700,176898,0
MGM.US,5,20131113,170500,19.4700,19.5300,19.4700,19.5300,238949,0
MGM.US,5,20131113,171000,19.5200,19.5500,19.5000,19.5500,92169,0
MGM.US,5,20131113,171500,19.5400,19.5500,19.4900,19.5200,90783,0
MGM.US,5,20131113,172000,19.5200,19.5200,19.4800,19.5100,48591,0
MGM.US,5,20131113,172500,19.5100,19.5300,19.4900,19.5100,35670,0
MGM.US,5,20131113,173000,19.5100,19.5500,19.5000,19.5200,59380,0
MGM.US,5,20131113,173500,19.5300,19.5500,19.5300,19.5500,67410,0
MGM.US,5,20131113,174000,19.5500,19.5700,19.5100,19.5200,149565,0
MGM.US,5,20131113,174500,19.5300,19.5300,19.5000,19.5100,34796,0
MGM.US,5,20131113,175000,19.5100,19.5400,19.5100,19.5300,55659,0
MGM.US,5,20131113,175500,19.5300,19.5400,19.5300,19.5400,33366,0
MGM.US,5,20131113,180000,19.5400,19.5900,19.5300,19.5900,104119,0
MGM.US,5,20131113,180500,19.5800,19.5900,19.5300,19.5300,66328,0
MGM.US,5,20131113,181000,19.5400,19.5400,19.5100,19.5400,34220,0
MGM.US,5,20131113,181500,19.5300,19.5600,19.5200,19.5500,55904,0
MGM.US,5,20131113,182000,19.5600,19.5800,19.5500,19.5700,34267,0
MGM.US,5,20131113,182500,19.5800,19.5900,19.5500,19.5600,119600,0
MGM.US,5,20131113,183000,19.5600,19.5900,19.5600,19.5800,50808,0
MGM.US,5,20131113,183500,19.5800,19.6000,19.5700,19.5900,106858,0
MGM.US,5,20131113,184000,19.5900,19.6300,19.5900,19.6100,154793,0
MGM.US,5,20131113,184500,19.6100,19.6400,19.6000,19.6400,79143,0
MGM.US,5,20131113,185000,19.6400,19.6500,19.6300,19.6500,50790,0
MGM.US,5,20131113,185500,19.6500,19.6700,19.6200,19.6300,55221,0
MGM.US,5,20131113,190000,19.6400,19.6600,19.6200,19.6300,42341,0
MGM.US,5,20131113,190500,19.6300,19.6300,19.6000,19.6000,38444,0
MGM.US,5,20131113,191000,19.6000,19.6100,19.5700,19.6000,26494,0
MGM.US,5,20131113,191500,19.6100,19.6100,19.5900,19.6100,59425,0
MGM.US,5,20131113,192000,19.6000,19.6000,19.5700,19.5800,54636,0
MGM.US,5,20131113,192500,19.5900,19.5900,19.5700,19.5800,36097,0
MGM.US,5,20131113,193000,19.5700,19.6400,19.5700,19.6400,111882,0
MGM.US,5,20131113,193500,19.6300,19.6500,19.6200,19.6500,51406,0
MGM.US,5,20131113,194000,19.6500,19.6500,19.6200,19.6300,29412,0
MGM.US,5,20131113,194500,19.6400,19.6400,19.6200,19.6300,22030,0
MGM.US,5,20131113,195000,19.6400,19.6700,19.6300,19.6300,80946,0
MGM.US,5,20131113,195500,19.6300,19.6600,19.6200,19.6200,31962,0
MGM.US,5,20131113,200000,19.6200,19.6400,19.6100,19.6100,56590,0
MGM.US,5,20131113,200500,19.6200,19.6300,19.5900,19.6100,89624,0
MGM.US,5,20131113,201000,19.6100,19.6100,19.5900,19.6100,28379,0
MGM.US,5,20131113,201500,19.6100,19.6100,19.5800,19.6000,33142,0
MGM.US,5,20131113,202000,19.5900,19.6100,19.5700,19.6100,52992,0
MGM.US,5,20131113,202500,19.6100,19.6300,19.6100,19.6300,21581,0
MGM.US,5,20131113,203000,19.6300,19.6600,19.6300,19.6300,57663,0
MGM.US,5,20131113,203500,19.6300,19.6400,19.6100,19.6300,50772,0
MGM.US,5,20131113,204000,19.6300,19.6500,19.6200,19.6300,63769,0
MGM.US,5,20131113,204500,19.6200,19.6600,19.6100,19.6600,35547,0
MGM.US,5,20131113,205000,19.6600,19.6600,19.6300,19.6400,73116,0
MGM.US,5,20131113,205500,19.6500,19.6800,19.6400,19.6500,58770,0
MGM.US,5,20131113,210000,19.6600,19.6800,19.6400,19.6500,67793,0
MGM.US,5,20131113,210500,19.6600,19.6600,19.6300,19.6400,40347,0
MGM.US,5,20131113,211000,19.6300,19.6700,19.6300,19.6600,49553,0
MGM.US,5,20131113,211500,19.6700,19.6700,19.6600,19.6700,16506,0
MGM.US,5,20131113,212000,19.6600,19.6700,19.6400,19.6500,64024,0
MGM.US,5,20131113,212500,19.6600,19.6800,19.6400,19.6700,86895,0
MGM.US,5,20131113,213000,19.6800,19.6800,19.6400,19.6500,127686,0
MGM.US,5,20131113,213500,19.6400,19.6900,19.6300,19.6700,136016,0
MGM.US,5,20131113,214000,19.6800,19.6900,19.6500,19.6700,213916,0
MGM.US,5,20131113,214500,19.6800,19.6900,19.6700,19.6900,216543,0
MGM.US,5,20131113,215000,19.6800,19.7000,19.6600,19.7000,244266,0
MGM.US,5,20131113,215500,19.7000,19.7200,19.6700,19.6800,202456,0
MGM.US,5,20131113,220000,19.6800,19.7100,19.6800,19.7000,280126,0
MGM.US,5,20131113,220500,19.7000,19.7100,19.7000,19.7000,439166,0
MGM.US,5,20131114,153500,19.7900,19.8200,19.6800,19.7100,63269,0
MGM.US,5,20131114,154000,19.6900,19.7100,19.6800,19.7100,71550,0
MGM.US,5,20131114,154500,19.7000,19.7100,19.5800,19.6000,102862,0
MGM.US,5,20131114,155000,19.6100,19.7000,19.6000,19.7000,54727,0
MGM.US,5,20131114,155500,19.7000,19.7400,19.6800,19.6900,256053,0
MGM.US,5,20131114,160000,19.6800,19.6900,19.6000,19.6400,89224,0
MGM.US,5,20131114,160500,19.6400,19.6400,19.5300,19.5600,140715,0
MGM.US,5,20131114,161000,19.5600,19.5600,19.5000,19.5100,156756,0
MGM.US,5,20131114,161500,19.5100,19.5900,19.5100,19.5900,40263,0
MGM.US,5,20131114,162000,19.5900,19.6100,19.5700,19.6000,91462,0
MGM.US,5,20131114,162500,19.6000,19.6000,19.5300,19.5500,101439,0
MGM.US,5,20131114,163000,19.5500,19.5900,19.5200,19.5600,144276,0
MGM.US,5,20131114,163500,19.5600,19.6000,19.5500,19.5900,119730,0
MGM.US,5,20131114,164000,19.5900,19.6100,19.5700,19.6000,42013,0
