<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MHI.US,5,20131112,153500,14.0600,14.0800,14.0400,14.0400,5400,0
MHI.US,5,20131112,154500,14.0500,14.0500,14.0400,14.0400,2500,0
MHI.US,5,20131112,155000,14.0400,14.0400,14.0400,14.0400,1200,0
MHI.US,5,20131112,155500,14.0400,14.0400,14.0400,14.0400,100,0
MHI.US,5,20131112,160000,14.0500,14.0500,14.0400,14.0400,1096,0
MHI.US,5,20131112,160500,14.0500,14.0500,14.0500,14.0500,1694,0
MHI.US,5,20131112,162000,14.0500,14.0600,14.0500,14.0600,1100,0
MHI.US,5,20131112,165500,14.0700,14.0800,14.0700,14.0800,2330,0
MHI.US,5,20131112,170500,14.0800,14.0800,14.0600,14.0600,916,0
MHI.US,5,20131112,172500,14.0500,14.0500,14.0500,14.0500,100,0
MHI.US,5,20131112,173000,14.0800,14.0900,14.0700,14.0800,1300,0
MHI.US,5,20131112,173500,14.0500,14.0500,14.0400,14.0500,600,0
MHI.US,5,20131112,174000,14.0400,14.0400,14.0400,14.0400,500,0
MHI.US,5,20131112,174500,14.0400,14.0400,14.0400,14.0400,811,0
MHI.US,5,20131112,175000,14.0500,14.0500,14.0500,14.0500,333,0
MHI.US,5,20131112,175500,14.0500,14.0500,14.0400,14.0400,3534,0
MHI.US,5,20131112,180000,14.0400,14.0400,14.0400,14.0400,100,0
MHI.US,5,20131112,180500,14.0400,14.0400,14.0400,14.0400,200,0
MHI.US,5,20131112,181500,14.0400,14.0400,14.0400,14.0400,2450,0
MHI.US,5,20131112,182000,14.0400,14.0400,14.0400,14.0400,200,0
MHI.US,5,20131112,182500,14.0400,14.0400,14.0400,14.0400,200,0
MHI.US,5,20131112,183500,14.0400,14.0400,14.0000,14.0000,5100,0
MHI.US,5,20131112,184000,14.0000,14.0200,14.0000,14.0100,1534,0
MHI.US,5,20131112,184500,14.0300,14.0300,14.0300,14.0300,1206,0
MHI.US,5,20131112,185000,14.0000,14.0000,14.0000,14.0000,200,0
MHI.US,5,20131112,185500,14.0200,14.0200,14.0200,14.0200,200,0
MHI.US,5,20131112,190000,14.0200,14.0200,14.0200,14.0200,100,0
MHI.US,5,20131112,190500,14.0200,14.0200,14.0200,14.0200,200,0
MHI.US,5,20131112,191000,14.0000,14.0000,13.9700,13.9700,5048,0
MHI.US,5,20131112,191500,14.0000,14.0000,14.0000,14.0000,1400,0
MHI.US,5,20131112,192000,13.9600,13.9600,13.9600,13.9600,300,0
MHI.US,5,20131112,192500,13.9600,13.9600,13.9600,13.9600,1925,0
MHI.US,5,20131112,193000,13.9600,13.9600,13.9600,13.9600,300,0
MHI.US,5,20131112,194500,13.9600,13.9600,13.9600,13.9600,200,0
MHI.US,5,20131112,195000,13.9700,14.0100,13.9700,14.0100,505,0
MHI.US,5,20131112,195500,13.9700,13.9700,13.9700,13.9700,300,0
MHI.US,5,20131112,200000,13.9900,13.9900,13.9900,13.9900,5051,0
MHI.US,5,20131112,200500,13.9700,13.9700,13.9700,13.9700,200,0
MHI.US,5,20131112,201000,13.9900,13.9900,13.9700,13.9700,1300,0
MHI.US,5,20131112,202000,13.9700,13.9700,13.9700,13.9700,5347,0
MHI.US,5,20131112,202500,13.9700,13.9900,13.9700,13.9900,1345,0
MHI.US,5,20131112,203000,13.9700,13.9700,13.9700,13.9700,442,0
MHI.US,5,20131112,203500,13.9700,13.9700,13.9700,13.9700,300,0
MHI.US,5,20131112,204000,13.9700,13.9700,13.9700,13.9700,200,0
MHI.US,5,20131112,204500,13.9700,13.9700,13.9700,13.9700,200,0
MHI.US,5,20131112,205500,13.9700,13.9900,13.9700,13.9900,900,0
MHI.US,5,20131112,210500,13.9800,13.9800,13.9800,13.9800,200,0
MHI.US,5,20131112,211000,14.0100,14.0100,13.9800,13.9800,1073,0
MHI.US,5,20131112,211500,13.9800,13.9800,13.9800,13.9800,1819,0
MHI.US,5,20131112,212000,14.0100,14.0100,13.9800,13.9800,1578,0
MHI.US,5,20131112,212500,13.9800,13.9800,13.9800,13.9800,200,0
MHI.US,5,20131112,213000,13.9800,13.9800,13.9800,13.9800,100,0
MHI.US,5,20131112,214000,13.9900,13.9900,13.9900,13.9900,400,0
MHI.US,5,20131112,214500,13.9900,14.0100,13.9900,14.0100,200,0
MHI.US,5,20131112,215000,13.9900,13.9900,13.9900,13.9900,300,0
MHI.US,5,20131112,215500,14.0000,14.0000,14.0000,14.0000,400,0
MHI.US,5,20131112,220000,14.0000,14.0300,13.9700,13.9700,5573,0
MHI.US,5,20131113,153500,13.9100,13.9100,13.8700,13.9000,4510,0
MHI.US,5,20131113,154000,13.9500,13.9700,13.9500,13.9700,1000,0
MHI.US,5,20131113,154500,13.9700,14.0500,13.9700,13.9800,4000,0
MHI.US,5,20131113,155000,13.9800,13.9800,13.9800,13.9800,100,0
MHI.US,5,20131113,155500,13.9900,14.0300,13.9900,13.9900,2240,0
MHI.US,5,20131113,160500,14.0000,14.0400,14.0000,14.0400,3374,0
MHI.US,5,20131113,161000,14.0000,14.0000,14.0000,14.0000,600,0
MHI.US,5,20131113,163500,14.0500,14.0500,14.0100,14.0100,5440,0
MHI.US,5,20131113,165000,14.0100,14.0100,14.0100,14.0100,2130,0
MHI.US,5,20131113,165500,14.0100,14.0100,13.9700,13.9700,2251,0
MHI.US,5,20131113,170000,13.9900,13.9900,13.9900,13.9900,5500,0
MHI.US,5,20131113,171500,13.9800,13.9800,13.9800,13.9800,100,0
MHI.US,5,20131113,185000,14.0000,14.0000,14.0000,14.0000,3000,0
MHI.US,5,20131113,190500,14.0100,14.0100,14.0100,14.0100,200,0
MHI.US,5,20131113,200000,14.0100,14.0500,14.0100,14.0400,6708,0
MHI.US,5,20131113,200500,14.0400,14.0500,14.0400,14.0500,1263,0
MHI.US,5,20131113,204000,13.9900,13.9900,13.9900,13.9900,1000,0
MHI.US,5,20131113,204500,14.0300,14.0300,14.0300,14.0300,100,0
MHI.US,5,20131113,205000,14.0000,14.0000,14.0000,14.0000,500,0
MHI.US,5,20131113,205500,14.0000,14.0000,14.0000,14.0000,8500,0
MHI.US,5,20131113,210000,14.0000,14.0000,14.0000,14.0000,1075,0
MHI.US,5,20131113,211500,14.0000,14.0000,14.0000,14.0000,250,0
MHI.US,5,20131113,212500,13.9800,13.9800,13.9700,13.9700,1100,0
MHI.US,5,20131113,213000,13.9700,13.9700,13.9700,13.9700,400,0
MHI.US,5,20131113,214000,13.9800,13.9800,13.9800,13.9800,100,0
MHI.US,5,20131113,214500,13.9800,13.9800,13.9700,13.9700,750,0
MHI.US,5,20131113,220000,13.9800,13.9800,13.9800,13.9800,100,0
MHI.US,5,20131114,153500,13.8600,13.8600,13.8600,13.8600,600,0
MHI.US,5,20131114,154000,13.8900,13.8900,13.8900,13.8900,200,0
MHI.US,5,20131114,155000,13.9100,13.9100,13.8900,13.8900,650,0
MHI.US,5,20131114,155500,13.9100,13.9100,13.9100,13.9100,100,0
MHI.US,5,20131114,160000,13.9100,13.9100,13.9100,13.9100,1000,0
MHI.US,5,20131114,160500,13.9100,13.9100,13.8700,13.8700,6704,0
MHI.US,5,20131114,161000,13.8800,13.8800,13.8800,13.8800,801,0
MHI.US,5,20131114,163000,13.9100,13.9100,13.9100,13.9100,200,0
MHI.US,5,20131114,164000,13.9300,13.9400,13.9300,13.9300,800,0
MHI.US,5,20131114,170500,13.9400,13.9400,13.9400,13.9400,400,0
MHI.US,5,20131114,171000,13.9500,13.9500,13.9500,13.9500,500,0
MHI.US,5,20131114,171500,13.9500,13.9500,13.9500,13.9500,1600,0
MHI.US,5,20131114,172000,13.9600,13.9600,13.9400,13.9400,1700,0
MHI.US,5,20131114,172500,13.9600,13.9700,13.9600,13.9700,2400,0
MHI.US,5,20131114,173000,13.9700,13.9700,13.9700,13.9700,800,0
MHI.US,5,20131114,173500,13.9800,13.9900,13.9800,13.9900,1500,0
MHI.US,5,20131114,174000,13.9900,13.9900,13.9900,13.9900,200,0
