<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MHK.US,5,20131112,153500,135.0100,135.0100,134.2300,134.7600,11037,0
MHK.US,5,20131112,154000,134.6700,135.8200,134.6700,135.6600,4112,0
MHK.US,5,20131112,154500,135.6600,135.8500,135.4600,135.4600,9600,0
MHK.US,5,20131112,155000,135.5300,135.5300,135.3800,135.4600,1400,0
MHK.US,5,20131112,155500,135.4400,135.5700,135.3200,135.3200,8626,0
MHK.US,5,20131112,160000,135.4700,135.4800,135.3100,135.4300,4100,0
MHK.US,5,20131112,160500,135.2000,135.3000,134.9200,135.0000,4882,0
MHK.US,5,20131112,161000,134.9600,135.2500,134.9600,135.2200,2402,0
MHK.US,5,20131112,161500,135.1700,135.1700,135.1100,135.1100,300,0
MHK.US,5,20131112,162000,135.1500,135.3300,135.1100,135.2000,6100,0
MHK.US,5,20131112,162500,135.1900,135.2400,135.0700,135.1700,2100,0
MHK.US,5,20131112,163000,135.2900,135.3100,135.2400,135.2400,1900,0
MHK.US,5,20131112,163500,135.2400,135.3300,134.9800,135.1400,7065,0
MHK.US,5,20131112,164000,135.1500,135.1600,135.1000,135.1300,2300,0
MHK.US,5,20131112,164500,135.1300,135.1900,135.0300,135.0300,3700,0
MHK.US,5,20131112,165000,135.0600,135.1400,134.9200,135.1200,6800,0
MHK.US,5,20131112,165500,135.0500,135.1200,134.9900,135.0800,9200,0
MHK.US,5,20131112,170000,135.0800,135.1000,134.9700,135.0200,5369,0
MHK.US,5,20131112,170500,135.0100,135.0900,134.9300,134.9700,14699,0
MHK.US,5,20131112,171000,134.9700,135.0900,134.9300,135.0100,8100,0
MHK.US,5,20131112,171500,135.0000,135.1100,134.9800,135.0100,12110,0
MHK.US,5,20131112,172000,135.1000,135.1500,135.0600,135.1500,4400,0
MHK.US,5,20131112,172500,135.1200,135.1900,134.9700,135.0400,5359,0
MHK.US,5,20131112,173000,135.0800,135.1600,135.0000,135.1000,4150,0
MHK.US,5,20131112,173500,135.1300,135.1600,135.0400,135.1500,11677,0
MHK.US,5,20131112,174000,135.1300,135.1300,134.9400,134.9800,8600,0
MHK.US,5,20131112,174500,135.0300,135.1400,134.9700,134.9700,6650,0
MHK.US,5,20131112,175000,135.0000,135.0700,134.9400,135.0500,15940,0
MHK.US,5,20131112,175500,135.0600,135.1200,135.0200,135.0800,9940,0
MHK.US,5,20131112,180000,135.1100,135.1400,134.9300,135.0100,25700,0
MHK.US,5,20131112,180500,135.0600,135.1200,134.9400,135.1000,14439,0
MHK.US,5,20131112,181000,135.0700,135.0900,134.8400,135.0000,28684,0
MHK.US,5,20131112,181500,135.0000,135.1100,134.9100,134.9600,17700,0
MHK.US,5,20131112,182000,134.9300,135.0300,134.9100,134.9100,16953,0
MHK.US,5,20131112,182500,134.8400,134.9200,134.8000,134.8700,12036,0
MHK.US,5,20131112,183000,134.8800,135.0200,134.8800,134.9300,4300,0
MHK.US,5,20131112,183500,134.8900,134.9900,134.6500,134.7000,54803,0
MHK.US,5,20131112,184000,134.7400,135.2900,134.7200,135.2600,62281,0
MHK.US,5,20131112,184500,135.2300,135.3700,135.0100,135.3700,21900,0
MHK.US,5,20131112,185000,135.3600,135.5300,135.3600,135.4600,2573,0
MHK.US,5,20131112,185500,135.4600,135.6000,135.3100,135.3100,5000,0
MHK.US,5,20131112,190000,135.3700,135.5700,135.3700,135.5700,2800,0
MHK.US,5,20131112,190500,135.6000,135.8200,135.6000,135.6800,4500,0
MHK.US,5,20131112,191000,135.6600,135.8000,135.6600,135.8000,4300,0
MHK.US,5,20131112,191500,135.7500,135.8500,135.6800,135.6800,4400,0
MHK.US,5,20131112,192000,135.6800,135.8900,135.6400,135.8900,8560,0
MHK.US,5,20131112,192500,135.8900,136.2200,135.8400,136.0700,6842,0
MHK.US,5,20131112,193000,136.0500,136.1900,135.8800,135.8800,7855,0
MHK.US,5,20131112,193500,135.8800,136.0800,135.8400,135.9800,4300,0
MHK.US,5,20131112,194000,135.7900,135.9800,135.6800,135.9800,19187,0
MHK.US,5,20131112,194500,135.9900,135.9900,135.8300,135.9900,4054,0
MHK.US,5,20131112,195000,135.9800,136.2700,135.9600,136.2200,4336,0
MHK.US,5,20131112,195500,136.2400,136.4100,136.2000,136.3200,8604,0
MHK.US,5,20131112,200000,136.3100,136.3200,136.1500,136.2200,8088,0
MHK.US,5,20131112,200500,136.2300,136.3800,136.2000,136.2900,8480,0
MHK.US,5,20131112,201000,136.2800,136.3000,136.1700,136.2500,9500,0
MHK.US,5,20131112,201500,136.2600,136.2800,136.1700,136.1900,5231,0
MHK.US,5,20131112,202000,136.2300,136.2300,135.8900,136.0400,7076,0
MHK.US,5,20131112,202500,136.0600,136.1200,135.9800,136.0300,5200,0
MHK.US,5,20131112,203000,136.0600,136.0700,135.7100,135.7200,6700,0
MHK.US,5,20131112,203500,135.7100,135.8500,135.5200,135.5600,6600,0
MHK.US,5,20131112,204000,135.5800,135.8100,135.5800,135.7900,4900,0
MHK.US,5,20131112,204500,135.7900,135.8800,135.6900,135.8400,4685,0
MHK.US,5,20131112,205000,135.8600,135.9300,135.7800,135.8000,3000,0
MHK.US,5,20131112,205500,135.7700,135.8600,135.7700,135.7900,2700,0
