<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIC.US,5,20131112,153500,53.9600,54.0000,53.9600,53.9900,1299,0
MIC.US,5,20131112,154000,53.9900,54.0000,53.9600,54.0000,2700,0
MIC.US,5,20131112,154500,53.9300,53.9300,53.7100,53.8400,1831,0
MIC.US,5,20131112,155500,53.8300,53.8500,53.7700,53.7800,959,0
MIC.US,5,20131112,160000,53.8000,53.8500,53.7600,53.8500,800,0
MIC.US,5,20131112,160500,53.8600,53.8600,53.8000,53.8000,542,0
MIC.US,5,20131112,161000,53.7700,53.8000,53.7300,53.7800,910,0
MIC.US,5,20131112,161500,53.7400,53.7700,53.7400,53.7600,402,0
MIC.US,5,20131112,162000,53.7700,53.7800,53.7400,53.7800,3793,0
MIC.US,5,20131112,162500,53.7700,53.7700,53.7700,53.7700,200,0
MIC.US,5,20131112,164000,53.7300,53.7300,53.6800,53.6800,1293,0
MIC.US,5,20131112,164500,53.7100,53.7400,53.6500,53.7400,600,0
MIC.US,5,20131112,165000,53.7300,53.7700,53.7100,53.7300,1701,0
MIC.US,5,20131112,165500,53.7100,53.7600,53.6900,53.7300,3700,0
MIC.US,5,20131112,170000,53.7500,53.7700,53.6700,53.7100,2895,0
MIC.US,5,20131112,170500,53.7500,53.9900,53.7500,53.8900,7370,0
MIC.US,5,20131112,171000,53.9200,53.9900,53.8900,53.8900,2600,0
MIC.US,5,20131112,172000,53.9200,54.2500,53.9200,54.1900,8859,0
MIC.US,5,20131112,172500,54.1900,54.2600,54.1900,54.2600,52000,0
MIC.US,5,20131112,173000,54.2800,54.3400,54.2100,54.2900,3598,0
MIC.US,5,20131112,173500,54.2900,54.3800,54.2900,54.2900,600,0
MIC.US,5,20131112,174000,54.2900,54.2900,53.9800,53.9800,9444,0
MIC.US,5,20131112,174500,54.0000,54.0300,53.9300,54.0300,3600,0
MIC.US,5,20131112,175000,54.0200,54.1400,54.0200,54.1200,2600,0
MIC.US,5,20131112,175500,54.0500,54.0700,54.0000,54.0000,2600,0
MIC.US,5,20131112,180000,54.0400,54.0700,53.8600,53.9000,18216,0
MIC.US,5,20131112,180500,53.9200,53.9300,53.6900,53.7900,12882,0
MIC.US,5,20131112,181000,53.7400,53.9900,53.7400,53.9900,5142,0
MIC.US,5,20131112,181500,53.9900,53.9900,53.9500,53.9500,800,0
MIC.US,5,20131112,182000,53.9800,53.9800,53.8000,53.8000,1492,0
MIC.US,5,20131112,182500,53.7700,53.7700,53.7700,53.7700,1200,0
MIC.US,5,20131112,183000,53.7500,53.7500,53.7200,53.7200,800,0
MIC.US,5,20131112,183500,53.7600,53.7700,53.6500,53.7200,4103,0
MIC.US,5,20131112,184000,53.7000,53.7400,53.6800,53.6800,2100,0
MIC.US,5,20131112,184500,53.6800,53.7700,53.6600,53.7700,17285,0
MIC.US,5,20131112,185000,53.7800,53.7800,53.7700,53.7800,700,0
MIC.US,5,20131112,185500,53.7400,53.7400,53.6600,53.6600,1200,0
MIC.US,5,20131112,190000,53.6700,53.7100,53.6700,53.7100,1000,0
