<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLI.US,5,20131112,154000,59.1800,59.1800,59.1800,59.1800,300,0
MLI.US,5,20131112,155000,59.2900,59.2900,59.2000,59.2900,300,0
MLI.US,5,20131112,155500,59.2600,59.3100,59.2400,59.3000,1100,0
MLI.US,5,20131112,160000,59.2700,59.3700,59.2500,59.3700,2800,0
MLI.US,5,20131112,160500,59.3200,59.3600,59.1900,59.2600,3600,0
MLI.US,5,20131112,161000,59.2700,59.2700,59.2700,59.2700,100,0
MLI.US,5,20131112,162000,59.3100,59.3100,59.2700,59.3100,300,0
MLI.US,5,20131112,162500,59.1300,59.2500,59.1300,59.2100,800,0
MLI.US,5,20131112,163000,59.2600,59.2600,59.2500,59.2600,900,0
MLI.US,5,20131112,163500,59.3400,59.3400,59.2900,59.2900,700,0
MLI.US,5,20131112,164000,59.2500,59.2600,59.1600,59.1600,700,0
MLI.US,5,20131112,164500,59.2200,59.2200,59.1000,59.1000,400,0
MLI.US,5,20131112,165000,59.1300,59.1400,59.0800,59.1400,800,0
MLI.US,5,20131112,165500,59.0700,59.1500,59.0700,59.1500,2000,0
MLI.US,5,20131112,170000,59.1400,59.1700,59.1200,59.1200,700,0
MLI.US,5,20131112,170500,59.1200,59.1500,59.0800,59.1400,1700,0
MLI.US,5,20131112,171000,59.1500,59.1500,59.1400,59.1400,200,0
MLI.US,5,20131112,171500,59.1300,59.1400,59.0900,59.0900,600,0
MLI.US,5,20131112,172500,59.0400,59.1200,59.0400,59.1000,1000,0
MLI.US,5,20131112,173000,59.1700,59.2000,59.1200,59.2000,700,0
MLI.US,5,20131112,173500,59.2000,59.2000,59.1400,59.1400,700,0
MLI.US,5,20131112,174000,59.1500,59.1500,59.0700,59.0700,2800,0
MLI.US,5,20131112,174500,59.0600,59.0600,59.0600,59.0600,100,0
MLI.US,5,20131112,175500,59.0400,59.0600,59.0300,59.0600,683,0
MLI.US,5,20131112,180000,59.0000,59.0000,59.0000,59.0000,100,0
MLI.US,5,20131112,180500,58.9400,58.9800,58.9400,58.9500,700,0
MLI.US,5,20131112,181000,58.9600,58.9600,58.8400,58.8900,1300,0
MLI.US,5,20131112,181500,58.8900,58.9100,58.8900,58.9100,400,0
MLI.US,5,20131112,182000,58.8600,58.9400,58.8600,58.9400,1000,0
MLI.US,5,20131112,182500,58.9100,58.9100,58.8700,58.8700,513,0
MLI.US,5,20131112,183000,58.8200,58.8700,58.8200,58.8500,682,0
MLI.US,5,20131112,183500,58.8500,58.9100,58.8500,58.9100,703,0
MLI.US,5,20131112,184000,58.9600,58.9600,58.9600,58.9600,100,0
MLI.US,5,20131112,184500,59.0100,59.0100,59.0100,59.0100,467,0
MLI.US,5,20131112,185000,59.0000,59.0100,59.0000,59.0000,591,0
MLI.US,5,20131112,185500,59.0700,59.0800,59.0500,59.0500,1159,0
MLI.US,5,20131112,190000,59.0000,59.0000,58.8900,58.8900,200,0
MLI.US,5,20131112,190500,58.9300,58.9300,58.8700,58.9000,1200,0
MLI.US,5,20131112,191500,58.9000,58.9500,58.8400,58.9500,824,0
MLI.US,5,20131112,192000,58.9400,58.9400,58.8000,58.8000,500,0
MLI.US,5,20131112,192500,58.8500,58.9600,58.8500,58.9600,900,0
MLI.US,5,20131112,193000,58.9000,58.9000,58.8800,58.8800,300,0
MLI.US,5,20131112,193500,58.7800,58.7800,58.7500,58.7500,800,0
MLI.US,5,20131112,194000,58.7100,58.7500,58.7100,58.7200,545,0
MLI.US,5,20131112,194500,58.7200,58.7200,58.7200,58.7200,200,0
MLI.US,5,20131112,195000,58.6600,58.7700,58.6600,58.7700,800,0
MLI.US,5,20131112,195500,58.8000,58.8200,58.8000,58.8100,300,0
MLI.US,5,20131112,200000,58.7400,58.7500,58.7400,58.7500,300,0
MLI.US,5,20131112,200500,58.7400,58.7500,58.7100,58.7100,500,0
MLI.US,5,20131112,201000,58.7400,58.7400,58.7400,58.7400,100,0
MLI.US,5,20131112,201500,58.7300,58.7300,58.7000,58.7000,200,0
MLI.US,5,20131112,202000,58.7000,58.7000,58.6200,58.6500,1750,0
