<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMD.US,5,20131112,153500,15.4000,15.4200,15.4000,15.4200,800,0
MMD.US,5,20131112,154000,15.4500,15.4600,15.4500,15.4500,3500,0
MMD.US,5,20131112,154500,15.4300,15.4300,15.4300,15.4300,900,0
MMD.US,5,20131112,155000,15.4300,15.4300,15.4300,15.4300,100,0
MMD.US,5,20131112,155500,15.4300,15.4700,15.4300,15.4700,2423,0
MMD.US,5,20131112,160000,15.4400,15.4400,15.4400,15.4400,750,0
MMD.US,5,20131112,160500,15.4700,15.5200,15.4400,15.4700,4955,0
MMD.US,5,20131112,161000,15.4400,15.4400,15.4400,15.4400,4378,0
MMD.US,5,20131112,161500,15.4400,15.4400,15.4400,15.4400,700,0
MMD.US,5,20131112,162500,15.4800,15.4800,15.4500,15.4800,3300,0
MMD.US,5,20131112,163000,15.4500,15.4500,15.4200,15.4200,3500,0
MMD.US,5,20131112,163500,15.4200,15.4700,15.4200,15.4700,6200,0
MMD.US,5,20131112,164000,15.4500,15.4500,15.4500,15.4500,600,0
MMD.US,5,20131112,165000,15.4600,15.4600,15.4500,15.4500,750,0
MMD.US,5,20131112,172500,15.4500,15.4500,15.4200,15.4200,3453,0
MMD.US,5,20131112,173000,15.4300,15.4300,15.4200,15.4200,720,0
MMD.US,5,20131112,173500,15.4200,15.4600,15.4200,15.4600,200,0
MMD.US,5,20131112,174000,15.4300,15.4900,15.4200,15.4900,3498,0
MMD.US,5,20131112,174500,15.4300,15.4500,15.4300,15.4500,600,0
MMD.US,5,20131112,175000,15.4300,15.4500,15.4300,15.4500,400,0
MMD.US,5,20131112,175500,15.4300,15.4300,15.4200,15.4200,7077,0
MMD.US,5,20131112,180000,15.4700,15.4700,15.4700,15.4700,1970,0
MMD.US,5,20131112,181000,15.4300,15.4300,15.4000,15.4000,2324,0
MMD.US,5,20131112,181500,15.3900,15.3900,15.3900,15.3900,100,0
MMD.US,5,20131112,182500,15.3900,15.3900,15.3900,15.3900,227,0
MMD.US,5,20131112,183000,15.3900,15.3900,15.3400,15.3400,3823,0
MMD.US,5,20131112,184000,15.3700,15.3700,15.3300,15.3300,1800,0
MMD.US,5,20131112,184500,15.3300,15.3300,15.3300,15.3300,100,0
