<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMS.US,5,20131112,153500,47.1900,47.1900,46.8800,46.9300,1392,0
MMS.US,5,20131112,154500,47.0400,47.0600,46.9600,46.9600,1000,0
MMS.US,5,20131112,155000,46.9900,47.0600,46.9200,46.9900,9000,0
MMS.US,5,20131112,155500,46.9900,47.0200,46.8800,46.8900,2200,0
MMS.US,5,20131112,160000,46.9700,46.9800,46.9100,46.9300,1500,0
MMS.US,5,20131112,160500,46.9300,46.9300,46.8100,46.8100,1093,0
MMS.US,5,20131112,161000,46.7900,46.8400,46.7400,46.8100,9800,0
MMS.US,5,20131112,161500,46.8100,46.8600,46.8100,46.8300,1800,0
MMS.US,5,20131112,162000,46.7900,47.0000,46.7900,46.9600,3803,0
MMS.US,5,20131112,162500,46.9700,47.0000,46.9400,46.9400,4596,0
MMS.US,5,20131112,163000,46.9400,47.0400,46.9400,47.0400,600,0
MMS.US,5,20131112,163500,46.9900,47.0200,46.9200,46.9700,1600,0
MMS.US,5,20131112,164000,46.9700,47.0200,46.9700,46.9900,1300,0
MMS.US,5,20131112,164500,47.0100,47.0500,46.9100,46.9100,10600,0
MMS.US,5,20131112,165000,46.9500,47.0100,46.9400,47.0100,800,0
MMS.US,5,20131112,165500,46.9600,46.9700,46.8900,46.8900,900,0
MMS.US,5,20131112,170000,46.8900,46.9100,46.8400,46.8400,500,0
MMS.US,5,20131112,170500,46.8400,46.9000,46.8400,46.9000,1292,0
MMS.US,5,20131112,171000,46.9700,46.9700,46.9000,46.9000,1000,0
MMS.US,5,20131112,171500,46.9900,47.0000,46.9800,47.0000,400,0
MMS.US,5,20131112,172000,47.0100,47.0700,47.0000,47.0300,2111,0
MMS.US,5,20131112,172500,47.0300,47.0300,47.0200,47.0200,200,0
MMS.US,5,20131112,173000,47.0700,47.0900,47.0700,47.0700,1100,0
MMS.US,5,20131112,173500,47.1700,47.2100,47.1600,47.2100,500,0
MMS.US,5,20131112,174000,47.1900,47.1900,47.0700,47.1100,2100,0
MMS.US,5,20131112,174500,47.1000,47.1300,47.1000,47.1200,600,0
MMS.US,5,20131112,175000,47.1300,47.1500,47.1100,47.1500,1200,0
MMS.US,5,20131112,175500,47.1400,47.1400,47.1200,47.1300,300,0
MMS.US,5,20131112,180000,47.1500,47.1500,47.0900,47.0900,1500,0
MMS.US,5,20131112,180500,47.1100,47.1100,47.1100,47.1100,100,0
MMS.US,5,20131112,181000,47.1200,47.1200,46.9600,46.9600,1100,0
MMS.US,5,20131112,181500,46.9800,47.0400,46.9800,47.0300,1314,0
MMS.US,5,20131112,182000,47.0300,47.0800,47.0000,47.0500,9700,0
MMS.US,5,20131112,182500,47.0200,47.0300,47.0000,47.0300,800,0
