<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNE.US,5,20131112,160500,13.2500,13.2700,13.2500,13.2700,900,0
MNE.US,5,20131112,161000,13.3000,13.3100,13.2900,13.3100,800,0
MNE.US,5,20131112,161500,13.2100,13.2200,13.2100,13.2200,300,0
MNE.US,5,20131112,162500,13.2100,13.2100,13.2000,13.2100,1033,0
MNE.US,5,20131112,163500,13.2600,13.2800,13.2600,13.2800,600,0
MNE.US,5,20131112,164000,13.2500,13.2500,13.1900,13.2100,830,0
MNE.US,5,20131112,165000,13.1700,13.2800,13.1700,13.2500,8090,0
MNE.US,5,20131112,165500,13.2300,13.2300,13.2300,13.2300,100,0
MNE.US,5,20131112,170000,13.1900,13.2500,13.1900,13.2300,600,0
MNE.US,5,20131112,170500,13.2200,13.2200,13.1900,13.2000,649,0
MNE.US,5,20131112,184000,13.1400,13.1400,13.1400,13.1400,100,0
MNE.US,5,20131112,184500,13.1900,13.2300,13.1300,13.2300,1975,0
MNE.US,5,20131112,195500,13.1500,13.1500,13.1500,13.1500,100,0
MNE.US,5,20131112,201500,13.1500,13.1500,13.1500,13.1500,100,0
MNE.US,5,20131112,205500,13.1500,13.1500,13.0900,13.1000,3983,0
MNE.US,5,20131112,210000,13.0900,13.0900,13.0500,13.0500,717,0
MNE.US,5,20131112,212000,13.0100,13.0100,13.0100,13.0100,100,0
MNE.US,5,20131112,215000,13.0500,13.0500,13.0500,13.0500,100,0
MNE.US,5,20131112,220000,13.0500,13.0500,13.0500,13.0500,209,0
MNE.US,5,20131113,154000,13.2100,13.2100,13.2100,13.2100,100,0
MNE.US,5,20131113,154500,13.2100,13.2200,13.2100,13.2200,200,0
MNE.US,5,20131113,155000,13.2200,13.2200,13.2100,13.2100,200,0
MNE.US,5,20131113,164500,13.0500,13.0500,13.0500,13.0500,842,0
MNE.US,5,20131113,165000,12.9900,13.0300,12.9900,13.0300,400,0
MNE.US,5,20131113,174000,13.0500,13.0500,13.0500,13.0500,200,0
MNE.US,5,20131113,175000,13.0400,13.0400,13.0400,13.0400,100,0
MNE.US,5,20131113,181500,13.0800,13.0800,13.0800,13.0800,100,0
MNE.US,5,20131113,184000,13.0100,13.0100,13.0100,13.0100,100,0
