<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNP.US,5,20131112,153500,13.5600,13.5700,13.5000,13.5000,1522,0
MNP.US,5,20131112,154000,13.5100,13.5100,13.5100,13.5100,100,0
MNP.US,5,20131112,154500,13.5100,13.5100,13.5100,13.5100,168,0
MNP.US,5,20131112,155000,13.5100,13.5100,13.5100,13.5100,100,0
MNP.US,5,20131112,155500,13.5100,13.5500,13.5100,13.5200,539,0
MNP.US,5,20131112,160000,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,160500,13.5400,13.5500,13.5400,13.5500,1190,0
MNP.US,5,20131112,161000,13.5500,13.6100,13.5500,13.6100,3902,0
MNP.US,5,20131112,162000,13.5500,13.5500,13.5500,13.5500,100,0
MNP.US,5,20131112,162500,13.5600,13.5600,13.5600,13.5600,100,0
MNP.US,5,20131112,163000,13.5800,13.5800,13.5800,13.5800,100,0
MNP.US,5,20131112,163500,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,164000,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,165000,13.5800,13.5800,13.5800,13.5800,678,0
MNP.US,5,20131112,170000,13.5300,13.5300,13.5300,13.5300,100,0
MNP.US,5,20131112,171000,13.5300,13.5300,13.5300,13.5300,100,0
MNP.US,5,20131112,171500,13.5300,13.5300,13.5300,13.5300,100,0
MNP.US,5,20131112,172500,13.5400,13.5400,13.5400,13.5400,200,0
MNP.US,5,20131112,173000,13.5800,13.6100,13.5600,13.5600,2900,0
MNP.US,5,20131112,180000,13.5500,13.5500,13.5500,13.5500,100,0
MNP.US,5,20131112,180500,13.5500,13.5500,13.5500,13.5500,100,0
MNP.US,5,20131112,181500,13.5400,13.5900,13.5400,13.5900,200,0
MNP.US,5,20131112,182500,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,184000,13.5200,13.5900,13.5200,13.5900,2075,0
MNP.US,5,20131112,185000,13.5900,13.5900,13.5400,13.5400,1350,0
MNP.US,5,20131112,185500,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,190500,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,191000,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,191500,13.5400,13.5400,13.5400,13.5400,2115,0
MNP.US,5,20131112,192500,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,193000,13.5400,13.5400,13.5400,13.5400,100,0
MNP.US,5,20131112,193500,13.5400,13.5400,13.5400,13.5400,600,0
MNP.US,5,20131112,195500,13.5200,13.5200,13.5200,13.5200,200,0
MNP.US,5,20131112,200000,13.5100,13.5100,13.5100,13.5100,100,0
MNP.US,5,20131112,200500,13.5000,13.5000,13.5000,13.5000,100,0
MNP.US,5,20131112,201500,13.5000,13.5000,13.5000,13.5000,100,0
