<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPW.US,5,20131112,153500,12.8400,12.8700,12.8000,12.8100,3562,0
MPW.US,5,20131112,154000,12.8100,12.8300,12.8100,12.8200,8311,0
MPW.US,5,20131112,154500,12.8100,12.8200,12.7600,12.7700,9069,0
MPW.US,5,20131112,155000,12.7600,12.7900,12.7000,12.7000,9300,0
MPW.US,5,20131112,155500,12.7000,12.7300,12.7000,12.7200,8893,0
MPW.US,5,20131112,160000,12.7300,12.7400,12.7300,12.7300,2404,0
MPW.US,5,20131112,160500,12.7200,12.7300,12.7200,12.7300,2417,0
MPW.US,5,20131112,161000,12.7200,12.7300,12.7000,12.7300,11873,0
MPW.US,5,20131112,161500,12.7300,12.7400,12.7200,12.7300,2699,0
MPW.US,5,20131112,162000,12.7200,12.7400,12.7200,12.7300,4150,0
MPW.US,5,20131112,162500,12.7400,12.7400,12.7300,12.7400,1611,0
MPW.US,5,20131112,163000,12.7300,12.7300,12.7200,12.7300,5860,0
MPW.US,5,20131112,163500,12.7400,12.7400,12.7400,12.7400,1199,0
MPW.US,5,20131112,164000,12.7300,12.7400,12.7300,12.7400,3245,0
MPW.US,5,20131112,164500,12.7300,12.7300,12.7000,12.7100,4002,0
MPW.US,5,20131112,165000,12.7100,12.7300,12.7100,12.7200,3900,0
MPW.US,5,20131112,165500,12.7300,12.7300,12.7200,12.7200,2202,0
MPW.US,5,20131112,170000,12.7200,12.7200,12.7100,12.7100,2287,0
MPW.US,5,20131112,170500,12.7200,12.7200,12.7100,12.7100,6442,0
MPW.US,5,20131112,171000,12.7100,12.7200,12.7100,12.7100,3097,0
MPW.US,5,20131112,171500,12.7000,12.7200,12.7000,12.7100,4712,0
MPW.US,5,20131112,172000,12.7200,12.7200,12.7000,12.7000,5929,0
MPW.US,5,20131112,172500,12.7000,12.7200,12.6900,12.6900,64743,0
MPW.US,5,20131112,173000,12.7000,12.7300,12.6900,12.6900,85589,0
MPW.US,5,20131112,173500,12.6900,12.7000,12.6900,12.7000,4100,0
MPW.US,5,20131112,174000,12.6900,12.7000,12.6900,12.6900,7939,0
MPW.US,5,20131112,174500,12.6900,12.6900,12.6700,12.6800,4931,0
MPW.US,5,20131112,175000,12.6800,12.6800,12.6500,12.6500,6350,0
MPW.US,5,20131112,175500,12.6600,12.6800,12.6500,12.6800,7512,0
MPW.US,5,20131112,180000,12.6700,12.6700,12.6500,12.6600,5391,0
MPW.US,5,20131112,180500,12.6600,12.6800,12.6400,12.6400,14746,0
MPW.US,5,20131112,181000,12.6400,12.6400,12.6200,12.6200,3000,0
MPW.US,5,20131112,181500,12.6200,12.6500,12.6200,12.6400,5573,0
MPW.US,5,20131112,182000,12.6300,12.6500,12.6300,12.6500,3725,0
MPW.US,5,20131112,182500,12.6400,12.6400,12.6300,12.6400,7122,0
MPW.US,5,20131112,183000,12.6400,12.6400,12.6400,12.6400,1800,0
MPW.US,5,20131112,183500,12.6400,12.6600,12.6300,12.6600,5278,0
MPW.US,5,20131112,184000,12.6700,12.6700,12.6400,12.6500,4415,0
MPW.US,5,20131112,184500,12.6400,12.6600,12.6300,12.6500,6120,0
MPW.US,5,20131112,185000,12.6400,12.6500,12.6400,12.6500,901,0
MPW.US,5,20131112,185500,12.6400,12.6500,12.6400,12.6500,5165,0
MPW.US,5,20131112,190000,12.6500,12.6900,12.6500,12.6900,5867,0
MPW.US,5,20131112,190500,12.6900,12.6900,12.6800,12.6900,3865,0
MPW.US,5,20131112,191000,12.6700,12.6900,12.6700,12.6700,5770,0
MPW.US,5,20131112,191500,12.6700,12.6800,12.6700,12.6800,994,0
MPW.US,5,20131112,192000,12.6800,12.7100,12.6800,12.7000,5600,0
MPW.US,5,20131112,192500,12.7100,12.7100,12.7000,12.7000,1278,0
MPW.US,5,20131112,193000,12.7100,12.7200,12.7100,12.7100,2600,0
MPW.US,5,20131112,193500,12.7000,12.7000,12.6800,12.6800,4033,0
MPW.US,5,20131112,194000,12.6700,12.6700,12.6500,12.6600,4757,0
MPW.US,5,20131112,194500,12.6600,12.6800,12.6600,12.6800,9450,0
MPW.US,5,20131112,195000,12.6700,12.6900,12.6700,12.6800,7357,0
MPW.US,5,20131112,195500,12.6900,12.6900,12.6800,12.6800,700,0
MPW.US,5,20131112,200000,12.6800,12.7100,12.6800,12.7000,2660,0
MPW.US,5,20131112,200500,12.6900,12.7100,12.6900,12.7000,1000,0
MPW.US,5,20131112,201000,12.7100,12.7100,12.7000,12.7000,900,0
MPW.US,5,20131112,201500,12.7000,12.7100,12.7000,12.7100,500,0
MPW.US,5,20131112,202000,12.7000,12.7200,12.6900,12.7200,3500,0
MPW.US,5,20131112,202500,12.7200,12.7300,12.7100,12.7100,3235,0
MPW.US,5,20131112,203000,12.7200,12.7200,12.7000,12.7100,2368,0
MPW.US,5,20131112,203500,12.7100,12.7100,12.7000,12.7100,1657,0
MPW.US,5,20131112,204000,12.7100,12.7300,12.7100,12.7200,4283,0
MPW.US,5,20131112,204500,12.7200,12.7300,12.7200,12.7300,2600,0
MPW.US,5,20131112,205000,12.7300,12.7400,12.7200,12.7300,5190,0
MPW.US,5,20131112,205500,12.7400,12.7500,12.7300,12.7400,5838,0
MPW.US,5,20131112,210000,12.7500,12.7800,12.7400,12.7700,36350,0
MPW.US,5,20131112,210500,12.7800,12.7800,12.7600,12.7600,5891,0
MPW.US,5,20131112,211000,12.7600,12.7600,12.7500,12.7500,1900,0
MPW.US,5,20131112,211500,12.7500,12.7600,12.7500,12.7500,6621,0
MPW.US,5,20131112,212000,12.7500,12.7600,12.7500,12.7500,1100,0
MPW.US,5,20131112,212500,12.7500,12.7600,12.7400,12.7500,10050,0
MPW.US,5,20131112,213000,12.7500,12.7600,12.7500,12.7600,7100,0
MPW.US,5,20131112,213500,12.7500,12.7800,12.7500,12.7800,6366,0
MPW.US,5,20131112,214000,12.7800,12.7800,12.7600,12.7700,3450,0
MPW.US,5,20131112,214500,12.7600,12.7800,12.7600,12.7800,5108,0
