<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRIN.US,5,20131112,153500,10.3000,10.3100,10.3000,10.3100,1000,0
MRIN.US,5,20131112,154000,10.3100,10.3600,10.3100,10.3600,1830,0
MRIN.US,5,20131112,154500,10.3100,10.3100,10.3000,10.3000,1700,0
MRIN.US,5,20131112,155000,10.3200,10.3500,10.3200,10.3500,2100,0
MRIN.US,5,20131112,160000,10.3400,10.3400,10.3300,10.3300,600,0
MRIN.US,5,20131112,160500,10.3300,10.3300,10.3300,10.3300,400,0
MRIN.US,5,20131112,161000,10.3000,10.3300,10.3000,10.3100,2700,0
MRIN.US,5,20131112,161500,10.3600,10.3600,10.2900,10.3000,2000,0
MRIN.US,5,20131112,162000,10.3500,10.3500,10.3500,10.3500,300,0
MRIN.US,5,20131112,162500,10.3700,10.3700,10.3700,10.3700,100,0
MRIN.US,5,20131112,163000,10.3900,10.3900,10.3500,10.3700,800,0
MRIN.US,5,20131112,163500,10.4000,10.4000,10.3400,10.3400,1200,0
MRIN.US,5,20131112,164000,10.3300,10.3400,10.3300,10.3300,1124,0
MRIN.US,5,20131112,165000,10.3400,10.3500,10.3300,10.3500,1800,0
MRIN.US,5,20131112,170000,10.3400,10.3500,10.3400,10.3500,300,0
MRIN.US,5,20131112,170500,10.3500,10.3500,10.3400,10.3400,200,0
MRIN.US,5,20131112,171000,10.3200,10.3500,10.3200,10.3500,1476,0
MRIN.US,5,20131112,171500,10.3500,10.4000,10.3500,10.3500,400,0
MRIN.US,5,20131112,172000,10.3900,10.3900,10.3500,10.3500,900,0
MRIN.US,5,20131112,172500,10.3400,10.3500,10.3400,10.3500,900,0
MRIN.US,5,20131112,173500,10.3700,10.3800,10.3500,10.3500,1100,0
MRIN.US,5,20131112,174000,10.3600,10.3600,10.3500,10.3500,1236,0
MRIN.US,5,20131112,174500,10.3500,10.3600,10.3500,10.3500,800,0
MRIN.US,5,20131112,175000,10.3500,10.3600,10.3500,10.3500,1209,0
MRIN.US,5,20131112,175500,10.3500,10.3500,10.3400,10.3500,500,0
MRIN.US,5,20131112,180000,10.3600,10.3600,10.3400,10.3400,200,0
MRIN.US,5,20131112,180500,10.3500,10.3500,10.3500,10.3500,290,0
MRIN.US,5,20131112,181000,10.3500,10.3500,10.3500,10.3500,400,0
MRIN.US,5,20131112,181500,10.3600,10.3600,10.3200,10.3200,350,0
MRIN.US,5,20131112,182000,10.3100,10.3300,10.3100,10.3300,1000,0
MRIN.US,5,20131112,183500,10.3400,10.3400,10.3400,10.3400,300,0
MRIN.US,5,20131112,184000,10.3800,10.3800,10.3800,10.3800,100,0
MRIN.US,5,20131112,184500,10.4000,10.4000,10.3500,10.3500,922,0
MRIN.US,5,20131112,185000,10.3900,10.3900,10.3600,10.3800,700,0
MRIN.US,5,20131112,190000,10.3500,10.3500,10.3500,10.3500,100,0
MRIN.US,5,20131112,191000,10.4000,10.4000,10.3600,10.3600,1770,0
MRIN.US,5,20131112,191500,10.3600,10.3600,10.3600,10.3600,800,0
MRIN.US,5,20131112,192000,10.4000,10.4000,10.3800,10.4000,700,0
MRIN.US,5,20131112,192500,10.4100,10.4700,10.3600,10.3600,3834,0
MRIN.US,5,20131112,193000,10.3600,10.3600,10.3600,10.3600,100,0
MRIN.US,5,20131112,193500,10.3700,10.3700,10.3600,10.3600,800,0
MRIN.US,5,20131112,194000,10.3400,10.3400,10.3200,10.3200,1000,0
MRIN.US,5,20131112,194500,10.3200,10.3200,10.3100,10.3200,1800,0
