<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSA.US,5,20131112,153500,48.2300,48.2300,48.0800,48.0800,400,0
MSA.US,5,20131112,154000,48.1200,48.2500,48.1200,48.2000,1200,0
MSA.US,5,20131112,154500,47.9900,48.1400,47.9000,48.0100,12900,0
MSA.US,5,20131112,155000,48.0300,48.2400,47.9400,48.2100,12325,0
MSA.US,5,20131112,155500,48.4000,48.6300,48.4000,48.6300,1200,0
MSA.US,5,20131112,160000,48.6300,48.9900,48.6100,48.7100,22239,0
MSA.US,5,20131112,160500,48.7400,48.8300,48.4900,48.5800,7202,0
MSA.US,5,20131112,161000,48.6100,48.8000,48.6100,48.6800,8599,0
MSA.US,5,20131112,161500,48.7200,48.8300,48.7200,48.7800,1331,0
MSA.US,5,20131112,162000,48.7500,48.9200,48.7500,48.8400,600,0
MSA.US,5,20131112,163000,48.8300,48.9300,48.8300,48.9300,300,0
MSA.US,5,20131112,163500,48.8600,48.9000,48.8500,48.8500,600,0
MSA.US,5,20131112,164500,48.7800,48.8900,48.7800,48.8800,1300,0
MSA.US,5,20131112,165000,48.8900,48.9100,48.8700,48.8700,984,0
MSA.US,5,20131112,165500,48.9000,48.9000,48.9000,48.9000,200,0
MSA.US,5,20131112,170000,48.8800,48.8800,48.8700,48.8700,300,0
MSA.US,5,20131112,170500,48.8900,48.9400,48.8900,48.9400,400,0
MSA.US,5,20131112,171000,49.0100,49.0100,49.0000,49.0000,300,0
MSA.US,5,20131112,171500,49.0600,49.1300,49.0600,49.1300,700,0
MSA.US,5,20131112,172000,49.1300,49.1300,49.1300,49.1300,147,0
MSA.US,5,20131112,172500,49.1800,49.1900,49.1800,49.1900,300,0
MSA.US,5,20131112,173000,49.2000,49.2000,49.2000,49.2000,100,0
MSA.US,5,20131112,173500,49.2400,49.2800,49.1700,49.1700,700,0
MSA.US,5,20131112,174000,49.2100,49.2500,49.1800,49.1800,500,0
MSA.US,5,20131112,174500,49.1900,49.2800,49.1900,49.2800,200,0
MSA.US,5,20131112,175000,49.2500,49.2500,49.2500,49.2500,100,0
MSA.US,5,20131112,175500,49.2200,49.2700,49.2200,49.2700,400,0
MSA.US,5,20131112,180000,49.2300,49.2400,49.2300,49.2300,300,0
MSA.US,5,20131112,180500,49.2600,49.2900,49.2600,49.2900,400,0
MSA.US,5,20131112,181000,49.1800,49.2200,49.0900,49.0900,900,0
MSA.US,5,20131112,181500,49.0600,49.2300,49.0600,49.2100,300,0
MSA.US,5,20131112,182000,49.1700,49.1800,49.1600,49.1800,300,0
MSA.US,5,20131112,182500,49.1600,49.1600,49.1000,49.1000,1000,0
MSA.US,5,20131112,183000,49.0600,49.0900,49.0600,49.0700,300,0
MSA.US,5,20131112,183500,49.0800,49.0800,49.0100,49.0500,999,0
MSA.US,5,20131112,184000,49.1500,49.1500,49.0600,49.0900,3200,0
MSA.US,5,20131112,184500,49.0900,49.0900,49.0600,49.0700,600,0
MSA.US,5,20131112,185000,49.1600,49.1800,49.1100,49.1800,657,0
MSA.US,5,20131112,185500,49.1500,49.1500,49.1500,49.1500,100,0
MSA.US,5,20131112,190000,49.1100,49.1100,49.0600,49.0600,600,0
MSA.US,5,20131112,190500,49.0900,49.0900,49.0900,49.0900,100,0
MSA.US,5,20131112,191500,49.1100,49.1100,49.1100,49.1100,200,0
MSA.US,5,20131112,192000,49.0800,49.1000,49.0800,49.0900,500,0
MSA.US,5,20131112,192500,49.1000,49.1000,49.1000,49.1000,100,0
MSA.US,5,20131112,193000,49.0800,49.0800,49.0800,49.0800,100,0
MSA.US,5,20131112,193500,49.0700,49.0700,49.0700,49.0700,1975,0
MSA.US,5,20131112,194000,49.0200,49.0200,48.8700,48.8700,850,0
MSA.US,5,20131112,194500,48.9300,48.9800,48.9300,48.9800,200,0
MSA.US,5,20131112,195500,49.0800,49.0800,49.0800,49.0800,100,0
MSA.US,5,20131112,200000,49.0400,49.0400,49.0300,49.0300,200,0
MSA.US,5,20131112,200500,49.0400,49.0400,48.9800,48.9800,700,0
MSA.US,5,20131112,201000,49.0700,49.0700,49.0600,49.0600,300,0
MSA.US,5,20131112,201500,49.0700,49.0900,49.0700,49.0900,200,0
MSA.US,5,20131112,202000,49.0500,49.0500,49.0400,49.0400,500,0
MSA.US,5,20131112,202500,49.1100,49.1300,49.0000,49.0000,800,0
MSA.US,5,20131112,203000,49.0100,49.0100,48.9600,49.0000,300,0
MSA.US,5,20131112,203500,49.0100,49.0100,48.9600,49.0000,1400,0
MSA.US,5,20131112,204000,49.0700,49.0700,49.0100,49.0200,300,0
MSA.US,5,20131112,204500,49.0000,49.0300,49.0000,49.0000,700,0
MSA.US,5,20131112,205000,48.9700,48.9800,48.9500,48.9800,1500,0
MSA.US,5,20131112,205500,48.9800,49.0000,48.9800,49.0000,300,0
MSA.US,5,20131112,210000,49.0700,49.1300,49.0100,49.0100,1100,0
MSA.US,5,20131112,210500,49.0100,49.0300,48.9900,49.0000,1300,0
MSA.US,5,20131112,211000,48.9800,49.0000,48.9500,48.9500,500,0
MSA.US,5,20131112,211500,48.9800,49.0400,48.9800,49.0000,600,0
MSA.US,5,20131112,212000,48.9800,49.0000,48.9800,49.0000,1000,0
MSA.US,5,20131112,212500,49.0000,49.0600,48.9800,49.0100,1400,0
MSA.US,5,20131112,213000,49.0200,49.0200,48.9800,48.9800,500,0
MSA.US,5,20131112,213500,49.0000,49.0300,48.9900,48.9900,800,0
MSA.US,5,20131112,214000,48.9800,49.0200,48.9800,49.0000,1500,0
MSA.US,5,20131112,214500,49.0000,49.0100,48.9800,49.0100,1149,0
MSA.US,5,20131112,215000,49.0000,49.0000,48.8100,48.8700,2203,0
MSA.US,5,20131112,215500,48.8700,48.9700,48.8700,48.9000,2200,0
MSA.US,5,20131112,220000,48.8900,49.0700,48.8500,49.0000,9159,0
MSA.US,5,20131112,221000,48.9800,48.9800,48.9800,48.9800,7167,0
MSA.US,5,20131113,153500,48.5600,48.5900,48.4200,48.5900,1000,0
MSA.US,5,20131113,154000,48.4700,48.6700,48.4700,48.6700,200,0
MSA.US,5,20131113,154500,48.6100,48.6100,48.6100,48.6100,100,0
MSA.US,5,20131113,155000,48.7000,48.7100,48.7000,48.7000,350,0
MSA.US,5,20131113,155500,48.7100,48.7100,48.7100,48.7100,100,0
MSA.US,5,20131113,160000,48.5900,48.7300,48.5900,48.7300,300,0
MSA.US,5,20131113,161000,48.7000,48.7000,48.7000,48.7000,200,0
MSA.US,5,20131113,162000,48.7000,48.7000,48.7000,48.7000,100,0
MSA.US,5,20131113,162500,48.8500,48.8500,48.7500,48.7500,200,0
MSA.US,5,20131113,163000,48.8400,48.8600,48.7700,48.8600,500,0
MSA.US,5,20131113,165000,48.7200,48.7200,48.7000,48.7000,400,0
MSA.US,5,20131113,170500,48.6400,48.6900,48.6400,48.6900,200,0
MSA.US,5,20131113,171000,48.5700,48.6200,48.5700,48.6100,500,0
MSA.US,5,20131113,171500,48.5700,48.5700,48.5700,48.5700,100,0
MSA.US,5,20131113,172000,48.6700,48.6700,48.6700,48.6700,100,0
MSA.US,5,20131113,172500,48.7200,48.7200,48.7200,48.7200,100,0
MSA.US,5,20131113,174500,48.5700,48.5700,48.5600,48.5600,200,0
MSA.US,5,20131113,175500,48.5100,48.6300,48.5100,48.6300,500,0
MSA.US,5,20131113,180000,48.6500,48.7700,48.6200,48.6200,300,0
