<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSL.US,5,20131112,154000,15.7600,15.7900,15.7500,15.7500,4320,0
MSL.US,5,20131112,155000,15.7500,15.7500,15.7500,15.7500,3400,0
MSL.US,5,20131112,161000,15.7800,15.7800,15.7800,15.7800,200,0
MSL.US,5,20131112,165000,15.8900,15.8900,15.8900,15.8900,100,0
MSL.US,5,20131112,174500,16.0200,16.0200,15.8500,15.8500,200,0
MSL.US,5,20131112,195000,15.8500,15.8500,15.8500,15.8500,100,0
MSL.US,5,20131112,195500,15.8400,15.8400,15.8400,15.8400,1000,0
MSL.US,5,20131112,202000,15.7500,15.7600,15.7500,15.7600,486,0
MSL.US,5,20131112,204500,15.9500,15.9500,15.9500,15.9500,100,0
MSL.US,5,20131112,210000,15.8100,15.8100,15.8100,15.8100,100,0
MSL.US,5,20131112,212000,15.8100,15.8100,15.8100,15.8100,100,0
MSL.US,5,20131112,220500,15.7700,15.7700,15.7700,15.7700,1115,0
MSL.US,5,20131113,155500,15.6600,16.1400,15.6600,15.8200,1288,0
MSL.US,5,20131113,160000,15.7300,15.8100,15.7300,15.7700,1590,0
MSL.US,5,20131113,160500,15.9200,15.9200,15.6000,15.8400,1288,0
MSL.US,5,20131113,161000,15.6800,15.8400,15.6200,15.6500,700,0
MSL.US,5,20131113,161500,15.8500,15.8500,15.7800,15.7800,300,0
MSL.US,5,20131113,184500,15.6700,15.6700,15.6700,15.6700,100,0
MSL.US,5,20131113,185500,15.6800,15.6800,15.6800,15.6800,200,0
MSL.US,5,20131113,190000,15.7000,15.7000,15.7000,15.7000,100,0
MSL.US,5,20131113,190500,15.7100,15.9400,15.7100,15.7200,4399,0
MSL.US,5,20131113,191000,15.7200,15.8500,15.7200,15.8500,600,0
MSL.US,5,20131113,202500,15.9000,15.9000,15.9000,15.9000,202,0
MSL.US,5,20131113,205500,15.8600,15.8600,15.8600,15.8600,100,0
MSL.US,5,20131113,212500,15.7800,15.7800,15.7800,15.7800,491,0
MSL.US,5,20131113,215000,15.8200,15.8200,15.8200,15.8200,100,0
MSL.US,5,20131113,215500,15.8000,15.8000,15.8000,15.8000,200,0
MSL.US,5,20131113,220000,15.8000,15.8500,15.8000,15.8400,600,0
MSL.US,5,20131113,220500,15.8700,15.8700,15.8700,15.8700,1121,0
MSL.US,5,20131114,154000,16.0000,16.0000,16.0000,16.0000,800,0
MSL.US,5,20131114,154500,16.1000,16.1100,16.0900,16.1100,500,0
MSL.US,5,20131114,155000,16.0900,16.0900,16.0000,16.0000,1247,0
MSL.US,5,20131114,161000,16.2500,16.2500,16.2500,16.2500,100,0
MSL.US,5,20131114,163000,16.2300,16.2300,16.2300,16.2300,100,0
MSL.US,5,20131114,164000,16.1700,16.1700,16.1700,16.1700,100,0
