<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTU.US,5,20131112,153500,6.2800,6.3200,6.2800,6.3100,14825,0
MTU.US,5,20131112,154000,6.3100,6.3200,6.3000,6.3200,52565,0
MTU.US,5,20131112,154500,6.3200,6.3200,6.3100,6.3100,4200,0
MTU.US,5,20131112,155000,6.3200,6.3300,6.3100,6.3200,29964,0
MTU.US,5,20131112,155500,6.3200,6.3200,6.3200,6.3200,2747,0
MTU.US,5,20131112,160000,6.3200,6.3200,6.3100,6.3200,26088,0
MTU.US,5,20131112,160500,6.3200,6.3200,6.3100,6.3100,600,0
MTU.US,5,20131112,161000,6.3100,6.3100,6.3100,6.3100,607,0
MTU.US,5,20131112,161500,6.3100,6.3100,6.3100,6.3100,3314,0
MTU.US,5,20131112,162000,6.3100,6.3200,6.3000,6.3200,61497,0
MTU.US,5,20131112,162500,6.3100,6.3100,6.3100,6.3100,415,0
MTU.US,5,20131112,163000,6.3100,6.3200,6.3100,6.3200,1307,0
MTU.US,5,20131112,163500,6.3100,6.3200,6.3100,6.3100,118546,0
MTU.US,5,20131112,164000,6.3200,6.3200,6.3100,6.3100,108431,0
MTU.US,5,20131112,164500,6.3200,6.3200,6.3100,6.3200,3402,0
MTU.US,5,20131112,165000,6.3200,6.3200,6.3100,6.3100,12564,0
MTU.US,5,20131112,170000,6.3100,6.3200,6.3100,6.3100,35458,0
MTU.US,5,20131112,170500,6.3000,6.3100,6.3000,6.3100,6575,0
MTU.US,5,20131112,171000,6.3000,6.3100,6.3000,6.3100,920,0
MTU.US,5,20131112,171500,6.3100,6.3100,6.3000,6.3000,1612,0
MTU.US,5,20131112,172000,6.3000,6.3100,6.3000,6.3000,818,0
MTU.US,5,20131112,172500,6.3000,6.3000,6.3000,6.3000,1400,0
MTU.US,5,20131112,173000,6.3100,6.3100,6.3000,6.3100,1758,0
MTU.US,5,20131112,173500,6.3000,6.3100,6.3000,6.3100,740,0
MTU.US,5,20131112,174000,6.3100,6.3100,6.3000,6.3100,22418,0
MTU.US,5,20131112,174500,6.3100,6.3100,6.3000,6.3000,3072,0
MTU.US,5,20131112,175000,6.3100,6.3100,6.3000,6.3000,900,0
MTU.US,5,20131112,175500,6.3100,6.3100,6.3100,6.3100,412,0
MTU.US,5,20131112,180000,6.3100,6.3100,6.3100,6.3100,430,0
MTU.US,5,20131112,180500,6.3000,6.3100,6.3000,6.3000,8672,0
MTU.US,5,20131112,181000,6.3000,6.3100,6.3000,6.3100,2815,0
MTU.US,5,20131112,181500,6.3000,6.3000,6.3000,6.3000,200,0
MTU.US,5,20131112,182500,6.3000,6.3000,6.3000,6.3000,300,0
MTU.US,5,20131112,183000,6.3000,6.3100,6.3000,6.3000,16630,0
MTU.US,5,20131112,183500,6.3000,6.3100,6.3000,6.3100,7422,0
MTU.US,5,20131112,184000,6.3100,6.3100,6.3000,6.3100,1286,0
MTU.US,5,20131112,184500,6.3000,6.3100,6.3000,6.3100,7842,0
MTU.US,5,20131112,185000,6.3100,6.3100,6.3000,6.3000,2395,0
MTU.US,5,20131112,185500,6.3000,6.3100,6.3000,6.3100,3276,0
MTU.US,5,20131112,190000,6.3000,6.3100,6.3000,6.3000,4419,0
MTU.US,5,20131112,190500,6.3000,6.3000,6.3000,6.3000,200,0
MTU.US,5,20131112,191000,6.3000,6.3200,6.3000,6.3100,43852,0
MTU.US,5,20131112,191500,6.3200,6.3200,6.3200,6.3200,3300,0
MTU.US,5,20131112,192000,6.3200,6.3200,6.3100,6.3100,700,0
MTU.US,5,20131112,192500,6.3200,6.3200,6.3200,6.3200,500,0
MTU.US,5,20131112,193000,6.3200,6.3300,6.3100,6.3200,77294,0
MTU.US,5,20131112,193500,6.3200,6.3200,6.3100,6.3100,16688,0
MTU.US,5,20131112,194000,6.3100,6.3200,6.3100,6.3200,2760,0
MTU.US,5,20131112,194500,6.3100,6.3100,6.3100,6.3100,4537,0
MTU.US,5,20131112,195000,6.3100,6.3200,6.3100,6.3100,8255,0
MTU.US,5,20131112,195500,6.3100,6.3200,6.3100,6.3100,2335,0
MTU.US,5,20131112,200000,6.3100,6.3200,6.3100,6.3100,4492,0
MTU.US,5,20131112,200500,6.3100,6.3200,6.3100,6.3100,1667,0
MTU.US,5,20131112,201000,6.3100,6.3200,6.3100,6.3200,3025,0
MTU.US,5,20131112,201500,6.3200,6.3200,6.3100,6.3200,2858,0
MTU.US,5,20131112,202000,6.3100,6.3200,6.3100,6.3100,1523,0
MTU.US,5,20131112,202500,6.3100,6.3200,6.3100,6.3200,1442,0
MTU.US,5,20131112,203000,6.3200,6.3200,6.3100,6.3200,3694,0
MTU.US,5,20131112,203500,6.3100,6.3200,6.3100,6.3200,689,0
MTU.US,5,20131112,204000,6.3100,6.3200,6.3100,6.3100,3746,0
MTU.US,5,20131112,204500,6.3200,6.3200,6.3100,6.3200,46165,0
MTU.US,5,20131112,205000,6.3100,6.3200,6.3100,6.3200,6977,0
MTU.US,5,20131112,205500,6.3200,6.3200,6.3100,6.3200,27725,0
MTU.US,5,20131112,210000,6.3200,6.3200,6.3100,6.3200,21152,0
MTU.US,5,20131112,210500,6.3200,6.3200,6.3100,6.3100,7666,0
MTU.US,5,20131112,211000,6.3100,6.3200,6.3100,6.3200,20612,0
MTU.US,5,20131112,211500,6.3100,6.3200,6.3100,6.3200,7455,0
MTU.US,5,20131112,212000,6.3100,6.3200,6.3100,6.3200,5012,0
MTU.US,5,20131112,212500,6.3200,6.3200,6.3100,6.3200,8709,0
MTU.US,5,20131112,213000,6.3200,6.3200,6.3100,6.3200,4183,0
MTU.US,5,20131112,213500,6.3200,6.3200,6.3100,6.3100,15560,0
MTU.US,5,20131112,214000,6.3200,6.3200,6.3100,6.3200,37821,0
MTU.US,5,20131112,214500,6.3200,6.3200,6.3100,6.3200,10214,0
MTU.US,5,20131112,215000,6.3200,6.3200,6.3100,6.3100,58557,0
MTU.US,5,20131112,215500,6.3200,6.3200,6.3100,6.3200,120468,0
MTU.US,5,20131112,220000,6.3200,6.3300,6.3100,6.3200,111041,0
MTU.US,5,20131112,220500,6.3300,6.3300,6.3300,6.3300,17046,0
MTU.US,5,20131113,153500,6.3900,6.4100,6.3800,6.4100,20104,0
MTU.US,5,20131113,154000,6.4100,6.4100,6.4000,6.4000,9100,0
MTU.US,5,20131113,154500,6.4000,6.4100,6.4000,6.4100,1500,0
MTU.US,5,20131113,155000,6.4100,6.4200,6.4100,6.4200,25742,0
MTU.US,5,20131113,155500,6.4200,6.4300,6.4000,6.4200,19663,0
MTU.US,5,20131113,160000,6.4200,6.4200,6.4100,6.4200,2618,0
MTU.US,5,20131113,160500,6.4200,6.4300,6.4200,6.4300,7300,0
MTU.US,5,20131113,161000,6.4300,6.4400,6.4300,6.4400,5198,0
MTU.US,5,20131113,161500,6.4400,6.4400,6.4300,6.4400,7600,0
MTU.US,5,20131113,162000,6.4300,6.4400,6.4200,6.4200,12810,0
MTU.US,5,20131113,162500,6.4300,6.4300,6.4200,6.4300,1338,0
MTU.US,5,20131113,163000,6.4300,6.4600,6.4300,6.4600,33140,0
MTU.US,5,20131113,163500,6.4600,6.4600,6.4400,6.4400,23000,0
MTU.US,5,20131113,164000,6.4500,6.4500,6.4500,6.4500,100,0
MTU.US,5,20131113,164500,6.4500,6.4500,6.4300,6.4400,35024,0
MTU.US,5,20131113,165000,6.4300,6.4400,6.4300,6.4400,6444,0
