<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVC.US,5,20131112,160000,13.8300,13.8300,13.8300,13.8300,100,0
MVC.US,5,20131112,160500,13.8300,13.8500,13.8300,13.8500,300,0
MVC.US,5,20131112,161500,13.8500,13.8500,13.8500,13.8500,1800,0
MVC.US,5,20131112,162500,13.8700,13.8700,13.8700,13.8700,100,0
MVC.US,5,20131112,163500,13.8700,13.8800,13.8700,13.8800,4204,0
MVC.US,5,20131112,165500,13.8900,13.8900,13.8700,13.8700,300,0
MVC.US,5,20131112,170000,13.8900,13.8900,13.8900,13.8900,200,0
MVC.US,5,20131112,170500,13.8500,13.8700,13.8500,13.8700,1331,0
MVC.US,5,20131112,171000,13.9000,13.9000,13.9000,13.9000,100,0
MVC.US,5,20131112,171500,13.8600,13.8600,13.8600,13.8600,100,0
MVC.US,5,20131112,174000,13.8700,13.8700,13.8700,13.8700,100,0
MVC.US,5,20131112,174500,13.8400,13.8400,13.8400,13.8400,100,0
MVC.US,5,20131112,175000,13.8400,13.8400,13.8400,13.8400,200,0
MVC.US,5,20131112,180000,13.8200,13.8200,13.8200,13.8200,100,0
MVC.US,5,20131112,180500,13.8200,13.8200,13.8200,13.8200,200,0
MVC.US,5,20131112,181000,13.8300,13.8300,13.8300,13.8300,100,0
MVC.US,5,20131112,181500,13.8300,13.8300,13.8200,13.8200,400,0
MVC.US,5,20131112,182000,13.8100,13.8300,13.8100,13.8300,800,0
MVC.US,5,20131112,182500,13.8300,13.8300,13.8300,13.8300,200,0
MVC.US,5,20131112,183000,13.8300,13.8300,13.8200,13.8300,400,0
MVC.US,5,20131112,183500,13.8300,13.8300,13.8200,13.8200,216,0
MVC.US,5,20131112,184000,13.8400,13.8400,13.8300,13.8300,400,0
MVC.US,5,20131112,184500,13.8100,13.8200,13.8000,13.8100,4400,0
MVC.US,5,20131112,185000,13.8200,13.8400,13.8200,13.8400,200,0
MVC.US,5,20131112,190000,13.8600,13.8600,13.8600,13.8600,100,0
MVC.US,5,20131112,190500,13.8600,13.8600,13.8500,13.8500,300,0
MVC.US,5,20131112,191000,13.8400,13.8400,13.8400,13.8400,200,0
MVC.US,5,20131112,191500,13.8300,13.8400,13.8300,13.8400,300,0
MVC.US,5,20131112,192000,13.8300,13.8500,13.8300,13.8500,300,0
MVC.US,5,20131112,192500,13.8600,13.8600,13.8600,13.8600,300,0
MVC.US,5,20131112,193000,13.8600,13.8600,13.8600,13.8600,200,0
MVC.US,5,20131112,193500,13.8400,13.8400,13.8400,13.8400,300,0
MVC.US,5,20131112,195000,13.8300,13.8300,13.8300,13.8300,100,0
MVC.US,5,20131112,195500,13.8200,13.8200,13.8200,13.8200,100,0
MVC.US,5,20131112,201000,13.8400,13.8400,13.8300,13.8300,2050,0
MVC.US,5,20131112,201500,13.8400,13.8500,13.8400,13.8500,200,0
MVC.US,5,20131112,202000,13.8500,13.8500,13.8500,13.8500,100,0
MVC.US,5,20131112,203000,13.8500,13.8500,13.8500,13.8500,100,0
MVC.US,5,20131112,205500,13.8400,13.8400,13.8300,13.8300,414,0
MVC.US,5,20131112,210000,13.8300,13.8300,13.8300,13.8300,131,0
MVC.US,5,20131112,210500,13.8400,13.8400,13.8400,13.8400,100,0
MVC.US,5,20131112,211000,13.8200,13.8200,13.8200,13.8200,100,0
MVC.US,5,20131112,211500,13.8200,13.8200,13.8200,13.8200,100,0
MVC.US,5,20131112,212000,13.8400,13.8500,13.8400,13.8500,200,0
MVC.US,5,20131112,212500,13.8600,13.8600,13.8600,13.8600,100,0
MVC.US,5,20131112,213000,13.8400,13.8400,13.8400,13.8400,100,0
MVC.US,5,20131112,213500,13.8400,13.8400,13.8400,13.8400,100,0
MVC.US,5,20131112,214000,13.8500,13.8500,13.8400,13.8400,459,0
MVC.US,5,20131112,214500,13.8500,13.8500,13.8500,13.8500,100,0
MVC.US,5,20131112,215500,13.8400,13.8500,13.8400,13.8500,300,0
MVC.US,5,20131112,220000,13.8500,13.8600,13.8400,13.8500,1547,0
MVC.US,5,20131112,220500,13.8400,13.8400,13.8400,13.8400,3366,0
MVC.US,5,20131113,153500,13.7900,13.7900,13.7900,13.7900,200,0
MVC.US,5,20131113,154500,13.8200,13.8200,13.8100,13.8100,300,0
MVC.US,5,20131113,155000,13.8300,13.8300,13.8000,13.8000,753,0
MVC.US,5,20131113,155500,13.8400,13.8400,13.8400,13.8400,200,0
MVC.US,5,20131113,162000,13.8500,13.8800,13.8400,13.8700,800,0
MVC.US,5,20131113,163000,13.8600,13.8800,13.8600,13.8800,1100,0
MVC.US,5,20131113,163500,13.8600,13.8600,13.8600,13.8600,700,0
MVC.US,5,20131113,164500,13.8900,13.8900,13.8900,13.8900,775,0
MVC.US,5,20131113,165000,13.8900,13.9300,13.8800,13.9300,3775,0
MVC.US,5,20131113,165500,13.9500,13.9700,13.9500,13.9700,300,0
MVC.US,5,20131113,170000,13.9600,13.9800,13.9600,13.9800,400,0
MVC.US,5,20131113,170500,13.9800,13.9800,13.9700,13.9800,1800,0
MVC.US,5,20131113,171000,13.9500,13.9800,13.9500,13.9700,1216,0
MVC.US,5,20131113,171500,13.9500,13.9500,13.9200,13.9200,600,0
MVC.US,5,20131113,172000,13.9400,13.9400,13.9400,13.9400,100,0
MVC.US,5,20131113,173000,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,173500,13.9200,13.9400,13.9100,13.9400,600,0
MVC.US,5,20131113,174000,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,174500,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,175000,13.9400,13.9400,13.9400,13.9400,200,0
MVC.US,5,20131113,175500,13.9400,13.9600,13.9400,13.9600,200,0
MVC.US,5,20131113,180000,13.9500,13.9500,13.9100,13.9500,1700,0
MVC.US,5,20131113,180500,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,181000,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,181500,13.9500,13.9600,13.9500,13.9500,300,0
MVC.US,5,20131113,182000,13.9500,13.9500,13.9500,13.9500,200,0
MVC.US,5,20131113,182500,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,183000,13.9800,13.9800,13.9800,13.9800,100,0
MVC.US,5,20131113,183500,13.9500,13.9500,13.9500,13.9500,600,0
MVC.US,5,20131113,184000,13.9500,13.9500,13.9500,13.9500,300,0
MVC.US,5,20131113,185000,13.9400,13.9400,13.9400,13.9400,100,0
MVC.US,5,20131113,185500,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,190500,13.9800,13.9800,13.9500,13.9500,500,0
MVC.US,5,20131113,191500,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,192000,13.9900,13.9900,13.9900,13.9900,100,0
MVC.US,5,20131113,195000,13.9600,13.9900,13.9600,13.9900,200,0
MVC.US,5,20131113,195500,13.9600,13.9900,13.9500,13.9500,1500,0
MVC.US,5,20131113,200000,13.9900,13.9900,13.9600,13.9600,300,0
MVC.US,5,20131113,200500,13.9800,13.9800,13.9800,13.9800,100,0
MVC.US,5,20131113,201000,13.9700,13.9700,13.9500,13.9500,200,0
MVC.US,5,20131113,201500,13.9700,13.9700,13.9700,13.9700,100,0
MVC.US,5,20131113,202500,13.9400,13.9500,13.9400,13.9400,400,0
MVC.US,5,20131113,203000,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,204000,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,205500,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,210000,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,210500,13.9400,13.9400,13.9400,13.9400,100,0
MVC.US,5,20131113,212000,13.9200,13.9300,13.9200,13.9300,200,0
MVC.US,5,20131113,212500,13.9700,13.9700,13.9500,13.9600,600,0
MVC.US,5,20131113,213000,13.9500,13.9500,13.9300,13.9300,400,0
MVC.US,5,20131113,213500,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131113,214500,13.9400,13.9400,13.9400,13.9400,200,0
MVC.US,5,20131113,215000,13.9500,13.9700,13.9300,13.9700,1100,0
MVC.US,5,20131113,215500,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131113,220000,13.9500,13.9500,13.9300,13.9500,1726,0
MVC.US,5,20131113,220500,13.9400,13.9500,13.9400,13.9500,4503,0
MVC.US,5,20131114,155500,13.9200,13.9200,13.9200,13.9200,100,0
MVC.US,5,20131114,161000,13.9400,13.9400,13.9000,13.9400,1250,0
MVC.US,5,20131114,161500,13.9300,13.9500,13.9300,13.9500,300,0
MVC.US,5,20131114,162000,13.9700,13.9900,13.9700,13.9900,200,0
MVC.US,5,20131114,163000,13.9900,13.9900,13.9900,13.9900,100,0
MVC.US,5,20131114,164000,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131114,165000,13.9500,13.9700,13.9500,13.9700,400,0
MVC.US,5,20131114,165500,13.9700,13.9700,13.9500,13.9600,500,0
MVC.US,5,20131114,170000,13.9400,13.9600,13.9400,13.9500,450,0
MVC.US,5,20131114,171000,13.9800,13.9800,13.9500,13.9500,1200,0
MVC.US,5,20131114,171500,13.9400,13.9400,13.9400,13.9400,100,0
MVC.US,5,20131114,172500,13.9500,13.9800,13.9500,13.9600,2000,0
MVC.US,5,20131114,173000,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131114,173500,13.9600,13.9800,13.9500,13.9600,400,0
MVC.US,5,20131114,174000,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131114,175000,13.9500,13.9500,13.9400,13.9500,600,0
MVC.US,5,20131114,180000,13.9500,13.9500,13.9500,13.9500,855,0
MVC.US,5,20131114,180500,13.9300,13.9300,13.9300,13.9300,200,0
MVC.US,5,20131114,182000,13.9400,13.9400,13.9200,13.9200,800,0
MVC.US,5,20131114,182500,13.9000,13.9000,13.9000,13.9000,390,0
MVC.US,5,20131114,185000,13.9400,13.9400,13.9000,13.9000,2808,0
MVC.US,5,20131114,190000,13.9300,13.9300,13.9300,13.9300,100,0
MVC.US,5,20131114,191500,13.9600,13.9600,13.9600,13.9600,100,0
MVC.US,5,20131114,192500,13.9600,13.9800,13.9600,13.9800,200,0
MVC.US,5,20131114,194000,13.9500,13.9500,13.9500,13.9500,100,0
MVC.US,5,20131114,194500,13.9400,13.9400,13.9400,13.9400,100,0
