<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWO.US,5,20131112,154000,23.2600,23.2600,23.2300,23.2300,500,0
MWO.US,5,20131112,154500,23.2700,23.2800,23.2100,23.2800,500,0
MWO.US,5,20131112,155000,23.3000,23.3000,23.3000,23.3000,200,0
MWO.US,5,20131112,155500,23.3000,23.3000,23.2900,23.2900,300,0
MWO.US,5,20131112,160000,23.3000,23.3000,23.3000,23.3000,630,0
MWO.US,5,20131112,163500,23.2600,23.2600,23.2600,23.2600,100,0
MWO.US,5,20131112,164000,23.2800,23.2800,23.2800,23.2800,157,0
MWO.US,5,20131112,164500,23.2600,23.2700,23.2600,23.2700,500,0
MWO.US,5,20131112,165000,23.2600,23.2900,23.2600,23.2900,338,0
MWO.US,5,20131112,165500,23.2500,23.2500,23.2500,23.2500,100,0
MWO.US,5,20131112,170500,23.2500,23.2500,23.2500,23.2500,100,0
MWO.US,5,20131112,171000,23.2100,23.2100,23.2100,23.2100,100,0
MWO.US,5,20131112,172000,23.2100,23.2100,23.2100,23.2100,954,0
MWO.US,5,20131112,172500,23.2100,23.2100,23.2100,23.2100,145,0
MWO.US,5,20131112,173000,23.2100,23.2100,23.2100,23.2100,100,0
MWO.US,5,20131112,173500,23.2100,23.2100,23.2100,23.2100,100,0
MWO.US,5,20131112,174500,23.2200,23.2200,23.2000,23.2100,800,0
MWO.US,5,20131112,175500,23.2000,23.2000,23.2000,23.2000,100,0
MWO.US,5,20131112,180500,23.1800,23.1800,23.1800,23.1800,100,0
MWO.US,5,20131112,181000,23.1900,23.1900,23.1900,23.1900,167,0
MWO.US,5,20131112,181500,23.1700,23.1700,23.1700,23.1700,100,0
MWO.US,5,20131112,182500,23.1700,23.1700,23.1700,23.1700,100,0
MWO.US,5,20131112,183500,23.1700,23.1700,23.1700,23.1700,100,0
MWO.US,5,20131112,184500,23.1900,23.2400,23.1900,23.2400,300,0
MWO.US,5,20131112,185000,23.2500,23.2600,23.2500,23.2600,1000,0
MWO.US,5,20131112,190000,23.2600,23.2900,23.1900,23.2900,1634,0
MWO.US,5,20131112,190500,23.2100,23.2100,23.2100,23.2100,100,0
MWO.US,5,20131112,191500,23.2100,23.2100,23.2100,23.2100,100,0
MWO.US,5,20131112,192500,23.2000,23.2100,23.2000,23.2100,254,0
MWO.US,5,20131112,193500,23.2000,23.2000,23.1800,23.1800,254,0
MWO.US,5,20131112,194500,23.1800,23.1900,23.1700,23.1700,1800,0
MWO.US,5,20131112,195000,23.1700,23.1700,23.0500,23.1200,4891,0
MWO.US,5,20131112,195500,23.0600,23.0600,23.0300,23.0400,1557,0
MWO.US,5,20131112,200000,23.0500,23.0500,23.0500,23.0500,100,0
MWO.US,5,20131112,200500,23.0400,23.1400,23.0400,23.1300,1100,0
MWO.US,5,20131112,201000,23.1300,23.1400,23.1200,23.1200,2350,0
MWO.US,5,20131112,201500,23.0600,23.0600,23.0600,23.0600,100,0
MWO.US,5,20131112,202000,23.1100,23.1100,23.1000,23.1100,2000,0
MWO.US,5,20131112,202500,23.0600,23.0600,23.0600,23.0600,100,0
MWO.US,5,20131112,203000,23.0600,23.1100,23.0600,23.1000,850,0
MWO.US,5,20131112,203500,23.0400,23.0400,23.0400,23.0400,100,0
MWO.US,5,20131112,204000,23.0400,23.0400,23.0400,23.0400,100,0
MWO.US,5,20131112,204500,23.0400,23.0400,23.0400,23.0400,100,0
MWO.US,5,20131112,205000,23.0900,23.0900,23.0500,23.0800,1216,0
MWO.US,5,20131112,205500,23.0800,23.0800,23.0800,23.0800,100,0
MWO.US,5,20131112,210000,23.0900,23.0900,23.0900,23.0900,100,0
MWO.US,5,20131112,210500,23.0900,23.1000,23.0900,23.1000,1600,0
MWO.US,5,20131112,211000,23.1100,23.1100,23.1100,23.1100,100,0
MWO.US,5,20131112,211500,23.1300,23.1300,23.1100,23.1100,1618,0
MWO.US,5,20131112,212000,23.0900,23.0900,23.0900,23.0900,100,0
MWO.US,5,20131112,212500,23.0900,23.0900,23.0900,23.0900,1200,0
MWO.US,5,20131112,213000,23.0800,23.0800,23.0800,23.0800,1200,0
MWO.US,5,20131112,214500,23.0400,23.0400,23.0400,23.0400,750,0
MWO.US,5,20131112,215500,23.0600,23.0600,23.0600,23.0600,898,0
MWO.US,5,20131113,153500,22.9800,22.9800,22.6600,22.8500,7725,0
MWO.US,5,20131113,154000,22.8300,22.8300,22.8300,22.8300,400,0
MWO.US,5,20131113,155500,22.9600,22.9600,22.9100,22.9100,2200,0
MWO.US,5,20131113,160000,22.9100,22.9600,22.9100,22.9600,400,0
MWO.US,5,20131113,160500,22.9600,22.9900,22.9200,22.9600,3318,0
MWO.US,5,20131113,162500,22.9800,22.9800,22.9700,22.9700,400,0
MWO.US,5,20131113,164500,22.9800,22.9800,22.9700,22.9700,700,0
MWO.US,5,20131113,165000,22.9800,22.9800,22.9800,22.9800,400,0
MWO.US,5,20131113,171000,22.9700,23.0500,22.9700,23.0500,400,0
MWO.US,5,20131113,172500,22.9800,22.9800,22.9800,22.9800,200,0
MWO.US,5,20131113,174000,23.0100,23.0100,23.0100,23.0100,103,0
MWO.US,5,20131113,174500,22.9800,22.9800,22.9800,22.9800,108,0
MWO.US,5,20131113,180500,23.0100,23.0100,23.0100,23.0100,400,0
MWO.US,5,20131113,181000,23.0100,23.0100,23.0100,23.0100,700,0
MWO.US,5,20131113,181500,22.9700,22.9800,22.9700,22.9800,1450,0
MWO.US,5,20131113,182000,23.0000,23.0100,23.0000,23.0100,380,0
MWO.US,5,20131113,183500,22.9700,22.9700,22.9700,22.9700,4500,0
MWO.US,5,20131113,185000,23.0100,23.0100,23.0100,23.0100,1650,0
MWO.US,5,20131113,190500,22.9700,22.9800,22.9700,22.9800,900,0
MWO.US,5,20131113,191500,22.9700,22.9700,22.9700,22.9700,400,0
MWO.US,5,20131113,192000,22.9700,22.9700,22.9700,22.9700,300,0
MWO.US,5,20131113,192500,22.9800,22.9800,22.9800,22.9800,200,0
MWO.US,5,20131113,194500,23.0000,23.0000,23.0000,23.0000,1100,0
MWO.US,5,20131113,195000,23.0000,23.0000,23.0000,23.0000,800,0
MWO.US,5,20131113,195500,22.9700,22.9700,22.9700,22.9700,200,0
MWO.US,5,20131113,200000,22.9700,22.9800,22.9700,22.9800,800,0
MWO.US,5,20131113,200500,22.9700,23.0200,22.9600,23.0200,1606,0
MWO.US,5,20131113,201000,23.0200,23.0200,23.0200,23.0200,100,0
MWO.US,5,20131113,201500,23.0200,23.0200,23.0200,23.0200,200,0
MWO.US,5,20131113,210000,23.0400,23.0400,23.0400,23.0400,200,0
MWO.US,5,20131113,212500,23.0400,23.0400,23.0400,23.0400,714,0
MWO.US,5,20131113,214000,23.0100,23.0200,23.0100,23.0200,200,0
