<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBL.US,5,20131112,153500,75.2100,75.2500,74.4000,74.4000,38093,0
NBL.US,5,20131112,154000,74.5000,74.8700,74.4700,74.8300,39374,0
NBL.US,5,20131112,154500,74.8000,74.8700,74.6000,74.8700,9547,0
NBL.US,5,20131112,155000,74.9000,75.1900,74.7500,74.9800,25374,0
NBL.US,5,20131112,155500,75.0000,75.0700,74.7200,74.8000,5837,0
NBL.US,5,20131112,160000,74.7800,74.8700,74.7100,74.8500,3300,0
NBL.US,5,20131112,160500,74.8500,74.8700,74.5200,74.5200,7475,0
NBL.US,5,20131112,161000,74.5800,74.5800,74.3500,74.3600,18336,0
NBL.US,5,20131112,161500,74.3900,74.5200,74.3800,74.5000,10425,0
NBL.US,5,20131112,162000,74.4300,74.8400,74.3300,74.8400,18414,0
NBL.US,5,20131112,162500,74.8700,74.9200,74.5900,74.5900,9962,0
NBL.US,5,20131112,163000,74.6000,74.7000,74.5500,74.6900,39911,0
NBL.US,5,20131112,163500,74.6800,74.6800,74.3900,74.4000,14879,0
NBL.US,5,20131112,164000,74.4000,74.5300,74.3500,74.5300,23773,0
NBL.US,5,20131112,164500,74.4800,74.6300,74.4400,74.6300,5700,0
NBL.US,5,20131112,165000,74.6000,74.6200,74.4400,74.5100,3800,0
NBL.US,5,20131112,165500,74.5200,74.5200,74.3900,74.4200,7200,0
NBL.US,5,20131112,170000,74.4400,74.4400,74.3300,74.4200,17254,0
NBL.US,5,20131112,170500,74.3900,74.4300,74.2500,74.3500,59820,0
NBL.US,5,20131112,171000,74.3700,74.4300,74.3300,74.3300,38200,0
NBL.US,5,20131112,171500,74.3100,74.5700,74.3000,74.3600,8109,0
NBL.US,5,20131112,172000,74.3700,74.5100,74.3500,74.4900,7901,0
NBL.US,5,20131112,172500,74.4600,74.5200,74.4000,74.4600,14064,0
NBL.US,5,20131112,173000,74.4300,74.5100,74.3600,74.4700,18387,0
NBL.US,5,20131112,173500,74.4900,74.5500,74.4800,74.5500,23818,0
NBL.US,5,20131112,174000,74.5400,74.6200,74.3900,74.3900,132949,0
NBL.US,5,20131112,174500,74.3800,74.4500,74.3100,74.3500,23183,0
NBL.US,5,20131112,175000,74.3400,74.3400,74.1200,74.2100,30189,0
NBL.US,5,20131112,175500,74.2400,74.2500,74.1600,74.1700,6417,0
NBL.US,5,20131112,180000,74.1600,74.2300,74.1600,74.1900,7100,0
NBL.US,5,20131112,180500,74.1900,74.2800,74.1100,74.1200,9006,0
NBL.US,5,20131112,181000,74.1000,74.1100,73.8700,73.9800,12972,0
NBL.US,5,20131112,181500,73.9900,74.0100,73.9100,73.9700,28243,0
NBL.US,5,20131112,182000,73.9700,74.0900,73.9600,74.0400,59700,0
