<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCR.US,5,20131112,153500,35.3400,35.6800,35.3400,35.6600,107999,0
NCR.US,5,20131112,154000,35.6600,35.8000,35.6500,35.8000,115256,0
NCR.US,5,20131112,154500,35.8000,36.3600,35.7900,36.2300,82234,0
NCR.US,5,20131112,155000,36.2300,36.4000,36.2300,36.3100,55396,0
NCR.US,5,20131112,155500,36.3000,36.3000,36.0000,36.0200,51056,0
NCR.US,5,20131112,160000,36.0200,36.1400,35.9500,36.0200,59607,0
NCR.US,5,20131112,160500,36.0200,36.1200,36.0000,36.0700,59087,0
NCR.US,5,20131112,161000,36.1000,36.1900,36.0300,36.0800,52403,0
NCR.US,5,20131112,161500,36.0900,36.1000,36.0000,36.0400,37211,0
NCR.US,5,20131112,162000,36.0400,36.2200,36.0000,36.2200,53249,0
NCR.US,5,20131112,162500,36.2300,36.2300,36.0200,36.2000,42770,0
NCR.US,5,20131112,163000,36.1900,36.3800,36.0900,36.3700,59403,0
NCR.US,5,20131112,163500,36.3800,36.5100,36.3600,36.3800,77015,0
NCR.US,5,20131112,164000,36.3800,36.3900,36.3000,36.3500,23595,0
NCR.US,5,20131112,164500,36.3400,36.4300,36.2800,36.3200,34646,0
NCR.US,5,20131112,165000,36.3200,36.3700,36.2300,36.3700,33831,0
NCR.US,5,20131112,165500,36.3700,36.4300,36.3100,36.4300,29001,0
NCR.US,5,20131112,170000,36.4200,36.4200,36.3100,36.3800,21599,0
NCR.US,5,20131112,170500,36.3800,36.5400,36.3600,36.5300,40871,0
NCR.US,5,20131112,171000,36.5200,36.5300,36.3500,36.4000,36110,0
NCR.US,5,20131112,171500,36.3900,36.4200,36.3400,36.4100,27465,0
NCR.US,5,20131112,172000,36.4200,36.4600,36.3100,36.4600,37502,0
NCR.US,5,20131112,172500,36.4500,36.6500,36.4400,36.5700,60547,0
NCR.US,5,20131112,173000,36.5500,36.7200,36.5300,36.7100,23308,0
NCR.US,5,20131112,173500,36.7200,37.0600,36.7100,37.0500,71082,0
NCR.US,5,20131112,174000,37.0500,37.0600,36.9100,36.9800,74141,0
NCR.US,5,20131112,174500,36.9800,37.0100,36.9100,36.9300,42631,0
NCR.US,5,20131112,175000,36.9200,36.9300,36.7300,36.7500,30691,0
NCR.US,5,20131112,175500,36.7200,36.7200,36.6500,36.6900,22112,0
NCR.US,5,20131112,180000,36.6800,36.6900,36.6500,36.6600,18354,0
NCR.US,5,20131112,180500,36.6600,36.7900,36.6500,36.7400,24792,0
NCR.US,5,20131112,181000,36.7500,36.8200,36.6500,36.8100,29325,0
NCR.US,5,20131112,181500,36.8100,36.8500,36.7700,36.8000,210778,0
NCR.US,5,20131112,182000,36.8000,36.8000,36.7300,36.7500,18724,0
NCR.US,5,20131112,182500,36.7500,36.8300,36.7400,36.8100,47848,0
NCR.US,5,20131112,183000,36.7900,36.8000,36.7700,36.7800,47325,0
NCR.US,5,20131112,183500,36.7800,36.8600,36.7400,36.8600,54607,0
NCR.US,5,20131112,184000,36.8700,36.9200,36.8300,36.9200,21401,0
NCR.US,5,20131112,184500,36.9300,36.9500,36.8600,36.8600,14608,0
NCR.US,5,20131112,185000,36.8600,36.8900,36.8400,36.8600,14739,0
NCR.US,5,20131112,185500,36.8600,36.8600,36.7800,36.8000,102126,0
NCR.US,5,20131112,190000,36.8000,36.8800,36.7900,36.8700,120732,0
NCR.US,5,20131112,190500,36.8700,36.8700,36.7600,36.7600,12351,0
NCR.US,5,20131112,191000,36.7600,36.7700,36.7300,36.7600,21160,0
NCR.US,5,20131112,191500,36.7600,36.7800,36.7600,36.7800,268778,0
NCR.US,5,20131112,192000,36.7700,36.7800,36.7300,36.7400,10927,0
NCR.US,5,20131112,192500,36.7400,36.7400,36.6800,36.6800,11572,0
NCR.US,5,20131112,193000,36.6800,36.7000,36.5800,36.5800,28906,0
NCR.US,5,20131112,193500,36.5800,36.6600,36.5800,36.6200,24590,0
NCR.US,5,20131112,194000,36.6200,36.6300,36.5400,36.5900,27047,0
NCR.US,5,20131112,194500,36.5900,36.6500,36.5400,36.6500,31002,0
NCR.US,5,20131112,195000,36.6600,36.7700,36.6600,36.7200,13213,0
NCR.US,5,20131112,195500,36.7100,36.7400,36.6300,36.6700,13780,0
NCR.US,5,20131112,200000,36.6700,36.7300,36.6300,36.7300,33945,0
NCR.US,5,20131112,200500,36.7400,36.7600,36.6400,36.6400,16582,0
NCR.US,5,20131112,201000,36.6400,36.6600,36.5400,36.5600,23835,0
NCR.US,5,20131112,201500,36.5600,36.5900,36.5100,36.5100,36555,0
NCR.US,5,20131112,202000,36.5100,36.6000,36.4800,36.6000,65683,0
NCR.US,5,20131112,202500,36.6000,36.6200,36.5300,36.5600,143713,0
NCR.US,5,20131112,203000,36.5700,36.6500,36.4700,36.4700,22791,0
NCR.US,5,20131112,203500,36.4700,36.4800,36.4100,36.4800,47870,0
NCR.US,5,20131112,204000,36.4900,36.5500,36.4800,36.4800,20406,0
NCR.US,5,20131112,204500,36.4800,36.5200,36.4500,36.5100,24777,0
NCR.US,5,20131112,205000,36.5200,36.5200,36.4600,36.4900,22118,0
NCR.US,5,20131112,205500,36.4900,36.5100,36.4700,36.4900,16420,0
NCR.US,5,20131112,210000,36.4900,36.6200,36.4800,36.6000,23220,0
NCR.US,5,20131112,210500,36.6000,36.6500,36.5800,36.5800,27371,0
NCR.US,5,20131112,211000,36.5800,36.6300,36.5700,36.6300,106089,0
NCR.US,5,20131112,211500,36.6300,36.6700,36.6300,36.6400,23055,0
NCR.US,5,20131112,212000,36.6400,36.7200,36.6400,36.6500,19949,0
NCR.US,5,20131112,212500,36.6500,36.6900,36.6200,36.6300,29819,0
NCR.US,5,20131112,213000,36.6300,36.6400,36.6000,36.6100,12466,0
NCR.US,5,20131112,213500,36.6100,36.6400,36.6100,36.6200,39845,0
NCR.US,5,20131112,214000,36.6200,36.6300,36.5400,36.5400,28708,0
NCR.US,5,20131112,214500,36.5400,36.5800,36.4500,36.4500,176243,0
NCR.US,5,20131112,215000,36.4500,36.4600,36.3500,36.4200,127295,0
NCR.US,5,20131112,215500,36.4200,36.4300,36.3600,36.3900,88994,0
NCR.US,5,20131112,220000,36.4000,36.4700,36.3900,36.4600,111248,0
NCR.US,5,20131112,220500,36.4600,36.4600,36.4600,36.4600,79159,0
NCR.US,5,20131113,153500,36.2700,36.2800,36.0600,36.0900,9100,0
NCR.US,5,20131113,154000,36.1200,36.3300,36.0900,36.3300,7788,0
NCR.US,5,20131113,154500,36.3100,36.3100,36.1300,36.1300,4700,0
NCR.US,5,20131113,155000,36.1100,36.3000,36.1000,36.2600,13292,0
NCR.US,5,20131113,155500,36.2300,36.2500,36.1400,36.2000,10799,0
NCR.US,5,20131113,160000,36.2000,36.3900,36.1900,36.3200,17164,0
NCR.US,5,20131113,160500,36.3600,36.4000,36.3300,36.4000,40167,0
NCR.US,5,20131113,161000,36.4100,36.4600,36.3000,36.3900,36637,0
NCR.US,5,20131113,161500,36.3900,36.4400,36.3500,36.4300,11400,0
NCR.US,5,20131113,162000,36.4500,36.4900,36.4500,36.4900,14749,0
NCR.US,5,20131113,162500,36.4900,36.5200,36.4300,36.4600,15926,0
NCR.US,5,20131113,163000,36.4600,36.5500,36.4500,36.5200,4706,0
NCR.US,5,20131113,163500,36.5100,36.5100,36.4100,36.4500,11800,0
NCR.US,5,20131113,164000,36.4400,36.5000,36.4200,36.4500,16805,0
NCR.US,5,20131113,164500,36.4400,36.5000,36.4400,36.4800,7225,0
NCR.US,5,20131113,165000,36.4800,36.4900,36.4400,36.4600,14785,0
NCR.US,5,20131113,165500,36.4600,36.4700,36.4300,36.4400,7488,0
NCR.US,5,20131113,170000,36.4200,36.4200,36.3600,36.3800,7850,0
NCR.US,5,20131113,170500,36.3700,36.4200,36.3700,36.4200,4500,0
NCR.US,5,20131113,171000,36.4300,36.4900,36.4300,36.4800,5272,0
NCR.US,5,20131113,171500,36.4900,36.4900,36.4300,36.4500,13145,0
NCR.US,5,20131113,172000,36.4600,36.5000,36.4400,36.4800,21489,0
NCR.US,5,20131113,172500,36.4700,36.5500,36.4700,36.5000,7211,0
NCR.US,5,20131113,173000,36.4900,36.5400,36.4800,36.5000,14686,0
NCR.US,5,20131113,173500,36.5100,36.5100,36.4800,36.4800,24995,0
NCR.US,5,20131113,174000,36.4900,36.4900,36.4500,36.4800,8392,0
NCR.US,5,20131113,174500,36.4800,36.5200,36.4200,36.4200,40552,0
NCR.US,5,20131113,175000,36.4200,36.4900,36.4200,36.4700,9884,0
NCR.US,5,20131113,175500,36.4800,36.5400,36.4800,36.5400,7249,0
NCR.US,5,20131113,180000,36.5400,36.5500,36.5100,36.5400,4800,0
NCR.US,5,20131113,180500,36.5300,36.5500,36.5000,36.5000,8524,0
NCR.US,5,20131113,181000,36.5100,36.5100,36.4500,36.4900,3935,0
NCR.US,5,20131113,181500,36.4800,36.5000,36.4800,36.5000,6545,0
