<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCT.US,5,20131112,153500,5.2100,5.2100,5.1800,5.1900,8520,0
NCT.US,5,20131112,154000,5.1900,5.2000,5.1900,5.1900,7930,0
NCT.US,5,20131112,154500,5.2000,5.2000,5.1900,5.2000,21460,0
NCT.US,5,20131112,155000,5.2000,5.2000,5.1900,5.2000,10500,0
NCT.US,5,20131112,155500,5.2000,5.2100,5.1900,5.1900,70533,0
NCT.US,5,20131112,160000,5.2000,5.2100,5.1900,5.1900,32352,0
NCT.US,5,20131112,160500,5.2000,5.2000,5.1900,5.2000,18100,0
NCT.US,5,20131112,161000,5.1900,5.2000,5.1900,5.2000,25764,0
NCT.US,5,20131112,161500,5.2000,5.2000,5.1900,5.2000,19226,0
NCT.US,5,20131112,162000,5.1900,5.2400,5.1900,5.2400,72208,0
NCT.US,5,20131112,162500,5.2400,5.2400,5.2200,5.2300,14489,0
NCT.US,5,20131112,163000,5.2300,5.2300,5.2200,5.2300,22200,0
NCT.US,5,20131112,163500,5.2200,5.2300,5.2200,5.2300,39310,0
NCT.US,5,20131112,164000,5.2300,5.2500,5.2300,5.2500,36052,0
NCT.US,5,20131112,164500,5.2400,5.2500,5.2400,5.2500,10200,0
NCT.US,5,20131112,165000,5.2400,5.2500,5.2400,5.2400,13168,0
NCT.US,5,20131112,165500,5.2500,5.2500,5.2400,5.2500,15985,0
NCT.US,5,20131112,170000,5.2500,5.2500,5.2400,5.2500,9900,0
NCT.US,5,20131112,170500,5.2500,5.2500,5.2400,5.2400,11650,0
NCT.US,5,20131112,171000,5.2500,5.2500,5.2400,5.2500,12600,0
NCT.US,5,20131112,171500,5.2500,5.2500,5.2400,5.2500,8500,0
NCT.US,5,20131112,172000,5.2500,5.2500,5.2400,5.2500,33439,0
NCT.US,5,20131112,172500,5.2400,5.2500,5.2200,5.2300,25460,0
NCT.US,5,20131112,173000,5.2200,5.2300,5.2200,5.2300,13157,0
NCT.US,5,20131112,173500,5.2300,5.2400,5.2300,5.2300,32495,0
NCT.US,5,20131112,174000,5.2300,5.2400,5.2200,5.2200,20725,0
NCT.US,5,20131112,174500,5.2200,5.2300,5.2200,5.2300,32600,0
NCT.US,5,20131112,175000,5.2200,5.2400,5.2200,5.2300,21073,0
NCT.US,5,20131112,175500,5.2300,5.2400,5.2300,5.2400,12966,0
NCT.US,5,20131112,180000,5.2400,5.2500,5.2300,5.2400,35807,0
NCT.US,5,20131112,180500,5.2500,5.2500,5.2300,5.2500,42598,0
NCT.US,5,20131112,181000,5.2300,5.2400,5.2300,5.2400,26880,0
NCT.US,5,20131112,181500,5.2400,5.2400,5.2300,5.2400,20038,0
NCT.US,5,20131112,182000,5.2400,5.2500,5.2200,5.2300,108594,0
NCT.US,5,20131112,182500,5.2300,5.2500,5.2300,5.2400,40672,0
NCT.US,5,20131112,183000,5.2400,5.2500,5.2300,5.2500,49252,0
NCT.US,5,20131112,183500,5.2400,5.2500,5.2400,5.2500,37647,0
NCT.US,5,20131112,184000,5.2500,5.2500,5.2400,5.2400,43050,0
NCT.US,5,20131112,184500,5.2400,5.2500,5.2400,5.2400,25386,0
NCT.US,5,20131112,185000,5.2500,5.2500,5.2400,5.2400,35472,0
NCT.US,5,20131112,185500,5.2500,5.2600,5.2300,5.2500,106948,0
NCT.US,5,20131112,190000,5.2500,5.2600,5.2300,5.2500,100933,0
NCT.US,5,20131112,190500,5.2500,5.2500,5.2400,5.2500,12000,0
NCT.US,5,20131112,191000,5.2400,5.2500,5.2400,5.2400,18540,0
NCT.US,5,20131112,191500,5.2500,5.2500,5.2400,5.2500,17700,0
NCT.US,5,20131112,192000,5.2500,5.2600,5.2400,5.2500,79033,0
NCT.US,5,20131112,192500,5.2500,5.2800,5.2500,5.2700,23600,0
NCT.US,5,20131112,193000,5.2800,5.2800,5.2500,5.2500,31750,0
NCT.US,5,20131112,193500,5.2500,5.2600,5.2500,5.2600,12498,0
NCT.US,5,20131112,194000,5.2600,5.2600,5.2500,5.2600,42080,0
NCT.US,5,20131112,194500,5.2500,5.2600,5.2500,5.2600,14101,0
NCT.US,5,20131112,195000,5.2600,5.2600,5.2500,5.2600,28002,0
NCT.US,5,20131112,195500,5.2600,5.2600,5.2500,5.2500,25853,0
NCT.US,5,20131112,200000,5.2600,5.2600,5.2500,5.2600,10600,0
NCT.US,5,20131112,200500,5.2600,5.2600,5.2500,5.2500,21200,0
NCT.US,5,20131112,201000,5.2600,5.2600,5.2500,5.2600,14279,0
NCT.US,5,20131112,201500,5.2500,5.2600,5.2500,5.2500,7400,0
NCT.US,5,20131112,202000,5.2600,5.2600,5.2500,5.2500,16900,0
NCT.US,5,20131112,202500,5.2600,5.2600,5.2500,5.2500,28817,0
NCT.US,5,20131112,203000,5.2500,5.2600,5.2500,5.2500,17318,0
NCT.US,5,20131112,203500,5.2600,5.2600,5.2500,5.2500,22000,0
NCT.US,5,20131112,204000,5.2500,5.2600,5.2500,5.2600,11900,0
NCT.US,5,20131112,204500,5.2500,5.2600,5.2500,5.2600,9357,0
NCT.US,5,20131112,205000,5.2500,5.2600,5.2500,5.2600,15300,0
