<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEE-F.US,5,20131112,154500,26.0400,26.0400,26.0400,26.0400,100,0
NEE-F.US,5,20131112,161500,25.9500,25.9500,25.9500,25.9500,300,0
NEE-F.US,5,20131112,163000,26.0000,26.0000,26.0000,26.0000,660,0
NEE-F.US,5,20131112,163500,25.9900,26.0000,25.9900,26.0000,790,0
NEE-F.US,5,20131112,164000,25.9500,25.9500,25.9500,25.9500,230,0
NEE-F.US,5,20131112,165500,25.9900,26.0000,25.9900,26.0000,200,0
NEE-F.US,5,20131112,172500,25.9500,25.9500,25.9100,25.9300,1494,0
NEE-F.US,5,20131112,173000,25.9500,25.9500,25.9300,25.9300,200,0
NEE-F.US,5,20131112,181000,25.9500,25.9500,25.9500,25.9500,536,0
NEE-F.US,5,20131112,191000,25.9500,25.9500,25.9500,25.9500,283,0
NEE-F.US,5,20131112,195000,25.9500,25.9500,25.9500,25.9500,200,0
NEE-F.US,5,20131112,201500,26.0000,26.0000,25.9800,25.9800,1100,0
NEE-F.US,5,20131112,204500,25.9200,26.0000,25.9200,26.0000,1347,0
NEE-F.US,5,20131112,205500,26.0000,26.0000,26.0000,26.0000,100,0
NEE-F.US,5,20131112,210000,25.9800,25.9900,25.9800,25.9900,770,0
NEE-F.US,5,20131112,212000,25.9800,25.9800,25.9800,25.9800,500,0
NEE-F.US,5,20131112,212500,25.9800,25.9800,25.9800,25.9800,337,0
NEE-F.US,5,20131112,214000,26.0000,26.0000,26.0000,26.0000,300,0
NEE-F.US,5,20131112,215000,25.9800,25.9800,25.9200,25.9200,570,0
NEE-F.US,5,20131112,220000,25.9200,25.9200,25.9200,25.9200,2300,0
NEE-F.US,5,20131112,220500,25.9200,25.9200,25.9200,25.9200,100,0
NEE-F.US,5,20131113,154500,25.8800,25.8800,25.8800,25.8800,200,0
NEE-F.US,5,20131113,155500,25.9800,25.9800,25.9300,25.9300,770,0
NEE-F.US,5,20131113,160500,25.9100,25.9100,25.9100,25.9100,834,0
NEE-F.US,5,20131113,161000,25.9100,25.9200,25.9100,25.9200,350,0
NEE-F.US,5,20131113,162000,25.8800,25.8800,25.8800,25.8800,800,0
NEE-F.US,5,20131113,162500,25.8900,25.9300,25.8900,25.9100,1976,0
NEE-F.US,5,20131113,170500,25.9400,25.9600,25.9400,25.9600,1000,0
NEE-F.US,5,20131113,172500,25.9500,25.9500,25.9500,25.9500,280,0
NEE-F.US,5,20131113,174500,25.9600,25.9600,25.9500,25.9500,300,0
NEE-F.US,5,20131113,181000,25.9300,25.9300,25.9300,25.9300,200,0
NEE-F.US,5,20131113,181500,25.9000,25.9000,25.9000,25.9000,129,0
NEE-F.US,5,20131113,182000,25.9000,25.9000,25.8900,25.8900,582,0
NEE-F.US,5,20131113,183500,25.9300,25.9300,25.9300,25.9300,100,0
NEE-F.US,5,20131113,191500,25.9000,25.9000,25.9000,25.9000,100,0
NEE-F.US,5,20131113,193000,25.9300,25.9300,25.9300,25.9300,180,0
NEE-F.US,5,20131113,194500,25.9300,25.9300,25.9300,25.9300,185,0
NEE-F.US,5,20131113,200000,25.8900,25.8900,25.8900,25.8900,1000,0
NEE-F.US,5,20131113,205000,25.9500,25.9500,25.9500,25.9500,200,0
NEE-F.US,5,20131113,211000,25.8900,25.8900,25.8900,25.8900,300,0
NEE-F.US,5,20131113,212000,25.9500,25.9700,25.9500,25.9700,1596,0
NEE-F.US,5,20131113,215000,25.9700,25.9700,25.9700,25.9700,390,0
NEE-F.US,5,20131113,220000,25.9800,25.9800,25.9600,25.9800,1200,0
NEE-F.US,5,20131114,153500,26.0200,26.0200,25.9600,25.9600,400,0
NEE-F.US,5,20131114,162000,25.9400,25.9400,25.9400,25.9400,293,0
NEE-F.US,5,20131114,162500,25.9400,25.9400,25.9400,25.9400,713,0
NEE-F.US,5,20131114,163000,25.9900,25.9900,25.9900,25.9900,1000,0
NEE-F.US,5,20131114,170000,25.9100,25.9100,25.9100,25.9100,2000,0
NEE-F.US,5,20131114,171000,25.9500,25.9500,25.9500,25.9500,1800,0
NEE-F.US,5,20131114,172500,25.9700,25.9900,25.9600,25.9900,2924,0
NEE-F.US,5,20131114,175000,25.9900,25.9900,25.9900,25.9900,200,0
NEE-F.US,5,20131114,180000,25.9500,25.9500,25.9200,25.9200,1968,0
NEE-F.US,5,20131114,191000,25.9200,25.9200,25.9200,25.9200,200,0
NEE-F.US,5,20131114,193500,25.9200,25.9200,25.9200,25.9200,186,0
NEE-F.US,5,20131114,194000,25.9800,25.9800,25.9700,25.9700,2157,0
NEE-F.US,5,20131114,195000,25.9600,25.9600,25.9600,25.9600,300,0
NEE-F.US,5,20131114,195500,25.9600,25.9600,25.9600,25.9600,200,0
NEE-F.US,5,20131114,200000,25.9500,25.9500,25.9500,25.9500,300,0
NEE-F.US,5,20131114,202500,25.9800,25.9800,25.9800,25.9800,800,0
NEE-F.US,5,20131114,211500,25.9500,25.9500,25.9500,25.9500,175,0
NEE-F.US,5,20131114,212500,25.9700,25.9700,25.9700,25.9700,100,0
NEE-F.US,5,20131114,213500,25.9600,25.9600,25.9500,25.9500,1130,0
NEE-F.US,5,20131114,220000,25.9700,25.9800,25.9700,25.9800,200,0
NEE-F.US,5,20131115,160000,25.9100,25.9100,25.9100,25.9100,705,0
NEE-F.US,5,20131115,161500,25.9200,25.9300,25.9200,25.9200,300,0
NEE-F.US,5,20131115,162000,25.9200,25.9200,25.9200,25.9200,500,0
NEE-F.US,5,20131115,162500,25.9200,25.9200,25.9200,25.9200,2500,0
NEE-F.US,5,20131115,170000,25.9700,25.9700,25.9700,25.9700,400,0
NEE-F.US,5,20131115,172500,25.9700,25.9700,25.9700,25.9700,400,0
NEE-F.US,5,20131115,180500,25.9700,25.9700,25.9700,25.9700,200,0
NEE-F.US,5,20131115,193000,25.9200,25.9200,25.9200,25.9200,275,0
NEE-F.US,5,20131115,195500,25.9600,25.9600,25.9600,25.9600,100,0
NEE-F.US,5,20131115,201000,25.9600,25.9700,25.9600,25.9700,1111,0
NEE-F.US,5,20131115,201500,25.9700,25.9700,25.9700,25.9700,100,0
NEE-F.US,5,20131115,202000,25.9300,25.9500,25.9300,25.9300,500,0
NEE-F.US,5,20131115,203500,25.9400,25.9400,25.9400,25.9400,399,0
NEE-F.US,5,20131115,204000,25.9300,25.9800,25.9300,25.9800,1500,0
NEE-F.US,5,20131115,210000,25.9300,25.9300,25.9300,25.9300,1000,0
NEE-F.US,5,20131115,211500,25.9500,25.9500,25.9500,25.9500,155,0
NEE-F.US,5,20131115,212000,25.9600,25.9600,25.9500,25.9500,268,0
NEE-F.US,5,20131115,213000,25.9500,25.9500,25.9500,25.9500,250,0
NEE-F.US,5,20131115,220000,25.9500,25.9500,25.9500,25.9500,609,0
NEE-F.US,5,20131118,164000,25.9300,25.9300,25.9200,25.9200,1165,0
NEE-F.US,5,20131118,171500,25.9100,25.9200,25.9100,25.9200,2820,0
NEE-F.US,5,20131118,173000,25.9100,25.9200,25.9100,25.9200,2700,0
NEE-F.US,5,20131118,173500,25.9100,25.9100,25.9000,25.9100,4300,0
NEE-F.US,5,20131118,175000,25.9100,25.9100,25.9100,25.9100,425,0
NEE-F.US,5,20131118,180000,25.9200,25.9200,25.8900,25.8900,2655,0
NEE-F.US,5,20131118,180500,25.9000,25.9000,25.8900,25.9000,463,0
NEE-F.US,5,20131118,182500,25.9000,25.9000,25.8900,25.8900,400,0
NEE-F.US,5,20131118,185000,25.9100,25.9100,25.9100,25.9100,300,0
NEE-F.US,5,20131118,185500,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131118,190000,25.9100,25.9100,25.9100,25.9100,500,0
NEE-F.US,5,20131118,190500,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131118,191500,25.9000,25.9000,25.9000,25.9000,200,0
NEE-F.US,5,20131118,193000,25.8900,25.8900,25.8900,25.8900,400,0
NEE-F.US,5,20131118,195000,25.9000,25.9000,25.9000,25.9000,200,0
NEE-F.US,5,20131118,201000,25.9000,25.9000,25.9000,25.9000,1200,0
NEE-F.US,5,20131118,201500,25.9200,25.9200,25.9200,25.9200,300,0
NEE-F.US,5,20131118,203500,25.9200,25.9200,25.9100,25.9100,600,0
NEE-F.US,5,20131118,204000,25.8900,25.8900,25.8900,25.8900,355,0
NEE-F.US,5,20131118,205000,25.8900,25.8900,25.8900,25.8900,300,0
NEE-F.US,5,20131118,205500,25.9200,25.9200,25.9200,25.9200,200,0
NEE-F.US,5,20131118,210000,25.8900,25.8900,25.8900,25.8900,900,0
NEE-F.US,5,20131118,210500,25.8900,25.8900,25.8900,25.8900,300,0
NEE-F.US,5,20131118,211500,25.8800,25.8800,25.8800,25.8800,794,0
NEE-F.US,5,20131118,213500,25.9100,25.9100,25.9100,25.9100,270,0
NEE-F.US,5,20131118,214000,25.9000,25.9000,25.9000,25.9000,600,0
NEE-F.US,5,20131119,161500,25.9100,25.9100,25.9100,25.9100,2000,0
NEE-F.US,5,20131119,170000,25.9300,25.9400,25.9300,25.9400,870,0
NEE-F.US,5,20131119,174000,25.9200,25.9200,25.9200,25.9200,496,0
NEE-F.US,5,20131119,185000,25.9200,25.9200,25.9200,25.9200,1986,0
NEE-F.US,5,20131119,190500,25.9300,25.9300,25.9300,25.9300,190,0
NEE-F.US,5,20131119,191000,25.9300,25.9300,25.9300,25.9300,600,0
NEE-F.US,5,20131119,192000,25.9100,25.9100,25.9100,25.9100,200,0
NEE-F.US,5,20131119,195000,25.9100,25.9100,25.9100,25.9100,534,0
NEE-F.US,5,20131119,200500,25.9100,25.9100,25.9100,25.9100,536,0
NEE-F.US,5,20131119,204000,25.9200,25.9200,25.9200,25.9200,576,0
NEE-F.US,5,20131119,205000,25.9100,25.9100,25.9100,25.9100,1000,0
NEE-F.US,5,20131119,210000,25.8800,25.9200,25.8800,25.9200,600,0
NEE-F.US,5,20131119,211000,25.9100,25.9100,25.9100,25.9100,390,0
NEE-F.US,5,20131119,214000,25.8800,25.8800,25.8800,25.8800,1594,0
NEE-F.US,5,20131119,214500,25.9100,25.9100,25.9000,25.9000,1450,0
NEE-F.US,5,20131119,220000,25.8900,25.8900,25.8900,25.8900,325,0
NEE-F.US,5,20131119,220500,25.9200,25.9200,25.9200,25.9200,200,0
NEE-F.US,5,20131120,154500,25.8900,25.8900,25.8900,25.8900,1000,0
NEE-F.US,5,20131120,155000,25.9000,25.9000,25.9000,25.9000,500,0
NEE-F.US,5,20131120,161500,25.9000,25.9000,25.9000,25.9000,386,0
NEE-F.US,5,20131120,162000,25.9100,25.9100,25.9100,25.9100,130,0
NEE-F.US,5,20131120,162500,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131120,163500,25.9100,25.9100,25.9100,25.9100,1300,0
NEE-F.US,5,20131120,165000,25.9200,25.9200,25.9200,25.9200,200,0
NEE-F.US,5,20131120,170000,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131120,170500,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131120,171500,25.9100,25.9100,25.9100,25.9100,100,0
NEE-F.US,5,20131120,172000,25.9100,25.9100,25.9100,25.9100,100,0
