<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NE.US,5,20131112,153500,40.1400,40.1900,39.8000,39.8400,46490,0
NE.US,5,20131112,154000,39.8700,39.9700,39.8000,39.8700,41820,0
NE.US,5,20131112,154500,39.8900,39.9300,39.8400,39.9000,37215,0
NE.US,5,20131112,155000,39.8800,39.9900,39.8400,39.9600,90873,0
NE.US,5,20131112,155500,39.9600,40.0300,39.9500,39.9900,100310,0
NE.US,5,20131112,160000,39.9900,40.0400,39.9800,40.0000,51047,0
NE.US,5,20131112,160500,40.0000,40.1000,39.9600,40.0200,57755,0
NE.US,5,20131112,161000,40.0200,40.1400,40.0100,40.1400,42821,0
NE.US,5,20131112,161500,40.1400,40.1600,39.9700,39.9800,58224,0
NE.US,5,20131112,162000,39.9700,40.1000,39.9200,40.1000,83150,0
NE.US,5,20131112,162500,40.0800,40.0800,40.0400,40.0700,46484,0
NE.US,5,20131112,163000,40.0600,40.0700,40.0300,40.0400,95454,0
NE.US,5,20131112,163500,40.0300,40.0400,39.9700,40.0000,47657,0
NE.US,5,20131112,164000,39.9900,40.0600,39.9800,40.0500,45317,0
NE.US,5,20131112,164500,40.0500,40.0900,40.0400,40.0500,50293,0
NE.US,5,20131112,165000,40.0400,40.1000,40.0400,40.0700,25810,0
NE.US,5,20131112,165500,40.0700,40.0900,40.0200,40.0800,31126,0
NE.US,5,20131112,170000,40.0800,40.1000,40.0000,40.0200,24628,0
NE.US,5,20131112,170500,40.0200,40.0300,39.9200,39.9200,103330,0
NE.US,5,20131112,171000,39.9200,39.9400,39.7700,39.8000,69697,0
NE.US,5,20131112,171500,39.7900,39.9000,39.7800,39.9000,30193,0
NE.US,5,20131112,172000,39.8900,40.0500,39.8900,40.0300,36530,0
NE.US,5,20131112,172500,40.0400,40.0900,40.0200,40.0900,24082,0
NE.US,5,20131112,173000,40.0900,40.1100,40.0400,40.0600,31207,0
NE.US,5,20131112,173500,40.0700,40.0800,40.0000,40.0000,26109,0
NE.US,5,20131112,174000,39.9900,40.0000,39.8600,39.8700,49330,0
NE.US,5,20131112,174500,39.8500,39.8800,39.8000,39.8000,27634,0
NE.US,5,20131112,175000,39.8000,39.8300,39.7400,39.7500,38089,0
NE.US,5,20131112,175500,39.7700,39.7900,39.7300,39.7800,35061,0
NE.US,5,20131112,180000,39.7800,39.7900,39.7100,39.7200,47926,0
NE.US,5,20131112,180500,39.7300,39.7800,39.7200,39.7400,38226,0
NE.US,5,20131112,181000,39.7300,39.7500,39.7000,39.7100,49956,0
NE.US,5,20131112,181500,39.7200,39.7500,39.7000,39.7300,24334,0
NE.US,5,20131112,182000,39.7400,39.8000,39.7400,39.7800,26761,0
NE.US,5,20131112,182500,39.7800,39.8000,39.7600,39.7800,13224,0
NE.US,5,20131112,183000,39.7800,39.8000,39.7700,39.8000,16280,0
NE.US,5,20131112,183500,39.7900,39.8100,39.7500,39.8000,18147,0
NE.US,5,20131112,184000,39.8000,39.8400,39.7900,39.8400,21283,0
NE.US,5,20131112,184500,39.8200,39.8500,39.8100,39.8500,16941,0
NE.US,5,20131112,185000,39.8500,39.9100,39.8500,39.9100,12642,0
NE.US,5,20131112,185500,39.9100,39.9600,39.9100,39.9300,27281,0
NE.US,5,20131112,190000,39.9200,39.9200,39.8300,39.8300,10958,0
NE.US,5,20131112,190500,39.8300,39.8300,39.7400,39.7500,25478,0
