<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGG.US,5,20131112,153500,61.7900,61.8000,61.7500,61.8000,2109,0
NGG.US,5,20131112,154000,61.7700,61.8100,61.7700,61.8100,1757,0
NGG.US,5,20131112,154500,61.8500,61.8900,61.8200,61.8900,1350,0
NGG.US,5,20131112,155000,61.8600,61.8600,61.8100,61.8500,2572,0
NGG.US,5,20131112,155500,61.8700,61.8900,61.8400,61.8900,3829,0
NGG.US,5,20131112,160000,61.8900,61.9100,61.8400,61.8400,3998,0
NGG.US,5,20131112,160500,61.9200,61.9200,61.7400,61.7400,3884,0
NGG.US,5,20131112,161000,61.7700,61.7700,61.7300,61.7300,2250,0
NGG.US,5,20131112,161500,61.7300,61.7700,61.7200,61.7200,1202,0
NGG.US,5,20131112,162000,61.7100,61.7800,61.6900,61.7800,2181,0
NGG.US,5,20131112,162500,61.7700,61.8100,61.7500,61.7900,22838,0
NGG.US,5,20131112,163000,61.8000,61.8100,61.8000,61.8100,300,0
NGG.US,5,20131112,163500,61.8300,61.8400,61.8000,61.8300,2998,0
NGG.US,5,20131112,164000,61.8300,61.8800,61.8200,61.8800,2100,0
NGG.US,5,20131112,164500,61.8600,61.8600,61.8400,61.8400,635,0
NGG.US,5,20131112,165000,61.8300,61.8500,61.8100,61.8100,2100,0
NGG.US,5,20131112,165500,61.8000,61.8300,61.8000,61.8100,902,0
NGG.US,5,20131112,170000,61.7900,61.8200,61.7800,61.7800,550,0
NGG.US,5,20131112,170500,61.7600,61.9200,61.7500,61.8700,4900,0
NGG.US,5,20131112,171000,61.9100,62.0000,61.8700,61.9100,7633,0
NGG.US,5,20131112,171500,61.8900,62.0300,61.8900,62.0000,7700,0
NGG.US,5,20131112,172000,61.9700,62.0600,61.9700,62.0600,11900,0
NGG.US,5,20131112,172500,62.0100,62.0700,62.0000,62.0500,3314,0
NGG.US,5,20131112,173000,62.0400,62.1000,62.0000,62.0800,8532,0
NGG.US,5,20131112,173500,62.0600,62.1700,62.0500,62.1200,35069,0
NGG.US,5,20131112,174000,62.1200,62.1200,62.0200,62.0200,7216,0
NGG.US,5,20131112,174500,61.9900,61.9900,61.9100,61.9600,700,0
NGG.US,5,20131112,175000,61.9000,61.9200,61.8800,61.9100,1060,0
NGG.US,5,20131112,175500,61.8900,61.9300,61.8900,61.9000,1522,0
NGG.US,5,20131112,180000,61.9900,62.0000,61.9000,61.9100,1976,0
NGG.US,5,20131112,180500,61.9200,61.9200,61.9000,61.9000,650,0
NGG.US,5,20131112,181000,61.8800,61.9600,61.8600,61.8900,14920,0
NGG.US,5,20131112,181500,61.8800,61.9000,61.8500,61.8900,5200,0
NGG.US,5,20131112,182000,61.8700,61.9400,61.8500,61.8600,4298,0
NGG.US,5,20131112,182500,61.8600,61.8900,61.8500,61.8700,1618,0
NGG.US,5,20131112,183000,61.8700,61.8700,61.8400,61.8400,2650,0
NGG.US,5,20131112,183500,61.8400,61.8900,61.8400,61.8900,2099,0
NGG.US,5,20131112,184000,61.8700,61.8900,61.8600,61.8800,2364,0
NGG.US,5,20131112,184500,61.8700,61.8800,61.8600,61.8600,838,0
NGG.US,5,20131112,185000,61.8800,61.9200,61.8800,61.9000,520,0
NGG.US,5,20131112,185500,61.8900,61.9000,61.8800,61.9000,1100,0
NGG.US,5,20131112,190500,61.8700,61.9000,61.8600,61.8800,2338,0
NGG.US,5,20131112,191000,61.8800,61.8800,61.8700,61.8700,200,0
NGG.US,5,20131112,191500,61.8800,61.8900,61.8400,61.8900,2068,0
NGG.US,5,20131112,192000,61.8600,61.8700,61.8500,61.8600,2401,0
NGG.US,5,20131112,192500,61.8600,61.8800,61.8600,61.8600,400,0
NGG.US,5,20131112,193000,61.8400,61.8600,61.8400,61.8400,1800,0
NGG.US,5,20131112,193500,61.8500,61.8500,61.8200,61.8200,2500,0
NGG.US,5,20131112,194000,61.8300,61.8300,61.7900,61.8000,1980,0
NGG.US,5,20131112,194500,61.8000,61.8400,61.8000,61.8400,1875,0
NGG.US,5,20131112,195000,61.8200,61.8200,61.8000,61.8000,300,0
NGG.US,5,20131112,195500,61.8000,61.8000,61.7800,61.7800,1200,0
NGG.US,5,20131112,200000,61.7900,61.8000,61.7600,61.7600,1171,0
NGG.US,5,20131112,200500,61.7600,61.7900,61.7500,61.7600,3700,0
NGG.US,5,20131112,201000,61.7500,61.7900,61.7500,61.7900,3000,0
NGG.US,5,20131112,201500,61.7700,61.7700,61.7500,61.7700,1576,0
NGG.US,5,20131112,202000,61.7700,61.7700,61.7400,61.7500,1173,0
NGG.US,5,20131112,202500,61.7500,61.7800,61.7400,61.7600,2034,0
NGG.US,5,20131112,203000,61.7600,61.7600,61.7400,61.7400,800,0
NGG.US,5,20131112,203500,61.7500,61.7600,61.7400,61.7500,750,0
NGG.US,5,20131112,204000,61.7500,61.7600,61.7400,61.7600,2653,0
NGG.US,5,20131112,204500,61.7400,61.7900,61.7400,61.7700,2760,0
NGG.US,5,20131112,205000,61.7700,61.7900,61.7600,61.7800,1473,0
NGG.US,5,20131112,205500,61.7800,61.7800,61.7600,61.7600,567,0
NGG.US,5,20131112,210000,61.7700,61.8200,61.7700,61.8200,933,0
NGG.US,5,20131112,210500,61.8100,61.8300,61.7900,61.8000,815,0
NGG.US,5,20131112,211000,61.8000,61.8300,61.7800,61.8000,2200,0
NGG.US,5,20131112,211500,61.8100,61.8700,61.8000,61.8200,4039,0
NGG.US,5,20131112,212000,61.8200,61.8400,61.8100,61.8400,1763,0
NGG.US,5,20131112,212500,61.8500,61.8800,61.8400,61.8500,4087,0
NGG.US,5,20131112,213000,61.8500,61.8800,61.8500,61.8700,1544,0
NGG.US,5,20131112,213500,61.8500,61.9000,61.8300,61.8700,4600,0
NGG.US,5,20131112,214000,61.8700,61.8800,61.8500,61.8500,3548,0
NGG.US,5,20131112,214500,61.8500,61.9200,61.8500,61.9100,4778,0
NGG.US,5,20131112,215000,61.9100,61.9100,61.8400,61.8500,3479,0
NGG.US,5,20131112,215500,61.8400,61.8800,61.8400,61.8800,6349,0
NGG.US,5,20131112,220000,61.8700,61.9100,61.8500,61.8700,11203,0
NGG.US,5,20131112,220500,61.9000,61.9000,61.9000,61.9000,3213,0
NGG.US,5,20131113,153500,61.7800,61.9100,61.7800,61.8600,9015,0
