<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGLS.US,5,20131112,153500,49.1900,49.9400,49.1900,49.6500,2563,0
NGLS.US,5,20131112,154000,49.4300,49.6700,49.4200,49.4200,300,0
NGLS.US,5,20131112,154500,49.4200,49.4200,49.1600,49.2000,4122,0
NGLS.US,5,20131112,155000,49.2600,49.3100,49.2000,49.2700,2659,0
NGLS.US,5,20131112,155500,49.2300,49.4300,49.2100,49.2400,1663,0
NGLS.US,5,20131112,160000,49.4100,49.4300,49.2900,49.2900,1200,0
NGLS.US,5,20131112,160500,49.3900,49.4000,49.2800,49.3600,1488,0
NGLS.US,5,20131112,161000,49.3900,49.5000,49.3900,49.4000,4400,0
NGLS.US,5,20131112,161500,49.4000,49.4800,49.3500,49.3600,2800,0
NGLS.US,5,20131112,162000,49.3600,49.3600,49.2100,49.2300,4210,0
NGLS.US,5,20131112,162500,49.2300,49.4500,49.2300,49.4500,4800,0
NGLS.US,5,20131112,163000,49.3700,49.4200,49.2800,49.3800,1840,0
NGLS.US,5,20131112,163500,49.4100,49.4100,49.4100,49.4100,100,0
NGLS.US,5,20131112,164000,49.4200,49.4200,49.2500,49.3000,1487,0
NGLS.US,5,20131112,164500,49.2600,49.3000,49.1700,49.1700,6553,0
NGLS.US,5,20131112,165000,49.1600,49.2300,49.1500,49.1600,3865,0
NGLS.US,5,20131112,165500,49.1600,49.2200,49.1100,49.1100,4361,0
NGLS.US,5,20131112,170000,49.0200,49.1500,49.0100,49.1500,6246,0
NGLS.US,5,20131112,170500,49.1400,49.2800,49.1400,49.2800,1899,0
NGLS.US,5,20131112,171000,49.3600,49.3600,49.2900,49.3500,600,0
NGLS.US,5,20131112,171500,49.3500,49.4700,49.3500,49.4600,1555,0
NGLS.US,5,20131112,172000,49.4500,49.4600,49.4300,49.4400,1200,0
NGLS.US,5,20131112,172500,49.4100,49.4400,49.3700,49.3700,2030,0
NGLS.US,5,20131112,173000,49.4200,49.4600,49.3700,49.4600,1622,0
NGLS.US,5,20131112,173500,49.4600,49.4900,49.4600,49.4900,500,0
NGLS.US,5,20131112,174000,49.4900,49.6100,49.4800,49.4800,6241,0
NGLS.US,5,20131112,174500,49.5400,49.5500,49.5000,49.5100,1400,0
NGLS.US,5,20131112,175000,49.5400,49.5700,49.4700,49.5700,2919,0
NGLS.US,5,20131112,175500,49.5200,49.6300,49.4000,49.4000,12920,0
NGLS.US,5,20131112,180000,49.4700,49.4700,49.4000,49.4000,620,0
NGLS.US,5,20131112,180500,49.4600,49.5000,49.4000,49.5000,2046,0
NGLS.US,5,20131112,181000,49.4600,49.5000,49.4400,49.4400,3370,0
NGLS.US,5,20131112,181500,49.4400,49.4800,49.4100,49.4200,1200,0
NGLS.US,5,20131112,182000,49.4700,49.5000,49.4000,49.5000,1000,0
NGLS.US,5,20131112,182500,49.4900,49.5000,49.4000,49.4200,2405,0
NGLS.US,5,20131112,183000,49.4000,49.5800,49.4000,49.5800,2422,0
NGLS.US,5,20131112,183500,49.5700,49.5700,49.4300,49.5200,1700,0
NGLS.US,5,20131112,184000,49.4900,49.5100,49.4700,49.5100,1277,0
NGLS.US,5,20131112,184500,49.4700,49.6500,49.4700,49.6000,3545,0
NGLS.US,5,20131112,185000,49.6100,49.6400,49.5600,49.6400,800,0
NGLS.US,5,20131112,185500,49.6400,49.6400,49.5600,49.6100,400,0
NGLS.US,5,20131112,190000,49.6200,49.6200,49.5200,49.5700,1783,0
NGLS.US,5,20131112,190500,49.5600,49.6200,49.5200,49.6100,3688,0
NGLS.US,5,20131112,191000,49.5500,49.6200,49.4800,49.4800,3394,0
NGLS.US,5,20131112,191500,49.5200,49.5200,49.4000,49.4000,2244,0
NGLS.US,5,20131112,192000,49.4000,49.4600,49.4000,49.4600,1900,0
NGLS.US,5,20131112,192500,49.4600,49.4600,49.4000,49.4000,883,0
NGLS.US,5,20131112,193000,49.4100,49.4800,49.4100,49.4700,300,0
NGLS.US,5,20131112,193500,49.4300,49.4300,49.4000,49.4000,200,0
NGLS.US,5,20131112,194000,49.4000,49.4300,49.3600,49.4300,3601,0
NGLS.US,5,20131112,194500,49.4300,49.4300,49.3700,49.3800,1021,0
NGLS.US,5,20131112,195000,49.4300,49.4300,49.3700,49.4200,1500,0
NGLS.US,5,20131112,195500,49.4300,49.4300,49.3700,49.4000,10506,0
NGLS.US,5,20131112,200000,49.4000,49.5200,49.4000,49.5200,2632,0
NGLS.US,5,20131112,200500,49.5200,49.5400,49.4800,49.5400,1025,0
NGLS.US,5,20131112,201000,49.5400,49.5600,49.5000,49.5600,1155,0
NGLS.US,5,20131112,201500,49.5700,49.5700,49.5500,49.5500,500,0
NGLS.US,5,20131112,202000,49.5600,49.5600,49.4500,49.4500,1801,0
