<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKA.US,5,20131112,153500,15.8700,15.8700,15.8700,15.8700,100,0
NKA.US,5,20131112,155000,15.5600,15.5600,15.5600,15.5600,1000,0
NKA.US,5,20131112,155500,15.5900,15.6800,15.5900,15.6800,500,0
NKA.US,5,20131112,160000,15.6800,15.6800,15.6600,15.6600,700,0
NKA.US,5,20131112,161000,15.6700,15.6700,15.6700,15.6700,100,0
NKA.US,5,20131112,161500,15.6500,15.6800,15.6400,15.6800,575,0
NKA.US,5,20131112,162000,15.6400,15.6400,15.6400,15.6400,128,0
NKA.US,5,20131112,163000,15.6300,15.6300,15.6000,15.6000,600,0
NKA.US,5,20131112,163500,15.6300,15.6300,15.3600,15.5200,16667,0
NKA.US,5,20131112,165000,15.4700,15.4800,15.4700,15.4800,806,0
NKA.US,5,20131112,170000,15.4300,15.4300,15.4300,15.4300,250,0
NKA.US,5,20131112,170500,15.4500,15.4500,15.4500,15.4500,400,0
NKA.US,5,20131112,171000,15.4500,15.4500,15.4500,15.4500,100,0
NKA.US,5,20131112,171500,15.4400,15.4500,15.4000,15.4000,1050,0
NKA.US,5,20131112,172000,15.3900,15.3900,15.3900,15.3900,325,0
NKA.US,5,20131112,172500,15.4000,15.4400,15.4000,15.4400,225,0
NKA.US,5,20131112,174000,15.3500,15.4100,15.3500,15.4100,400,0
NKA.US,5,20131112,175000,15.4400,15.4400,15.4100,15.4100,700,0
NKA.US,5,20131112,175500,15.4100,15.4100,15.2000,15.3200,4992,0
NKA.US,5,20131112,180000,15.2600,15.2600,15.2600,15.2600,100,0
NKA.US,5,20131112,181000,15.2800,15.2800,15.2300,15.2300,332,0
NKA.US,5,20131112,182000,15.2300,15.2500,15.1500,15.1500,4232,0
NKA.US,5,20131112,182500,15.2500,15.2600,15.2500,15.2600,475,0
NKA.US,5,20131112,184500,15.3200,15.3200,15.3200,15.3200,185,0
NKA.US,5,20131112,185500,15.3100,15.3100,15.3000,15.3100,1202,0
NKA.US,5,20131112,191000,15.3100,15.3200,15.3100,15.3200,700,0
NKA.US,5,20131112,193000,15.2500,15.2500,15.2500,15.2500,470,0
NKA.US,5,20131112,193500,15.3300,15.3300,15.3300,15.3300,100,0
NKA.US,5,20131112,194000,15.3000,15.3300,15.3000,15.3300,400,0
NKA.US,5,20131112,194500,15.3300,15.3300,15.3000,15.3300,3575,0
NKA.US,5,20131112,195000,15.3200,15.3800,15.2600,15.2600,3825,0
NKA.US,5,20131112,200000,15.3300,15.3300,15.3300,15.3300,680,0
NKA.US,5,20131112,200500,15.3800,15.3800,15.3100,15.3100,430,0
NKA.US,5,20131112,201000,15.2800,15.3000,15.2800,15.3000,720,0
NKA.US,5,20131112,203000,15.4000,15.4000,15.4000,15.4000,700,0
NKA.US,5,20131112,203500,15.4200,15.4500,15.4200,15.4300,1301,0
NKA.US,5,20131112,204000,15.4500,15.4500,15.4500,15.4500,100,0
NKA.US,5,20131112,204500,15.4400,15.4400,15.4400,15.4400,100,0
NKA.US,5,20131112,205000,15.3100,15.3100,15.3100,15.3100,283,0
NKA.US,5,20131112,205500,15.4200,15.4200,15.4200,15.4200,640,0
NKA.US,5,20131112,211000,15.3800,15.4400,15.3200,15.3200,1000,0
NKA.US,5,20131112,212000,15.3200,15.3200,15.3200,15.3200,600,0
NKA.US,5,20131112,212500,15.3800,15.3800,15.3400,15.3500,482,0
NKA.US,5,20131112,213000,15.3800,15.4200,15.2500,15.3800,1766,0
NKA.US,5,20131112,213500,15.3700,15.3800,15.2500,15.2500,4248,0
NKA.US,5,20131112,214500,15.2900,15.2900,15.2900,15.2900,100,0
NKA.US,5,20131112,215000,15.3000,15.3000,15.2300,15.2900,750,0
NKA.US,5,20131112,215500,15.3100,15.3100,15.3100,15.3100,100,0
NKA.US,5,20131112,220000,15.3100,15.4500,15.3000,15.4500,1034,0
NKA.US,5,20131113,160500,15.4000,15.4000,15.4000,15.4000,256,0
NKA.US,5,20131113,161000,15.4100,15.5200,15.4100,15.5200,1500,0
NKA.US,5,20131113,162500,15.5200,15.5200,15.5200,15.5200,100,0
NKA.US,5,20131113,165000,15.4900,15.4900,15.4900,15.4900,1000,0
NKA.US,5,20131113,170500,15.4900,15.5000,15.4900,15.5000,400,0
NKA.US,5,20131113,171000,15.4500,15.4600,15.4500,15.4600,300,0
NKA.US,5,20131113,171500,15.4900,15.4900,15.4500,15.4500,2383,0
NKA.US,5,20131113,172000,15.4500,15.4800,15.3100,15.4800,2366,0
NKA.US,5,20131113,173000,15.4800,15.4800,15.4800,15.4800,100,0
NKA.US,5,20131113,174500,15.3500,15.3500,15.3500,15.3500,480,0
NKA.US,5,20131113,175500,15.3500,15.3500,15.3100,15.3100,1100,0
NKA.US,5,20131113,180000,15.3800,15.3800,15.3800,15.3800,100,0
NKA.US,5,20131113,180500,15.3200,15.4000,15.2400,15.4000,5323,0
NKA.US,5,20131113,181000,15.3500,15.3500,15.2600,15.2600,500,0
NKA.US,5,20131113,181500,15.2300,15.2300,15.2300,15.2300,500,0
NKA.US,5,20131113,183000,15.1800,15.2500,15.1800,15.2500,860,0
NKA.US,5,20131113,183500,15.2500,15.2500,15.2500,15.2500,100,0
NKA.US,5,20131113,184000,15.2000,15.2000,15.2000,15.2000,100,0
NKA.US,5,20131113,185000,15.2800,15.2800,15.2800,15.2800,169,0
NKA.US,5,20131113,185500,15.2700,15.2700,15.2700,15.2700,150,0
NKA.US,5,20131113,190000,15.3400,15.3400,15.3400,15.3400,100,0
NKA.US,5,20131113,191000,15.3300,15.3300,15.3300,15.3300,100,0
NKA.US,5,20131113,192000,15.3100,15.3100,15.3100,15.3100,2000,0
NKA.US,5,20131113,192500,15.3400,15.3400,15.2500,15.3200,700,0
NKA.US,5,20131113,193000,15.3300,15.3300,15.3200,15.3200,1100,0
NKA.US,5,20131113,193500,15.3200,15.3200,15.3200,15.3200,100,0
NKA.US,5,20131113,202000,15.4200,15.4200,15.4200,15.4200,400,0
NKA.US,5,20131113,202500,15.4300,15.4300,15.3900,15.4100,529,0
NKA.US,5,20131113,203500,15.4400,15.4400,15.4400,15.4400,200,0
NKA.US,5,20131113,204000,15.3000,15.3000,15.3000,15.3000,100,0
NKA.US,5,20131113,211000,15.3000,15.3000,15.3000,15.3000,100,0
NKA.US,5,20131113,211500,15.3600,15.3600,15.3500,15.3500,200,0
NKA.US,5,20131113,212500,15.4000,15.4000,15.3900,15.3900,300,0
NKA.US,5,20131113,213000,15.4000,15.4400,15.3500,15.3700,3473,0
NKA.US,5,20131113,213500,15.3900,15.3900,15.1700,15.2400,4830,0
NKA.US,5,20131113,214000,15.2500,15.2700,15.2500,15.2700,400,0
NKA.US,5,20131113,214500,15.3700,15.3700,15.3700,15.3700,300,0
NKA.US,5,20131113,215500,15.3700,15.3700,15.1800,15.3100,1200,0
NKA.US,5,20131113,220000,15.4000,15.4200,15.3100,15.3100,300,0
NKA.US,5,20131113,220500,15.3200,15.3200,15.3200,15.3200,100,0
NKA.US,5,20131114,155000,15.4400,15.4400,15.4400,15.4400,160,0
NKA.US,5,20131114,160000,15.3900,15.3900,15.3900,15.3900,1150,0
NKA.US,5,20131114,161000,15.4400,15.4400,15.3300,15.3600,760,0
NKA.US,5,20131114,162500,15.3200,15.3200,15.3200,15.3200,100,0
NKA.US,5,20131114,163000,15.3300,15.3900,15.3300,15.3800,4100,0
NKA.US,5,20131114,163500,15.3100,15.3100,15.3100,15.3100,200,0
NKA.US,5,20131114,164500,15.4000,15.4000,15.4000,15.4000,108,0
NKA.US,5,20131114,165500,15.4200,15.4200,15.4200,15.4200,282,0
NKA.US,5,20131114,170000,15.4100,15.4100,15.4100,15.4100,200,0
NKA.US,5,20131114,171000,15.4900,15.5000,15.4900,15.5000,700,0
NKA.US,5,20131114,172000,15.4300,15.4300,15.4300,15.4300,666,0
NKA.US,5,20131114,172500,15.4900,15.5100,15.4900,15.5000,6100,0
NKA.US,5,20131114,173000,15.4500,15.4500,15.4500,15.4500,100,0
NKA.US,5,20131114,173500,15.4500,15.4500,15.4500,15.4500,100,0
NKA.US,5,20131114,175000,15.5000,15.5000,15.5000,15.5000,1469,0
NKA.US,5,20131114,180500,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,181500,15.4900,15.4900,15.4900,15.4900,100,0
NKA.US,5,20131114,182000,15.4800,15.5000,15.4800,15.5000,1400,0
NKA.US,5,20131114,182500,15.4100,15.4100,15.4100,15.4100,750,0
NKA.US,5,20131114,183000,15.4900,15.4900,15.4900,15.4900,100,0
NKA.US,5,20131114,183500,15.4700,15.4700,15.4700,15.4700,100,0
NKA.US,5,20131114,184000,15.4800,15.4800,15.4400,15.4800,448,0
NKA.US,5,20131114,184500,15.4900,15.4900,15.4100,15.4100,200,0
NKA.US,5,20131114,185000,15.4800,15.4800,15.4800,15.4800,100,0
NKA.US,5,20131114,185500,15.4800,15.5000,15.4800,15.4900,1691,0
NKA.US,5,20131114,190000,15.4100,15.4400,15.4100,15.4400,1305,0
NKA.US,5,20131114,190500,15.4900,15.4900,15.4900,15.4900,300,0
NKA.US,5,20131114,191500,15.5000,15.5100,15.4900,15.5100,4100,0
NKA.US,5,20131114,192000,15.4600,15.4600,15.4400,15.4400,1000,0
NKA.US,5,20131114,192500,15.4900,15.4900,15.4900,15.4900,100,0
NKA.US,5,20131114,193000,15.5000,15.5000,15.5000,15.5000,1300,0
NKA.US,5,20131114,194000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,194500,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,195000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,200000,15.4500,15.4500,15.4500,15.4500,100,0
NKA.US,5,20131114,200500,15.4500,15.4500,15.4500,15.4500,200,0
NKA.US,5,20131114,201000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,201500,15.4500,15.5000,15.4500,15.5000,200,0
NKA.US,5,20131114,202000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,203000,15.5000,15.5000,15.4700,15.4700,575,0
NKA.US,5,20131114,205500,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131114,210000,15.5000,15.5000,15.5000,15.5000,306,0
NKA.US,5,20131114,210500,15.5000,15.5000,15.5000,15.5000,246,0
NKA.US,5,20131114,211000,15.3700,15.3700,15.3700,15.3700,1200,0
NKA.US,5,20131114,212000,15.4500,15.5200,15.4400,15.5000,1952,0
NKA.US,5,20131114,212500,15.4900,15.6100,15.4900,15.5000,1300,0
NKA.US,5,20131114,213000,15.4900,15.5900,15.4900,15.5900,2200,0
NKA.US,5,20131114,213500,15.5900,15.5900,15.5900,15.5900,500,0
NKA.US,5,20131114,214500,15.5700,15.5700,15.5700,15.5700,100,0
NKA.US,5,20131114,215500,15.4700,15.5500,15.4700,15.4900,300,0
NKA.US,5,20131114,220000,15.5000,15.6200,15.4800,15.4800,892,0
NKA.US,5,20131114,220500,15.4700,15.4700,15.4700,15.4700,988,0
NKA.US,5,20131115,161000,15.4800,15.5100,15.4700,15.4700,2103,0
NKA.US,5,20131115,162000,15.4100,15.4200,15.3500,15.3500,1600,0
NKA.US,5,20131115,163000,15.4400,15.4400,15.4400,15.4400,100,0
NKA.US,5,20131115,165500,15.4200,15.4200,15.4200,15.4200,1000,0
NKA.US,5,20131115,170000,15.4000,15.4400,15.3600,15.4400,1600,0
NKA.US,5,20131115,170500,15.3600,15.3600,15.3600,15.3600,450,0
NKA.US,5,20131115,172000,15.3600,15.3600,15.3600,15.3600,100,0
NKA.US,5,20131115,172500,15.3900,15.3900,15.3500,15.3600,2800,0
NKA.US,5,20131115,173000,15.4300,15.4300,15.4300,15.4300,100,0
NKA.US,5,20131115,173500,15.4200,15.4300,15.4200,15.4300,300,0
NKA.US,5,20131115,175000,15.4200,15.4200,15.4000,15.4000,1424,0
NKA.US,5,20131115,180000,15.4000,15.4000,15.4000,15.4000,230,0
NKA.US,5,20131115,180500,15.4000,15.4000,15.3900,15.3900,875,0
NKA.US,5,20131115,181000,15.3600,15.3600,15.3600,15.3600,500,0
NKA.US,5,20131115,181500,15.3500,15.3500,15.3500,15.3500,100,0
NKA.US,5,20131115,182000,15.3900,15.3900,15.3900,15.3900,100,0
NKA.US,5,20131115,183500,15.3500,15.3500,15.3500,15.3500,200,0
NKA.US,5,20131115,184000,15.3900,15.3900,15.3800,15.3800,500,0
NKA.US,5,20131115,184500,15.3600,15.3600,15.3600,15.3600,100,0
NKA.US,5,20131115,185000,15.3900,15.3900,15.3900,15.3900,100,0
NKA.US,5,20131115,190500,15.3900,15.3900,15.3900,15.3900,100,0
NKA.US,5,20131115,191000,15.3900,15.4300,15.3900,15.4300,1250,0
NKA.US,5,20131115,191500,15.4200,15.4200,15.4200,15.4200,1000,0
NKA.US,5,20131115,192000,15.3600,15.3600,15.3600,15.3600,167,0
NKA.US,5,20131115,193000,15.3600,15.3600,15.3600,15.3600,100,0
NKA.US,5,20131115,193500,15.4100,15.4100,15.4100,15.4100,200,0
NKA.US,5,20131115,195000,15.3600,15.4100,15.3600,15.4100,200,0
NKA.US,5,20131115,195500,15.4100,15.4100,15.4100,15.4100,100,0
NKA.US,5,20131115,200500,15.4100,15.4100,15.3700,15.3700,400,0
NKA.US,5,20131115,201000,15.4000,15.4000,15.4000,15.4000,100,0
NKA.US,5,20131115,201500,15.3900,15.3900,15.3900,15.3900,200,0
NKA.US,5,20131115,202000,15.4000,15.4000,15.4000,15.4000,100,0
NKA.US,5,20131115,203000,15.3500,15.4000,15.3500,15.4000,1300,0
NKA.US,5,20131115,203500,15.4000,15.4000,15.4000,15.4000,100,0
NKA.US,5,20131115,205000,15.3900,15.3900,15.3900,15.3900,1000,0
NKA.US,5,20131115,210000,15.3700,15.3700,15.3700,15.3700,700,0
NKA.US,5,20131115,210500,15.3500,15.3600,15.3500,15.3500,2435,0
NKA.US,5,20131115,213500,15.3400,15.3400,15.3400,15.3400,100,0
NKA.US,5,20131115,214000,15.3000,15.4500,15.3000,15.4500,5234,0
NKA.US,5,20131115,214500,15.4800,15.4800,15.4100,15.4100,200,0
NKA.US,5,20131115,215000,15.5300,15.6100,15.5000,15.5000,3746,0
NKA.US,5,20131115,215500,15.5100,15.5100,15.4800,15.4800,600,0
NKA.US,5,20131115,220000,15.4800,15.6300,15.4500,15.4500,2985,0
NKA.US,5,20131115,220500,15.5000,15.5000,15.5000,15.5000,651,0
NKA.US,5,20131118,153500,15.4100,15.4100,15.4100,15.4100,250,0
NKA.US,5,20131118,154500,15.4500,15.4900,15.4500,15.4900,400,0
NKA.US,5,20131118,155000,15.4900,15.4900,15.4800,15.4800,500,0
NKA.US,5,20131118,155500,15.4300,15.4800,15.4300,15.4800,700,0
NKA.US,5,20131118,160000,15.4600,15.4900,15.4600,15.4800,300,0
NKA.US,5,20131118,160500,15.4800,15.5000,15.4800,15.5000,5400,0
NKA.US,5,20131118,161000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131118,161500,15.4900,15.5000,15.4900,15.5000,600,0
NKA.US,5,20131118,162000,15.4600,15.5000,15.4600,15.5000,309,0
NKA.US,5,20131118,162500,15.4900,15.5000,15.4900,15.4900,1000,0
NKA.US,5,20131118,163000,15.5000,15.5000,15.4700,15.4700,600,0
NKA.US,5,20131118,163500,15.4600,15.4700,15.4600,15.4700,1550,0
NKA.US,5,20131118,164000,15.4700,15.4700,15.4400,15.4700,4925,0
NKA.US,5,20131118,164500,15.4600,15.4700,15.4600,15.4700,1400,0
NKA.US,5,20131118,165000,15.4700,15.4700,15.4600,15.4600,1175,0
NKA.US,5,20131118,165500,15.4700,15.4700,15.4700,15.4700,1100,0
NKA.US,5,20131118,170000,15.5000,15.5000,15.5000,15.5000,100,0
NKA.US,5,20131118,170500,15.5100,15.5300,15.4900,15.5300,2700,0
NKA.US,5,20131118,171000,15.5200,15.5200,15.5100,15.5100,1673,0
NKA.US,5,20131118,171500,15.5100,15.5100,15.5100,15.5100,200,0
NKA.US,5,20131118,172000,15.5100,15.5100,15.5100,15.5100,200,0
