<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKG-C.US,5,20131113,153500,10.0100,10.0100,10.0100,10.0100,1000,0
NKG-C.US,5,20131113,212500,10.0300,10.0300,10.0300,10.0300,500,0
NKG-C.US,5,20131118,201000,10.0300,10.0300,10.0300,10.0300,3000,0
NKG-C.US,5,20131119,183000,10.0500,10.0500,10.0500,10.0500,500,0
NKG-C.US,5,20131119,184000,10.0500,10.0500,10.0300,10.0300,1500,0
NKG-C.US,5,20131121,165500,10.0300,10.0300,10.0300,10.0300,3000,0
NKG-C.US,5,20131121,170000,10.0200,10.0200,10.0200,10.0200,5000,0
NKG-C.US,5,20131121,170500,10.0200,10.0200,10.0200,10.0200,5000,0
NKG-C.US,5,20131121,171500,10.0200,10.0200,10.0200,10.0200,1000,0
NKG-C.US,5,20131125,174500,10.0500,10.0500,10.0500,10.0500,800,0
NKG-C.US,5,20131125,195500,10.0500,10.0500,10.0500,10.0500,1700,0
NKG-C.US,5,20131126,160500,10.0100,10.0100,10.0100,10.0100,500,0
NKG-C.US,5,20131127,165000,10.0200,10.0200,10.0200,10.0200,2000,0
NKG-C.US,5,20131129,183500,10.0200,10.0200,10.0200,10.0200,100,0
NKG-C.US,5,20131202,200500,10.0200,10.0200,10.0200,10.0200,500,0
NKG-C.US,5,20131203,153500,10.0200,10.0200,10.0200,10.0200,220,0
NKG-C.US,5,20131203,204000,10.0300,10.0300,10.0200,10.0200,2200,0
NKG-C.US,5,20131204,213000,10.0200,10.0200,10.0200,10.0200,404,0
NKG-C.US,5,20131209,205000,10.0300,10.0300,10.0300,10.0300,800,0
NKG-C.US,5,20131209,213000,10.0300,10.0300,10.0300,10.0300,1025,0
