<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMY-C.US,5,20131115,180500,10.0400,10.0400,10.0400,10.0400,1700,0
NMY-C.US,5,20131118,172500,10.0400,10.0400,10.0400,10.0400,100,0
NMY-C.US,5,20131118,173500,10.0400,10.0400,10.0400,10.0400,2350,0
NMY-C.US,5,20131118,192000,10.0400,10.0400,10.0400,10.0400,1000,0
NMY-C.US,5,20131118,210000,10.0400,10.0400,10.0400,10.0400,1400,0
NMY-C.US,5,20131122,183000,10.0300,10.0300,10.0300,10.0300,200,0
NMY-C.US,5,20131122,210000,10.0900,10.0900,10.0900,10.0900,1550,0
NMY-C.US,5,20131125,164500,10.0300,10.0300,10.0200,10.0200,6000,0
NMY-C.US,5,20131125,211000,10.0200,10.0200,10.0200,10.0200,3776,0
NMY-C.US,5,20131125,213500,10.0400,10.0400,10.0400,10.0400,1700,0
NMY-C.US,5,20131127,154500,10.0300,10.0300,10.0200,10.0300,1900,0
NMY-C.US,5,20131127,155000,10.0300,10.0800,10.0300,10.0800,1000,0
NMY-C.US,5,20131127,204500,10.0200,10.0200,10.0200,10.0200,3500,0
NMY-C.US,5,20131127,210000,10.0200,10.0200,10.0200,10.0200,2000,0
NMY-C.US,5,20131209,205500,10.0300,10.0300,10.0300,10.0300,800,0
