<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNN-E.US,5,20131112,160500,19.5400,19.5400,19.5400,19.5400,100,0
NNN-E.US,5,20131112,163000,19.5400,19.5400,19.5300,19.5300,600,0
NNN-E.US,5,20131112,164000,19.5400,19.5400,19.5400,19.5400,700,0
NNN-E.US,5,20131112,165000,19.5400,19.5400,19.5300,19.5300,1000,0
NNN-E.US,5,20131112,170000,19.5300,19.5300,19.5300,19.5300,2400,0
NNN-E.US,5,20131112,172000,19.5300,19.5300,19.5300,19.5300,105,0
NNN-E.US,5,20131112,172500,19.5300,19.5300,19.5300,19.5300,162,0
NNN-E.US,5,20131112,174000,19.5700,19.5800,19.5700,19.5800,1000,0
NNN-E.US,5,20131112,175000,19.5300,19.5300,19.5300,19.5300,400,0
NNN-E.US,5,20131112,175500,19.5200,19.5200,19.5000,19.5000,1819,0
NNN-E.US,5,20131112,180000,19.5000,19.5000,19.4500,19.4600,1445,0
NNN-E.US,5,20131112,180500,19.5200,19.5200,19.5200,19.5200,278,0
NNN-E.US,5,20131112,181000,19.5300,19.5300,19.5300,19.5300,132,0
NNN-E.US,5,20131112,182500,19.4700,19.4700,19.4600,19.4600,1600,0
NNN-E.US,5,20131112,184500,19.4600,19.5300,19.4600,19.4600,1300,0
NNN-E.US,5,20131112,190500,19.4600,19.4600,19.4600,19.4600,3700,0
NNN-E.US,5,20131112,192000,19.4700,19.4700,19.4700,19.4700,300,0
NNN-E.US,5,20131112,192500,19.4600,19.4600,19.4600,19.4600,900,0
NNN-E.US,5,20131112,193000,19.4600,19.4600,19.4500,19.4500,1300,0
NNN-E.US,5,20131112,193500,19.4500,19.4500,19.4400,19.4400,300,0
NNN-E.US,5,20131112,195000,19.4500,19.4500,19.4500,19.4500,300,0
NNN-E.US,5,20131112,195500,19.4500,19.4500,19.4500,19.4500,1300,0
NNN-E.US,5,20131112,202500,19.4600,19.4600,19.4600,19.4600,159,0
NNN-E.US,5,20131112,203000,19.4500,19.5100,19.4500,19.5100,969,0
NNN-E.US,5,20131112,203500,19.5100,19.5100,19.5100,19.5100,100,0
NNN-E.US,5,20131112,204000,19.5000,19.5000,19.5000,19.5000,4600,0
NNN-E.US,5,20131112,211500,19.4800,19.4800,19.4800,19.4800,500,0
NNN-E.US,5,20131112,212000,19.4400,19.4400,19.4400,19.4400,105,0
NNN-E.US,5,20131113,154500,19.5300,19.5400,19.5300,19.5400,800,0
NNN-E.US,5,20131113,155500,19.5100,19.5200,19.5100,19.5200,1000,0
NNN-E.US,5,20131113,160000,19.5500,19.5700,19.5100,19.5500,108292,0
NNN-E.US,5,20131113,160500,19.5500,19.5500,19.5500,19.5500,1492,0
NNN-E.US,5,20131113,161000,19.5500,19.5500,19.5100,19.5100,5433,0
NNN-E.US,5,20131113,161500,19.6000,19.6000,19.5100,19.5500,1510,0
NNN-E.US,5,20131113,162000,19.5100,19.5100,19.5000,19.5100,700,0
NNN-E.US,5,20131113,165000,19.5500,19.5500,19.5500,19.5500,2500,0
NNN-E.US,5,20131113,171000,19.5100,19.5100,19.5100,19.5100,1700,0
NNN-E.US,5,20131113,171500,19.5100,19.5100,19.5100,19.5100,1800,0
NNN-E.US,5,20131113,172000,19.5100,19.5100,19.5000,19.5000,1912,0
NNN-E.US,5,20131113,173000,19.5300,19.5300,19.5300,19.5300,1000,0
NNN-E.US,5,20131113,173500,19.5300,19.5300,19.5300,19.5300,117,0
NNN-E.US,5,20131113,174000,19.5000,19.5000,19.5000,19.5000,2000,0
NNN-E.US,5,20131113,181000,19.5400,19.5400,19.5200,19.5200,500,0
NNN-E.US,5,20131113,182000,19.5500,19.5500,19.5500,19.5500,200,0
NNN-E.US,5,20131113,192000,19.5000,19.5000,19.5000,19.5000,200,0
NNN-E.US,5,20131113,193000,19.5000,19.5000,19.5000,19.5000,100,0
NNN-E.US,5,20131113,194000,19.5000,19.5000,19.5000,19.5000,200,0
NNN-E.US,5,20131113,195000,19.5000,19.5000,19.4600,19.4600,4778,0
NNN-E.US,5,20131113,200000,19.4600,19.4600,19.4600,19.4600,100,0
NNN-E.US,5,20131113,203000,19.4600,19.4600,19.4600,19.4600,5000,0
NNN-E.US,5,20131113,203500,19.4800,19.4800,19.4800,19.4800,100,0
NNN-E.US,5,20131113,204000,19.5000,19.5000,19.5000,19.5000,614,0
NNN-E.US,5,20131113,204500,19.4800,19.4900,19.4800,19.4900,200,0
NNN-E.US,5,20131113,210000,19.5000,19.5000,19.5000,19.5000,250,0
NNN-E.US,5,20131113,211000,19.4500,19.4500,19.4500,19.4500,1000,0
NNN-E.US,5,20131113,212500,19.4600,19.5000,19.4600,19.4600,1962,0
NNN-E.US,5,20131113,213000,19.4600,19.4600,19.3200,19.3200,6167,0
NNN-E.US,5,20131113,213500,19.3200,19.3200,19.3200,19.3200,3200,0
NNN-E.US,5,20131113,214000,19.4100,19.4200,19.4100,19.4200,394,0
NNN-E.US,5,20131113,215500,19.4000,19.4000,19.4000,19.4000,439,0
NNN-E.US,5,20131113,220000,19.4000,19.4000,19.4000,19.4000,100,0
NNN-E.US,5,20131113,220500,19.4100,19.4100,19.4100,19.4100,100,0
NNN-E.US,5,20131114,155500,19.4000,19.4100,19.4000,19.4100,500,0
NNN-E.US,5,20131114,161000,19.4400,19.4400,19.4400,19.4400,1978,0
NNN-E.US,5,20131114,161500,19.4200,19.4500,19.4200,19.4500,400,0
