<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPI.US,5,20131112,153500,12.2700,12.2700,12.2600,12.2600,800,0
NPI.US,5,20131112,154000,12.2600,12.2600,12.2600,12.2600,3000,0
NPI.US,5,20131112,154500,12.2500,12.2500,12.2500,12.2500,2700,0
NPI.US,5,20131112,155000,12.2500,12.2500,12.2500,12.2500,1300,0
NPI.US,5,20131112,155500,12.2400,12.2500,12.2400,12.2400,5000,0
NPI.US,5,20131112,160000,12.2400,12.2500,12.2300,12.2300,1400,0
NPI.US,5,20131112,160500,12.2300,12.2500,12.2300,12.2500,2300,0
NPI.US,5,20131112,161000,12.2300,12.2400,12.2300,12.2300,6189,0
NPI.US,5,20131112,161500,12.2300,12.2300,12.2300,12.2300,23800,0
NPI.US,5,20131112,162000,12.2300,12.2400,12.2300,12.2300,4921,0
NPI.US,5,20131112,162500,12.2300,12.2300,12.2300,12.2300,3000,0
NPI.US,5,20131112,163000,12.2400,12.2400,12.2200,12.2200,1873,0
NPI.US,5,20131112,163500,12.2200,12.2300,12.2200,12.2200,1216,0
NPI.US,5,20131112,164000,12.2200,12.2200,12.2200,12.2200,6149,0
NPI.US,5,20131112,165000,12.2300,12.2400,12.2300,12.2400,6379,0
NPI.US,5,20131112,165500,12.2300,12.2400,12.2300,12.2300,5501,0
NPI.US,5,20131112,170000,12.2300,12.2300,12.2300,12.2300,200,0
NPI.US,5,20131112,170500,12.2300,12.2400,12.2300,12.2300,10660,0
NPI.US,5,20131112,171000,12.2400,12.2400,12.2300,12.2300,2300,0
NPI.US,5,20131112,171500,12.2300,12.2400,12.2300,12.2400,800,0
NPI.US,5,20131112,172000,12.2300,12.2300,12.2300,12.2300,500,0
NPI.US,5,20131112,172500,12.2400,12.2400,12.2300,12.2300,3300,0
NPI.US,5,20131112,173000,12.2300,12.2300,12.2300,12.2300,1500,0
NPI.US,5,20131112,174000,12.2200,12.2200,12.2200,12.2200,642,0
NPI.US,5,20131112,174500,12.2300,12.2300,12.2300,12.2300,1000,0
NPI.US,5,20131112,175000,12.2300,12.2300,12.2200,12.2200,2055,0
NPI.US,5,20131112,180000,12.2300,12.2400,12.2300,12.2400,4338,0
NPI.US,5,20131112,180500,12.2300,12.2300,12.2300,12.2300,2100,0
NPI.US,5,20131112,181000,12.2300,12.2300,12.2300,12.2300,1800,0
NPI.US,5,20131112,181500,12.2300,12.2300,12.2300,12.2300,2100,0
NPI.US,5,20131112,182000,12.2300,12.2300,12.2300,12.2300,1600,0
NPI.US,5,20131112,182500,12.2300,12.2300,12.2300,12.2300,1300,0
NPI.US,5,20131112,183000,12.2300,12.2300,12.2300,12.2300,1700,0
NPI.US,5,20131112,183500,12.2300,12.2400,12.2300,12.2300,6900,0
NPI.US,5,20131112,184000,12.2300,12.2300,12.2300,12.2300,1400,0
NPI.US,5,20131112,184500,12.2300,12.2300,12.2300,12.2300,1500,0
NPI.US,5,20131112,185000,12.2300,12.2300,12.2300,12.2300,1400,0
NPI.US,5,20131112,185500,12.2300,12.2300,12.2300,12.2300,1300,0
NPI.US,5,20131112,190000,12.2300,12.2300,12.2200,12.2200,17800,0
NPI.US,5,20131112,190500,12.2200,12.2200,12.2200,12.2200,500,0
NPI.US,5,20131112,191000,12.2200,12.2200,12.2200,12.2200,100,0
